year,state,place,subgroup_type,subgroup,share_employed,share_employed_quality
2018,06,00562,race-ethnicity,Hispanic,0.8766288712134033,3
2018,06,00562,race-ethnicity,Other Races and Ethnicities,0.8900484808112208,3
2018,06,00562,race-ethnicity,"White, Non-Hispanic",0.8642346915854261,3
2018,06,00562,all,All,0.8789321474367721,3
2018,06,00884,race-ethnicity,"Black, Non-Hispanic",0.9723856948845632,3
2018,06,00884,race-ethnicity,Hispanic,0.8093703106763741,3
2018,06,00884,race-ethnicity,Other Races and Ethnicities,0.7770322983304727,3
2018,06,00884,race-ethnicity,"White, Non-Hispanic",0.8178784266984506,3
2018,06,00884,all,All,0.8020395367706719,3
2018,06,02000,race-ethnicity,"Black, Non-Hispanic",0.8294153820523124,3
2018,06,02000,race-ethnicity,Hispanic,0.8166293249820062,3
2018,06,02000,race-ethnicity,Other Races and Ethnicities,0.8054933922175386,3
2018,06,02000,race-ethnicity,"White, Non-Hispanic",0.8503159127680234,3
2018,06,02000,all,All,0.8225022237532446,3
2018,06,02252,race-ethnicity,"Black, Non-Hispanic",0.7319151572297387,1
2018,06,02252,race-ethnicity,Hispanic,0.6914436748593549,1
2018,06,02252,race-ethnicity,Other Races and Ethnicities,0.8177515184664396,1
2018,06,02252,race-ethnicity,"White, Non-Hispanic",0.8331479782057896,1
2018,06,02252,all,All,0.7652840797474076,1
2018,06,02364,race-ethnicity,"Black, Non-Hispanic",0.5968984558300069,3
2018,06,02364,race-ethnicity,Hispanic,0.7486454816761574,3
2018,06,02364,race-ethnicity,Other Races and Ethnicities,0.6737903833479912,3
2018,06,02364,race-ethnicity,"White, Non-Hispanic",0.6622206894351619,3
2018,06,02364,all,All,0.7035542797148906,3
2018,06,03526,race-ethnicity,"Black, Non-Hispanic",0.6238748444508476,2
2018,06,03526,race-ethnicity,Hispanic,0.7427142535749609,2
2018,06,03526,race-ethnicity,Other Races and Ethnicities,0.7365794322187814,2
2018,06,03526,race-ethnicity,"White, Non-Hispanic",0.7074467809225564,2
2018,06,03526,all,All,0.724675617421066,2
2018,06,04982,race-ethnicity,"Black, Non-Hispanic",0.7889631528399389,3
2018,06,04982,race-ethnicity,Hispanic,0.8000377103046119,3
2018,06,04982,race-ethnicity,Other Races and Ethnicities,0.8294769716450702,3
2018,06,04982,race-ethnicity,"White, Non-Hispanic",0.8150800310565515,3
