year,state,place,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,06,40130,0.5894816552611608,0.5358653470588851,0.6430979634634365,1
2014,06,41992,0.8048823855494776,0.7763616107986574,0.8334031603002977,2
2014,06,43000,0.7427538287977355,0.7135282340032172,0.7719794235922539,2
2014,06,44000,0.7700898215502153,0.7615710064764949,0.7786086366239358,1
2014,06,45484,0.7870481433534873,0.751954245217741,0.8221420414892335,3
2014,06,46842,0.6791351990015093,0.6363402157486983,0.7219301822543204,2
2014,06,46898,0.7080519789967867,0.6572324333953501,0.7588715245982234,2
2014,06,47766,0.8343243901625031,0.801033313230117,0.8676154670948893,2
2014,06,48256,0.8173098837032143,0.7724982205117177,0.862121546894711,1
2014,06,48354,0.6852305343611013,0.6522826347616055,0.718178433960597,1
2014,06,49270,0.6935729029327666,0.6586123708509456,0.7285334350145877,1
