year,state,place,subgroup_type,subgroup,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,25,07000,all,All,0.8137308426655516,0.8055256723721741,0.8219360129589292,2
2018,25,07000,disability,With Disability,0.41261950820006954,0.3734388755465026,0.45180014085363646,2
2018,25,07000,disability,Without Disability,0.846443346706608,0.8392255073678785,0.8536611860453376,2
2018,25,09000,all,All,0.805224044151342,0.7843306050626146,0.8261174832400693,2
2018,25,09000,disability,With Disability,0.3321212121212121,0.25726481155402015,0.40697761268840404,2
2018,25,09000,disability,Without Disability,0.8569881302358481,0.8368712003202821,0.8771050601514141,2
2018,25,11000,all,All,0.820564403464655,0.8028229352494741,0.8383058716798358,3
2018,25,11000,disability,With Disability,0.5399087799315849,0.4037344318923828,0.6760831279707871,3
2018,25,11000,disability,Without Disability,0.8300437118484142,0.8124866358115166,0.8476007878853118,3
2018,25,23000,all,All,0.7396053640737211,0.7106502439334358,0.7685604842140065,2
2018,25,23000,disability,With Disability,0.2707064555420219,0.21491151945229228,0.3265013916317515,2
2018,25,23000,disability,Without Disability,0.8240763597465646,0.7957939045709091,0.85235881492222,2
2018,25,34550,all,All,0.7822133227900571,0.7645043843151923,0.7999222612649218,2
2018,25,34550,disability,With Disability,0.36206010788594917,0.29918924614118103,0.4249309696307173,2
2018,25,34550,disability,Without Disability,0.8285354214751987,0.8124587979591474,0.8446120449912499,2
2018,25,37000,all,All,0.7738159631320453,0.7539242168474336,0.7937077094166569,3
2018,25,37000,disability,With Disability,0.3323412698412698,0.26115721964538774,0.4035253200371519,3
2018,25,37000,disability,Without Disability,0.8160096712257331,0.7970196879745758,0.8349996544768904,3
2018,25,37490,all,All,0.7975893689436145,0.777186903465553,0.8179918344216761,1
2018,25,37490,disability,With Disability,0.465044814340589,0.3872754937964865,0.5428141348846914,1
2018,25,37490,disability,Without Disability,0.8283440697233801,0.8066994679251217,0.8499886715216386,1
2018,25,45000,all,All,0.7295173705488682,0.7095849969384888,0.7494497441592477,3
2018,25,45000,disability,With Disability,0.28833992094861666,0.23582180542174325,0.34085803647549007,3
2018,25,45000,disability,Without Disability,0.7871697528472922,0.7670172969622785,0.8073222087323059,3
2018,25,45560,all,All,0.8468601790108048,0.8311246988481261,0.8625956591734835,2
2018,25,45560,disability,With Disability,0.4754004576659039,0.34980288444495194,0.6009980308868559,2
2018,25,45560,disability,Without Disability,0.8588096727888402,0.8436551848793137,0.8739641606983668,2
2018,25,55745,all,All,0.8440484834943863,0.8254561706498889,0.8626407963388838,1
2018,25,55745,disability,With Disability,0.5310147006095374,0.430346059429149,0.6316833417899258,1
2018,25,55745,disability,Without Disability,0.8611940298507463,0.8433424729222594,0.8790455867792333,1
2018,25,62535,all,All,0.8561042337399296,0.8393998684030967,0.8728085990767626,2
2018,25,62535,disability,With Disability,0.5108474576271186,0.3958883198856804,0.6258065953685568,2
2018,25,62535,disability,Without Disability,0.8722175639545002,0.8556556585274806,0.8887794693815199,2
2018,25,67000,all,All,0.6696054965302292,0.6465531121973606,0.6926578808630978,3
2018,25,67000,disability,With Disability,0.25416392208525457,0.20166058840293077,0.30666725576757836,3
2018,25,67000,disability,Without Disability,0.7626564936980988,0.7394458774754771,0.7858671099207206,3
2018,25,82000,all,All,0.7351672862453532,0.7135953807577459,0.7567391917329606,3
2018,25,82000,disability,With Disability,0.27243844320889593,0.22400438824738936,0.32087249817040253,3
2018,25,82000,disability,Without Disability,0.797750222522329,0.7779614091056444,0.8175390359390136,3
2018,26,03000,all,All,0.7950645252956638,0.7711810582173211,0.8189479923740066,3
2018,26,03000,disability,With Disability,0.4495911769242634,0.323457762885906,0.5757245909626209,3
2018,26,03000,disability,Without Disability,0.8090583452764519,0.7850181871113614,0.8330985034415425,3
