year,state,county,subgroup_type,subgroup,share_employed,share_employed_quality
2018,01,065,race-ethnicity,Other Races and Ethnicities,1,3
2018,01,065,race-ethnicity,"White, Non-Hispanic",0.676888970995751,3
2018,01,065,all,All,0.6030012647144664,3
2018,01,067,race-ethnicity,"Black, Non-Hispanic",0.6684311296317154,3
2018,01,067,race-ethnicity,Hispanic,0.8056664006384676,3
2018,01,067,race-ethnicity,Other Races and Ethnicities,0.7673772011121409,3
2018,01,067,race-ethnicity,"White, Non-Hispanic",0.7261942548801777,3
2018,01,067,all,All,0.7152931666457611,3
2018,01,069,race-ethnicity,"Black, Non-Hispanic",0.6684311296317152,2
2018,01,069,race-ethnicity,Hispanic,0.8056664006384676,2
2018,01,069,race-ethnicity,Other Races and Ethnicities,0.7673772011121409,2
2018,01,069,race-ethnicity,"White, Non-Hispanic",0.7261942548801777,2
2018,01,069,all,All,0.715293166645761,2
2018,01,071,race-ethnicity,"Black, Non-Hispanic",0.6579177602799651,2
2018,01,071,race-ethnicity,Hispanic,0.6458143767060964,2
2018,01,071,race-ethnicity,Other Races and Ethnicities,0.5784523300555793,2
2018,01,071,race-ethnicity,"White, Non-Hispanic",0.645217760331017,2
2018,01,071,all,All,0.6425529182629541,2
2018,01,073,race-ethnicity,"Black, Non-Hispanic",0.7549831088771729,1
2018,01,073,race-ethnicity,Hispanic,0.8205224936338772,1
2018,01,073,race-ethnicity,Other Races and Ethnicities,0.7970931889427187,1
2018,01,073,race-ethnicity,"White, Non-Hispanic",0.7956750673258571,1
2018,01,073,all,All,0.7792642140468228,1
2018,01,075,race-ethnicity,"Black, Non-Hispanic",0.4000805801772764,3
2018,01,075,race-ethnicity,Hispanic,0.704186046511628,3
2018,01,075,race-ethnicity,Other Races and Ethnicities,0.7246891651865008,3
2018,01,075,race-ethnicity,"White, Non-Hispanic",0.715767018605028,3
2018,01,075,all,All,0.6965470318081306,3
2018,01,077,race-ethnicity,"Black, Non-Hispanic",0.7294697607310328,2
2018,01,077,race-ethnicity,Hispanic,0.9451802796173656,2
2018,01,077,race-ethnicity,Other Races and Ethnicities,0.3774230330672748,2
2018,01,077,race-ethnicity,"White, Non-Hispanic",0.7690529441614825,2
2018,01,077,all,All,0.766074417604693,2
2018,01,079,race-ethnicity,"Black, Non-Hispanic",0.8121775025799793,3
2018,01,079,race-ethnicity,Hispanic,0.6724489795918368,3
2018,01,079,race-ethnicity,Other Races and Ethnicities,0.7637506547930853,3
2018,01,079,race-ethnicity,"White, Non-Hispanic",0.7365874585885549,3
2018,01,079,all,All,0.7435449602074254,3
2018,01,081,race-ethnicity,"Black, Non-Hispanic",0.6971984322833503,1
2018,01,081,race-ethnicity,Hispanic,0.8131472309770373,1
2018,01,081,race-ethnicity,Other Races and Ethnicities,0.6126961483594865,1
2018,01,081,race-ethnicity,"White, Non-Hispanic",0.8618806773860749,1
2018,01,081,all,All,0.8047409335068229,1
2018,01,083,race-ethnicity,"Black, Non-Hispanic",0.8039794698727413,2
2018,01,083,race-ethnicity,Hispanic,0.713598074608905,2
2018,01,083,race-ethnicity,Other Races and Ethnicities,0.8587749149246474,2
2018,01,083,race-ethnicity,"White, Non-Hispanic",0.8037765232626047,2
2018,01,083,all,All,0.8019342016987556,2
2018,01,085,race-ethnicity,"Black, Non-Hispanic",0.7132371551505947,3
2018,01,085,race-ethnicity,Hispanic,0.7772946859903382,3
2018,01,085,race-ethnicity,Other Races and Ethnicities,0.7821782178217822,3
2018,01,085,race-ethnicity,"White, Non-Hispanic",0.7851222544550353,3
2018,01,085,all,All,0.7633750453391368,3
2018,01,087,race-ethnicity,"Black, Non-Hispanic",0.5932264384821464,3
2018,01,087,race-ethnicity,Hispanic,0.7629904559915165,3
2018,01,087,race-ethnicity,Other Races and Ethnicities,0.7066441441441442,3
2018,01,087,race-ethnicity,"White, Non-Hispanic",0.6815205707026287,3
2018,01,087,all,All,0.6406170502879703,3
