year,state,place,share_employed,share_employed_quality
2021,06,36000,0.7907537766026739,1
2021,06,36448,0.7512639285774674,2
2021,06,36546,0.8082317982362714,1
2021,06,36770,0.797434413710041,2
2021,06,37692,0.8059748304387031,2
2021,06,39496,0.8024880755378175,3
2021,06,39892,0.8010370794167536,2
2021,06,40130,0.6927352720248954,1
2021,06,41992,0.8292585909152648,2
2021,06,43000,0.7837761825315993,1
2021,06,44000,0.7533334235428507,1
2021,06,45484,0.7314034900664605,3
2021,06,46842,0.7230078604042881,2
2021,06,46898,0.6804913362290411,2
2021,06,47766,0.825200122628334,2
2021,06,48256,0.8102377921322709,1
2021,06,48354,0.7345541060237822,1
2021,06,49270,0.7634583784917666,1
2021,06,49670,0.8107691009271651,2
2021,06,50076,0.734095964969357,2
2021,06,50258,0.8335742469820682,2
2021,06,51182,0.8130794107078692,3
2021,06,52526,0.7565849420440338,1
2021,06,53000,0.7965389071033363,1
2021,06,53322,0.7575656372126816,2
2021,06,53896,0.7610819908631883,1
2021,06,53980,0.7960753179682112,2
2021,06,54652,0.7761843219394804,1
2021,06,55156,0.7160667921992816,1
2021,06,56000,0.7788722046195528,1
2021,06,56700,0.7286437213043333,2
2021,06,57456,0.7621975942694958,2
2021,06,57792,0.8292585909152648,3
2021,06,58072,0.7495436256612771,1
2021,06,59444,0.7914207853823985,2
2021,06,59451,0.7523049602257523,1
2021,06,59920,0.6970867134827087,2
2021,06,60102,0.7955977920450986,2
2021,06,60466,0.7300100645314073,2
2021,06,60620,0.7979076888711013,2
2021,06,62000,0.7842625491086103,1
2021,06,62938,0.7856725525837445,1
2021,06,64000,0.7690871126849069,1
2021,06,64224,0.7805010813116973,1
2021,06,65000,0.7317928948078681,2
2021,06,65042,0.7751604881753769,1
2021,06,66000,0.7909083164307557,1
2021,06,67000,0.8261331956182082,1
2021,06,68000,0.8091053684407664,1
2021,06,68084,0.7861422346716465,2
2021,06,68196,0.7969028830662644,2
2021,06,68252,0.8272941504390021,2
2021,06,68378,0.8181136086535155,2
2021,06,69000,0.7998650713628714,1
2021,06,69070,0.8089929986809109,2
2021,06,69084,0.8149576000996782,2
2021,06,69088,0.7847278874067541,1
2021,06,69196,0.7811343438391363,2
2021,06,70000,0.7993542279473915,1
2021,06,70098,0.7818276053933337,1
2021,06,72016,0.7768070185648606,1
2021,06,73080,0.7407061737871361,2
2021,06,75000,0.7241190812515722,1
2021,06,77000,0.808380407841628,1
2021,06,78120,0.7255324529671127,1
2021,06,78582,0.7925945782470032,1
2021,06,80000,0.8046356668954473,1
2021,06,80238,0.7379388061053034,2
2021,06,80854,0.791839471965833,3
2021,06,81344,0.7655442900655067,2
2021,06,81554,0.7858128113441281,2
2021,06,81666,0.7811450363873857,1
2021,06,82590,0.6891356968413757,2
2021,06,82954,0.6863614553516769,1
2021,06,82996,0.7580669595515831,2
2021,06,84200,0.7980108525760122,2
2021,06,84550,0.7788170563961485,2
2021,06,85292,0.7961452808033365,2
2021,08,03455,0.8588902379941264,1
2021,08,04000,0.8422338446417915,1
2021,08,07850,0.8539761334181053,1
2021,08,12815,0.8367242179247983,2
2021,08,16000,0.8002381163227755,1
2021,08,20000,0.8400215156266705,1
2021,08,27425,0.8280581143563613,2
2021,08,32155,0.8065526487753216,2
2021,08,43000,0.8245455217262785,2
2021,08,45970,0.825722469319796,2
2021,08,46465,0.8026302971261569,2
2021,08,62000,0.7479709598986336,2
2021,08,77290,0.8256363476887992,2
2021,08,83835,0.8311284928191156,2
2021,09,08000,0.7962038464115795,1
2021,09,18430,0.8493202303077805,2
2021,09,37000,0.7162813618151822,1
2021,09,52000,0.713206241692613,1
2021,09,55990,0.7833716043498982,2
2021,09,73000,0.8346308791181631,2
2021,09,80000,0.6846386983569948,1
2021,11,50000,0.8299007960731648,1
2021,12,07300,0.8000294236639818,1
2021,12,07875,0.8085469901785907,2
2021,12,10275,0.7927358414995594,1
2021,12,12875,0.7987769084521233,2
2021,12,14400,0.8185564909745955,1
2021,12,16475,0.8097520552202122,2
2021,12,16725,0.7827408082649651,1
2021,12,17200,0.7649750951164372,2
2021,12,17935,0.8134782608695652,2
2021,12,24000,0.8035335054439331,1
2021,12,24125,0.7762164220374785,2
2021,12,25175,0.8074584108157009,1
2021,12,30000,0.7895244572426334,1
2021,12,32000,0.8126340753516952,2
2021,12,32275,0.794817683985575,2
2021,12,35000,0.791805954493319,1
2021,12,36950,0.7810685733320644,2
2021,12,38250,0.7551564746814485,2
2021,12,39425,0.8050340965073768,2
2021,12,43975,0.7903333750082737,2
2021,12,45000,0.7954335958845511,1
2021,12,45025,0.819211105666201,2
2021,12,45060,0.7214333693525306,2
2021,12,45975,0.8385420520789654,2
2021,12,49675,0.8887284651527017,2
