year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,Alabama,"Lauderdale County, Alabama",.0471986,1,race-ethnicity,Majority White
2023,Alabama,"Lawrence County, Alabama",.0796209,1,race-ethnicity,All
2023,Alabama,"Lawrence County, Alabama",.0714286,1,race-ethnicity,Majority Non-White
2023,Alabama,"Lawrence County, Alabama",.0800801,1,race-ethnicity,Majority White
2023,Alabama,"Lee County, Alabama",.0241851,1,race-ethnicity,All
2023,Alabama,"Lee County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Lee County, Alabama",.0242411,1,race-ethnicity,Majority White
2023,Alabama,"Limestone County, Alabama",.0661786,1,race-ethnicity,All
2023,Alabama,"Limestone County, Alabama",.1311475,1,race-ethnicity,Majority Non-White
2023,Alabama,"Limestone County, Alabama",.0650746,1,race-ethnicity,Majority White
2023,Alabama,"Lowndes County, Alabama",.0779221,1,race-ethnicity,All
2023,Alabama,"Lowndes County, Alabama",.0801887,1,race-ethnicity,Majority Non-White
2023,Alabama,"Lowndes County, Alabama",.0729167,1,race-ethnicity,Majority White
2023,Alabama,"Macon County, Alabama",.0418848,1,race-ethnicity,All
2023,Alabama,"Macon County, Alabama",.0482759,1,race-ethnicity,Majority Non-White
2023,Alabama,"Macon County, Alabama",.0217391,1,race-ethnicity,Majority White
2023,Alabama,"Madison County, Alabama",.0586176,1,race-ethnicity,All
2023,Alabama,"Madison County, Alabama",.1284355,1,race-ethnicity,Majority Non-White
2023,Alabama,"Madison County, Alabama",.0459051,1,race-ethnicity,Majority White
2023,Alabama,"Marengo County, Alabama",.041806,1,race-ethnicity,All
2023,Alabama,"Marengo County, Alabama",.0417633,1,race-ethnicity,Majority Non-White
2023,Alabama,"Marengo County, Alabama",.0424242,1,race-ethnicity,Majority White
2023,Alabama,"Marion County, Alabama",.0406593,1,race-ethnicity,All
2023,Alabama,"Marion County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Marion County, Alabama",.0406593,1,race-ethnicity,Majority White
2023,Alabama,"Marshall County, Alabama",.0831117,1,race-ethnicity,All
2023,Alabama,"Marshall County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Marshall County, Alabama",.0831117,1,race-ethnicity,Majority White
2023,Alabama,"Mobile County, Alabama",.0798892,1,race-ethnicity,All
2023,Alabama,"Mobile County, Alabama",.1123401,1,race-ethnicity,Majority Non-White
2023,Alabama,"Mobile County, Alabama",.0620451,1,race-ethnicity,Majority White
2023,Alabama,"Monroe County, Alabama",.1086956,1,race-ethnicity,All
2023,Alabama,"Monroe County, Alabama",.1166253,1,race-ethnicity,Majority Non-White
2023,Alabama,"Monroe County, Alabama",.0954357,1,race-ethnicity,Majority White
2023,Alabama,"Montgomery County, Alabama",.0586875,1,race-ethnicity,All
2023,Alabama,"Montgomery County, Alabama",.0644155,1,race-ethnicity,Majority Non-White
2023,Alabama,"Montgomery County, Alabama",.0374404,1,race-ethnicity,Majority White
2023,Alabama,"Morgan County, Alabama",.0877014,1,race-ethnicity,All
2023,Alabama,"Morgan County, Alabama",.1027858,1,race-ethnicity,Majority Non-White
2023,Alabama,"Morgan County, Alabama",.08223,1,race-ethnicity,Majority White
2023,Alabama,"Perry County, Alabama",.0675105,1,race-ethnicity,All
2023,Alabama,"Perry County, Alabama",.0675105,1,race-ethnicity,Majority Non-White
2023,Alabama,"Perry County, Alabama",NA,3,race-ethnicity,Majority White
2023,Alabama,"Pickens County, Alabama",.0598911,1,race-ethnicity,All
2023,Alabama,"Pickens County, Alabama",.0686695,1,race-ethnicity,Majority Non-White
2023,Alabama,"Pickens County, Alabama",.0534591,1,race-ethnicity,Majority White
2023,Alabama,"Pike County, Alabama",.131019,1,race-ethnicity,All
2023,Alabama,"Pike County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Pike County, Alabama",.131019,1,race-ethnicity,Majority White
2023,Alabama,"Randolph County, Alabama",.0790569,1,race-ethnicity,All
2023,Alabama,"Randolph County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Randolph County, Alabama",.0790569,1,race-ethnicity,Majority White
2023,Alabama,"Russell County, Alabama",.1095968,1,race-ethnicity,All
2023,Alabama,"Russell County, Alabama",.1133263,1,race-ethnicity,Majority Non-White
2023,Alabama,"Russell County, Alabama",.1054591,1,race-ethnicity,Majority White
2023,Alabama,"Shelby County, Alabama",.0547021,1,race-ethnicity,All
2023,Alabama,"Shelby County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Shelby County, Alabama",.0544512,1,race-ethnicity,Majority White
2023,Alabama,"St. Clair County, Alabama",.05625,1,race-ethnicity,All
2023,Alabama,"St. Clair County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"St. Clair County, Alabama",.0564067,1,race-ethnicity,Majority White
2023,Alabama,"Sumter County, Alabama",.0537313,1,race-ethnicity,All
2023,Alabama,"Sumter County, Alabama",.0545455,1,race-ethnicity,Majority Non-White
2023,Alabama,"Sumter County, Alabama",NA,3,race-ethnicity,Majority White
2023,Alabama,"Talladega County, Alabama",.1145038,1,race-ethnicity,All
2023,Alabama,"Talladega County, Alabama",.1370787,1,race-ethnicity,Majority Non-White
2023,Alabama,"Talladega County, Alabama",.1019387,1,race-ethnicity,Majority White
2023,Alabama,"Tallapoosa County, Alabama",.0392593,1,race-ethnicity,All
2023,Alabama,"Tallapoosa County, Alabama",.0344828,1,race-ethnicity,Majority Non-White
2023,Alabama,"Tallapoosa County, Alabama",.0395883,1,race-ethnicity,Majority White
2023,Alabama,"Tuscaloosa County, Alabama",.0362982,1,race-ethnicity,All
2023,Alabama,"Tuscaloosa County, Alabama",.0334113,1,race-ethnicity,Majority Non-White
2023,Alabama,"Tuscaloosa County, Alabama",.039065,1,race-ethnicity,Majority White
2023,Alabama,"Walker County, Alabama",.0991401,1,race-ethnicity,All
2023,Alabama,"Walker County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Walker County, Alabama",.0991401,1,race-ethnicity,Majority White
2023,Alabama,"Washington County, Alabama",.0761523,1,race-ethnicity,All
2023,Alabama,"Washington County, Alabama",.0827068,1,race-ethnicity,Majority Non-White
2023,Alabama,"Washington County, Alabama",.0737705,1,race-ethnicity,Majority White
2023,Alabama,"Wilcox County, Alabama",.0422535,1,race-ethnicity,All
2023,Alabama,"Wilcox County, Alabama",.041791,1,race-ethnicity,Majority Non-White
2023,Alabama,"Wilcox County, Alabama",NA,3,race-ethnicity,Majority White
2023,Alabama,"Winston County, Alabama",.0696721,1,race-ethnicity,All
2023,Alabama,"Winston County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Winston County, Alabama",.0696721,1,race-ethnicity,Majority White
2023,Alaska,"Aleutians East Borough, Alaska",NA,3,race-ethnicity,All
2023,Alaska,"Aleutians East Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Aleutians East Borough, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Aleutians West Census Area, Alaska",.0740741,1,race-ethnicity,All
2023,Alaska,"Aleutians West Census Area, Alaska",.0740741,1,race-ethnicity,Majority Non-White
2023,Alaska,"Aleutians West Census Area, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Anchorage Municipality, Alaska",.037421,1,race-ethnicity,All
2023,Alaska,"Anchorage Municipality, Alaska",.0546407,1,race-ethnicity,Majority Non-White
2023,Alaska,"Anchorage Municipality, Alaska",.029386,1,race-ethnicity,Majority White
2023,Alaska,"Bethel Census Area, Alaska",.0215827,1,race-ethnicity,All
2023,Alaska,"Bethel Census Area, Alaska",.0218978,1,race-ethnicity,Majority Non-White
2023,Alaska,"Bethel Census Area, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Bristol Bay Borough, Alaska",NA,3,race-ethnicity,All
2023,Alaska,"Bristol Bay Borough, Alaska",NA,3,race-ethnicity,Majority Non-White
2023,Alaska,"Bristol Bay Borough, Alaska",NA,3,race-ethnicity,Majority White
2023,Alaska,"Chugach Census Area, Alaska",.010929,1,race-ethnicity,All
