state,county,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
05,093,11.9,1
05,095,9,1
05,097,4.6,1
05,099,8.5,1
05,101,7,1
05,103,15.7,1
05,105,9,1
05,107,12,1
05,109,8.9,1
05,111,10.1,1
05,113,14.5,1
05,115,13.3,1
05,117,13.6,1
05,119,15.6,1
05,121,5.3,1
05,123,10.6,1
05,125,7.6,1
05,127,11.2,1
05,129,5.1,1
05,131,10,1
05,133,9.5,1
05,135,13.6,1
05,137,11.3,1
05,139,19.8,1
05,141,14.6,1
05,143,7.9,1
05,145,9.7,1
05,147,16.3,1
05,149,11.4,1
06,001,6.8,1
06,003,NA,NA
06,005,7,1
06,007,8.1,1
06,009,8.9,1
06,011,5,1
06,013,5.4,1
06,015,4,1
06,017,6.1,1
06,019,5.2,1
06,021,7,1
06,023,8.8,1
06,025,4.6,1
06,027,5.3,1
06,029,4.3,1
06,031,3.7,1
06,033,5.5,1
06,035,5.7,1
06,037,6,1
06,039,4.5,1
06,041,8.8,1
06,043,8.8,1
06,045,7.4,1
06,047,3.7,1
06,049,NA,NA
06,051,3.8,1
06,053,5.5,1
06,055,7.7,1
06,057,9.5,1
06,059,6.6,1
06,061,7.3,1
06,063,11,1
06,065,4.2,1
06,067,7,1
06,069,3.6,1
06,071,4.2,1
06,073,6.4,1
06,075,9.5,1
06,077,4.5,1
06,079,8.7,1
06,081,6.3,1
06,083,7.8,1
06,085,6,1
06,087,7.8,1
06,089,8.1,1
06,091,NA,NA
06,093,10.9,1
06,095,5.2,1
06,097,7.1,1
06,099,5.6,1
06,101,5.9,1
06,103,4.6,1
06,105,5.6,1
06,107,4.6,1
06,109,7.8,1
06,111,6.4,1
06,113,6.9,1
06,115,3.6,1
08,001,4.4,1
08,003,10.3,1
08,005,8,1
08,007,10.1,1
08,009,20.1,1
08,011,5.6,1
08,013,9.6,1
08,014,6.5,1
08,015,16.7,1
08,017,NA,NA
08,019,3.2,1
08,021,4,1
08,023,8.3,1
08,025,7,1
08,027,29.6,1
08,029,13.4,1
08,031,10.7,1
08,033,NA,NA
08,035,6.2,1
08,037,8.8,1
08,039,5.5,1
08,041,8.6,1
08,043,8.9,1
08,045,10.3,1
08,047,5.1,1
08,049,12.6,1
08,051,12.7,1
08,053,NA,NA
08,055,8.7,1
08,057,NA,NA
08,059,7.7,1
08,061,NA,NA
08,063,11.5,1
08,065,6.8,1
08,067,9.6,1
08,069,8.9,1
08,071,7.7,1
08,073,11,1
08,075,9.9,1
08,077,8.6,1
08,079,NA,NA
08,081,6.1,1
08,083,8.8,1
08,085,8.3,1
08,087,11,1
08,089,11.3,1
08,091,9.9,1
08,093,7.9,1
08,095,22.2,1
08,097,16.7,1
08,099,10.8,1
08,101,7.7,1
08,103,9.3,1
08,105,14,1
08,107,14.8,1
08,109,13.8,1
08,111,NA,NA
08,113,11.1,1
08,115,12.9,1
08,117,8.1,1
08,119,10.8,1
08,121,14.4,1
08,123,6.3,1
08,125,13.1,1
09,110,NA,NA
09,120,NA,NA
09,130,NA,NA
09,140,NA,NA
09,150,NA,NA
09,160,NA,NA
09,170,NA,NA
09,180,NA,NA
09,190,NA,NA
10,001,9.6,1
10,003,10.4,1
10,005,9.5,1
11,001,29.7,1
12,001,9.1,1
12,003,7.3,1
12,005,8.5,1
12,007,11.1,1
12,009,7.1,1
12,011,6,1
12,013,8.1,1
12,015,5.8,1
12,017,7,1
12,019,7,1
12,021,7.2,1
12,023,7.3,1
12,027,8.7,1
12,029,7.1,1
12,031,8.6,1
12,033,8.9,1
12,035,6.3,1
12,037,13.1,1
12,039,10.3,1
12,041,7.6,1
12,043,5.7,1
12,045,11.8,1
12,047,8.4,1
12,049,9.1,1
12,051,8.7,1
12,053,6,1
12,055,11.9,1
12,057,6.8,1
12,059,13,1
12,061,8.8,1
12,063,11,1
12,065,10.4,1
12,067,18.8,1
12,069,7.3,1
12,071,5.9,1
12,073,13,1
12,075,7.7,1
12,077,9.6,1
12,079,11.1,1
12,081,6.9,1
12,083,6.6,1
12,085,9,1
12,086,5.4,1
12,087,11.3,1
12,089,9.4,1
12,091,9.1,1
12,093,7.2,1
12,095,7.2,1
12,097,4.2,1
12,099,6.8,1
12,101,5.2,1
12,103,7.6,1
12,105,7.3,1
12,107,9.7,1
12,109,5.9,1
12,111,5.3,1
12,113,6.8,1
12,115,8.4,1
12,117,7.3,1
12,119,4.8,1
12,121,7.7,1
12,123,13,1
12,125,4.4,1
12,127,7.5,1
12,129,6.4,1
12,131,10.8,1
12,133,10.5,1
13,001,14.1,1
13,003,6,1
13,005,8.1,1
13,007,NA,NA
13,009,8,1
13,011,7,1
13,013,6.1,1
13,015,6.8,1
13,017,8.2,1
13,019,6.1,1
13,021,12.7,1
13,023,13.1,1
13,025,7.7,1
13,027,9.2,1
13,029,7.2,1
13,031,6.6,1
13,033,7.4,1
13,035,8,1
13,037,12.6,1
13,039,8.1,1
13,043,7.3,1
13,045,10,1
13,047,6.6,1
13,049,3.1,1
13,051,11.2,1
13,053,NA,NA
13,055,10.5,1
13,057,6.9,1
13,059,10.8,1
13,061,10.5,1
13,063,4.6,1
13,065,17.9,1
13,067,7.8,1
13,069,9.3,1
13,071,9,1
13,073,7.2,1
13,075,7,1
13,077,7.6,1
13,079,9.1,1
13,081,9.5,1
13,083,9.2,1
13,085,10.9,1
13,087,10,1
13,089,7.3,1
13,091,11.2,1
13,093,6.4,1
13,095,12,1
13,097,5.8,1
13,099,13.1,1
13,101,NA,NA
13,103,6.1,1
13,105,11.8,1
13,107,7.9,1
13,109,12.1,1
13,111,14.4,1
13,113,13.2,1
13,115,10.3,1
13,117,5.8,1
13,119,14.5,1
13,121,9.8,1
13,123,6.2,1
13,125,10.3,1
13,127,12.3,1
13,129,10.8,1
13,131,9.3,1
13,133,11.8,1
13,135,7.3,1
13,137,11.3,1
13,139,7.2,1
13,141,NA,NA
13,143,8.8,1
13,145,9.8,1
13,147,13.3,1
13,149,5.2,1
13,151,6.1,1
13,153,6.6,1
13,155,5.3,1
13,157,8,1
13,159,5.2,1
13,161,8.1,1
13,163,11,1
13,165,10.3,1
13,167,14.4,1
13,169,6.7,1
13,171,7,1
13,173,8,1
13,175,11.1,1
13,177,4.5,1
13,179,6.9,1
13,181,15.5,1
13,183,3.5,1
13,185,9,1
13,187,4.6,1
13,189,11.6,1
13,191,5.4,1
13,193,10.1,1
13,195,9.1,1
13,197,4,1
13,199,9.2,1
13,201,13.6,1
13,205,9.9,1
13,207,10.4,1
13,209,8.1,1
13,211,10.7,1
13,213,3.2,1
13,215,10.1,1
13,217,6.5,1
13,219,10.9,1
13,221,5.3,1
13,223,4.5,1
13,225,6,1
13,227,8.5,1
13,229,9.5,1
13,231,9.2,1
13,233,9.2,1
13,235,7.3,1
13,237,9.7,1
13,239,NA,NA
13,241,14.6,1
13,243,14.4,1
13,245,9.8,1
13,247,7.8,1
13,249,17.9,1
13,251,12.1,1
13,253,10.9,1
13,255,8.7,1
13,257,13.1,1
13,259,6.1,1
13,261,11.7,1
13,263,NA,NA
13,265,NA,NA
13,267,10.4,1
13,269,11.6,1
13,271,8.9,1
13,273,10.1,1
13,275,15.1,1
13,277,11.9,1
13,279,13.8,1
13,281,10.9,1
13,283,12.5,1
13,285,11.8,1
13,287,14.6,1
13,289,10.1,1
13,291,9.8,1
13,293,10.8,1
13,295,9.4,1
13,297,6.7,1
13,299,16.6,1
13,301,13.4,1
13,303,9.1,1
13,305,12.6,1
13,307,12.7,1
13,309,NA,NA
13,311,9.9,1
13,313,9.3,1
13,315,4.6,1
13,317,9.5,1
13,319,11.4,1
13,321,8.3,1
15,001,6.8,1
15,003,6.1,1
15,005,NA,NA
15,007,8.7,1
15,009,7,1
16,001,8,1
16,003,6.5,1
16,005,6.2,1
16,007,NA,NA
16,009,7,1
16,011,1.8,1
16,013,10.5,1
16,015,7.4,1
16,017,9.5,1
16,019,4.2,1
16,021,6.3,1
16,023,NA,NA
16,025,NA,NA
16,027,4.8,1
16,029,NA,NA
16,031,4,1
16,033,NA,NA
16,035,6.7,1
16,037,6.8,1
16,039,4.5,1
16,041,NA,NA
16,043,2.9,1
16,045,6.1,1
16,047,6.4,1
16,049,5.3,1
16,051,0.9,1
16,053,6.5,1
16,055,7.7,1
16,057,11.6,1
16,059,6.1,1
16,061,8.1,1
16,063,NA,NA
16,065,0.6,1
16,067,4.6,1
16,069,9.2,1
16,071,NA,NA
16,073,2.4,1
16,075,4.5,1
16,077,3.8,1
16,079,5.9,1
16,081,2.4,1
16,083,8.8,1
16,085,12.2,1
16,087,4.6,1
17,001,15.5,1
17,003,15.9,1
17,005,11.4,1
17,007,4.5,1
17,009,10.9,1
17,011,14,1
17,013,NA,NA
17,015,14.7,1
17,017,14.1,1
17,019,12.2,1
17,021,13.6,1
17,023,16.9,1
17,025,22,1
17,027,13,1
17,029,15.6,1
17,031,7.1,1
17,033,16.1,1
17,035,10.6,1
17,037,9.8,1
17,039,13,1
17,041,12.2,1
17,043,9,1
17,045,11.5,1
17,047,26.3,1
17,049,15.3,1
17,051,15.9,1
17,053,15.6,1
17,055,13.6,1
17,057,15.3,1
17,059,12.2,1
17,061,15.2,1
17,063,9.1,1
17,065,29,1
17,067,20.1,1
17,069,11,1
17,071,11.1,1
17,073,13.9,1
17,075,14.2,1
17,077,17.7,1
17,079,14.1,1
17,081,17.1,1
17,083,10.3,1
17,085,8.2,1
17,087,9.7,1
17,089,7.6,1
17,091,10.4,1
17,093,5,1
17,095,14.4,1
17,097,8,1
17,099,12.6,1
17,101,16.4,1
17,103,12.6,1
17,105,17.1,1
17,107,13.2,1
17,109,14.5,1
17,111,7,1
17,113,11.2,1
17,115,14.9,1
17,117,14.1,1
17,119,12.9,1
17,121,21.1,1
17,123,14.5,1
17,125,14.8,1
17,127,14.3,1
17,129,9.8,1
17,131,13.5,1
17,133,14.3,1
17,135,14.2,1
17,137,12.9,1
17,139,12.4,1
17,141,14.2,1
17,143,12.8,1
17,145,23.3,1
17,147,15.5,1
17,149,6.8,1
17,151,21.2,1
17,153,17.7,1
17,155,5.4,1
17,157,19.2,1
17,159,17.9,1
17,161,13.1,1
17,163,10.9,1
17,165,20.1,1
17,167,18,1
17,169,22,1
17,171,12.4,1
17,173,14.9,1
17,175,20.8,1
17,177,13.6,1
17,179,13.3,1
17,181,13,1
17,183,13.1,1
17,185,22.3,1
17,187,12.1,1
17,189,22.7,1
17,191,25.1,1
17,193,24.7,1
17,195,15.2,1
17,197,6.7,1
17,199,17.5,1
17,201,9.9,1
17,203,15.4,1
18,001,14.5,1
18,003,11,1
18,005,10.5,1
18,007,6.9,1
18,009,13.3,1
18,011,10.8,1
18,013,9.6,1
18,015,12.2,1
18,017,11.4,1
18,019,8.5,1
18,021,14.4,1
18,023,12.1,1
18,025,3.8,1
18,027,14.1,1
18,029,10.8,1
18,031,14.4,1
18,033,14.1,1
18,035,13,1
18,037,12.4,1
18,039,12.7,1
18,041,12.4,1
18,043,10.3,1
18,045,15.2,1
18,047,5.3,1
18,049,17.7,1
18,051,14.9,1
18,053,15.4,1
18,055,15.9,1
18,057,9.8,1
18,059,8.2,1
18,061,7.5,1
18,063,8.4,1
18,065,13.3,1
18,067,14.6,1
18,069,16.6,1
18,071,12.1,1
18,073,12.4,1
18,075,13.8,1
18,077,11.8,1
18,079,5.5,1
18,081,8.6,1
18,083,17.2,1
18,085,15.8,1
18,087,7.6,1
18,089,9.1,1
18,091,10.2,1
18,093,14,1
18,095,12.8,1
18,097,11.4,1
18,099,14.9,1
18,101,15.3,1
18,103,13.9,1
18,105,9.5,1
18,107,11,1
18,109,9.1,1
18,111,5.8,1
18,113,10.8,1
18,115,8.3,1
18,117,11.1,1
18,119,9.8,1
18,121,14,1
18,123,9.8,1
18,125,18.9,1
18,127,9.1,1
18,129,10.3,1
18,131,20.2,1
18,133,12.7,1
18,135,13.1,1
18,137,15.5,1
18,139,16.2,1
18,141,10.5,1
18,143,9.4,1
18,145,11.5,1
18,147,14.6,1
18,149,9,1
18,151,15,1
18,153,11.1,1
18,155,5.1,1
18,157,9.8,1
18,159,15.6,1
18,161,5.7,1
18,163,14.8,1
18,165,11,1
18,167,14.4,1
18,169,16.8,1
18,171,10.6,1
18,173,10.2,1
18,175,7.8,1
18,177,12.8,1
18,179,16.3,1
18,181,10.5,1
18,183,13,1
19,001,11.9,1
19,003,13.7,1
19,005,14.3,1
19,007,10.6,1
19,009,17.7,1
19,011,12.8,1
19,013,11.4,1
19,015,13.1,1
19,017,15.9,1
19,019,9.7,1
19,021,17.3,1
19,023,23,1
19,025,24.3,1
19,027,15.9,1
19,029,16.1,1
19,031,11.4,1
19,033,17.8,1
19,035,14.7,1
19,037,19.3,1
19,039,7.2,1
19,041,14,1
19,043,22.9,1
19,045,14,1
19,047,8,1
19,049,9.1,1
19,051,5.5,1
19,053,7.8,1
19,055,14.3,1
19,057,16.6,1
19,059,20.2,1
19,061,10.5,1
19,063,19.3,1
19,065,15.5,1
19,067,14.9,1
19,069,23.1,1
19,071,6.1,1
19,073,21.8,1
19,075,21.8,1
19,077,18.9,1
19,079,14.8,1
19,081,27.1,1
19,083,24.5,1
19,085,15.7,1
19,087,10.3,1
19,089,16.8,1
19,091,13.5,1
19,093,20.1,1
19,095,15.1,1
19,097,10.8,1
19,099,16.6,1
19,101,10.8,1
19,103,8.4,1
19,105,9.1,1
19,107,13.1,1
19,109,24.8,1
19,111,16,1
19,113,10.5,1
19,115,14.9,1
19,117,12.6,1
19,119,26.5,1
19,121,10.7,1
19,123,15.5,1
19,125,18.5,1
19,127,12.5,1
19,129,9,1
19,131,17,1
19,133,10.5,1
19,135,13.2,1
19,137,14.5,1
19,139,10.5,1
19,141,27,1
19,143,21.1,1
19,145,23.7,1
19,147,19.1,1
19,149,16.3,1
19,151,22.7,1
19,153,12.1,1
19,155,10.9,1
19,157,15.6,1
19,159,17.3,1
19,161,19.5,1
19,163,10.4,1
19,165,16.1,1
19,167,25,1
19,169,11.9,1
19,171,13,1
19,173,13.6,1
19,175,11.6,1
19,177,6.9,1
19,179,10.2,1
19,181,10.5,1
19,183,18.2,1
19,185,12.3,1
19,187,11.8,1
19,189,13.1,1
19,191,19.1,1
19,193,13,1
19,195,19,1
19,197,27.3,1
20,001,11.2,1
20,003,9,1
20,005,11.1,1
20,007,29.3,1
20,009,19.8,1
20,011,14,1
20,013,23.3,1
20,015,11,1
20,017,NA,NA
20,019,17.7,1
20,021,12,1
20,023,38.1,1
20,025,30.6,1
20,027,28.4,1
20,029,31.3,1
20,031,12,1
20,033,42.2,1
20,035,15.6,1
20,037,11.8,1
20,039,18.1,1
20,041,20,1
20,043,12.1,1
20,045,10.4,1
20,047,10.7,1
20,049,20.6,1
20,051,10.4,1
20,053,20.6,1
20,055,8.7,1
20,057,7.3,1
20,059,11.1,1
20,061,6.6,1
20,063,29.3,1
20,065,29.1,1
20,067,17.8,1
20,069,30,1
20,071,31.2,1
20,073,18.6,1
20,075,20.3,1
20,077,24.4,1
20,079,17.1,1
20,081,19.2,1
20,083,17.1,1
20,085,9,1
20,087,9.2,1
20,089,20.4,1
20,091,8.4,1
20,093,15.4,1
20,095,22,1
20,097,37.4,1
20,099,10.5,1
20,101,38.2,1
20,103,6.8,1
20,105,17.2,1
20,107,7.2,1
20,109,18.5,1
20,111,11.6,1
20,113,22.2,1
20,115,23.8,1
20,117,17,1
20,119,32.6,1
20,121,12.7,1
20,123,20.8,1
20,125,21.2,1
20,127,26.1,1
20,129,26.2,1
20,131,12.7,1
20,133,15.8,1
20,135,30.2,1
20,137,16.8,1
20,139,9.5,1
20,141,34.4,1
20,143,12,1
20,145,11.2,1
20,147,28.9,1
20,149,10.4,1
20,151,15.3,1
20,153,23.4,1
20,155,14.5,1
20,157,29.9,1
20,159,19.1,1
20,161,11.6,1
20,163,14.4,1
20,165,17.1,1
20,167,22.5,1
20,169,15,1
20,171,17.6,1
20,173,9.6,1
20,175,12.4,1
20,177,15.5,1
20,179,28.5,1
20,181,22,1
20,183,39.4,1
20,185,20,1
20,187,19.6,1
20,189,20.8,1
20,191,13.8,1
20,193,18.9,1
20,195,25.1,1
20,197,11.5,1
20,199,26.4,1
20,201,30.8,1
20,203,38.4,1
20,205,22.3,1
20,207,9.8,1
20,209,10.3,1
21,001,4.2,1
21,003,5.3,1
21,005,10,1
21,007,18.2,1
21,009,8.1,1
21,011,3.9,1
21,013,9.7,1
21,015,5.4,1
21,017,9.4,1
21,019,15.3,1
21,021,13.4,1
21,023,11.8,1
21,025,3.7,1
21,027,12.1,1
21,029,6.3,1
21,031,13,1
21,033,16.6,1
21,035,13.3,1
21,037,7.6,1
21,039,10.5,1
21,041,8.3,1
21,043,6.4,1
21,045,6.9,1
21,047,11.9,1
21,049,8.4,1
21,051,5.9,1
21,053,6.5,1
21,055,14.5,1
21,057,5.1,1
21,059,12.6,1
21,061,2.5,1
21,063,NA,NA
21,065,10.6,1
21,067,11.4,1
21,069,5.2,1
21,071,5.1,1
21,073,21.1,1
21,075,10.7,1
21,077,NA,NA
21,079,5.2,1
21,081,7.1,1
21,083,9.3,1
21,085,6,1
21,087,15,1
21,089,8.1,1
21,091,12.1,1
21,093,8.9,1
21,095,8.4,1
21,097,9,1
21,099,10.8,1
21,101,12.8,1
21,103,10.8,1
21,105,11.3,1
21,107,18,1
21,109,NA,NA
21,111,9.8,1
21,113,11.4,1
21,115,4.4,1
21,117,7.2,1
21,119,5.7,1
21,121,7.7,1
21,123,12.6,1
21,125,5.3,1
21,127,5.5,1
21,129,4,1
21,131,3.9,1
21,133,4.2,1
21,135,3.1,1
21,137,11.1,1
21,139,13.4,1
21,141,14.7,1
21,143,8.3,1
21,145,16.3,1
21,147,4.2,1
21,149,18.6,1
21,151,8.8,1
21,153,2.6,1
21,155,4.6,1
21,157,17.6,1
21,159,3.6,1
21,161,15.3,1
21,163,6.3,1
21,165,NA,NA
21,167,10.5,1
21,169,6.8,1
21,171,7.1,1
21,173,8.1,1
21,175,2.2,1
21,177,20,1
21,179,9.3,1
21,181,10.3,1
21,183,12.6,1
21,185,6.4,1
21,187,12.4,1
21,189,NA,NA
21,191,9.6,1
21,193,4.7,1
21,195,7.3,1
21,197,5.3,1
21,199,8.8,1
21,201,NA,NA
21,203,6.2,1
21,205,5.3,1
21,207,9.3,1
21,209,7.4,1
21,211,9.5,1
21,213,10.1,1
21,215,5.5,1
21,217,14.5,1
21,219,16.2,1
21,221,18.3,1
21,223,7,1
21,225,12.2,1
21,227,8.7,1
21,229,13.2,1
21,231,6.6,1
21,233,17.1,1
21,235,8.4,1
21,237,NA,NA
21,239,8.9,1
22,001,7.9,1
22,003,13.7,1
22,005,4.9,1
22,007,5.8,1
22,009,9.2,1
22,011,12.8,1
22,013,14.1,1
22,015,6.8,1
22,017,11.9,1
22,019,10.5,1
22,021,10.4,1
22,023,11.8,1
22,025,18.4,1
22,027,6.4,1
22,029,9.3,1
22,031,11.5,1
22,033,11.8,1
22,035,8.3,1
22,037,5.7,1
22,039,8.1,1
22,041,14.8,1
22,043,10.8,1
22,045,6.5,1
22,047,7.4,1
22,049,15.4,1
22,051,6.9,1
22,053,9.3,1
22,055,7.6,1
22,057,4.5,1
22,059,12.8,1
22,061,12.5,1
22,063,6.7,1
22,065,4.1,1
22,067,14.4,1
22,069,13,1
22,071,10.4,1
22,073,12.1,1
22,075,6.4,1
22,077,5.4,1
22,079,12.6,1
22,081,10.7,1
22,083,11.1,1
22,085,12.7,1
22,087,5,1
22,089,7.4,1
22,091,8.2,1
22,093,7.1,1
22,095,5.2,1
22,097,7.7,1
22,099,4.7,1
22,101,6.6,1
22,103,7.1,1
22,105,8.3,1
22,107,NA,NA
22,109,4.3,1
22,111,11.9,1
22,113,5.5,1
22,115,7.1,1
22,117,8,1
22,119,13.9,1
22,121,5,1
22,123,20.8,1
22,125,5.8,1
22,127,11.1,1
23,001,7.6,1
23,003,11.2,1
23,005,12.9,1
23,007,10.9,1
23,009,11.5,1
23,011,14.2,1
23,013,15.1,1
23,015,10,1
23,017,9.2,1
23,019,8.9,1
23,021,9.9,1
23,023,8.6,1
23,025,9.5,1
23,027,8.3,1
23,029,5.5,1
23,031,7,1
24,001,17.1,1
24,003,8,1
24,005,8.2,1
24,009,5.9,1
24,011,8.4,1
24,013,9.6,1
24,015,7,1
24,017,5.7,1
24,019,9.8,1
24,021,9.5,1
24,023,13.2,1
24,025,6.9,1
24,027,8.7,1
24,029,15.1,1
24,031,9,1
24,033,7.7,1
24,035,7.9,1
24,037,6.3,1
24,039,11.4,1
24,041,11.9,1
24,043,12.2,1
24,045,8.6,1
24,047,16.3,1
24,510,10.2,1
25,001,11.4,1
25,003,9.6,1
25,005,7.3,1
25,007,16.6,1
25,009,8.3,1
25,011,10.9,1
25,013,8.3,1
25,015,8.6,1
25,017,9.3,1
25,019,14.5,1
25,021,9.5,1
25,023,8.6,1
25,025,10.1,1
25,027,8,1
26,001,13.6,1
26,003,11.4,1
26,005,9.8,1
26,007,12.8,1
26,009,12.6,1
26,011,6.7,1
26,013,6,1
26,015,9.3,1
26,017,9.4,1
26,019,13.7,1
26,021,11.7,1
26,023,9.3,1
26,025,10.5,1
26,027,8.9,1
26,029,15.3,1
26,031,12.4,1
26,033,8.1,1
26,035,10.3,1
26,037,7.2,1
26,039,8.3,1
26,041,14.1,1
26,043,16.3,1
26,045,11.7,1
26,047,15.5,1
26,049,9.1,1
26,051,7.4,1
26,053,12.5,1
26,055,10.6,1
26,057,12.1,1
26,059,11.2,1
26,061,11.5,1
26,063,16.3,1
26,065,14.2,1
26,067,7.8,1
26,069,15.4,1
26,071,11.2,1
26,073,9.2,1
26,075,9.2,1
26,077,10.2,1
26,079,7.2,1
26,081,12,1
26,083,NA,NA
26,085,8.2,1
26,087,9.2,1
26,089,14.6,1
26,091,11.8,1
26,093,7.1,1
26,095,18.7,1
26,097,17.4,1
26,099,5.4,1
26,101,8.7,1
26,103,14.6,1
26,105,11.9,1
26,107,12,1
26,109,10.3,1
26,111,9.5,1
26,113,8.6,1
26,115,7.7,1
26,117,10.2,1
26,119,10.8,1
26,121,9.7,1
26,123,12.5,1
26,125,7.9,1
26,127,9.7,1
26,129,8.2,1
26,131,12,1
26,133,15.5,1
26,135,9.6,1
26,137,9.5,1
26,139,11.5,1
26,141,15.9,1
26,143,11.8,1
26,145,11.2,1
26,147,8.5,1
26,149,12.7,1
26,151,9.4,1
26,153,8.7,1
26,155,9.9,1
26,157,11.7,1
26,159,9.5,1
26,161,10,1
26,163,6.9,1
26,165,11.5,1
27,001,16.3,1
27,003,6.8,1
27,005,15,1
27,007,11.8,1
27,009,10.8,1
27,011,25.2,1
27,013,11.7,1
27,015,17.4,1
27,017,11.2,1
27,019,9.5,1
27,021,18.3,1
27,023,27.4,1
27,025,9.2,1
27,027,11,1
27,029,15.2,1
27,031,17.8,1
27,033,20.7,1
27,035,14.7,1
27,037,8.2,1
27,039,14.8,1
27,041,20.1,1
27,043,24.4,1
27,045,31,1
27,047,17.5,1
27,049,19,1
27,051,29.2,1
27,053,10.8,1
27,055,14.3,1
27,057,10.1,1
27,059,9.3,1
27,061,12,1
27,063,20,1
27,065,13.6,1
27,067,19.6,1
27,069,40.8,1
27,071,15.9,1
27,073,17.9,1
27,075,13.6,1
27,077,36.6,1
27,079,13.5,1
27,081,25.2,1
27,083,16.6,1
27,085,16,1
27,087,7.4,1
27,089,32.3,1
27,091,18.6,1
27,093,14.5,1
27,095,19.3,1
27,097,16.1,1
27,099,12.4,1
27,101,35.6,1
27,103,9.6,1
27,105,15.4,1
27,107,17.1,1
27,109,10.6,1
27,111,18.3,1
27,113,13,1
27,115,14.1,1
27,117,23.5,1
27,119,21.4,1
27,121,26.3,1
27,123,11.7,1
27,125,22.9,1
27,127,21.4,1
27,129,27.3,1
27,131,10.4,1
27,133,23.8,1
27,135,14.4,1
27,137,14.6,1
27,139,7.2,1
27,141,8.2,1
27,143,16.1,1
27,145,13.2,1
27,147,15.2,1
27,149,23.7,1
27,151,17.4,1
27,153,18.6,1
27,155,21.3,1
27,157,19.5,1
27,159,18.3,1
27,161,15.8,1
27,163,7.3,1
27,165,19.7,1
27,167,14,1
27,169,12.5,1
27,171,9.5,1
27,173,25.4,1
28,001,14.2,1
28,003,10.2,1
28,005,13.4,1
28,007,13,1
28,009,7.9,1
28,011,14.9,1
28,013,13.1,1
28,015,8.1,1
28,017,10.6,1
28,019,8.6,1
28,021,5.6,1
28,023,16.8,1
28,025,15.1,1
28,027,8.7,1
28,029,11.1,1
28,031,11.5,1
28,033,7.5,1
28,035,13.1,1
28,037,23.4,1
