state,place,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
25,37000,5.2,1
25,37490,3.5,1
25,45000,5.3,1
25,45560,9,1
25,55745,7,1
25,62535,6.7,1
25,67000,5.9,1
25,82000,6.3,1
26,03000,11.5,1
26,21000,5.5,1
26,22000,6.9,1
26,27440,9.1,1
26,29000,9.2,2
26,34000,12.2,1
26,46000,14.8,1
26,49000,7.4,1
26,69035,6.4,1
26,74900,7.9,1
26,76460,4.3,1
26,80700,8.7,1
26,84000,5.6,1
26,86000,4.5,1
26,88940,10.2,1
27,06616,8.6,1
27,07966,5.8,1
27,17000,14.5,1
27,43000,11.7,1
27,51730,5.8,1
27,54880,9.3,1
27,58000,11.3,1
27,71428,5.2,1
28,36000,11.7,1
29,15670,8.7,1
29,35000,6.4,1
29,38000,9,1
29,41348,7.3,1
29,54074,4.5,2
29,65000,12.2,1
29,70000,11.7,1
30,06550,13,1
31,28000,10.4,1
31,37000,9.4,1
32,31900,2.8,1
32,40000,3.2,1
32,51800,1.2,1
32,60600,5.6,1
32,68400,4.1,1
33,45140,10,1
33,50260,6.9,1
34,13690,5.9,1
34,21000,4.4,1
34,36000,4.8,1
34,51000,6.7,1
34,57000,3.7,1
34,74000,9.6,2
35,02000,7.2,1
35,39380,5.7,1
35,63460,4,1
35,70500,9.6,1
36,01000,16.3,1
36,11000,7.6,1
36,50617,6.6,1
36,51000,5.3,1
36,63000,7.7,1
36,73000,9.3,1
36,84000,4.2,1
37,02140,15.6,2
37,10740,7.4,1
37,12000,8.2,1
37,14100,9.3,2
37,19000,8.6,1
37,22920,7.9,1
37,25580,10.9,2
37,28000,9.7,1
37,28080,7.6,2
37,31400,9.8,1
37,55000,10.5,1
37,74440,10.7,2
37,75000,9.3,1
38,25700,9.2,1
39,01000,8.9,1
39,15000,9.3,1
39,16000,9.7,1
39,18000,8.9,1
39,21000,10.2,2
39,61000,6.2,1
39,77000,8,1
40,09050,6.7,1
40,23200,7.4,2
40,41850,6.4,1
40,52500,9.2,1
40,55000,7.8,1
40,75000,9.8,1
41,05350,5.9,2
41,05800,9.2,1
41,23850,9.6,1
41,31250,6.4,1
41,34100,7.1,1
41,47000,8.5,1
41,59000,10.8,1
41,64900,9.1,1
42,02000,8.5,1
42,06088,9.1,1
42,24000,11.3,1
42,60000,6.6,1
42,61000,11.4,1
42,63624,7.3,1
42,69000,8.6,1
44,19180,7,1
44,54640,4.2,1
44,59000,11.1,1
44,74300,10.1,1
45,13330,12,1
45,16000,15.2,2
45,48535,8.3,1
45,50875,6.3,1
46,59020,10.6,1
47,14000,14.4,1
47,15160,5.4,1
47,27740,14.2,2
47,40000,12.6,1
47,48000,7.8,1
47,51560,6.3,2
47,52006,11.3,1
48,01000,10.1,1
48,01924,5.5,1
48,03000,7.4,1
48,04000,5.5,1
48,05000,8.6,1
48,06128,5.2,1
48,07000,10.5,1
48,10768,3.6,1
48,10912,7.8,1
48,13024,8.1,1
48,13552,5,1
48,15976,6.4,1
48,16432,5.6,2
48,17000,5,1
48,19000,6.5,1
48,19972,6.8,1
48,22660,3,2
48,24000,4.6,1
48,26232,7.5,1
48,27000,5.5,1
48,27684,5.8,1
48,29000,5.7,1
48,30464,4.1,1
48,35000,5.6,1
48,37000,5.1,1
48,39148,5.2,1
48,41464,3.3,1
48,41980,4.7,1
48,42508,5.2,1
48,43888,11.2,1
48,45000,6.8,1
48,45384,5.1,1
48,45744,5.4,1
48,47892,4.8,1
48,48072,9.8,1
48,48768,2.5,2
48,50820,7.9,1
48,53388,7.7,1
48,56000,3.6,1
48,56348,4.8,1
48,57200,4,1
48,58016,6.8,1
48,61796,10.3,1
48,63500,5.2,2
48,64472,10.2,1
48,65000,5.4,1
48,70808,7.5,1
48,72176,7.9,1
48,74144,13.3,1
48,76000,10.3,1
48,79000,9,1
49,43660,2,1
49,44320,2.1,1
49,55980,3.1,2
49,57300,1.1,1
49,62470,0.3,1
49,65330,3.4,1
49,67000,6.5,1
49,67440,3.7,1
49,70850,2.1,1
49,82950,1.2,1
49,83470,2.5,1
51,01000,20.2,1
51,16000,8.1,1
51,35000,7.7,1
51,47672,12.6,1
51,56000,8.4,1
51,57000,9.7,1
51,64000,8.2,1
51,67000,12.9,1
51,68000,14.6,1
51,76432,9.2,1
51,82000,6.3,1
53,03180,4,1
