year,state,place,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
2020,12,32275,2.6,2
2020,12,35000,7.3,1
2020,12,36950,4.4,2
2020,12,38250,8.1,2
2020,12,39425,4.6,2
2020,12,43975,7.8,1
2020,12,45000,5.8,1
2020,12,45025,9,1
2020,12,45060,4.8,1
2020,12,45975,3.1,2
2020,12,49675,1.3,1
2020,12,53000,7.7,2
2020,12,54000,3.3,1
2020,12,54200,4.3,1
2020,12,55775,3.2,2
2020,12,57425,4,2
2020,12,58050,5.9,1
2020,12,58715,3.1,1
2020,12,63000,6.7,1
2020,12,69700,3,2
2020,12,70600,13.2,2
2020,12,71000,7.4,1
2020,12,76600,8.3,2
2020,13,03440,8.2,1
2020,13,04000,10,1
2020,13,04204,7.8,1
2020,13,19000,8.1,1
2020,13,42425,8.2,2
2020,13,49008,10.8,1
2020,13,67284,8.4,1
2020,13,68516,8.9,1
2020,13,69000,10.4,2
2020,13,72122,4.5,2
2020,13,80508,5.6,2
2020,15,71550,8.6,1
2020,16,08830,7.4,1
2020,16,52120,6.1,1
2020,16,56260,4,1
2020,17,02154,7,1
2020,17,03012,6.4,1
2020,17,06613,11.4,1
2020,17,12385,10.7,1
2020,17,14000,6.2,1
2020,17,14351,2,1
2020,17,23074,5.4,1
2020,17,24582,7.2,1
2020,17,38570,6,1
2020,17,51622,6.3,1
2020,17,59000,12,1
2020,17,65000,8.8,1
2020,17,68003,7.5,1
2020,17,72000,20.1,1
2020,17,79293,5.1,1
2020,18,05860,7.7,2
2020,18,10342,10.5,1
2020,18,22000,12.8,1
2020,18,23278,6,1
2020,18,25000,9.9,1
2020,18,31000,7.5,1
2020,18,36003,10.4,1
2020,18,71000,10,1
2020,19,12000,9.4,1
2020,19,19000,8.3,1
2020,19,21000,11.9,1
2020,19,73335,8.9,1
2020,20,36000,8,1
2020,20,38900,8.8,1
2020,20,52575,5.2,1
2020,20,53775,7.6,1
2020,20,71000,13.8,1
2020,20,79000,8.7,1
2020,21,46027,9.5,1
2020,21,48006,5.8,1
2020,22,05000,11.7,1
2020,22,40735,7.8,1
2020,22,41155,9.5,1
2020,22,55000,8.6,1
2020,22,70000,10.4,1
2020,24,04000,8.9,1
2020,24,30325,8.8,2
2020,25,07000,9.4,1
2020,25,09000,6.1,1
2020,25,11000,10.8,1
2020,25,23000,4.3,1
2020,25,34550,4.7,1
2020,25,37000,5.4,1
2020,25,37490,3.7,1
2020,25,45000,4.9,1
2020,25,45560,9.3,1
2020,25,55745,7.6,1
2020,25,62535,6.2,1
2020,25,67000,6.1,1
2020,25,82000,6.3,1
2020,26,03000,11.6,1
2020,26,21000,5.3,1
2020,26,22000,6.9,1
2020,26,27440,9.2,1
2020,26,29000,9.4,2
2020,26,34000,12.4,1
2020,26,46000,15.6,1
2020,26,49000,7.3,1
2020,26,69035,6.2,1
2020,26,74900,8.3,1
2020,26,76460,3.9,1
2020,26,80700,8,1
2020,26,84000,5,1
2020,26,86000,4.6,1
2020,26,88940,10.2,1
2020,27,06616,9,1
2020,27,07966,5.5,1
2020,27,17000,14.1,1
2020,27,43000,11.7,1
2020,27,51730,5.6,1
2020,27,54880,9,1
2020,27,58000,11.2,1
2020,27,71428,5.7,1
2020,28,36000,12,1
2020,29,15670,9,1
2020,29,35000,6.7,1
2020,29,38000,9.1,1
2020,29,41348,7,1
2020,29,54074,4.3,2
2020,29,65000,11.7,1
2020,29,70000,11.8,1
2020,30,06550,13.2,1
2020,31,28000,10,1
2020,31,37000,9,1
2020,32,31900,2.7,1
2020,32,40000,3.1,1
2020,32,51800,1.1,1
2020,32,60600,6.3,1
2020,32,68400,3.4,1
2020,33,45140,10.1,1
2020,33,50260,7.4,1
2020,34,13690,5.9,1
2020,34,21000,4.2,1
2020,34,36000,4.7,1
2020,34,51000,6.7,1
2020,34,57000,3.7,1
2020,34,74000,9.5,2
2020,35,02000,7.3,1
2020,35,39380,5.7,1
2020,35,63460,4.4,1
2020,35,70500,9.5,1
2020,36,01000,17,1
2020,36,11000,7.7,1
2020,36,50617,6.9,1
2020,36,51000,5.2,1
2020,36,63000,7.5,1
2020,36,73000,9.1,1
2020,36,84000,4.3,1
2020,37,02140,13.6,2
2020,37,10740,7.1,1
2020,37,12000,8,1
