year,state,place,state_name,place_name,population,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,share_debt_coll,share_debt_coll_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality,share_desc_rep_other,share_desc_rep_other_quality,share_desc_rep_black_nonhispanic,share_desc_rep_black_nonhispanic_quality,share_desc_rep_hispanic,share_desc_rep_hispanic_quality,share_desc_rep_white_nonhispanic,share_desc_rep_white_nonhispanic_quality,share_election_turnout,share_election_turnout_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,share_poverty_exposure,share_poverty_exposure_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,share_economic_connectedness,share_economic_connectedness_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality,rate_crime_violent,rate_crime_property,rate_crime_violent_quality,rate_crime_property_quality,rate_juv_arrest,rate_juv_arrest_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_digital_access,share_digital_access_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2021,06,03526,California,Bakersfield city,409542,25748,24615,30898,Marginal,62208,56749,67975,Marginal,127196,118442,138731,Marginal,0.024:0.062,Marginal,0.386:0.488,Marginal,0.110:0.086,Marginal,0.480:0.364,Marginal,0.4016,Strong,3197,3197,3197,0.0254,Strong,Strong,tenure,All,0.7455,1.0011,1.1963,Marginal,Marginal,Marginal,0.292,0.486,0.765,Marginal,Marginal,Marginal,0.1071,Strong,0.0663,Strong,0.5195,Strong,0.3071,Strong,NA,NA,0.8728,Strong,0.3991,Strong,0.8261,Strong,0.5818,Strong,0.2598,Strong,7.5,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3177,0.2538,0.3815,Marginal,NA,NA,NA,NA,0.6814,Strong,0.6794,Strong,0.327,Strong,0.9015,0.8703,0.9327,Marginal,0.6731,Marginal,0.7291,0.7011,0.7571,Marginal
2021,06,04982,California,Bellflower city,77287,32958,28127,39858,Marginal,67357,61384,74258,Marginal,117927,112056,123591,Marginal,0.068:0.103,Marginal,0.613:0.669,Marginal,0.164:0.109,Marginal,0.154:0.119,Marginal,NA,NA,99,99,99,0.0097,Strong,Strong,tenure,All,0.9217,1.0002,1.2806,Marginal,Marginal,Marginal,0.3192,0.4814,0.9314,Marginal,Marginal,Marginal,0.1506,Strong,0.1253,Strong,0.5902,Strong,0.1339,Strong,NA,NA,0.8482,Strong,0.3876,Strong,0.8284,Strong,0.8459,Strong,0,Strong,11.9,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.398,0.3154,0.4807,Marginal,NA,NA,NA,NA,0.4368,Strong,0.4636,Strong,0.3952,Strong,0.9402,0.911,0.9695,Marginal,0.6747,Marginal,0.7593,0.722,0.7966,Marginal
2021,06,06000,California,Berkeley city,115555,36047,31516,43772,Strong,101139,89295,123591,Strong,249294,230704,267781,Strong,0.056:0.083,Strong,0.032:0.068,Strong,0.203:0.297,Strong,0.709:0.552,Strong,NA,NA,222,222,222,0.0175,Strong,Strong,tenure,All,0.7904,0.9456,1.3366,Strong,Strong,Strong,0.3519,0.5584,0.9189,Strong,Strong,Strong,0.278,Strong,0.0726,Strong,0.1196,Strong,0.5299,Strong,NA,NA,0.8511,Strong,0.8467,Strong,0.6737,Strong,0.4271,Strong,0.4599,Strong,17.2,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7414,0.6578,0.825,Strong,NA,NA,NA,NA,0,Strong,0,Strong,0,Strong,0.9952,0.9901,1,Strong,0.8346,Strong,0.799,0.7527,0.8453,Strong
2021,06,08786,California,Buena Park city,83023,37489,30898,43257,Weak,95989,89604,102993,Weak,176530,164788,185799,Weak,0.010:0.016,Weak,0.127:0.247,Weak,0.335:0.325,Weak,0.527:0.411,Weak,NA,NA,631,631,631,0.078,Strong,Strong,tenure,All,1.0508,1.1974,1.4322,Weak,Weak,Weak,0.3641,0.6612,1.0062,Weak,Weak,Weak,0.355,Strong,0.0253,Strong,0.3903,Strong,0.2294,Strong,NA,NA,0.9558,Strong,0.54990000000000006,Strong,0.6068,Strong,0.7473,Strong,0,Strong,11.1,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562,0.4869,0.637,Weak,NA,NA,NA,NA,0.2892,Strong,0.2789,Strong,0.0813,Strong,0.9451,0.9027,0.9875,Weak,0.7832,Weak,0.7879,0.7568,0.8191,Weak
2021,06,08954,California,Burbank city,104888,28848,22452,32752,Strong,82394,78326,99903,Strong,164891,154489,194656,Strong,0.010:0.021,Strong,0.180:0.183,Strong,0.188:0.162,Strong,0.623:0.634,Strong,NA,NA,98,98,98,0.0068,Strong,Strong,tenure,All,0.5106,0.6925,1.0825,Strong,Strong,Strong,0.2426,0.4554,0.8138,Strong,Strong,Strong,0.1753,Strong,0.0288,Strong,0.2382,Strong,0.5576,Strong,NA,NA,0.9408,Marginal,0.7149,Strong,0.7993,Strong,0.416,Strong,0,Strong,13,Strong,NA,NA,NA,NA,NA,NA,NA,NA,56.8,384.7,Strong,Strong,33.4,Strong,0.5009,0.3211,0.6807,Strong,NA,NA,NA,NA,0,Strong,0.0017,Strong,7e-4,Strong,0.9447,0.8886,1,Strong,0.7662,Strong,0.8009,0.7606,0.8411,Strong
2021,06,11194,California,Carlsbad city,114968,46347,35944,56646,Strong,122973,107833,136053,Strong,208560,192185,236986,Strong,0.005:0.014,Strong,0.066:0.126,Strong,0.103:0.119,Strong,0.825:0.741,Strong,NA,NA,93,93,93,0.0084,Strong,Strong,tenure,All,0.9056,0.9364,1.1924,Strong,Strong,Strong,0.2618,0.4266,0.7577,Strong,Strong,Strong,0.1494,Strong,0.012,Strong,0.1594,Strong,0.6791,Strong,NA,NA,0.9735,Marginal,0.7821,Strong,0.8284,Strong,0.3033,Strong,0,Marginal,13.9,Strong,NA,NA,NA,NA,NA,NA,NA,NA,607.7,2936.7,Strong,Strong,2248.3,Strong,0.5826,0.453,0.7122,Strong,NA,NA,NA,NA,0,Strong,0,Strong,0,Strong,0.9228,0.8236,1,Strong,0.869,Strong,0.8247,0.7726,0.8769,Strong
2021,06,11530,California,Carson city,93271,41197,35018,49437,Strong,90634,79304,100624,Strong,158918,147589,177148,Strong,0.237:0.230,Strong,0.260:0.283,Strong,0.388:0.357,Strong,0.116:0.130,Strong,NA,NA,NA,NA,NA,NA,NA,NA,tenure,All,1.6642,1.4101,1.392,Strong,Strong,Strong,0.4629,0.6788,0.9149,Strong,Strong,Strong,0.3294,Strong,0.2221,Strong,0.3788,Strong,0.0697,Strong,NA,NA,0.4815,Strong,0.499,Strong,0.5794,Strong,0.9211,Strong,0,Strong,7.3,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2877,0.154,0.4215,Strong,NA,NA,NA,NA,0.07,Strong,0.1507,Strong,0.0609,Strong,0.9032,0.8222,0.9842,Strong,0.7421,Strong,0.7421,0.6958,0.7884,Strong
2021,06,13014,California,Chico city,100615,26160,23482,30939,Strong,70344,61796,77245,Strong,139658,128741,159536,Strong,0.008:0.009,Strong,0.082:0.131,Strong,0.041:0.090,Strong,0.870:0.769,Strong,NA,NA,784,782,786,0.053,Strong,Strong,tenure,All,0.7115,0.8816,1.2362,Strong,Strong,Strong,0.2101,0.3655,0.7553,Strong,Strong,Strong,0.1003,Strong,0.0203,Strong,0.1941,Strong,0.6854,Strong,NA,NA,0.9539,Strong,0.8002,Strong,0.8869,Strong,0.291,Strong,0.4196,Strong,13.6,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3672,0.2587,0.4757,Strong,NA,NA,NA,NA,0.1528,Strong,0.1568,Strong,0.0844,Strong,0.9738,0.9555,0.9921,Strong,0.7603,Strong,0.787,0.7386,0.8353,Strong
2021,06,13210,California,Chino city,91644,47377,40991,53556,Marginal,106186,98873,113292,Marginal,187447,173028,216285,Marginal,0.042:0.053,Marginal,0.316:0.391,Marginal,0.363:0.308,Marginal,0.279:0.248,Marginal,NA,NA,1805,1805,1805,0.0696,Strong,Strong,tenure,All,NA,0.9999,0.9846,NA,Marginal,Marginal,NA,0.3127,0.508,NA,Marginal,Marginal,0.1955,Strong,0.0645,Strong,0.5353,Strong,0.2047,Strong,NA,NA,0.8915,Strong,0.4137,Strong,0.7401,Strong,0.7749,Strong,4e-4,Strong,9.5,Strong,NA,NA,NA,NA,NA,NA,NA,NA,711.1,2888.8,Strong,Strong,768.8,Strong,0.4217,0.3364,0.507,Marginal,NA,NA,NA,NA,0.0706,Strong,0.2136,Strong,0.0856,Strong,0.9176,0.8671,0.9681,Marginal,0.7929,Marginal,0.7661,0.7249,0.8072,Marginal
2021,06,13214,California,Chino Hills city,78384,51084,41197,56646,Marginal,108142,99388,114528,Marginal,190537,175088,216285,Marginal,0.041:0.052,Marginal,0.307:0.376,Marginal,0.371:0.321,Marginal,0.281:0.252,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,tenure,All,NA,1.0347,0.9758,NA,Marginal,Marginal,NA,0.3267,0.4893,NA,Marginal,Marginal,0.4201,Strong,0.0431,Strong,0.2728,Strong,0.2641,Strong,NA,NA,0.9434,Strong,0.6961,Strong,0.5413,Strong,0.7136,Strong,0,Marginal,6.1,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4267,0.3343,0.5192,Marginal,NA,NA,NA,NA,0,Strong,0,Strong,0,Strong,0.9187,0.8621,0.9754,Marginal,0.7984,Marginal,0.7669,0.7233,0.8105,Marginal
2021,06,13392,California,Chula Vista city,275745,33236,28220,38313,Strong,85896,77245,95577,Strong,153459,141718,168908,Strong,0.047:0.057,Strong,0.415:0.556,Strong,0.233:0.193,Strong,0.304:0.195,Strong,0.2532,Strong,1633,1631,1635,0.0248,Strong,Strong,tenure,All,0.7707,0.9584,1.278,Strong,Strong,Strong,0.3403,0.545,0.8822,Strong,Strong,Strong,0.1865,Strong,0.048,Strong,0.6024,Strong,0.1632,Strong,NA,NA,0.9232,Strong,0.3551,Strong,0.7388,Strong,0.7936,Strong,0,Strong,7,Strong,NA,NA,NA,NA,NA,NA,NA,NA,723.4,2076.3,Strong,Strong,1313.2,Strong,0.4275,0.3405,0.5145,Strong,NA,NA,NA,NA,0.0533,Strong,0.1476,Strong,0.0415,Strong,0.9464,0.9197,0.9731,Strong,0.7576,Strong,0.7717,0.7394,0.804,Strong
