year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,017,Alabama,Chambers County,TRUE,White neighborhoods,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,12,Strong,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,TRUE,All,all,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,TRUE,White neighborhoods,race-ethnicity,NA,NA,24,Strong,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,TRUE,All,all,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,TRUE,White neighborhoods,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,TRUE,All,all,NA,NA,20,Strong,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,TRUE,White neighborhoods,race-ethnicity,NA,NA,20,Strong,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,19,Strong,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,TRUE,All,all,NA,NA,15,Strong,NA,NA,NA,NA
