year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,04,04720,Arizona,Avondale city,TRUE,All,all,0.852,0.766,0.9381,Marginal,0.77,0.7468,0.7931,NA
2014,04,04720,Arizona,Avondale city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4307,0.3293,0.5321,NA
2014,04,04720,Arizona,Avondale city,TRUE,Without Disability,disability,0.8404,0.7473,0.9335,Marginal,0.7964,0.7751,0.8176,NA
2014,04,07940,Arizona,Buckeye town,TRUE,All,all,0.8267,0.7221,0.9313,Marginal,0.7449,0.7258,0.764,NA
2014,04,07940,Arizona,Buckeye town,TRUE,With Disability,disability,NA,NA,NA,NA,0.4155,0.3373,0.49370000000000003,NA
2014,04,07940,Arizona,Buckeye town,TRUE,Without Disability,disability,NA,NA,NA,NA,0.7709,0.7528,0.7889,NA
2014,04,12000,Arizona,Chandler city,TRUE,All,all,0.8794,0.838,0.9207,Weak,0.8118,0.7991,0.8245,Weak
2014,04,12000,Arizona,Chandler city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4579,0.3829,0.5329,Weak
2014,04,12000,Arizona,Chandler city,TRUE,Without Disability,disability,0.8992,0.8584,0.9399,Weak,0.8328,0.821,0.8446,Weak
2014,04,23620,Arizona,Flagstaff city,TRUE,All,all,0.9351,0.9056,0.9645,Weak,0.7521,0.7287,0.7755,Weak
2014,04,23620,Arizona,Flagstaff city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4549,0.3806,0.5292,Weak
2014,04,23620,Arizona,Flagstaff city,TRUE,Without Disability,disability,0.9372,0.9073,0.967,Weak,0.7817,0.7593,0.8041,Weak
2014,04,27400,Arizona,Gilbert town,TRUE,All,all,0.9364,0.8988,0.974,Strong,0.8103,0.7969,0.8236,Strong
2014,04,27400,Arizona,Gilbert town,TRUE,With Disability,disability,NA,NA,NA,NA,0.4869,0.4208,0.553,Strong
2014,04,27400,Arizona,Gilbert town,TRUE,Without Disability,disability,0.9555,0.9246,0.9864,Strong,0.8279,0.8144,0.8415,Strong
2014,04,27820,Arizona,Glendale city,TRUE,All,all,0.8178,0.7578,0.8777,Strong,0.7252,0.7103,0.7401,Strong
2014,04,27820,Arizona,Glendale city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3275,0.2694,0.3857,Strong
2014,04,27820,Arizona,Glendale city,TRUE,Without Disability,disability,0.8299,0.7659,0.8939,Strong,0.7631,0.7481,0.7781,Strong
2014,04,28380,Arizona,Goodyear city,TRUE,All,all,0.8937,0.8107,0.9767,Marginal,0.7786,0.7525,0.8048,NA
2014,04,28380,Arizona,Goodyear city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4168,0.2976,0.536,NA
2014,04,28380,Arizona,Goodyear city,TRUE,Without Disability,disability,0.8933,0.81,0.9766,Marginal,0.8033,0.7786,0.8281,NA
2014,04,46000,Arizona,Mesa city,TRUE,All,all,0.8659,0.8313,0.9004,Marginal,0.7479,0.7348,0.7609,Marginal
2014,04,46000,Arizona,Mesa city,TRUE,With Disability,disability,0.7061,0.5598,0.8524,Marginal,0.3814,0.3335,0.4293,Marginal
2014,04,46000,Arizona,Mesa city,TRUE,Without Disability,disability,0.8772,0.8412,0.9131,Marginal,0.781,0.7684,0.7937,Marginal
2014,04,54050,Arizona,Peoria city,TRUE,All,all,0.9028,0.8381,0.9674,Marginal,0.7891,0.7755,0.8026,NA
2014,04,54050,Arizona,Peoria city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4178,0.3432,0.4925,NA
2014,04,54050,Arizona,Peoria city,TRUE,Without Disability,disability,0.9038,0.838,0.9697,Marginal,0.8131,0.7991,0.8271,NA
2014,04,55000,Arizona,Phoenix city,TRUE,All,all,0.8238,0.8069,0.8407,Marginal,0.7244,0.7179,0.7309,Marginal
2014,04,55000,Arizona,Phoenix city,TRUE,With Disability,disability,0.7004,0.5945,0.8063,Marginal,0.3795,0.3555,0.4035,Marginal
2014,04,55000,Arizona,Phoenix city,TRUE,Without Disability,disability,0.8309,0.8139,0.8478,Marginal,0.7506,0.7448,0.7564,Marginal
2014,04,65000,Arizona,Scottsdale city,TRUE,All,all,0.797,0.7466,0.8474,Weak,0.7981,0.7843,0.8119,Weak
2014,04,65000,Arizona,Scottsdale city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4464,0.3657,0.5271,Weak
2014,04,65000,Arizona,Scottsdale city,TRUE,Without Disability,disability,0.7932,0.7401,0.8464,Weak,0.8159,0.8012,0.8307,Weak
2014,04,71510,Arizona,Surprise city,TRUE,All,all,0.8998,0.7945,1,Strong,0.7712,0.7528,0.7896,NA
2014,04,71510,Arizona,Surprise city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3145,0.2503,0.3786,NA
2014,04,71510,Arizona,Surprise city,TRUE,Without Disability,disability,0.8983,0.7911,1,Strong,0.8001,0.782,0.8182,NA
2014,04,73000,Arizona,Tempe city,TRUE,All,all,0.9409,0.9114,0.9705,Weak,0.7902,0.7689,0.8115,NA
2014,04,73000,Arizona,Tempe city,TRUE,With Disability,disability,0.6673,0.4496,0.885,Weak,0.4746,0.3964,0.5527,NA
2014,04,73000,Arizona,Tempe city,TRUE,Without Disability,disability,0.9556,0.9274,0.9837,Weak,0.8101,0.7879,0.8323,NA
2014,04,77000,Arizona,Tucson city,TRUE,All,all,0.8894,0.8671,0.9117,Marginal,0.7303,0.7187,0.742,Marginal
2014,04,77000,Arizona,Tucson city,TRUE,With Disability,disability,0.6709,0.5411,0.8007,Marginal,0.3644,0.3314,0.3973,Marginal
2014,04,77000,Arizona,Tucson city,TRUE,Without Disability,disability,0.9036,0.8822,0.925,Marginal,0.7793,0.7685,0.7901,Marginal
2014,04,85540,Arizona,Yuma city,TRUE,All,all,0.7979,0.7404,0.8554,Marginal,0.7117,0.6917,0.7316,Marginal
2014,04,85540,Arizona,Yuma city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4215,0.3425,0.5004,Marginal
2014,04,85540,Arizona,Yuma city,TRUE,Without Disability,disability,0.798,0.7393,0.8567,Marginal,0.7331,0.7132,0.7529,Marginal
2014,05,23290,Arkansas,Fayetteville city,TRUE,All,all,0.9168,0.8798,0.9538,Marginal,0.779,0.7596,0.7985,Marginal
2014,05,23290,Arkansas,Fayetteville city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3825,0.3082,0.4569,Marginal
2014,05,23290,Arkansas,Fayetteville city,TRUE,Without Disability,disability,0.9223,0.8874,0.9571,Marginal,0.8189,0.801,0.8369,Marginal
2014,05,24550,Arkansas,Fort Smith city,TRUE,All,all,0.8775,0.814,0.9411,Marginal,0.7286,0.7096,0.7475,Marginal
2014,05,24550,Arkansas,Fort Smith city,TRUE,With Disability,disability,NA,NA,NA,NA,0.2794,0.23,0.3287,Marginal
2014,05,24550,Arkansas,Fort Smith city,TRUE,Without Disability,disability,0.877,0.8061,0.948,Marginal,0.8041,0.7856,0.8227,Marginal
2014,05,35710,Arkansas,Jonesboro city,TRUE,All,all,0.8703,0.8134,0.9272,Marginal,0.7239,0.7033,0.7445,NA
2014,05,35710,Arkansas,Jonesboro city,TRUE,With Disability,disability,NA,NA,NA,NA,0.2633,0.219,0.3075,NA
2014,05,35710,Arkansas,Jonesboro city,TRUE,Without Disability,disability,0.9065,0.8643,0.9487,Marginal,0.804,0.7828,0.8252,NA
2014,05,41000,Arkansas,Little Rock city,TRUE,All,all,0.8708,0.801,0.9406,Strong,0.7518,0.7301,0.7736,Strong
2014,05,41000,Arkansas,Little Rock city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3768,0.2982,0.4553,Strong
2014,05,41000,Arkansas,Little Rock city,TRUE,Without Disability,disability,0.8767,0.8052,0.9483,Strong,0.7869,0.765,0.8089,Strong
2014,05,66080,Arkansas,Springdale city,TRUE,All,all,0.9164,0.8819,0.9509,Weak,0.7784,0.7604,0.7963,Weak
2014,05,66080,Arkansas,Springdale city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3807,0.3123,0.449,Weak
2014,05,66080,Arkansas,Springdale city,TRUE,Without Disability,disability,0.9218,0.8894,0.9541,Weak,0.817,0.8003,0.8338,Weak
2014,06,00562,California,Alameda city,TRUE,All,all,0.8911,0.8015,0.9807,Marginal,0.7923,0.7766,0.8081,Marginal
2014,06,00562,California,Alameda city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4218,0.3318,0.5118,Marginal
2014,06,00562,California,Alameda city,TRUE,Without Disability,disability,0.9001,0.8099,0.9904,Marginal,0.8141,0.799,0.8293,Marginal
2014,06,00884,California,Alhambra city,TRUE,All,all,0.9621,0.9221,1,Marginal,0.7893,0.7681,0.8106,NA
2014,06,00884,California,Alhambra city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3926,0.2679,0.5173,NA
2014,06,00884,California,Alhambra city,TRUE,Without Disability,disability,0.9698,0.9337,1,Marginal,0.8033,0.7823,0.8243,NA
2014,06,02000,California,Anaheim city,TRUE,All,all,0.8803,0.8322,0.9284,Weak,0.7522,0.7402,0.7642,Weak
2014,06,02000,California,Anaheim city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3354,0.2874,0.3833,Weak
2014,06,02000,California,Anaheim city,TRUE,Without Disability,disability,0.881,0.8323,0.9297,Weak,0.7725,0.7602,0.7847,Weak
2014,06,02252,California,Antioch city,TRUE,All,all,0.9022,0.8227,0.9816,Strong,0.7071,0.6862,0.728,NA
2014,06,02252,California,Antioch city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3254,0.2515,0.3994,NA
2014,06,02252,California,Antioch city,TRUE,Without Disability,disability,0.9033,0.8184,0.9883,Strong,0.7566,0.7356,0.7776,NA
2014,06,02364,California,Apple Valley town,TRUE,All,all,0.9001,0.847,0.9531,Marginal,0.6125,0.5902,0.6348,NA
2014,06,02364,California,Apple Valley town,TRUE,With Disability,disability,NA,NA,NA,NA,0.2603,0.2043,0.3163,NA
2014,06,02364,California,Apple Valley town,TRUE,Without Disability,disability,0.9013,0.8451,0.9575,Marginal,0.6545,0.6305,0.6786,NA
2014,06,03526,California,Bakersfield city,TRUE,All,all,0.8987,0.8614,0.9359,Marginal,0.7124,0.6994,0.7254,NA
2014,06,03526,California,Bakersfield city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3567,0.304,0.4094,NA
2014,06,03526,California,Bakersfield city,TRUE,Without Disability,disability,0.9094,0.8736,0.9452,Marginal,0.743,0.731,0.7551,NA
2014,06,04982,California,Bellflower city,TRUE,All,all,0.9141,0.8667,0.9615,Marginal,0.7162,0.6984,0.734,Marginal
2014,06,04982,California,Bellflower city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3928,0.3151,0.4705,Marginal
2014,06,04982,California,Bellflower city,TRUE,Without Disability,disability,0.9112,0.8613,0.961,Marginal,0.7418,0.7223,0.7614,Marginal
2014,06,06000,California,Berkeley city,TRUE,All,all,0.9928,0.9833,1,Strong,0.7652,0.7454,0.7851,Strong
2014,06,06000,California,Berkeley city,TRUE,With Disability,disability,NA,NA,NA,NA,0.337,0.2354,0.4387,Strong
2014,06,06000,California,Berkeley city,TRUE,Without Disability,disability,0.997,0.99,1,Strong,0.7847,0.7646,0.8048,Strong
2014,06,08786,California,Buena Park city,TRUE,All,all,0.9092,0.8465,0.972,Weak,0.773,0.7574,0.7887,NA
2014,06,08786,California,Buena Park city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4301,0.3551,0.505,NA
2014,06,08786,California,Buena Park city,TRUE,Without Disability,disability,0.9072,0.843,0.9713,Weak,0.7914,0.7759,0.8068,NA
2014,06,08954,California,Burbank city,TRUE,All,all,0.9366,0.8709,1,Strong,0.8009,0.7813,0.8206,Strong
2014,06,08954,California,Burbank city,TRUE,With Disability,disability,NA,NA,NA,NA,0.471,0.3327,0.6093,Strong
2014,06,08954,California,Burbank city,TRUE,Without Disability,disability,0.9753,0.9464,1,Strong,0.8173,0.7977,0.8369,Strong
2014,06,11194,California,Carlsbad city,TRUE,All,all,0.9714,0.9264,1,Strong,0.7237,0.6978,0.7496,NA
2014,06,11194,California,Carlsbad city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4832,0.3631,0.6032,NA
2014,06,11194,California,Carlsbad city,TRUE,Without Disability,disability,0.9717,0.9218,1,Strong,0.7334,0.7065,0.7603,NA
2014,06,11530,California,Carson city,TRUE,All,all,0.873,0.8021,0.9438,Strong,0.7584,0.73740000000000006,0.7793,Strong
2014,06,11530,California,Carson city,TRUE,With Disability,disability,NA,NA,NA,NA,0.2677,0.1775,0.358,Strong
2014,06,11530,California,Carson city,TRUE,Without Disability,disability,0.8692,0.7961,0.9424,Strong,0.7867,0.7662,0.8073,Strong
2014,06,13014,California,Chico city,TRUE,All,all,0.9457,0.9031,0.9883,Strong,0.7047,0.6804,0.7291,NA
2014,06,13014,California,Chico city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3527,0.2716,0.4338,NA
2014,06,13014,California,Chico city,TRUE,Without Disability,disability,0.9655,0.9248,1,Strong,0.7601,0.7369,0.7833,NA
2014,06,13210,California,Chino city,TRUE,All,all,0.8827,0.7974,0.9679,Marginal,0.7823,0.7646,0.8,Marginal
2014,06,13210,California,Chino city,TRUE,With Disability,disability,NA,NA,NA,NA,0.5412,0.4411,0.6414,Marginal
2014,06,13210,California,Chino city,TRUE,Without Disability,disability,0.8821,0.7913,0.9729,Marginal,0.7936,0.7767,0.8104,Marginal
2014,06,13214,California,Chino Hills city,TRUE,All,all,0.8874,0.794,0.9808,Marginal,0.7844,0.7656,0.8031,Marginal
2014,06,13214,California,Chino Hills city,TRUE,With Disability,disability,NA,NA,NA,NA,0.5476,0.4418,0.6534,Marginal
2014,06,13214,California,Chino Hills city,TRUE,Without Disability,disability,0.8861,0.7869,0.9854,Marginal,0.7954,0.7775,0.8133,Marginal
2014,06,13392,California,Chula Vista city,TRUE,All,all,0.8993,0.8588,0.9397,Strong,0.7488,0.7318,0.7658,Strong
2014,06,13392,California,Chula Vista city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3655,0.2996,0.4314,Strong
2014,06,13392,California,Chula Vista city,TRUE,Without Disability,disability,0.9041,0.8612,0.9469,Strong,0.7698,0.7535,0.7862,Strong
2014,06,13588,California,Citrus Heights city,TRUE,All,all,0.8316,0.7679,0.8953,Strong,0.7177,0.6906,0.7447,Strong
2014,06,13588,California,Citrus Heights city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3728,0.2981,0.4475,Strong
2014,06,13588,California,Citrus Heights city,TRUE,Without Disability,disability,0.8356,0.7673,0.9038,Strong,0.7644,0.73740000000000006,0.7915,Strong
2014,06,14218,California,Clovis city,TRUE,All,all,0.9221,0.8435,1,Strong,0.7517,0.7332,0.7703,NA
2014,06,14218,California,Clovis city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3693,0.2722,0.4663,NA
2014,06,14218,California,Clovis city,TRUE,Without Disability,disability,0.9235,0.8411,1,Strong,0.783,0.7657,0.8004,NA
2014,06,15044,California,Compton city,TRUE,All,all,0.8116,0.7457,0.8776,Marginal,0.6602,0.6402,0.6801,Marginal
2014,06,15044,California,Compton city,TRUE,With Disability,disability,NA,NA,NA,NA,0.2935,0.231,0.356,Marginal
2014,06,15044,California,Compton city,TRUE,Without Disability,disability,0.8101,0.7432,0.8769,Marginal,0.6975,0.6772,0.7178,Marginal
2014,06,16000,California,Concord city,TRUE,All,all,0.8518,0.7936,0.9101,Weak,0.7598,0.7427,0.777,Weak
2014,06,16000,California,Concord city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4288,0.3682,0.4894,Weak
2014,06,16000,California,Concord city,TRUE,Without Disability,disability,0.8512,0.7918,0.9107,Weak,0.7841,0.7664,0.8018,Weak
2014,06,16350,California,Corona city,TRUE,All,all,0.9547,0.9211,0.9882,Marginal,0.7444,0.7286,0.7603,NA
2014,06,16350,California,Corona city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3936,0.3156,0.4716,NA
2014,06,16350,California,Corona city,TRUE,Without Disability,disability,0.9559,0.9221,0.9897,Marginal,0.7634,0.7467,0.78,NA
2014,06,16532,California,Costa Mesa city,TRUE,All,all,0.946,0.8909,1,Marginal,0.7983,0.7794,0.8173,NA
2014,06,16532,California,Costa Mesa city,TRUE,With Disability,disability,NA,NA,NA,NA,0.491,0.4107,0.5713,NA
2014,06,16532,California,Costa Mesa city,TRUE,Without Disability,disability,0.9477,0.8916,1,Marginal,0.8113,0.7922,0.8304,NA
2014,06,17918,California,Daly City city,TRUE,All,all,0.9563,0.9298,0.9828,Marginal,0.8395,0.8241,0.8548,Marginal
2014,06,17918,California,Daly City city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4812,0.363,0.5994,Marginal
2014,06,17918,California,Daly City city,TRUE,Without Disability,disability,0.9561,0.9292,0.9829,Marginal,0.8546,0.8398,0.8693,Marginal
2014,06,19766,California,Downey city,TRUE,All,all,0.9046,0.815,0.9943,Strong,0.7697,0.7481,0.7914,Strong
2014,06,19766,California,Downey city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4384,0.3122,0.5647,Strong
2014,06,19766,California,Downey city,TRUE,Without Disability,disability,0.8996,0.8069,0.9923,Strong,0.7869,0.7672,0.8066,Strong
2014,06,21712,California,El Cajon city,TRUE,All,all,0.8891,0.8202,0.958,Marginal,0.7379,0.7223,0.7535,Marginal
2014,06,21712,California,El Cajon city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3713,0.3161,0.4265,Marginal
2014,06,21712,California,El Cajon city,TRUE,Without Disability,disability,0.8961,0.8239,0.9683,Marginal,0.7691,0.7521,0.7861,Marginal
2014,06,22020,California,Elk Grove city,TRUE,All,all,0.8543,0.7788,0.9297,Strong,0.7591,0.742,0.7761,NA
2014,06,22020,California,Elk Grove city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3781,0.2942,0.4621,NA
2014,06,22020,California,Elk Grove city,TRUE,Without Disability,disability,0.9187,0.8506,0.9869,Strong,0.7933,0.7767,0.8099,NA
2014,06,22230,California,El Monte city,TRUE,All,all,0.8352,0.761,0.9094,Strong,0.6893,0.6671,0.7116,Strong
2014,06,22230,California,El Monte city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3716,0.2776,0.4656,Strong
2014,06,22230,California,El Monte city,TRUE,Without Disability,disability,0.8404,0.7652,0.9157,Strong,0.7082,0.6852,0.7313,Strong
2014,06,22804,California,Escondido city,TRUE,All,all,0.8044,0.7203,0.8884,Strong,0.6945,0.6733,0.7158,NA
2014,06,22804,California,Escondido city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3656,0.2772,0.454,NA
2014,06,22804,California,Escondido city,TRUE,Without Disability,disability,0.79,0.704,0.876,Strong,0.7158,0.6929,0.7387,NA
2014,06,23182,California,Fairfield city,TRUE,All,all,0.8071,0.7188,0.8953,Strong,0.7571,0.7366,0.7776,Strong
2014,06,23182,California,Fairfield city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3399,0.2676,0.4121,Strong
2014,06,23182,California,Fairfield city,TRUE,Without Disability,disability,0.8265,0.7395,0.9135,Strong,0.7894,0.7694,0.8095,Strong
2014,06,24638,California,Folsom city,TRUE,All,all,0.8835,0.7997,0.9673,Marginal,0.787,0.7667,0.8072,Marginal
2014,06,24638,California,Folsom city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4081,0.298,0.5181,Marginal
2014,06,24638,California,Folsom city,TRUE,Without Disability,disability,0.8742,0.7848,0.9636,Marginal,0.8121,0.79,0.8342,Marginal
2014,06,24680,California,Fontana city,TRUE,All,all,0.876,0.8236,0.9285,Strong,0.6873,0.6691,0.7054,Strong
2014,06,24680,California,Fontana city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3766,0.3031,0.45,Strong
2014,06,24680,California,Fontana city,TRUE,Without Disability,disability,0.8746,0.8216,0.9277,Strong,0.7087,0.6891,0.7282,Strong
2014,06,26000,California,Fremont city,TRUE,All,all,0.9256,0.8641,0.9871,Marginal,0.7584,0.745,0.7718,Marginal
2014,06,26000,California,Fremont city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4089,0.3292,0.4887,Marginal
2014,06,26000,California,Fremont city,TRUE,Without Disability,disability,0.931,0.8691,0.993,Marginal,0.7723,0.759,0.7855,Marginal
2014,06,27000,California,Fresno city,TRUE,All,all,0.8273,0.7885,0.8662,Weak,0.6662,0.6541,0.6782,NA
2014,06,27000,California,Fresno city,TRUE,With Disability,disability,0.5759,0.3605,0.7914,Weak,0.318,0.287,0.3491,NA
2014,06,27000,California,Fresno city,TRUE,Without Disability,disability,0.8423,0.8049,0.8797,Weak,0.7107,0.6983,0.7231,NA
2014,06,28000,California,Fullerton city,TRUE,All,all,0.954,0.9162,0.9919,Weak,0.7503,0.7302,0.7704,Weak
2014,06,28000,California,Fullerton city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4295,0.3346,0.5243,Weak
2014,06,28000,California,Fullerton city,TRUE,Without Disability,disability,0.9512,0.9102,0.9923,Weak,0.7673,0.7475,0.787,Weak
2014,06,29000,California,Garden Grove city,TRUE,All,all,0.8783,0.816,0.9406,Weak,0.7513,0.7369,0.7658,Weak
2014,06,29000,California,Garden Grove city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4057,0.3364,0.475,Weak
2014,06,29000,California,Garden Grove city,TRUE,Without Disability,disability,0.8793,0.8168,0.9419,Weak,0.7671,0.7526,0.7816,Weak
2014,06,30000,California,Glendale city,TRUE,All,all,0.9323,0.8808,0.9837,Marginal,0.7465,0.7318,0.7611,Marginal
2014,06,30000,California,Glendale city,TRUE,With Disability,disability,NA,NA,NA,NA,0.315,0.2308,0.3992,Marginal
2014,06,30000,California,Glendale city,TRUE,Without Disability,disability,0.9361,0.8907,0.9814,Marginal,0.7661,0.7526,0.7795,Marginal
2014,06,32548,California,Hawthorne city,TRUE,All,all,0.876,0.793,0.959,Marginal,0.736,0.7151,0.757,Marginal
2014,06,32548,California,Hawthorne city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3061,0.2136,0.3985,Marginal
2014,06,32548,California,Hawthorne city,TRUE,Without Disability,disability,0.869,0.7811,0.957,Marginal,0.7562,0.7354,0.777,Marginal
2014,06,33000,California,Hayward city,TRUE,All,all,0.862,0.7956,0.9285,Strong,0.7529,0.7328,0.7729,Strong
2014,06,33000,California,Hayward city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3594,0.2819,0.4369,Strong
2014,06,33000,California,Hayward city,TRUE,Without Disability,disability,0.8674,0.7988,0.9361,Strong,0.7761,0.7558,0.7964,Strong
2014,06,33182,California,Hemet city,TRUE,All,all,0.9051,0.8365,0.9738,Marginal,0.643,0.6234,0.6626,NA
2014,06,33182,California,Hemet city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3003,0.2434,0.3573,NA
2014,06,33182,California,Hemet city,TRUE,Without Disability,disability,0.8991,0.824,0.9742,Marginal,0.6927,0.6724,0.7129,NA
2014,06,33434,California,Hesperia city,TRUE,All,all,0.9002,0.8469,0.9534,Marginal,0.6171,0.5933,0.6409,NA
2014,06,33434,California,Hesperia city,TRUE,With Disability,disability,NA,NA,NA,NA,0.2752,0.2124,0.338,NA
2014,06,33434,California,Hesperia city,TRUE,Without Disability,disability,0.9015,0.8451,0.9579,Marginal,0.6585,0.6336,0.6833,NA
2014,06,36000,California,Huntington Beach city,TRUE,All,all,0.8795,0.7937,0.9653,Weak,0.7941,0.7761,0.812,Weak
2014,06,36000,California,Huntington Beach city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4099,0.3294,0.4904,Weak
2014,06,36000,California,Huntington Beach city,TRUE,Without Disability,disability,0.8897,0.7998,0.9796,Weak,0.8144,0.7975,0.8312,Weak
2014,06,36448,California,Indio city,TRUE,All,all,0.7932,0.6987,0.8877,Marginal,0.6966,0.6739,0.7194,NA
2014,06,36448,California,Indio city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4093,0.3285,0.49,NA
2014,06,36448,California,Indio city,TRUE,Without Disability,disability,0.8126,0.7147,0.9105,Marginal,0.7205,0.6984,0.7425,NA
