year,state,place,state_name,place_name,subgroup,subgroup_type,share_affordable_available_30_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami,share_affordable_available_50_ami_quality,share_affordable_available_80_ami,share_affordable_available_80_ami_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2021,04,77000,Arizona,Tucson city,Renter,tenure,0.3331214280539008,Marginal,0.5942349077737682,Marginal,0.9903242639644204,Marginal,1.296589498502753,0.8054538835698455,0.39635760794127495,Marginal,Marginal,Marginal
2021,04,77000,Arizona,Tucson city,Owner,tenure,0.620965889849247,Marginal,0.7236592350640019,Marginal,0.9070216801881844,Marginal,1.8161924301034993,1.9716385854829184,2.3268223228956293,Marginal,Marginal,Marginal
2021,04,85540,Arizona,Yuma city,All,all,0.5301901628570713,Marginal,0.5319396423262388,Marginal,0.8910784386372524,Marginal,NA,NA,NA,NA,NA,NA
2021,04,85540,Arizona,Yuma city,Renter,tenure,NA,NA,NA,NA,0.8827419006187085,Marginal,1.3551775274654794,NA,NA,Marginal,NA,NA
2021,04,85540,Arizona,Yuma city,Owner,tenure,0.6345507976490344,Marginal,0.6276584814548443,Marginal,0.8972512393392373,Marginal,2.2440037554360055,2.5464913181958284,2.5398824517212426,Marginal,Marginal,Marginal
2021,05,23290,Arkansas,Fayetteville city,All,all,0.47128585539181567,Marginal,0.8343299838186832,Marginal,1.0908385081695535,Marginal,NA,NA,NA,NA,NA,NA
2021,05,23290,Arkansas,Fayetteville city,Renter,tenure,NA,NA,0.8781096249375914,Marginal,1.1976495740517956,Marginal,1.55632411525438,1.153058920272762,NA,Marginal,Marginal,NA
2021,05,23290,Arkansas,Fayetteville city,Owner,tenure,NA,NA,NA,NA,0.9419251360904708,Marginal,2.3773252245078007,NA,NA,Marginal,NA,NA
2021,05,24550,Arkansas,Fort Smith city,All,all,0.7889272485113229,Marginal,0.8051630003062975,Marginal,1.1051813596838436,Marginal,NA,NA,NA,NA,NA,NA
2021,05,24550,Arkansas,Fort Smith city,Renter,tenure,0.785493049575114,Marginal,0.8123080170989142,Marginal,1.2486598283162442,Marginal,1.7530552840911968,1.026174903221741,0.9840148068101754,Marginal,Marginal,Marginal
2021,05,24550,Arkansas,Fort Smith city,Owner,tenure,0.7924843883626514,Marginal,0.7978678938845949,Marginal,0.9876779208991098,Marginal,2.073627967972267,2.5532507318217865,2.4777334718217845,Marginal,Marginal,Marginal
2021,05,35710,Arkansas,Jonesboro city,All,all,0.7613262721826244,Marginal,0.8299196106039979,Marginal,1.155286207178543,Marginal,NA,NA,NA,NA,NA,NA
2021,05,35710,Arkansas,Jonesboro city,Renter,tenure,0.6335948975809813,Marginal,0.7052934978764738,Marginal,1.2356342999180356,Marginal,1.683942458436132,0.8434405223933424,0.689956856861166,Marginal,Marginal,Marginal
2021,05,35710,Arkansas,Jonesboro city,Owner,tenure,0.9197728918303512,Marginal,0.973468011476234,Marginal,1.086729693098515,Marginal,2.1004761189096604,2.5512387234168417,2.63891576699043,Marginal,Marginal,Marginal
2021,05,41000,Arkansas,Little Rock city,All,all,0.3893283163141258,Strong,0.6577770310733387,Strong,1.026608367755744,Strong,NA,NA,NA,NA,NA,NA
2021,05,41000,Arkansas,Little Rock city,Renter,tenure,0.2938013860661798,Strong,0.62481212841323,Strong,1.0617931738209845,Strong,1.3911421614482724,0.8626847486383558,0.3348941594388101,Strong,Strong,Strong
2021,05,41000,Arkansas,Little Rock city,Owner,tenure,0.5479906264471395,Strong,0.7124225109559253,Strong,0.9790402636176764,Strong,1.7771974349184283,1.905648514202664,1.7362045253532012,Strong,Strong,Strong
2021,05,66080,Arkansas,Springdale city,All,all,0.5942043248928898,Weak,0.924062279396784,Weak,1.2941702611953634,Weak,NA,NA,NA,NA,NA,NA
2021,05,66080,Arkansas,Springdale city,Renter,tenure,NA,NA,0.9367204711783316,Weak,1.4711952832000297,Weak,1.8596285706028224,1.216597408104775,NA,Weak,Weak,NA
2021,05,66080,Arkansas,Springdale city,Owner,tenure,NA,NA,NA,NA,1.059869697962741,Weak,2.478242516514979,NA,NA,Weak,NA,NA
2021,06,00562,California,Alameda city,All,all,0.3794904823243166,Marginal,0.6422054228431052,Marginal,0.9073238687775746,Marginal,NA,NA,NA,NA,NA,NA
2021,06,00562,California,Alameda city,Renter,tenure,0.3211884093409952,Marginal,0.635973016745064,Marginal,0.9913281383397384,Marginal,1.2664979649644974,0.8973033069309134,0.4084851448832376,Marginal,Marginal,Marginal
2021,06,00562,California,Alameda city,Owner,tenure,NA,NA,0.6511942728326149,Marginal,0.8022732651650959,Marginal,1.289594172988096,1.7601761679654624,NA,Marginal,Marginal,NA
2021,06,00884,California,Alhambra city,All,all,0.31778754083586797,Marginal,0.535361424140889,Marginal,0.898261084184867,Marginal,NA,NA,NA,NA,NA,NA
2021,06,00884,California,Alhambra city,Renter,tenure,0.1979703120266586,Marginal,0.4897919642777289,Marginal,0.9318280029624127,Marginal,1.2437940535515022,0.6608420133454423,0.194486519236595,Marginal,Marginal,Marginal
2021,06,00884,California,Alhambra city,Owner,tenure,NA,NA,0.6533672172808132,Marginal,0.795271543601165,Marginal,1.7365084803837587,1.8195679796696316,NA,Marginal,Marginal,NA
2021,06,02000,California,Anaheim city,All,all,0.3021288848669351,Weak,0.5633494987493503,Weak,0.9747195724949383,Weak,NA,NA,NA,NA,NA,NA
2021,06,02000,California,Anaheim city,Renter,tenure,0.2163900755375253,Weak,0.5207655696028216,Weak,1.0663057422944096,Weak,1.2760601753652916,0.6524676580547704,0.23993415154342088,Weak,Weak,Weak
2021,06,02000,California,Anaheim city,Owner,tenure,0.5179413362260725,Weak,0.6619187982697803,Weak,0.8133435433162076,Weak,1.447927498356111,1.7036294062058257,2.0366464049536193,Weak,Weak,Weak
2021,06,02252,California,Antioch city,All,all,0.25478832251799494,Strong,0.4199498332305567,Strong,0.8681872030389691,Strong,NA,NA,NA,NA,NA,NA
2021,06,02252,California,Antioch city,Renter,tenure,0.2205196800432569,Strong,0.3904924897428592,Strong,0.8833011999351121,Strong,0.9695818347769044,0.35503550172188286,0.1612453857753216,Strong,Strong,Strong
2021,06,02252,California,Antioch city,Owner,tenure,NA,NA,0.4685901512002872,Strong,0.8525685960589752,Strong,1.5147311007555295,1.2774402466219734,NA,Strong,Strong,NA
2021,06,02364,California,Apple Valley town,All,all,0.5386947884455868,Marginal,0.7661720486397128,Marginal,0.9866784303561827,Marginal,NA,NA,NA,NA,NA,NA
2021,06,02364,California,Apple Valley town,Renter,tenure,NA,NA,NA,NA,1.0676067726676697,Marginal,1.310232515213411,NA,NA,Marginal,NA,NA
2021,06,02364,California,Apple Valley town,Owner,tenure,NA,NA,0.7856904482317988,Marginal,0.9067946983017382,Marginal,1.6987419550389151,1.6427079515092224,NA,Marginal,Marginal,NA
2021,06,03526,California,Bakersfield city,All,all,0.3066185051202924,Marginal,0.48568127146568063,Marginal,0.7606935877895337,Marginal,NA,NA,NA,NA,NA,NA
2021,06,03526,California,Bakersfield city,Renter,tenure,0.17753406435918692,Marginal,0.4237850213780211,Marginal,0.7895481541746193,Marginal,0.995675818641024,0.600579857369426,0.2566722220225727,Marginal,Marginal,Marginal
2021,06,03526,California,Bakersfield city,Owner,tenure,0.49348319713530986,Marginal,0.5782796628442499,Marginal,0.7186951737894424,Marginal,1.5086946915368185,1.5671584998798065,1.453120784968638,Marginal,Marginal,Marginal
2021,06,04982,California,Bellflower city,All,all,0.33758032835871205,Marginal,0.49185331311625785,Marginal,0.938601129423534,Marginal,NA,NA,NA,NA,NA,NA
2021,06,04982,California,Bellflower city,Renter,tenure,0.2555839103428002,Marginal,0.4479581812110257,Marginal,0.9897301825253207,Marginal,1.2002169259941151,0.7930013922899016,0.36211044342150595,Marginal,Marginal,Marginal
2021,06,04982,California,Bellflower city,Owner,tenure,NA,NA,0.5916332018327525,Marginal,0.8170099817282911,Marginal,1.5123567726509115,1.4712870040191497,NA,Marginal,Marginal,NA
2021,06,06000,California,Berkeley city,All,all,0.4016860219481336,Strong,0.5903347635570337,Strong,0.948171263971032,Strong,NA,NA,NA,NA,NA,NA
2021,06,06000,California,Berkeley city,Renter,tenure,0.424189298824666,Strong,0.6212776627702725,Strong,1.0574276015979427,Strong,1.3186713696378274,0.7319436617687703,0.5231845394380981,Strong,Strong,Strong
2021,06,06000,California,Berkeley city,Owner,tenure,0.31956773446545733,Strong,0.5006497566936982,Strong,0.6807493611475538,Strong,1.4883280380903927,1.564717764157932,1.76572751833269,Strong,Strong,Strong
2021,06,08786,California,Buena Park city,All,all,0.4167595307613271,Weak,0.6837554803894884,Weak,1.0308001582085564,Weak,NA,NA,NA,NA,NA,NA
2021,06,08786,California,Buena Park city,Renter,tenure,0.2565442744311644,Weak,0.5379967154935544,Weak,1.1736434110294598,Weak,1.4125022081471656,0.603755107688325,0.17411031860681364,Weak,Weak,Weak
2021,06,08786,California,Buena Park city,Owner,tenure,0.6282719051535347,Weak,0.8379287400545684,Weak,0.878800997293129,Weak,1.517404584731333,1.79328433062728,2.2082865409322636,Weak,Weak,Weak
2021,06,08954,California,Burbank city,All,all,0.2535899556424329,Strong,0.45839032664003937,Strong,0.8262329439821544,Strong,NA,NA,NA,NA,NA,NA
2021,06,08954,California,Burbank city,Renter,tenure,0.22096921670222497,Strong,0.408432976714915,Strong,0.9072291521211612,Strong,1.0995672694225511,0.4436752674638137,0.2180229604795286,Strong,Strong,Strong
2021,06,08954,California,Burbank city,Owner,tenure,NA,NA,0.5725067385444744,Strong,0.6701154432585493,Strong,1.099760400784143,1.226954177897574,NA,Strong,Strong,NA
2021,06,11194,California,Carlsbad city,All,all,0.263436405161783,Strong,0.4276386239025347,Strong,0.7523233216627049,Strong,NA,NA,NA,NA,NA,NA
2021,06,11194,California,Carlsbad city,Renter,tenure,NA,NA,0.1620649527411064,Strong,0.7317975149016394,Strong,0.96041776111406,0.3022633590804329,NA,Strong,Strong,NA
2021,06,11194,California,Carlsbad city,Owner,tenure,0.4196928384652979,Strong,0.599022884879304,Strong,0.7683750317324535,Strong,1.3642994346798152,1.345603458070259,1.5364609889604408,Strong,Strong,Strong
2021,06,11530,California,Carson city,All,all,0.5011912163435492,Strong,0.654483430238554,Strong,0.9272285380576702,Strong,NA,NA,NA,NA,NA,NA
2021,06,11530,California,Carson city,Renter,tenure,NA,NA,0.7630365332309443,Strong,1.211801684900043,Strong,1.5418719342476566,0.8674525114750317,NA,Strong,Strong,NA
2021,06,11530,California,Carson city,Owner,tenure,0.45170841279446883,Strong,0.5746863866645818,Strong,0.7798604794734906,Strong,1.3584794015496124,1.731482970442846,2.905911481491976,Strong,Strong,Strong
2021,06,13014,California,Chico city,All,all,0.2397348372415158,Strong,0.39449818621523575,Strong,0.7813956728498875,Strong,NA,NA,NA,NA,NA,NA
2021,06,13014,California,Chico city,Renter,tenure,0.18758135902108827,Strong,0.3223545900490539,Strong,0.7763885767054538,Strong,0.939001406582116,0.33867253979377315,0.19226763863577195,Strong,Strong,Strong
2021,06,13014,California,Chico city,Owner,tenure,NA,NA,0.6167129201356768,Strong,0.7946152446789158,Strong,2.1830089139530653,2.5538082022818376,NA,Strong,Strong,NA
2021,06,13210,California,Chino city,All,all,NA,NA,0.3151989085241073,Marginal,0.48838561067731606,Marginal,NA,NA,NA,NA,NA,NA
2021,06,13210,California,Chino city,Renter,tenure,NA,NA,NA,NA,0.4270631451169109,Marginal,0.5385672205191877,NA,NA,Marginal,NA,NA
2021,06,13210,California,Chino city,Owner,tenure,NA,NA,NA,NA,0.5396275129860103,Marginal,1.3638326141313672,NA,NA,Marginal,NA,NA
2021,06,13214,California,Chino Hills city,All,all,NA,NA,0.32671846981470415,Marginal,0.48926125407274423,Marginal,NA,NA,NA,NA,NA,NA
2021,06,13214,California,Chino Hills city,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,06,13214,California,Chino Hills city,Owner,tenure,NA,NA,NA,NA,0.5437634152158359,Marginal,1.3823038397328882,NA,NA,Marginal,NA,NA
2021,06,13392,California,Chula Vista city,All,all,0.3459731222865412,Strong,0.5541129176476295,Strong,0.88818766968462,Strong,NA,NA,NA,NA,NA,NA
2021,06,13392,California,Chula Vista city,Renter,tenure,0.19878408092663827,Strong,0.461617283068334,Strong,0.9761140247065389,Strong,1.1627479916913834,0.5880215600959241,0.1975938657811825,Strong,Strong,Strong
2021,06,13392,California,Chula Vista city,Owner,tenure,0.5538688087008073,Strong,0.6963171914673358,Strong,0.7827459210253224,Strong,1.436289672717279,1.5279195600865405,1.573633921482215,Strong,Strong,Strong
2021,06,13588,California,Citrus Heights city,All,all,0.26941511192513606,Strong,0.4582557244730283,Strong,0.8237860857678169,Strong,NA,NA,NA,NA,NA,NA
2021,06,13588,California,Citrus Heights city,Renter,tenure,0.15599917677607555,Strong,0.36595827678079534,Strong,0.8466807448193664,Strong,1.0464277061064913,0.5000455397149314,0.16589559061867998,Strong,Strong,Strong
2021,06,13588,California,Citrus Heights city,Owner,tenure,0.47852893556097503,Strong,0.5867945938425231,Strong,0.7946480913453838,Strong,1.5679674191647863,1.7670254921562474,1.8849653045041312,Strong,Strong,Strong
2021,06,14218,California,Clovis city,All,all,0.19437745195312775,Strong,0.3736468448017569,Strong,0.4999631268901943,Strong,NA,NA,NA,NA,NA,NA
2021,06,14218,California,Clovis city,Renter,tenure,NA,NA,0.249109001851376,Strong,0.4546284920291289,Strong,0.6788300499031527,0.276584678888938,NA,Strong,Strong,NA
2021,06,14218,California,Clovis city,Owner,tenure,NA,NA,NA,NA,0.5867404982948736,Strong,2.8706905727440524,NA,NA,Strong,NA,NA
2021,06,15044,California,Compton city,All,all,0.2853453798476304,Marginal,0.6354172375098779,Marginal,0.8901173861436046,Marginal,NA,NA,NA,NA,NA,NA
2021,06,15044,California,Compton city,Renter,tenure,0.28810120596061517,Marginal,0.6841066701757007,Marginal,1.0531487655641896,Marginal,1.2880903086362658,0.8742807056280967,0.4513165701031233,Marginal,Marginal,Marginal
2021,06,15044,California,Compton city,Owner,tenure,0.2823923304093555,Marginal,0.5775364308888454,Marginal,0.7378306395960519,Marginal,1.2938498335281026,1.241398519512126,0.9745178945286754,Marginal,Marginal,Marginal
2021,06,16000,California,Concord city,All,all,0.3350541356920328,Weak,0.4949490255894444,Weak,0.8597366334937517,Weak,NA,NA,NA,NA,NA,NA
2021,06,16000,California,Concord city,Renter,tenure,0.3076194055306549,Weak,0.4373348709829938,Weak,0.8985948898687478,Weak,1.1590442088003885,0.49703843710399787,0.34298075514008497,Weak,Weak,Weak
2021,06,16000,California,Concord city,Owner,tenure,0.37502365459918185,Weak,0.5667962056241544,Weak,0.8215161804553046,Weak,1.4369767305658403,1.5124247414342968,1.7752230246449046,Weak,Weak,Weak
2021,06,16350,California,Corona city,All,all,0.3130751280499004,Marginal,0.35483142628255787,Marginal,0.5224750408770249,Marginal,NA,NA,NA,NA,NA,NA
2021,06,16350,California,Corona city,Renter,tenure,NA,NA,0.26271854834494257,Marginal,0.5403695002962233,Marginal,0.7050174355539333,0.30458270734376397,NA,Marginal,Marginal,NA
