year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality,share_poverty_exposure,share_poverty_exposure_quality,rate_juv_arrest,rate_juv_arrest_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_digital_access,share_digital_access_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,50000,Alabama,Mobile city,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3281,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,50000,Alabama,Mobile city,TRUE,"Black, Non-Hispanic",race-ethnicity,13040,12031,14649,Weak,33420,31131,35379,Weak,69950,67415,74629,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5103,0.3838,0.6369,Weak,0.73,0.72,0.75,Strong,0.7501,0.6443,0.8558,Weak,NA,NA,0.6128,0.5867,0.639,Weak
2014,01,50000,Alabama,Mobile city,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,50000,Alabama,Mobile city,TRUE,"White, Non-Hispanic",race-ethnicity,29882,25399,33277,Weak,66573,62191,69930,Weak,133517,124381,144246,Weak,NA,NA,NA,NA,NA,NA,0.0273,Strong,NA,NA,NA,NA,NA,NA,0.69,0.68,0.71,Strong,0.8124,0.6782,0.9467,Weak,NA,NA,0.7842,0.762,0.8063,Weak
2014,01,50000,Alabama,Mobile city,TRUE,Other Races and Ethnicities,race-ethnicity,36094,13405,53472,Weak,69514,54195,94244,Weak,145711,89031,200520,Weak,NA,NA,NA,NA,NA,NA,0.0765,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664,0.5508,0.7772,Weak
2014,01,50000,Alabama,Mobile city,TRUE,Hispanic,race-ethnicity,22140,9780,34550,Weak,47267,34550,78604,Weak,126997,78604,180468,Weak,NA,NA,NA,NA,NA,NA,0.1079,Marginal,NA,NA,NA,NA,NA,NA,0.85,0.78,0.93,Strong,NA,NA,NA,NA,NA,NA,0.808,0.7057,0.9104,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,All,all,23795,22250,25748,Weak,62438,60022,65435,Weak,128310,122999,132611,Weak,NA,NA,NA,NA,NA,NA,0.3414,Strong,NA,NA,0.5188,0.4441,0.5936,Weak,0.79,0.77,0.81,Strong,0.832,0.7733,0.8908,Weak,NA,NA,0.7332,0.7125,0.7539,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3538,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,51000,Alabama,Montgomery city,TRUE,"Black, Non-Hispanic",race-ethnicity,15891,14126,17354,Weak,42650,38900,47539,Weak,93408,86929,99832,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5511,0.4245,0.6778,Weak,0.82,0.8,0.84,Strong,0.7873,0.6958,0.8788,Weak,NA,NA,0.7063,0.6812,0.7313,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,51000,Alabama,Montgomery city,TRUE,"White, Non-Hispanic",race-ethnicity,37487,34709,40657,Weak,81635,78071,85350,Weak,152208,146518,160601,Weak,NA,NA,NA,NA,NA,NA,0.1824,Strong,NA,NA,0.5364,0.4262,0.6467,Weak,0.97,0.93,1.01,Strong,0.9213,0.867,0.9756,Weak,NA,NA,0.789,0.7631,0.8149,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,Other Races and Ethnicities,race-ethnicity,30542,20730,43561,Weak,85672,61122,110561,Weak,141701,129035,196246,Weak,NA,NA,NA,NA,NA,NA,0.3872,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6314,0.5379,0.7248,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,Hispanic,race-ethnicity,24876,20939,33956,Weak,49462,36673,74737,Weak,116089,99575,152395,Weak,NA,NA,NA,NA,NA,NA,0.6111,Marginal,NA,NA,NA,NA,NA,NA,0.96,0.88,1.04,Strong,NA,NA,NA,NA,NA,NA,0.7338,0.659,0.8087,Weak
2014,01,77256,Alabama,Tuscaloosa city,TRUE,All,all,19345,17781,20730,Marginal,50256,46669,53415,Marginal,106687,99575,112291,Marginal,NA,NA,NA,NA,NA,NA,0.2331,Strong,NA,NA,0.3625,0.2512,0.4737,Marginal,0.98,0.95,1.01,Strong,0.9371,0.9033,0.9709,Marginal,NA,NA,0.7249,0.6988,0.751,Marginal
2014,01,77256,Alabama,Tuscaloosa city,TRUE,Black,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1885,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,77256,Alabama,Tuscaloosa city,TRUE,"Black, Non-Hispanic",race-ethnicity,14794,13069,16584,Marginal,35043,31648,39703,Marginal,73247,67719,78779,Marginal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3223,0.1456,0.4991,Marginal,1.11,1.08,1.14,Strong,0.8148,0.6956,0.934,Marginal,NA,NA,0.6761,0.6309,0.7213,Marginal
2014,01,77256,Alabama,Tuscaloosa city,TRUE,White,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
