year,state,place,state_name,place_name,share_in_preschool,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,share_hs_degree,share_hs_degree_quality,share_digital_access,share_digital_access_quality,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality,pctl_income_quality,share_debt_col,share_debt_col_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,homeless_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_quality,share_election_turnout,share_election_turnout_quality,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_poverty_exposure,share_poverty_exposure_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,index_air_quality,index_air_quality_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_violent_crime,rate_property_crime,rate_crime_quality,share_employed,share_employed_quality
2017,01,07000,Alabama,Birmingham city,NA,NA,0.79033613,0.68369627,0.89697599,1,0.92705798,1,0.75203586,1,0.12389924,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6%:62.1%,2,0.7%:3.2%,3,1.7%:2.7%,2,70.0%:32.0%,2,493,493,493,0.0082274992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,07000,Alabama,Birmingham city,NA,NA,NA,NA,NA,NA,0.92304868,1,0.74661511,1,0.1241453,1,NA,NA,NA,NA,13299.11180735252,3,39419.263023543106,3,82020.91620972575,3,3,NA,NA,24.8%:59.4%,2,1.5%:2.7%,2,2.8%:2.6%,2,70.9%:35.3%,2,452,452,452,0.0076239309,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7592626215047878,3
2019,01,07000,Alabama,Birmingham city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5%:60.5%,2,1.6%:2.7%,2,2.1%:2.8%,2,66.9%:34.1%,2,594,594,594,0.0100319199,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,01,07000,Alabama,Birmingham city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5948288403897747,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5633154689473685,2,0.8,1,NA,NA,NA,NA,NA,NA,NA
2021,01,07000,Alabama,Birmingham city,0.4347559813333863,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975607289145556,2,0.7878447738758072,1,14813.00236530629,3,41679.54734861119,3,95574.46970249004,3,3,0.50048,1,34.0%:59.2%,2,1.7%:3.6%,2,4.0%:3.6%,2,60.3%:33.7%,2,NA,NA,NA,NA,NA,1.456594568683142,1.338897286016262,1.1012745220109037,2,NA,NA,0.03922189147225491,0.6855029322468033,0.04368207126398132,0.23159310501696057,0.34103599964754,1,0.2009281555705351,1,0.8901237154239698,1,0.8810776161095992,1,0.451659160837067,1,NA,NA,NA,NA,NA,NA,487.323780240181,2,2819.5061166767214,7257.928933809349,2,0.7380827126267123,3
2014,01,35896,Alabama,Hoover city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8%:15.9%,3,2.2%:4.1%,3,2.8%:4.2%,3,91.2%:75.7%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,01,35896,Alabama,Hoover city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1%:16.4%,3,1.9%:2.7%,3,2.4%:3.6%,3,90.5%:77.3%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,35896,Alabama,Hoover city,NA,NA,1.1647701,1.0239687,1.3055716,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8%:16.6%,3,1.6%:3.5%,3,3.3%:4.2%,3,91.3%:75.6%,3,62,62,62,0.0044482709,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,01,35896,Alabama,Hoover city,NA,NA,1.0886145,0.94067645,1.2365525,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7%:15.5%,3,1.1%:2.5%,3,2.3%:4.1%,3,93.9%:77.9%,3,62,62,62,0.0044200472,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,35896,Alabama,Hoover city,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,NA,NA,NA,NA,33416.95179676452,3,76042.31374263311,3,151338.91037245834,3,3,NA,NA,3.9%:15.3%,3,1.4%:2.9%,3,3.2%:5.3%,3,91.5%:76.4%,3,51,51,51,0.0036553899,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8232484751466875,3
2019,01,35896,Alabama,Hoover city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7%:18.9%,3,3.1%:4.3%,3,3.4%:4.0%,3,87.7%:72.8%,3,40,40,40,0.0028447479,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,01,35896,Alabama,Hoover city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6816693707862793,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8676533081774581,3,3.4,2,NA,NA,NA,NA,NA,NA,NA
2021,01,35896,Alabama,Hoover city,0.3785435765798055,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9559646127064596,3,0.9588053102187784,1,35026.72041556153,3,74132.49543407542,3,160687.03867705291,3,3,NA,NA,5.8%:16.1%,3,1.3%:3.2%,3,7.1%:6.9%,3,85.8%:73.8%,3,NA,NA,NA,NA,NA,1.7730295258942317,1.6088597720158322,1.507408531758627,3,NA,NA,0.07935778310404833,0.19131890862527495,0.05130730757023563,0.6780160007004411,0,1,0.6713174081264263,1,0.8919065087731985,1,0.9061861199800324,1,0.2550056158736042,1,NA,NA,NA,NA,NA,NA,328.45625559868614,1,523.1419159251841,1679.9641023957274,1,0.8432298799146423,3
2014,01,37000,Alabama,Huntsville city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5%:24.1%,2,2.2%:4.2%,2,5.3%:5.0%,2,86.0%:66.7%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,01,37000,Alabama,Huntsville city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5%:23.3%,2,3.4%:4.5%,2,8.0%:5.2%,2,80.1%:67.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,37000,Alabama,Huntsville city,NA,NA,0.76110047,0.64677352,0.87542742,1,0.54585028,1,0.49733689,1,0.12038447,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9%:24.8%,2,3.0%:5.5%,2,6.9%:5.0%,2,81.3%:64.7%,2,392,392,392,0.009036839,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,01,37000,Alabama,Huntsville city,NA,NA,0.81618953,0.69588363,0.93649542,1,0.5446133,1,0.50032276,1,0.11967982,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2%:24.8%,2,1.5%:4.2%,2,4.7%:5.3%,2,83.5%:65.7%,2,338,338,338,0.0078092511,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,37000,Alabama,Huntsville city,NA,NA,NA,NA,NA,NA,0.54209018,1,0.50092763,1,0.11735256,1,NA,NA,NA,NA,22905.4647090379,3,56485.28885868975,3,119600.85723919606,3,3,NA,NA,11.0%:24.9%,2,1.9%:4.9%,2,5.1%:5.2%,2,82.1%:65.0%,2,435,435,435,0.0100960871,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78906451628556,3
2019,01,37000,Alabama,Huntsville city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7%:26.3%,2,2.1%:4.6%,2,4.8%:4.8%,2,83.4%:64.3%,2,402,402,402,0.0092712175,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,01,37000,Alabama,Huntsville city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6127718293581627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7642391799424054,3,1.2,2,NA,NA,NA,NA,NA,NA,NA
2021,01,37000,Alabama,Huntsville city,0.5632113017108173,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9425729727619584,2,0.8651662930012709,1,30440.29419267958,3,74082.99942392056,3,146809.39448706427,3,3,NA,NA,12.1%:20.9%,2,3.4%:5.7%,2,4.8%:5.7%,2,79.7%:67.7%,2,NA,NA,NA,NA,NA,1.8777296235859957,1.9647645675655072,1.87250235637962,2,NA,NA,0.06066707603257791,0.30590105721126615,0.06389916270390944,0.5695327040522465,0.2131821456131633,1,0.45270453299573554,1,0.8855358320295351,1,0.9179443203878614,1,0.28232502789793634,1,NA,NA,NA,NA,NA,NA,0,3,0.9520137470785078,2.3800343676962696,3,0.8035152451181455,3
2014,01,50000,Alabama,Mobile city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2%:47.7%,2,0.9%:2.3%,3,1.5%:2.8%,3,65.4%:47.2%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,01,50000,Alabama,Mobile city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3%:46.8%,2,0.7%:2.2%,3,2.7%:3.5%,2,70.3%:47.5%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,50000,Alabama,Mobile city,NA,NA,0.76956034,0.69971913,0.83940154,1,0.79115444,1,0.64503205,1,0.54104906,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5%:47.4%,2,0.7%:1.9%,3,5.0%:4.0%,2,73.8%:46.7%,2,5696,5696,5696,0.1005862802,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,01,50000,Alabama,Mobile city,NA,NA,0.77185768,0.69671828,0.84699708,1,0.81478858,1,0.67223066,1,0.5544036,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1%:47.7%,2,0.8%:2.4%,3,2.6%:3.6%,2,70.6%:46.3%,2,6521,6520,6521,0.1174595132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,50000,Alabama,Mobile city,NA,NA,NA,NA,NA,NA,0.81642747,1,0.67467397,1,0.51477468,1,NA,NA,NA,NA,15089.935597550417,3,40441.07266281663,3,81013.73129002741,3,3,NA,NA,27.0%:50.6%,2,1.4%:2.6%,3,3.2%:2.5%,3,68.4%:44.4%,2,7883,7883,7883,0.1460707486,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7187449939202203,3
2019,01,50000,Alabama,Mobile city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2%:51.5%,2,0.9%:1.1%,3,4.7%:4.2%,2,67.2%:43.2%,2,4005,4004,4006,0.0738126412,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,01,50000,Alabama,Mobile city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5650442118538533,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517001236151595,2,0.9,1,NA,NA,NA,NA,NA,NA,NA
2021,01,50000,Alabama,Mobile city,0.4441661046150108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9167049264070508,1,0.787815092427112,1,18524.293202128283,3,43459.05073619104,3,97925.2174426866,3,3,0.40323,1,27.1%:50.6%,2,3.2%:2.2%,3,4.4%:4.7%,2,65.3%:42.5%,2,NA,NA,NA,NA,NA,1.454383571066165,1.301269679289512,1.3371416861174437,1,NA,NA,0.04534663501293713,0.523721625010003,0.02593294032916322,0.4049987996478967,0.15580133160704684,1,0.3192487795226639,1,0.925312453062932,1,0.9209443750175088,1,0.4124388454296979,1,NA,NA,NA,NA,NA,NA,1958.4885577434804,2,13765.637920456666,22171.837072207847,2,0.7719750631161608,3
2014,01,51000,Alabama,Montgomery city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9%:56.8%,2,2.8%:1.9%,3,3.9%:2.4%,3,59.3%:38.9%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,01,51000,Alabama,Montgomery city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1%:55.7%,2,0.8%:1.8%,3,7.5%:3.4%,3,63.6%:39.1%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,51000,Alabama,Montgomery city,NA,NA,0.90814173,0.81240147,1.0038819,1,0.83589208,1,0.90024573,1,0.48709241,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8%:59.3%,2,0.7%:1.7%,3,4.0%:4.0%,3,63.5%:35.1%,2,850,850,850,0.0280324519,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,01,51000,Alabama,Montgomery city,NA,NA,0.67622286,0.57423896,0.77820677,1,0.82626289,1,0.89496404,1,0.43919939,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3%:56.7%,2,1.8%:2.2%,3,3.6%:4.2%,3,63.2%:36.8%,2,686,686,686,0.0233071726,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,51000,Alabama,Montgomery city,NA,NA,NA,NA,NA,NA,0.79346573,1,0.87202513,1,0.36781609,1,NA,NA,NA,NA,18841.9808394714,3,50557.67451534903,3,102344.44107518646,3,3,NA,NA,30.2%:57.5%,2,0.8%:1.6%,3,4.8%:4.6%,3,64.1%:36.3%,2,439,439,439,0.015195569,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7586249451507612,3
