year,state,county,state_name,county_name,subgroup,subgroup_type,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2021,48,251,Texas,Johnson County,Without Disability,disability,0.8552266419981499,0.7794320487469364,0.9310212352493634,Strong,0.8036059848020012,0.7843576351063958,0.8228543344976066,Strong
2021,48,253,Texas,Jones County,All,all,NA,NA,NA,NA,0.7646164501579471,0.7426303529156234,0.7866025474002708,Weak
2021,48,253,Texas,Jones County,With Disability,disability,NA,NA,NA,NA,0.4526378896882494,0.3882940508296501,0.5169817285468488,Weak
2021,48,253,Texas,Jones County,Without Disability,disability,NA,NA,NA,NA,0.8157775724089112,0.795276692827596,0.8362784519902264,Weak
2021,48,255,Texas,Karnes County,All,all,NA,NA,NA,NA,0.7965850489300361,0.7787152167101774,0.8144548811498948,Weak
2021,48,255,Texas,Karnes County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,255,Texas,Karnes County,Without Disability,disability,NA,NA,NA,NA,0.8300163276113146,0.8111572920734319,0.8488753631491973,Weak
2021,48,257,Texas,Kaufman County,All,all,0.9189277541680289,0.8678059685261076,0.97004953980995,Strong,0.7993451165410886,0.7798926339011757,0.8187975991810016,Strong
2021,48,257,Texas,Kaufman County,With Disability,disability,NA,NA,NA,NA,0.5060841811290644,0.40397361010526806,0.6081947521528608,Strong
2021,48,257,Texas,Kaufman County,Without Disability,disability,0.9206883651328096,0.8625751439210204,0.9788015863445988,Strong,0.8277306867988646,0.8087071314626963,0.8467542421350329,Strong
2021,48,259,Texas,Kendall County,All,all,0.9315512353179424,0.8710506826682071,0.992051787967678,Weak,0.8102752977924893,0.7905988961565171,0.8299516994284615,Weak
2021,48,259,Texas,Kendall County,With Disability,disability,NA,NA,NA,NA,0.5833333333333334,0.4816180448463304,0.6850486218203364,Weak
2021,48,259,Texas,Kendall County,Without Disability,disability,NA,NA,NA,NA,0.8328165440893831,0.8142558869469727,0.8513772012317935,Weak
2021,48,261,Texas,Kenedy County,All,all,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,261,Texas,Kenedy County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,261,Texas,Kenedy County,Without Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,263,Texas,Kent County,All,all,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,263,Texas,Kent County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,263,Texas,Kent County,Without Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2021,48,265,Texas,Kerr County,All,all,0.9315512353179426,0.8710506826682073,0.992051787967678,Marginal,0.8102752977924893,0.7905988961565171,0.8299516994284615,Marginal
