year,state,county,state_name,county_name,subgroup,subgroup_type,index_air_hazard,index_air_hazard_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_digital_access,share_digital_access_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,013,Alabama,Butler County,Not Economically Disadvantaged,income,NA,NA,0.93,0.51,1.35,Strong,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,Not High-Poverty,income,14,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,All,all,16,Strong,0.83,0.75,0.91,Strong,NA,NA,0.3942,0.2876,0.5009,Strong
2014,01,015,Alabama,Calhoun County,Economically Disadvantaged,income,NA,NA,0.87,0.78,0.96,Strong,NA,NA,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,Not Economically Disadvantaged,income,NA,NA,0.73,0.61,0.85,Strong,NA,NA,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2883,0.1648,0.4117,Strong
2014,01,015,Alabama,Calhoun County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.5516,0.3999,0.7032,Strong
2014,01,015,Alabama,Calhoun County,High-Poverty,income,14,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,Not High-Poverty,income,16,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,All,all,12,Strong,0.97,0.81,1.14,Strong,NA,NA,0.3428,0.26,0.4256,Weak
2014,01,017,Alabama,Chambers County,Economically Disadvantaged,income,NA,NA,1.04,0.88,1.2,Strong,NA,NA,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,Not Economically Disadvantaged,income,NA,NA,0.73,0.43,1.03,Strong,NA,NA,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,Not High-Poverty,income,12,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,All,all,24,Strong,0.98,0.81,1.16,Strong,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,Economically Disadvantaged,income,NA,NA,0.98,0.79,1.16,Strong,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,Not Economically Disadvantaged,income,NA,NA,0.95,0.68,1.21,Strong,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,019,Alabama,Cherokee County,Not High-Poverty,income,24,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,All,all,13,Strong,0.9,0.77,1.03,Strong,NA,NA,0.3428,0.26,0.4256,Weak
2014,01,021,Alabama,Chilton County,Economically Disadvantaged,income,NA,NA,0.95,0.82,1.09,Strong,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,Not Economically Disadvantaged,income,NA,NA,0.72,0.52,0.91,Strong,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.3257,0.1913,0.46,Weak
2014,01,021,Alabama,Chilton County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,021,Alabama,Chilton County,Not High-Poverty,income,13,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,All,all,20,Strong,0.76,0.51,1.02,Strong,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,Economically Disadvantaged,income,NA,NA,0.74,0.5,0.98,Strong,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,Not Economically Disadvantaged,income,NA,NA,0.76,0.02,1.5,Weak,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,Not High-Poverty,income,20,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,All,all,15,Strong,0.88,0.72,1.04,Strong,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,Economically Disadvantaged,income,NA,NA,0.89,0.72,1.06,Strong,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,Not Economically Disadvantaged,income,NA,NA,0.74,0.5,0.99,Strong,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,Not High-Poverty,income,15,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,All,all,19,Strong,1.12,0.89,1.35,Strong,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,Economically Disadvantaged,income,NA,NA,1.11,0.88,1.34,Strong,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,Not Economically Disadvantaged,income,NA,NA,1.16,0.73,1.58,Strong,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,Not High-Poverty,income,19,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,All,all,24,Strong,0.88,0.66,1.1,Strong,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,Economically Disadvantaged,income,NA,NA,0.8,0.56,1.04,Strong,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,Not Economically Disadvantaged,income,NA,NA,0.9,0.57,1.23,Strong,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,Not High-Poverty,income,24,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,All,all,15,Strong,1,0.88,1.11,Strong,NA,NA,0.3503,0.2564,0.4442,Marginal
2014,01,031,Alabama,Coffee County,Economically Disadvantaged,income,NA,NA,1.03,0.88,1.18,Strong,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,Not Economically Disadvantaged,income,NA,NA,0.97,0.82,1.11,Strong,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2332,0.1347,0.3318,Marginal
2014,01,031,Alabama,Coffee County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.4774,0.342,0.6128,Marginal
2014,01,031,Alabama,Coffee County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,Not High-Poverty,income,15,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,All,all,33,Strong,0.82,0.69,0.94,Strong,NA,NA,0.4195,0.3212,0.5177,Weak
2014,01,033,Alabama,Colbert County,Economically Disadvantaged,income,NA,NA,0.84,0.68,1,Strong,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,Not Economically Disadvantaged,income,NA,NA,0.73,0.56,0.9,Strong,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,033,Alabama,Colbert County,Not High-Poverty,income,33,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,All,all,13,Strong,1.01,0.73,1.3,Strong,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,Economically Disadvantaged,income,NA,NA,1.05,0.77,1.33,Strong,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,Not Economically Disadvantaged,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,High-Poverty,income,11,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,Not High-Poverty,income,14,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,All,all,15,Strong,0.97,0.63,1.32,Strong,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,Economically Disadvantaged,income,NA,NA,0.94,0.6,1.27,Strong,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,Not Economically Disadvantaged,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,Not High-Poverty,income,15,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,All,all,17,Strong,0.9,0.75,1.04,Strong,NA,NA,0.3503,0.2564,0.4442,Weak
2014,01,039,Alabama,Covington County,Economically Disadvantaged,income,NA,NA,0.84,0.66,1.02,Strong,NA,NA,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,Not Economically Disadvantaged,income,NA,NA,0.95,0.75,1.16,Strong,NA,NA,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2332,0.1347,0.3318,Weak
2014,01,039,Alabama,Covington County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.4774,0.342,0.6128,Weak
2014,01,039,Alabama,Covington County,High-Poverty,income,20,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,Not High-Poverty,income,17,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,All,all,16,Strong,1.15,0.92,1.37,Strong,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,Economically Disadvantaged,income,NA,NA,1.19,0.92,1.46,Strong,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,Not Economically Disadvantaged,income,NA,NA,1.12,0.78,1.46,Strong,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,Not High-Poverty,income,16,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,All,all,24,Strong,0.86,0.76,0.95,Strong,NA,NA,0.2153,0.1321,0.2984,Strong
2014,01,043,Alabama,Cullman County,Economically Disadvantaged,income,NA,NA,0.86,0.75,0.97,Strong,NA,NA,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,Not Economically Disadvantaged,income,NA,NA,0.85,0.72,0.99,Strong,NA,NA,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2053,0.1077,0.3029,Strong
2014,01,043,Alabama,Cullman County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2371,0.0906,0.3835,Strong
2014,01,043,Alabama,Cullman County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,043,Alabama,Cullman County,Not High-Poverty,income,24,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,All,all,14,Strong,0.98,0.84,1.11,Strong,NA,NA,0.3874,0.309,0.4658,Weak
2014,01,045,Alabama,Dale County,Economically Disadvantaged,income,NA,NA,0.95,0.81,1.09,Strong,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,Not Economically Disadvantaged,income,NA,NA,1.01,0.8,1.21,Strong,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.3396,0.2558,0.4234,Weak
2014,01,045,Alabama,Dale County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.4465,0.3182,0.5748,Weak
2014,01,045,Alabama,Dale County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,045,Alabama,Dale County,Not High-Poverty,income,14,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,All,all,10,Strong,0.9,0.77,1.03,Strong,NA,NA,0.4827,0.3636,0.6018,Weak
2014,01,047,Alabama,Dallas County,Economically Disadvantaged,income,NA,NA,0.88,0.76,1.01,Strong,NA,NA,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,Not Economically Disadvantaged,income,NA,NA,0.75,0.46,1.05,Strong,NA,NA,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,High-Poverty,income,10,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,047,Alabama,Dallas County,Not High-Poverty,income,10,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,All,all,45,Strong,0.96,0.86,1.06,Strong,NA,NA,0.2659,0.1639,0.3679,Marginal
2014,01,049,Alabama,DeKalb County,Economically Disadvantaged,income,NA,NA,0.98,0.87,1.08,Strong,NA,NA,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,Not Economically Disadvantaged,income,NA,NA,0.81,0.65,0.97,Strong,NA,NA,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2978,0.1522,0.4435,Marginal
2014,01,049,Alabama,DeKalb County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2151,0.0942,0.3361,Marginal
2014,01,049,Alabama,DeKalb County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,049,Alabama,DeKalb County,Not High-Poverty,income,45,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,All,all,8,Strong,0.87,0.78,0.97,Strong,NA,NA,0.4293,0.3188,0.5398,Marginal
2014,01,051,Alabama,Elmore County,Economically Disadvantaged,income,NA,NA,0.89,0.78,1.01,Strong,NA,NA,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,Not Economically Disadvantaged,income,NA,NA,0.92,0.79,1.05,Strong,NA,NA,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.359,0.2294,0.4886,Marginal
2014,01,051,Alabama,Elmore County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.4912,0.3347,0.6476,Marginal
2014,01,051,Alabama,Elmore County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,051,Alabama,Elmore County,Not High-Poverty,income,8,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,All,all,16,Strong,0.98,0.83,1.14,Strong,NA,NA,0.4101,0.3169,0.5033,Weak
2014,01,053,Alabama,Escambia County,Economically Disadvantaged,income,NA,NA,0.98,0.83,1.13,Strong,NA,NA,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,Not Economically Disadvantaged,income,NA,NA,0.95,0.69,1.21,Strong,NA,NA,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,High-Poverty,income,23,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,Not High-Poverty,income,16,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,All,all,19,Strong,0.8,0.71,0.89,Strong,NA,NA,0.3357,0.1812,0.4901,Strong
2014,01,055,Alabama,Etowah County,Economically Disadvantaged,income,NA,NA,0.86,0.77,0.95,Strong,NA,NA,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,Not Economically Disadvantaged,income,NA,NA,0.64,0.51,0.78,Strong,NA,NA,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2483,0.0503,0.4462,Strong
2014,01,055,Alabama,Etowah County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,High-Poverty,income,12,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,055,Alabama,Etowah County,Not High-Poverty,income,20,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,All,all,21,Strong,0.74,0.51,0.97,Strong,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,Economically Disadvantaged,income,NA,NA,0.82,0.56,1.08,Strong,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,Not Economically Disadvantaged,income,NA,NA,0.64,0.32,0.95,Strong,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,057,Alabama,Fayette County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
