year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2014,01,039,Alabama,Covington County,TRUE,Renter,tenure,NA,NA,1.6415,NA,NA,Weak,NA,NA,1.244,NA,NA,Weak
2014,01,039,Alabama,Covington County,TRUE,Owner,tenure,3.025,3.025,2.4527,Weak,Weak,Weak,1.3488,1.3488,1.261,Weak,Weak,Weak
2014,01,041,Alabama,Crenshaw County,TRUE,All,all,NA,2.7697,2.6249,NA,Weak,Weak,NA,1.7933,1.8604,NA,Weak,Weak
2014,01,041,Alabama,Crenshaw County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,041,Alabama,Crenshaw County,TRUE,Owner,tenure,NA,NA,2.9184,NA,NA,Weak,NA,NA,1.8222,NA,NA,Weak
2014,01,043,Alabama,Cullman County,TRUE,All,all,1.4356,1.4369,1.5032,Strong,Strong,Strong,0.673,0.6643,0.917,Strong,Strong,Strong
2014,01,043,Alabama,Cullman County,TRUE,Renter,tenure,0.7627,0.7119,1.1481,Strong,Strong,Strong,0.6322,0.6243,0.933,Strong,Strong,Strong
2014,01,043,Alabama,Cullman County,TRUE,Owner,tenure,1.9804,1.9707,1.6686,Strong,Strong,Strong,0.7059,0.6938,0.9095,Strong,Strong,Strong
2014,01,045,Alabama,Dale County,TRUE,All,all,1.8643,1.9221,1.9692,Weak,Weak,Weak,0.9595,1.1221,1.3911,Weak,Weak,Weak
2014,01,045,Alabama,Dale County,TRUE,Renter,tenure,1.2233,1.5012,1.9283,Weak,Weak,Weak,0.9633,1.2555,1.7061,Weak,Weak,Weak
2014,01,045,Alabama,Dale County,TRUE,Owner,tenure,2.6394,2.4031,2.0032,Weak,Weak,Weak,0.955,0.9695,1.1293,Weak,Weak,Weak
2014,01,047,Alabama,Dallas County,TRUE,All,all,1.3014,1.3014,1.386,Weak,Weak,Weak,0.6898,0.6898,0.9571,Weak,Weak,Weak
2014,01,047,Alabama,Dallas County,TRUE,Renter,tenure,NA,NA,1.1902,NA,NA,Weak,NA,NA,0.9905,NA,NA,Weak
2014,01,047,Alabama,Dallas County,TRUE,Owner,tenure,1.8683,1.8683,1.5056,Weak,Weak,Weak,0.8252,0.8252,0.9366,Weak,Weak,Weak
2014,01,049,Alabama,DeKalb County,TRUE,All,all,1.6365,1.6365,1.6873,Marginal,Marginal,Marginal,0.7638,0.7638,1.1575,Marginal,Marginal,Marginal
2014,01,049,Alabama,DeKalb County,TRUE,Renter,tenure,0.9254,0.9254,1.4928,Marginal,Marginal,Marginal,0.615,0.615,1.3187,Marginal,Marginal,Marginal
2014,01,049,Alabama,DeKalb County,TRUE,Owner,tenure,2.2612,2.2612,1.8267,Marginal,Marginal,Marginal,0.8945,0.8945,1.0419,Marginal,Marginal,Marginal
2014,01,051,Alabama,Elmore County,TRUE,All,all,1.3843,1.4474,1.5598,Marginal,Marginal,Marginal,0.6511,0.7335,0.8954,Marginal,Marginal,Marginal
2014,01,051,Alabama,Elmore County,TRUE,Renter,tenure,NA,NA,1.0197,NA,NA,Marginal,NA,NA,0.8293,NA,NA,Marginal
2014,01,051,Alabama,Elmore County,TRUE,Owner,tenure,1.8714,1.8775,1.8694,Marginal,Marginal,Marginal,0.7537,0.8345,0.9333,Marginal,Marginal,Marginal
2014,01,053,Alabama,Escambia County,TRUE,All,all,1.381,1.381,1.3861,Weak,Weak,Weak,0.7086,0.7086,0.8292,Weak,Weak,Weak
2014,01,053,Alabama,Escambia County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,053,Alabama,Escambia County,TRUE,Owner,tenure,1.8509,1.8509,1.7064,Weak,Weak,Weak,0.8023,0.8023,0.9277,Weak,Weak,Weak
2014,01,055,Alabama,Etowah County,TRUE,All,all,1.3735,1.3735,1.5065,Strong,Strong,Strong,0.7003,0.7003,0.8776,Strong,Strong,Strong
