state,place,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_poverty_exposure,share_poverty_exposure_quality
06,02252,race-ethnicity,"Black, Non-Hispanic",0.83554006,0.63936973,1.0317104,3,NA,NA
06,02252,race-ethnicity,Hispanic,1.0807942,0.92379087,1.2377975,2,0,2
06,02252,race-ethnicity,"White, Non-Hispanic",1.0755894,0.81372494,1.3374538,3,0,2
06,02364,all,All,0.95998055,0.80047745,1.1194837,1,0.18628457914421767,1
06,02364,race-ethnicity,"Black, Non-Hispanic",0.98862129,0.64561927,1.3316233,1,NA,NA
06,02364,race-ethnicity,Hispanic,0.95345044,0.7817145,1.1251864,1,0.15576280512065271,2
06,02364,race-ethnicity,"White, Non-Hispanic",0.98913461,0.82510281,1.1531664,1,0.03459201433237625,2
06,03526,all,All,1.1727148,1.0036114,1.3418182,1,0.2598131211034019,1
06,03526,race-ethnicity,"Black, Non-Hispanic",1.1607953,0.84037602,1.4812148,1,NA,NA
06,03526,race-ethnicity,Hispanic,1.2054796,1.0592682,1.351691,1,0.29587699308180704,1
06,03526,race-ethnicity,"White, Non-Hispanic",1.1049685,0.88163954,1.3282975,1,0.16072374884306193,1
06,04982,all,All,1.1626883,0.9937706,1.3316059,1,0,1
06,04982,race-ethnicity,"Black, Non-Hispanic",0.99331379,0.68690813,1.2997195,1,NA,NA
06,04982,race-ethnicity,Hispanic,1.2034726,1.0512646,1.3556806,1,0,2
06,04982,race-ethnicity,"White, Non-Hispanic",1.0447956,0.70453763,1.3850536,1,0,2
06,06000,all,All,1.2620597,0.7289784,1.795141,3,0.4599189851828163,1
06,06000,race-ethnicity,"Black, Non-Hispanic",1.0334383,0.23136483,1.8355118,3,NA,NA
06,06000,race-ethnicity,Hispanic,1.3927799,0.52264524,2.2629147,3,0.3784286378428638,2
06,06000,race-ethnicity,"White, Non-Hispanic",1.4101189,0.85911065,1.9611273,3,0.39968674355688455,1
