year,state,county,state_name,county_name,subgroup_type,subgroup,juvenile_arrest_rate,juvenile_arrest_rate_quality
2016,01,117,Alabama,Shelby County,race-ethnicity,Black,1598.9036,1
2016,01,117,Alabama,Shelby County,race-ethnicity,Other Races,NA,NA
2016,01,117,Alabama,Shelby County,race-ethnicity,White,765.74841,1
2016,01,119,Alabama,Sumter County,all,All,192.57681,2
2016,01,119,Alabama,Sumter County,race-ethnicity,Black,292.95761,2
2016,01,119,Alabama,Sumter County,race-ethnicity,Other Races,NA,NA
2016,01,119,Alabama,Sumter County,race-ethnicity,White,NA,NA
2016,01,121,Alabama,Talladega County,all,All,278.67166,1
2016,01,121,Alabama,Talladega County,race-ethnicity,Black,515.78082,1
2016,01,121,Alabama,Talladega County,race-ethnicity,Other Races,NA,NA
2016,01,121,Alabama,Talladega County,race-ethnicity,White,214.40265,1
2016,01,123,Alabama,Tallapoosa County,all,All,2150.499,2
2016,01,123,Alabama,Tallapoosa County,race-ethnicity,Black,3602.7131,2
2016,01,123,Alabama,Tallapoosa County,race-ethnicity,Other Races,NA,NA
2016,01,123,Alabama,Tallapoosa County,race-ethnicity,White,1682.6556,2
2016,01,125,Alabama,Tuscaloosa County,all,All,1963.873,1
2016,01,125,Alabama,Tuscaloosa County,race-ethnicity,Black,3033.7007,1
2016,01,125,Alabama,Tuscaloosa County,race-ethnicity,Other Races,445.62286,1
2016,01,125,Alabama,Tuscaloosa County,race-ethnicity,White,1088.5226,1
2016,01,127,Alabama,Walker County,all,All,663.73151,2
2016,01,127,Alabama,Walker County,race-ethnicity,Black,1176.8167,2
2016,01,127,Alabama,Walker County,race-ethnicity,Other Races,NA,NA
2016,01,127,Alabama,Walker County,race-ethnicity,White,624.74341,2
2016,01,129,Alabama,Washington County,all,All,754.82141,1
2016,01,129,Alabama,Washington County,race-ethnicity,Black,1419.8373,1
2016,01,129,Alabama,Washington County,race-ethnicity,Other Races,NA,NA
2016,01,129,Alabama,Washington County,race-ethnicity,White,476.83078,1
2016,01,131,Alabama,Wilcox County,all,All,189.48186,1
2016,01,131,Alabama,Wilcox County,race-ethnicity,Black,427.7041,1
2016,01,131,Alabama,Wilcox County,race-ethnicity,Other Races,NA,NA
2016,01,131,Alabama,Wilcox County,race-ethnicity,White,NA,NA
2016,01,133,Alabama,Winston County,all,All,81.016273,1
2016,01,133,Alabama,Winston County,race-ethnicity,Black,NA,NA
2016,01,133,Alabama,Winston County,race-ethnicity,Other Races,NA,NA
2016,01,133,Alabama,Winston County,race-ethnicity,White,42.396973,1
2016,02,013,Alaska,Aleutians East Borough,all,All,NA,NA
2016,02,013,Alaska,Aleutians East Borough,race-ethnicity,Black,NA,NA
2016,02,013,Alaska,Aleutians East Borough,race-ethnicity,Other Races,NA,NA
2016,02,013,Alaska,Aleutians East Borough,race-ethnicity,White,NA,NA
2016,02,016,Alaska,Aleutians West Census Area,all,All,NA,NA
2016,02,016,Alaska,Aleutians West Census Area,race-ethnicity,Black,NA,NA
2016,02,016,Alaska,Aleutians West Census Area,race-ethnicity,Other Races,NA,NA
2016,02,016,Alaska,Aleutians West Census Area,race-ethnicity,White,NA,NA
2016,02,020,Alaska,Anchorage Municipality,all,All,NA,NA
2016,02,020,Alaska,Anchorage Municipality,race-ethnicity,Black,NA,NA
2016,02,020,Alaska,Anchorage Municipality,race-ethnicity,Other Races,NA,NA
2016,02,020,Alaska,Anchorage Municipality,race-ethnicity,White,NA,NA
2016,02,050,Alaska,Bethel Census Area,all,All,NA,NA
2016,02,050,Alaska,Bethel Census Area,race-ethnicity,Black,NA,NA
2016,02,050,Alaska,Bethel Census Area,race-ethnicity,Other Races,NA,NA
2016,02,050,Alaska,Bethel Census Area,race-ethnicity,White,NA,NA
2016,02,060,Alaska,Bristol Bay Borough,all,All,NA,NA
2016,02,060,Alaska,Bristol Bay Borough,race-ethnicity,Black,NA,NA
2016,02,060,Alaska,Bristol Bay Borough,race-ethnicity,Other Races,NA,NA
2016,02,060,Alaska,Bristol Bay Borough,race-ethnicity,White,NA,NA
2016,02,068,Alaska,Denali Borough,all,All,NA,NA
2016,02,068,Alaska,Denali Borough,race-ethnicity,Black,NA,NA
2016,02,068,Alaska,Denali Borough,race-ethnicity,Other Races,NA,NA
2016,02,068,Alaska,Denali Borough,race-ethnicity,White,NA,NA
2016,02,070,Alaska,Dillingham Census Area,all,All,NA,NA
2016,02,070,Alaska,Dillingham Census Area,race-ethnicity,Black,NA,NA
2016,02,070,Alaska,Dillingham Census Area,race-ethnicity,Other Races,NA,NA
2016,02,070,Alaska,Dillingham Census Area,race-ethnicity,White,NA,NA
2016,02,090,Alaska,Fairbanks North Star Borough,all,All,NA,NA
2016,02,090,Alaska,Fairbanks North Star Borough,race-ethnicity,Black,NA,NA
