state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,share_in_preschool_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,share_hs_degree_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,rate_low_birth_weight,rate_low_birth_weight_lb,rate_low_birth_weight_ub,rate_low_birth_weight_quality,share_employed,share_employed_ub,share_employed_lb,share_employed_quality
01,023,race-ethnicity,"Black, Non-Hispanic",0.3799126638,0.5303287872,0.2294965403,3,0.717872969,0.8556288957,0.5801170423,3,0.67065006,0.37900081,0.96229935,1,9495.3298,23472.1003,53130.887975,2,0.16537568,0.15524253,0.17550883,3,0.5226762695,0.5577973984,0.4875551407,2
01,023,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083648391,0.07185176,0.095445022,3,NA,NA,NA,NA
01,023,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16462.980332,35458.395,88646.584652,2,0.1152,0.090169765,0.14023022,3,0.5629984051,0.6666342109,0.4593625993,3
01,023,race-ethnicity,"White, Non-Hispanic",0.1935771632,0.2927287397,0.0944255868,3,0.8623853211,0.9430884011,0.7816822411,3,0.25915459,-0.189127,0.70743614,3,17199.313701,44513.193648,90140.421027,2,0.083810166,0.079354003,0.088266328,3,0.6555202323,0.6805742258,0.6304662389,2
01,025,all,All,0.1334205363,0.2788532009,0,3,0.8312048497,0.9724938024,0.6899158971,3,0.87207276,0.69494444,1.0492011,1,13778.12,37484.59,81047.76,2,0.10317565,0.099224299,0.107127,3,0.6224577196,0.6673482556,0.5775671837,2
01,025,race-ethnicity,"Black, Non-Hispanic",0.3799126638,0.5303287872,0.2294965403,3,0.717872969,0.8556288957,0.5801170423,3,0.83276987,0.64838171,1.017158,1,9495.3298,23472.1003,53130.887975,2,0.16537568,0.15524253,0.17550883,3,0.5226762695,0.5577973984,0.4875551407,2
01,025,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083648391,0.07185176,0.095445022,3,NA,NA,NA,NA
01,025,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16462.980332,35458.395,88646.584652,2,0.1152,0.090169765,0.14023022,3,0.5629984051,0.6666342109,0.4593625993,3
01,025,race-ethnicity,"White, Non-Hispanic",0.1935771632,0.2927287397,0.0944255868,3,0.8623853211,0.9430884011,0.7816822411,3,1.0166457,0.79343802,1.2398533,1,17199.313701,44513.193648,90140.421027,2,0.083810166,0.079354003,0.088266328,3,0.6555202323,0.6805742258,0.6304662389,2
01,027,all,All,0.3743206522,0.5640278773,0.1846134271,3,0.7960679684,0.9726550264,0.6194809104,3,0.65208161,0.38621035,0.91795284,1,15500.38,38497.69,80034.66,2,0.10317565,0.099224299,0.107127,3,0.714860394,0.7558527145,0.6738680735,2
