year,state,county,subgroup_type,subgroup,ratio_living_wage,ratio_living_wage_quality
2021,01,059,industry,Education and Health,.7119021,1
2021,01,059,industry,Leisure and Other,.4908232,1
2021,01,061,all,All,.6430662,1
2021,01,061,industry,Goods Producing,.6906331,1
2021,01,061,industry,Public Administration,.7321015,1
2021,01,061,industry,"Trade, Transit, Utilities",.6705086,1
2021,01,061,industry,Information Services,NA,NA
2021,01,061,industry,Professional Services,.6933773,1
2021,01,061,industry,Education and Health,.7070985,1
2021,01,061,industry,Leisure and Other,NA,NA
2021,01,063,all,All,.6961439,1
2021,01,063,industry,Goods Producing,.8073786,3
2021,01,063,industry,Public Administration,.7452726,1
2021,01,063,industry,"Trade, Transit, Utilities",.5116796,1
2021,01,063,industry,Information Services,NA,NA
2021,01,063,industry,Professional Services,1.01409,3
2021,01,063,industry,Education and Health,.568224,1
2021,01,063,industry,Leisure and Other,NA,NA
2021,01,065,all,All,.7259768,1
2021,01,065,industry,Goods Producing,.9714889,1
2021,01,065,industry,Public Administration,.781415,1
2021,01,065,industry,"Trade, Transit, Utilities",.5464625,1
2021,01,065,industry,Information Services,1.201162,3
2021,01,065,industry,Professional Services,.9318901,1
2021,01,065,industry,Education and Health,.5561422,1
2021,01,065,industry,Leisure and Other,.3713481,1
2021,01,067,all,All,.8769003,1
2021,01,067,industry,Goods Producing,1.015944,1
2021,01,067,industry,Public Administration,.7770981,1
2021,01,067,industry,"Trade, Transit, Utilities",.8064517,1
2021,01,067,industry,Information Services,NA,NA
2021,01,067,industry,Professional Services,1.212458,1
2021,01,067,industry,Education and Health,.5997405,1
2021,01,067,industry,Leisure and Other,NA,NA
2021,01,069,all,All,.8543725,1
2021,01,069,industry,Goods Producing,.8891329,1
2021,01,069,industry,Public Administration,.9912794,1
2021,01,069,industry,"Trade, Transit, Utilities",.8772412,1
2021,01,069,industry,Information Services,.8516283,1
2021,01,069,industry,Professional Services,.9591109,1
2021,01,069,industry,Education and Health,1.068423,1
2021,01,069,industry,Leisure and Other,.5003659,1
2021,01,071,all,All,.7595168,1
2021,01,071,industry,Goods Producing,.8848828,1
2021,01,071,industry,Public Administration,.9538189,1
2021,01,071,industry,"Trade, Transit, Utilities",.5883967,1
2021,01,071,industry,Information Services,2.124817,3
2021,01,071,industry,Professional Services,.8880856,1
2021,01,071,industry,Education and Health,.7567716,1
2021,01,071,industry,Leisure and Other,.437866,1
2021,01,073,all,All,1.063681,1
2021,01,073,industry,Goods Producing,1.239503,1
2021,01,073,industry,Public Administration,1.108001,1
2021,01,073,industry,"Trade, Transit, Utilities",.9438419,1
2021,01,073,industry,Information Services,1.247376,1
2021,01,073,industry,Professional Services,1.456438,1
2021,01,073,industry,Education and Health,1.088174,1
2021,01,073,industry,Leisure and Other,.6341848,1
2021,01,075,all,All,.7767891,1
2021,01,075,industry,Goods Producing,.9417872,1
2021,01,075,industry,Public Administration,.7119021,1
2021,01,075,industry,"Trade, Transit, Utilities",.7350761,1
2021,01,075,industry,Information Services,.650723,3
2021,01,075,industry,Professional Services,.8741195,1
2021,01,075,industry,Education and Health,.5459771,1
2021,01,075,industry,Leisure and Other,.3281424,1
2021,01,077,all,All,.7203079,1
2021,01,077,industry,Goods Producing,.8651026,1
2021,01,077,industry,Public Administration,.9946236,1
2021,01,077,industry,"Trade, Transit, Utilities",.6213343,1
2021,01,077,industry,Information Services,.7065616,3
2021,01,077,industry,Professional Services,.889846,1
2021,01,077,industry,Education and Health,.8348606,1
2021,01,077,industry,Leisure and Other,.4256781,1
2021,01,079,all,All,.7311493,1
2021,01,079,industry,Goods Producing,.8821376,1
2021,01,079,industry,Public Administration,.9217911,1
2021,01,079,industry,"Trade, Transit, Utilities",.6808199,1
2021,01,079,industry,Information Services,NA,NA
2021,01,079,industry,Professional Services,1.112738,1
2021,01,079,industry,Education and Health,.6616032,1
2021,01,079,industry,Leisure and Other,NA,NA
2021,01,081,all,All,.7810284,1
2021,01,081,industry,Goods Producing,.9618794,1
2021,01,081,industry,Public Administration,1.110816,1
2021,01,081,industry,"Trade, Transit, Utilities",.7047873,1
2021,01,081,industry,Information Services,1.158688,1
2021,01,081,industry,Professional Services,.8315603,1
2021,01,081,industry,Education and Health,.7437943,1
2021,01,081,industry,Leisure and Other,.4809397,1
2021,01,083,all,All,.9188565,1
2021,01,083,industry,Goods Producing,1.027166,1
2021,01,083,industry,Public Administration,1.350911,1
2021,01,083,industry,"Trade, Transit, Utilities",.7404119,1
2021,01,083,industry,Information Services,.6729403,3
2021,01,083,industry,Professional Services,.9765625,1
2021,01,083,industry,Education and Health,.7661576,1
2021,01,083,industry,Leisure and Other,.5011541,1
2021,01,085,all,All,.8374602,1
2021,01,085,industry,Goods Producing,1.032013,1
2021,01,085,industry,Public Administration,.8374602,1
2021,01,085,industry,"Trade, Transit, Utilities",.5438627,1
2021,01,085,industry,Information Services,NA,NA
2021,01,085,industry,Professional Services,.9665723,3
2021,01,085,industry,Education and Health,.649098,3
2021,01,085,industry,Leisure and Other,NA,NA
2021,01,087,all,All,.8759733,1
2021,01,087,industry,Goods Producing,.9760846,3
2021,01,087,industry,Public Administration,1.047769,1
2021,01,087,industry,"Trade, Transit, Utilities",.4319615,1
2021,01,087,industry,Information Services,NA,NA
2021,01,087,industry,Professional Services,.8365777,1
2021,01,087,industry,Education and Health,.5626622,1
2021,01,087,industry,Leisure and Other,NA,NA
2021,01,089,all,All,1.179865,1
2021,01,089,industry,Goods Producing,1.274858,1
2021,01,089,industry,Public Administration,1.343217,1
2021,01,089,industry,"Trade, Transit, Utilities",.7404119,1
2021,01,089,industry,Information Services,1.458629,1
2021,01,089,industry,Professional Services,1.412021,1
2021,01,089,industry,Education and Health,.9836648,1
2021,01,089,industry,Leisure and Other,.4856179,1
2021,01,091,all,All,.8481647,1
2021,01,091,industry,Goods Producing,1.112347,1
2021,01,091,industry,Public Administration,.8592882,1
2021,01,091,industry,"Trade, Transit, Utilities",.8027439,1
2021,01,091,industry,Information Services,1.515573,3
2021,01,091,industry,Professional Services,1.005747,1
2021,01,091,industry,Education and Health,.6127179,1
2021,01,091,industry,Leisure and Other,.4704301,1
2021,01,093,all,All,.7341491,1
2021,01,093,industry,Goods Producing,.840749,1
2021,01,093,industry,Public Administration,.8280806,1
2021,01,093,industry,"Trade, Transit, Utilities",.6358918,1
2021,01,093,industry,Information Services,1.053949,3
2021,01,093,industry,Professional Services,.6905822,1
2021,01,093,industry,Education and Health,.7888395,1
2021,01,093,industry,Leisure and Other,.4347423,1
2021,01,095,all,All,.7572958,1
2021,01,095,industry,Goods Producing,.8394902,1
2021,01,095,industry,Public Administration,.9327669,1
2021,01,095,industry,"Trade, Transit, Utilities",.688031,1
2021,01,095,industry,Information Services,1.060214,1
2021,01,095,industry,Professional Services,.8759696,1
2021,01,095,industry,Education and Health,.7545252,1
2021,01,095,industry,Leisure and Other,.4806982,1
2021,01,097,all,All,.919247,1
2021,01,097,industry,Goods Producing,1.213934,1
2021,01,097,industry,Public Administration,1.120983,1
2021,01,097,industry,"Trade, Transit, Utilities",.7697044,1
2021,01,097,industry,Information Services,1.321253,1
2021,01,097,industry,Professional Services,1.225809,1
2021,01,097,industry,Education and Health,.9579521,1
2021,01,097,industry,Leisure and Other,.5475897,1
2021,01,099,all,All,.8731925,1
2021,01,099,industry,Goods Producing,1.295884,1
2021,01,099,industry,Public Administration,.8506366,1
2021,01,099,industry,"Trade, Transit, Utilities",.7183909,1
2021,01,099,industry,Information Services,.8565073,3
2021,01,099,industry,Professional Services,.8759733,1
2021,01,099,industry,Education and Health,.6368187,1
2021,01,099,industry,Leisure and Other,.5024101,1
2021,01,101,all,All,.9020162,1
2021,01,101,industry,Goods Producing,1.024054,1
2021,01,101,industry,Public Administration,1.060016,1
2021,01,101,industry,"Trade, Transit, Utilities",.7870534,1
2021,01,101,industry,Information Services,1.019632,1
2021,01,101,industry,Professional Services,1.092589,1
2021,01,101,industry,Education and Health,.9029006,1
2021,01,101,industry,Leisure and Other,.5695083,1
2021,01,103,all,All,.9370424,1
2021,01,103,industry,Goods Producing,1.269217,1
2021,01,103,industry,Public Administration,.9690703,1
2021,01,103,industry,"Trade, Transit, Utilities",.7924597,1
2021,01,103,industry,Information Services,1.139275,1
2021,01,103,industry,Professional Services,.9704428,1
2021,01,103,industry,Education and Health,.7531112,1
2021,01,103,industry,Leisure and Other,.5225109,1
2021,01,105,all,All,.6386726,1
2021,01,105,industry,Goods Producing,.7211717,3
2021,01,105,industry,Public Administration,.7499074,3
2021,01,105,industry,"Trade, Transit, Utilities",.5024101,1
2021,01,105,industry,Information Services,NA,NA
2021,01,105,industry,Professional Services,.6873378,3
2021,01,105,industry,Education and Health,.6544309,1
2021,01,105,industry,Leisure and Other,NA,NA
2021,01,107,all,All,.7712274,1
2021,01,107,industry,Goods Producing,.8305525,1
2021,01,107,industry,Public Administration,.9309728,1
2021,01,107,industry,"Trade, Transit, Utilities",.568224,1
2021,01,107,industry,Information Services,.736003,3
2021,01,107,industry,Professional Services,.7656656,1
2021,01,107,industry,Education and Health,.6627735,1
2021,01,107,industry,Leisure and Other,.6066927,1
2021,01,109,all,All,.8101595,1
2021,01,109,industry,Goods Producing,.9139786,1
2021,01,109,industry,Public Administration,NA,NA
2021,01,109,industry,"Trade, Transit, Utilities",.7378569,1
2021,01,109,industry,Information Services,1.480349,3
2021,01,109,industry,Professional Services,1.046997,1
2021,01,109,industry,Education and Health,.7851317,1
2021,01,109,industry,Leisure and Other,.8226734,1
2021,01,111,all,All,.6776048,1
2021,01,111,industry,Goods Producing,.71561,1
2021,01,111,industry,Public Administration,.8293166,1
2021,01,111,industry,"Trade, Transit, Utilities",.650723,1
2021,01,111,industry,Information Services,1.002966,3
2021,01,111,industry,Professional Services,.8769003,1
2021,01,111,industry,Education and Health,.7675195,1
2021,01,111,industry,Leisure and Other,.4194476,1
2021,01,113,all,All,.726061,1
2021,01,113,industry,Goods Producing,1.037355,1
2021,01,113,industry,Public Administration,.8242722,1
2021,01,113,industry,"Trade, Transit, Utilities",.5690985,1
2021,01,113,industry,Information Services,1.156612,3
2021,01,113,industry,Professional Services,.7107155,1
2021,01,113,industry,Education and Health,.7506138,1
2021,01,113,industry,Leisure and Other,.4371273,1
2021,01,115,all,All,.7566481,1
2021,01,115,industry,Goods Producing,.973583,1
2021,01,115,industry,Public Administration,.8569513,1
2021,01,115,industry,"Trade, Transit, Utilities",.6569279,1
2021,01,115,industry,Information Services,.9412177,3
2021,01,115,industry,Professional Services,.8756124,1
2021,01,115,industry,Education and Health,.8248776,1
2021,01,115,industry,Leisure and Other,.5042862,1
2021,01,117,all,All,1.019944,1
