year,state,county,adults,children,wage
2021,01,041,2 Adults (Both Working),2 Children,19.77
2021,01,041,2 Adults (Both Working),3 Children,22.33
2021,01,043,1 Adult,0 Children,14.91
2021,01,043,1 Adult,1 Child,29.11
2021,01,043,1 Adult,2 Children,36.53
2021,01,043,1 Adult,3 Children,47.98
2021,01,043,2 Adults (1 Working),0 Children,23.79
2021,01,043,2 Adults (1 Working),1 Child,28.43
2021,01,043,2 Adults (1 Working),2 Children,33.86
2021,01,043,2 Adults (1 Working),3 Children,36.6
2021,01,043,2 Adults (Both Working),0 Children,11.89
2021,01,043,2 Adults (Both Working),1 Child,16.27
2021,01,043,2 Adults (Both Working),2 Children,21.04
2021,01,043,2 Adults (Both Working),3 Children,24.47
2021,01,045,1 Adult,0 Children,15.14
2021,01,045,1 Adult,1 Child,27.72
2021,01,045,1 Adult,2 Children,33.99
2021,01,045,1 Adult,3 Children,44.47
2021,01,045,2 Adults (1 Working),0 Children,23.67
2021,01,045,2 Adults (1 Working),1 Child,28.19
2021,01,045,2 Adults (1 Working),2 Children,33.62
2021,01,045,2 Adults (1 Working),3 Children,36.54
2021,01,045,2 Adults (Both Working),0 Children,11.84
2021,01,045,2 Adults (Both Working),1 Child,15.58
2021,01,045,2 Adults (Both Working),2 Children,19.77
2021,01,045,2 Adults (Both Working),3 Children,22.71
2021,01,047,1 Adult,0 Children,14.9
2021,01,047,1 Adult,1 Child,28.56
2021,01,047,1 Adult,2 Children,35.58
2021,01,047,1 Adult,3 Children,46.06
2021,01,047,2 Adults (1 Working),0 Children,23.46
2021,01,047,2 Adults (1 Working),1 Child,28.29
2021,01,047,2 Adults (1 Working),2 Children,33.71
2021,01,047,2 Adults (1 Working),3 Children,35.88
2021,01,047,2 Adults (Both Working),0 Children,11.73
2021,01,047,2 Adults (Both Working),1 Child,16
2021,01,047,2 Adults (Both Working),2 Children,20.57
2021,01,047,2 Adults (Both Working),3 Children,23.51
2021,01,049,1 Adult,0 Children,14.33
2021,01,049,1 Adult,1 Child,27.44
2021,01,049,1 Adult,2 Children,33.43
2021,01,049,1 Adult,3 Children,43.34
2021,01,049,2 Adults (1 Working),0 Children,23.41
2021,01,049,2 Adults (1 Working),1 Child,28.19
2021,01,049,2 Adults (1 Working),2 Children,33.62
2021,01,049,2 Adults (1 Working),3 Children,36.24
2021,01,049,2 Adults (Both Working),0 Children,11.71
2021,01,049,2 Adults (Both Working),1 Child,15.44
2021,01,049,2 Adults (Both Working),2 Children,19.49
2021,01,049,2 Adults (Both Working),3 Children,22.15
2021,01,051,1 Adult,0 Children,16.04
2021,01,051,1 Adult,1 Child,30.58
2021,01,051,1 Adult,2 Children,37.6
2021,01,051,1 Adult,3 Children,48.71
2021,01,051,2 Adults (1 Working),0 Children,25.52
2021,01,051,2 Adults (1 Working),1 Child,30.31
2021,01,051,2 Adults (1 Working),2 Children,35.73
