year,state,place,subgroup_type,subgroup,share_employed,share_employed_ub,share_employed_lb,share_employed_quality
2021,04,07940,race-ethnicity,Hispanic,0.738002655838473,0.7599932959091422,0.7160120157678038,2
2021,04,07940,race-ethnicity,Other Races and Ethnicities,0.6267719208895679,0.671361027899248,0.5821828138798878,2
2021,04,07940,race-ethnicity,"White, Non-Hispanic",0.7458537152947515,0.7621086480072444,0.7295987825822586,2
2021,04,12000,race-ethnicity,"Black, Non-Hispanic",0.8490086406296053,0.881586998053476,0.8164302832057347,1
2021,04,12000,race-ethnicity,Hispanic,0.8276885302994536,0.8440767413968786,0.8113003192020285,1
2021,04,12000,race-ethnicity,Other Races and Ethnicities,0.8172659774806779,0.8350206143597318,0.7995113406016239,1
2021,04,12000,race-ethnicity,"White, Non-Hispanic",0.8469247856056847,0.8545396053902453,0.8393099658211242,1
2021,04,23620,race-ethnicity,"Black, Non-Hispanic",0.7006651884700665,0.9183687301439116,0.48296164679622144,2
2021,04,23620,race-ethnicity,Hispanic,0.8160808192637697,0.8631730750752789,0.7689885634522606,2
2021,04,23620,race-ethnicity,Other Races and Ethnicities,0.6580325960419092,0.6845755864002143,0.6314896056836041,2
2021,04,23620,race-ethnicity,"White, Non-Hispanic",0.8370548494217337,0.8583080702691993,0.8158016285742681,2
2021,04,27400,race-ethnicity,"Black, Non-Hispanic",0.8483881147739962,0.8949416385657445,0.801834590982248,1
2021,04,27400,race-ethnicity,Hispanic,0.852040066755017,0.8710866689260428,0.83299346458399115,1
2021,04,27400,race-ethnicity,Other Races and Ethnicities,0.8046320014276487,0.8327467857569261,0.7765172170983713,1
2021,04,27400,race-ethnicity,"White, Non-Hispanic",0.8243058285003887,0.8344327877551796,0.8141788692455978,1
2021,04,27820,race-ethnicity,"Black, Non-Hispanic",0.7293022406817448,0.7657150478610228,0.6928894335024667,1
2021,04,27820,race-ethnicity,Hispanic,0.7324044514305847,0.7463869325637653,0.7184219702974042,1
2021,04,27820,race-ethnicity,Other Races and Ethnicities,0.7882997716975233,0.8146832845691093,0.7619162588259373,1
2021,04,27820,race-ethnicity,"White, Non-Hispanic",0.7653001765847532,0.7770546746962759,0.7535456784732306,1
2021,04,28380,race-ethnicity,"Black, Non-Hispanic",0.7124799984627107,0.7546277661596513,0.6703322307657701,2
2021,04,28380,race-ethnicity,Hispanic,0.7771837012904492,0.7933039377761751,0.7610634648047233,2
2021,04,28380,race-ethnicity,Other Races and Ethnicities,0.6858425842455238,0.7223512660744275,0.6493339024166201,2
2021,04,28380,race-ethnicity,"White, Non-Hispanic",0.7714856378942259,0.7854060840375641,0.7575651917508877,2
2021,04,46000,race-ethnicity,"Black, Non-Hispanic",0.8227908994589657,0.8633795267029006,0.7822022722150307,1
2021,04,46000,race-ethnicity,Hispanic,0.7756872734870555,0.792488288214629,0.7588862587594819,1
2021,04,46000,race-ethnicity,Other Races and Ethnicities,0.8200036968073084,0.8428324042024105,0.7971749894122064,1
2021,04,46000,race-ethnicity,"White, Non-Hispanic",0.811790893035815,0.8208354546808245,0.8027463313908054,1
2021,04,54050,race-ethnicity,"Black, Non-Hispanic",0.7874151035110378,0.8267791826617571,0.7480510243603186,2
2021,04,54050,race-ethnicity,Hispanic,0.7681617352545482,0.7848689213214264,0.7514545491876701,2
2021,04,54050,race-ethnicity,Other Races and Ethnicities,0.7476458753255589,0.7738941871108549,0.721397563540263,2
2021,04,54050,race-ethnicity,"White, Non-Hispanic",0.814947320148178,0.824379483918019,0.8055151563783369,2
2021,04,55000,race-ethnicity,"Black, Non-Hispanic",0.7934986139944123,0.8107423042873341,0.7762549237014906,1
2021,04,55000,race-ethnicity,Hispanic,0.7458487873274567,0.7532627842042101,0.7384347904507034,1
2021,04,55000,race-ethnicity,Other Races and Ethnicities,0.776018002694944,0.7894372656580974,0.7625987397317907,1
2021,04,55000,race-ethnicity,"White, Non-Hispanic",0.8226700005667643,0.827971750165523,0.8173682509680056,1
2021,04,65000,race-ethnicity,"Black, Non-Hispanic",0.9034808758626992,0.942326826356874,0.8646349253685244,2
2021,04,65000,race-ethnicity,Hispanic,0.7995823336304129,0.8205745098688569,0.7785901573919688,2
