year,state,county,election_turnout,election_turnout_quality
2020,06,065,0.6271224175340399,1
2020,06,067,0.680924466517233,1
2020,06,069,0.7265625,1
2020,06,071,0.6077199573722523,1
2020,06,073,0.6976440286435257,1
2020,06,075,0.6795976527188319,1
2020,06,077,0.6168181137884586,1
2020,06,079,0.72496765847348,1
2020,06,081,0.740233590790866,1
2020,06,083,0.7056053535264595,1
2020,06,085,0.7253930763983629,1
2020,06,087,0.7454489307496333,1
2020,06,089,0.6832083517129833,1
2020,06,091,0.7930184804928131,1
2020,06,093,0.69290036900369,1
2020,06,095,0.6575229152693941,1
2020,06,097,0.7515145573963337,1
2020,06,099,0.6252661585897958,1
2020,06,101,0.6865330435482573,1
2020,06,103,0.6185360602798708,1
2020,06,105,0.6100389863547758,1
2020,06,107,0.5625837833697193,1
2020,06,109,0.6847877491273505,1
2020,06,111,0.7419088811489433,1
2020,06,113,0.6559293467268927,1
2020,06,115,0.5688430698739977,1
2020,08,001,0.7158754157846992,1
2020,08,003,0.679251848629839,1
2020,08,005,0.7784006668519033,1
2020,08,007,0.832407828857533,1
2020,08,009,0.8180147058823529,1
2020,08,011,0.4858974358974359,1
2020,08,013,0.8361840236926448,1
2020,08,014,0.9138154027042916,1
2020,08,015,0.8266345284724315,1
2020,08,017,0.8383763837638376,2
2020,08,019,0.8299112801013941,1
2020,08,021,0.7294612794612795,1
2020,08,023,0.6933774834437086,1
2020,08,025,0.36649214659685864,1
2020,08,027,0.8717026378896883,1
2020,08,029,0.8047361861238056,1
2020,08,031,0.7511591756549271,1
2020,08,033,0.905625,2
2020,08,035,0.9471628667825376,1
2020,08,037,0.7693729372937294,1
2020,08,039,0.9337432365961633,1
2020,08,041,0.7287488097871563,1
2020,08,043,0.6472584525769279,1
2020,08,045,0.7981404958677686,1
2020,08,047,0.8414070351758794,1
2020,08,049,0.7896,1
2020,08,051,0.8070681572304363,1
2020,08,053,0.9503759398496241,2
2020,08,055,0.7805137289636846,1
2020,08,057,0.7856502242152467,2
2020,08,059,0.8402257773621455,1
2020,08,061,0.86,2
2020,08,063,0.7575342465753425,1
2020,08,065,0.6612687813021703,1
2020,08,067,0.7910179640718563,1
2020,08,069,0.823576056829237,1
2020,08,071,0.7004839419269687,1
2020,08,073,0.6136574074074074,1
2020,08,075,0.5977298524404087,1
2020,08,077,0.7758818493150685,1
2020,08,079,1,2
2020,08,081,0.7603896103896104,1
2020,08,083,0.7728745948641237,1
2020,08,085,0.7812539184952978,1
2020,08,087,0.7291246684350132,1
2020,08,089,0.7082840236686391,1
2020,08,091,0.9745454545454545,1
2020,08,093,0.7968233387358185,1
2020,08,095,0.9203703703703704,2
2020,08,097,0.8507292778370686,1
2020,08,099,0.67,1
2020,08,101,0.6948184286107724,1
2020,08,103,0.7778714436248683,1
2020,08,105,0.7707823960880196,1
2020,08,107,0.830511811023622,1
2020,08,109,0.6730883813306852,1
2020,08,111,1,3
2020,08,113,0.8228617106314948,1
2020,08,115,0.8844036697247707,1
2020,08,117,0.7748008385744235,1
2020,08,119,0.8287181996086106,1
2020,08,121,0.8096904441453566,1
2020,08,123,0.7704595791805094,1
2020,08,125,0.7657186779400461,1
2020,09,001,0.7409900865855189,1
2020,09,003,0.6877047988551925,1
