STNAM,FIPST,LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
ALABAMA,01,0100960,Crenshaw County,No,8,,S,.,4,S,.,.,.,.,15OCT16
ALABAMA,01,0100990,Cullman City,No,27,,.,.,9,18,8,S,.,.,15OCT16
ALABAMA,01,0101020,Cullman County,No,32,,.,.,4,28,.,S,.,.,15OCT16
ALABAMA,01,0101050,Dale County,No,4,,S,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0101080,Daleville City,No,11,,5,.,.,6,.,4,.,.,15OCT16
ALABAMA,01,0101110,Dallas County,Yes,241,Y,.,86,.,155,4,.,.,S,15OCT16
ALABAMA,01,0101140,Dekalb County,Yes,452,Y,3,41,9,399,52,218,24,35,15OCT16
ALABAMA,01,0101170,Decatur City,Yes,135,Y,35,.,7,93,13,18,.,S,15OCT16
ALABAMA,01,0101200,Demopolis City,No,6,,S,S,.,3,.,.,.,.,15OCT16
ALABAMA,01,0101230,Dothan City,Yes,950,Y,16,.,9,925,10,3,21,4,15OCT16
ALABAMA,01,0101260,Elba City,Yes,41,,.,.,.,41,7,.,.,.,15OCT16
ALABAMA,01,0101290,Elmore County,No,76,,7,.,.,69,12,5,.,10,15OCT16
ALABAMA,01,0101320,Enterprise City,Yes,148,,S,.,S,141,29,19,S,29,15OCT16
ALABAMA,01,0101350,Escambia County,No,17,,.,S,S,13,.,.,.,.,15OCT16
ALABAMA,01,0101380,Etowah County,No,50,Y,S,9,S,39,.,.,.,.,15OCT16
ALABAMA,01,0101440,Fairfield City,Yes,499,,S,.,S,493,11,.,.,.,15OCT16
ALABAMA,01,0101470,Fayette County,No,41,,.,.,.,41,.,.,.,.,15OCT16
ALABAMA,01,0101530,Florence City,Yes,173,,10,.,42,121,22,8,.,14,15OCT16
ALABAMA,01,0101620,Gadsden City,Yes,134,Y,12,.,14,108,11,19,.,.,15OCT16
ALABAMA,01,0101640,Geneva City,No,23,,10,.,.,13,.,.,.,.,15OCT16
ALABAMA,01,0101660,Geneva County,No,19,,S,.,S,15,.,.,.,.,15OCT16
ALABAMA,01,0101680,Greene County,No,51,,.,.,.,51,.,.,.,.,15OCT16
ALABAMA,01,0101690,Guntersville City,Yes,101,,.,S,S,77,5,14,.,.,15OCT16
ALABAMA,01,0101710,Hale County,No,6,,S,.,.,S,S,.,.,.,15OCT16
ALABAMA,01,0101720,Haleyville City,No,S,,.,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0101730,Hartselle City,No,77,,S,S,6,67,.,.,.,.,15OCT16
ALABAMA,01,0101740,Henry County,No,19,,S,.,.,S,.,3,.,.,15OCT16
ALABAMA,01,0101760,Homewood City,No,16,,7,.,3,6,.,.,.,.,15OCT16
ALABAMA,01,0101770,Houston County,No,4,,S,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0101800,Huntsville City,Yes,261,Y,57,.,41,163,47,4,.,S,15OCT16
ALABAMA,01,0101830,Jackson County,No,3,,.,.,.,3,.,.,.,.,15OCT16
ALABAMA,01,0101860,Jacksonville City,No,S,,.,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0101920,Jefferson County,Yes,257,Y,27,S,S,221,45,16,.,53,15OCT16
ALABAMA,01,0101950,Lamar County,No,26,,.,.,.,26,.,.,.,.,15OCT16
ALABAMA,01,0101980,Lanett City,No,4,,4,.,.,.,S,.,.,.,15OCT16
ALABAMA,01,0102010,Lauderdale County,Yes,96,Y,.,4,3,89,16,.,.,22,15OCT16
ALABAMA,01,0102040,Lawrence County,Yes,414,Y,.,48,16,350,12,71,3,.,15OCT16
ALABAMA,01,0102070,Lee County,No,22,,.,.,S,S,.,.,.,.,15OCT16
ALABAMA,01,0102100,Limestone County,No,103,,5,S,S,94,.,.,.,.,15OCT16
ALABAMA,01,0102160,Lowndes County,Yes,117,Y,10,5,5,97,20,S,.,10,15OCT16
ALABAMA,01,0102190,Macon County,Yes,55,Y,S,.,.,S,4,3,.,3,15OCT16
ALABAMA,01,0102220,Madison County,Yes,83,Y,13,.,5,65,5,3,.,20,15OCT16
ALABAMA,01,0102310,Marion County,Yes,44,,3,S,S,39,12,3,.,21,15OCT16
ALABAMA,01,0102350,Midfield City,No,162,,S,.,S,153,17,.,.,.,15OCT16
ALABAMA,01,0102370,Mobile County,Yes,5713,Y,170,46,390,5107,536,94,35,334,15OCT16
ALABAMA,01,0102430,Montgomery County,Yes,953,Y,60,.,99,794,131,16,.,S,15OCT16
ALABAMA,01,0102480,Morgan County,Yes,73,Y,S,.,S,70,.,.,.,.,15OCT16
ALABAMA,01,0102490,Mountain Brook City,No,4,,.,.,.,4,.,.,.,.,15OCT16
ALABAMA,01,0102520,Muscle Shoals City,No,S,,S,.,.,.,.,.,.,.,15OCT16
ALABAMA,01,0102550,Oneonta City,No,11,,S,.,S,7,5,S,.,.,15OCT16
ALABAMA,01,0102580,Opelika City,No,7,,S,.,S,4,S,.,.,.,15OCT16
ALABAMA,01,0102610,Opp City,No,12,,.,.,S,S,.,.,.,.,15OCT16
ALABAMA,01,0102635,Oxford City,No,453,Y,9,3,5,436,.,.,.,.,15OCT16
ALABAMA,01,0102640,Ozark City,No,27,,S,S,4,17,.,.,.,.,15OCT16
ALABAMA,01,0102650,Pell City,No,50,,.,.,.,50,.,.,.,.,15OCT16
ALABAMA,01,0102670,Perry County,Yes,206,,.,.,.,206,13,.,.,.,15OCT16
ALABAMA,01,0102700,Phenix City,No,69,Y,5,.,10,54,.,.,.,.,15OCT16
ALABAMA,01,0102730,Pickens County,No,3,,S,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0102760,Piedmont City,No,21,Y,.,.,4,17,.,.,.,.,15OCT16
ALABAMA,01,0102790,Pike County,No,98,Y,.,.,3,95,9,14,.,.,15OCT16
ALABAMA,01,0102820,Randolph County,No,25,,.,.,3,22,.,.,.,.,15OCT16
ALABAMA,01,0102850,Roanoke City,No,S,,.,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0102880,Russell County,No,62,,.,.,S,S,.,.,.,.,15OCT16
ALABAMA,01,0102910,Russellville City,No,6,,S,.,3,S,.,.,.,.,15OCT16
ALABAMA,01,0102940,Scottsboro City,No,12,,.,.,.,12,.,.,.,.,15OCT16
ALABAMA,01,0102970,Selma City,Yes,195,Y,26,.,34,135,.,.,.,.,15OCT16
ALABAMA,01,0103000,Sheffield City,No,10,,S,.,S,7,.,.,.,.,15OCT16
ALABAMA,01,0103030,Shelby County,Yes,299,,15,3,35,246,11,5,.,5,15OCT16
ALABAMA,01,0103062,St Clair County,Yes,348,,6,4,11,327,65,67,87,S,15OCT16
ALABAMA,01,0103090,Sumter County,No,14,,.,.,.,14,.,.,.,.,15OCT16
ALABAMA,01,0103120,Sylacauga City,Yes,32,Y,.,.,.,32,.,.,.,.,15OCT16
ALABAMA,01,0103180,Talladega County,No,216,,.,.,.,216,.,.,.,.,15OCT16
ALABAMA,01,0103240,Tallassee City,No,58,Y,5,.,.,53,S,.,.,.,15OCT16
ALABAMA,01,0103270,Tarrant City,No,33,,.,.,.,33,6,.,.,.,15OCT16
ALABAMA,01,0103300,Thomasville City,No,17,,.,.,.,17,3,.,.,.,15OCT16
ALABAMA,01,0103330,Troy City,No,53,,.,.,.,53,.,.,.,.,15OCT16
ALABAMA,01,0103360,Tuscaloosa City,Yes,388,Y,53,.,48,287,.,.,.,27,15OCT16
ALABAMA,01,0103390,Tuscaloosa County,No,205,,24,.,14,167,48,18,.,26,15OCT16
ALABAMA,01,0103430,Vestavia Hills City,No,8,,5,.,.,3,.,.,.,.,15OCT16
ALABAMA,01,0103450,Walker County,Yes,130,,S,S,.,125,6,.,.,50,15OCT16
ALABAMA,01,0103480,Washington County,No,41,,.,S,S,37,.,.,.,.,15OCT16
ALABAMA,01,0103510,Wilcox County,Yes,132,Y,7,.,5,120,9,.,.,.,15OCT16
ALABAMA,01,0103540,Winfield City,No,8,,.,.,S,S,.,.,.,.,15OCT16
ALABAMA,01,0103580,Winston County,No,3,,.,.,.,3,.,.,.,.,15OCT16
ALASKA,02,0200001,Lower Kuskokwim School District,No,53,,.,.,31,22,7,30,9,31,15OCT16
ALASKA,02,0200020,Bering Strait School District,No,7,,.,.,.,7,.,S,S,.,15OCT16
ALASKA,02,0200050,Alaska Gateway School District,No,S,,.,.,.,S,S,.,.,S,15OCT16
ALASKA,02,0200090,Craig City School District,No,S,,.,.,.,S,S,.,.,S,15OCT16
ALASKA,02,0200120,Dillingham City School District,No,3,,.,.,S,S,.,.,S,.,15OCT16
ALASKA,02,0200130,Galena City School District,No,10,,S,.,S,6,S,.,S,6,15OCT16
ALASKA,02,0200150,Ketchikan Gateway Borough School District,No,18,,.,.,3,15,S,.,.,S,15OCT16
ALASKA,02,0200180,Anchorage School District,Yes,2213,Y,224,91,551,1347,590,439,259,458,15OCT16
ALASKA,02,0200210,Juneau Borough School District,No,180,,S,S,57,98,58,30,.,51,15OCT16
ALASKA,02,0200240,Sitka School District,No,50,,S,S,7,35,10,S,S,7,15OCT16
ALASKA,02,0200300,Hoonah City School District,No,15,Y,.,.,.,15,3,.,3,.,15OCT16
ALASKA,02,0200390,Kenai Peninsula Borough School District,Yes,243,Y,20,56,27,140,80,6,3,62,15OCT16
ALASKA,02,0200480,Kodiak Island Borough School District,No,17,,6,.,8,3,S,8,S,.,15OCT16
ALASKA,02,0200510,Matanuska-Susitna Borough School District,Yes,879,Y,35,153,172,519,223,42,38,218,15OCT16
ALASKA,02,0200540,Nenana City School District,No,3,,.,.,.,3,.,.,.,.,15OCT16
ALASKA,02,0200570,Nome Public Schools,No,18,Y,S,.,S,.,S,4,5,S,15OCT16
ALASKA,02,0200600,Fairbanks North Star Borough School District,Yes,368,Y,16,17,161,174,110,36,36,60,15OCT16
ALASKA,02,0200610,North Slope Borough School District,No,8,Y,.,.,8,.,S,S,.,S,15OCT16
ALASKA,02,0200700,Southeast Island School District,No,S,,.,.,.,S,.,.,.,S,15OCT16
ALASKA,02,0200770,Denali Borough School District,No,S,,.,.,.,S,.,.,.,.,15OCT16
ALASKA,02,0200780,Valdez City School District,No,18,Y,S,6,S,8,7,S,.,S,15OCT16
ALASKA,02,0200800,Chugach School District,No,4,,.,.,.,4,.,S,.,.,15OCT16
ARIZONA,04,0400001,Cave Creek Unified District,No,8,,.,.,.,8,4,S,.,.,15OCT16
ARIZONA,04,0400003,Chino Valley Unified District,No,172,,S,S,29,137,26,18,.,.,15OCT16
ARIZONA,04,0400004,Clarkdale-Jerome Elementary District,No,5,,.,.,.,5,S,.,.,.,15OCT16
ARIZONA,04,0400016,Center for Academic Success  Inc.,Yes,294,,S,.,S,252,9,168,.,.,15OCT16
ARIZONA,04,0400022,Vernon Elementary District,No,22,,.,.,.,22,3,.,.,.,15OCT16
ARIZONA,04,0400023,Pinon Unified District,No,33,,.,.,.,32,4,5,.,.,15OCT16
ARIZONA,04,0400033,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,No,8,,.,.,.,8,.,.,.,.,15OCT16
ARIZONA,04,0400041,Maricopa County Community College District dba Gateway Early,No,3,,.,.,.,S,.,.,.,S,15OCT16
ARIZONA,04,0400047,Salt River Pima-Maricopa  Community Schools,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400057,Arizona Call-a-Teen Youth Resources  Inc.,No,8,,.,.,S,S,S,S,.,.,15OCT16
ARIZONA,04,0400077,Career Development  Inc.,No,26,,.,S,S,23,6,.,.,.,15OCT16
ARIZONA,04,0400078,Edge School  Inc.  The,No,20,,.,.,15,5,5,.,.,.,15OCT16
ARIZONA,04,0400082,Colorado River Union High School District,No,23,,.,.,.,20,3,.,.,.,15OCT16
ARIZONA,04,0400083,Portable Practical Educational Preparation  Inc. (PPEP  Inc.,No,154,,S,S,22,129,17,21,38,.,15OCT16
ARIZONA,04,0400090,Mingus Springs Charter School,No,6,,.,.,.,6,S,.,.,.,15OCT16
ARIZONA,04,0400099,Liberty High School,No,27,,.,.,.,27,4,.,.,.,15OCT16
ARIZONA,04,0400102,Friendly House  Inc.,No,155,,.,.,5,150,13,52,.,.,15OCT16
ARIZONA,04,0400103,Ombudsman Educational Services  Ltd. a subsidiary of Educati,No,21,,3,.,.,18,3,.,.,.,15OCT16
ARIZONA,04,0400109,Phoenix Advantage Charter School  Inc.,No,46,,S,S,.,42,9,11,.,.,15OCT16
ARIZONA,04,0400128,Academy Of Excellence  Inc.,No,141,,.,88,40,13,S,S,.,.,15OCT16
ARIZONA,04,0400130,American Heritage Academy,No,14,,.,.,3,11,S,.,.,.,15OCT16
ARIZONA,04,0400144,Florence Crittenton Services of Arizona  Inc.,No,5,,.,.,S,S,.,.,.,.,15OCT16
ARIZONA,04,0400149,Kaizen Education Foundation dba El Dorado High School,No,28,,.,.,6,22,6,.,.,.,15OCT16
ARIZONA,04,0400150,Mexicayotl Academy  Inc.,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400153,Phoenix School of Academic Excellence The,No,4,,S,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400157,Edkey  Inc. - Sequoia Choice Schools,No,9,,.,.,S,S,.,.,.,.,15OCT16
ARIZONA,04,0400159,Tucson Preparatory School,No,72,,S,.,S,34,23,.,.,.,15OCT16
ARIZONA,04,0400161,Westwind Children's Services,No,19,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400190,Liberty Traditional Charter School,No,79,,S,S,S,74,6,40,.,.,15OCT16
ARIZONA,04,0400191,Fit Kids  Inc. dba Champion Schools,No,169,,.,.,.,S,14,20,.,.,15OCT16
ARIZONA,04,0400201,Pima County Board of Supervisors,No,62,,.,.,S,S,12,S,.,.,15OCT16
ARIZONA,04,0400204,Mountain Rose Academy  Inc.,No,14,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400207,Vechij Himdag Alternative School  Inc.,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400209,Park View School  Inc.,No,20,,.,.,3,17,3,.,.,.,15OCT16
ARIZONA,04,0400212,Benson Unified School District,No,25,,4,.,4,17,3,S,.,.,15OCT16
ARIZONA,04,0400216,Precision Academy Systems  Inc,No,115,,.,.,.,95,S,14,.,.,15OCT16
ARIZONA,04,0400218,American Basic Schools LLC,No,10,,.,.,4,6,S,.,.,.,15OCT16
ARIZONA,04,0400219,Career Success Schools,No,11,,.,.,S,S,.,S,.,.,15OCT16
ARIZONA,04,0400221,Kaizen Education Foundation dba South Pointe Elementary Scho,No,65,,.,.,4,47,5,S,.,.,15OCT16
ARIZONA,04,0400227,Kaizen Education Foundation dba South Pointe Junior High Sch,No,15,,S,.,.,S,4,S,.,.,15OCT16
ARIZONA,04,0400230,Pathfinder Charter School Foundation,No,S,,.,.,.,S,.,S,.,.,15OCT16
ARIZONA,04,0400235,Excalibur Charter Schools  Inc.,No,9,,.,.,.,9,S,.,.,.,15OCT16
ARIZONA,04,0400239,P.L.C. Charter Schools,No,13,,S,.,S,11,S,.,.,.,15OCT16
ARIZONA,04,0400241,Paragon Management  Inc.,No,8,,.,S,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400243,Skyline Schools  Inc.,No,8,,.,S,S,5,S,.,.,.,15OCT16
ARIZONA,04,0400244,Edkey  Inc. - Sequoia Charter School,No,82,,S,4,S,46,25,4,.,.,15OCT16
ARIZONA,04,0400246,Edkey  Inc. - Sequoia Village School,No,8,,.,.,.,6,S,.,.,.,15OCT16
ARIZONA,04,0400248,Telesis Center for Learning  Inc.,No,15,,.,.,.,15,4,.,.,.,15OCT16
ARIZONA,04,0400254,Southern Arizona Community Academy  Inc.,No,13,,.,.,13,.,.,.,.,.,15OCT16
ARIZONA,04,0400259,Southgate Academy  Inc.,No,9,,.,.,3,6,S,.,.,.,15OCT16
ARIZONA,04,0400276,Academy with Community Partners  Inc,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400279,West Gilbert Charter Elementary School  Inc.,No,3,,.,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400284,Omega Alpha Academy,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400288,Premier Charter High School,No,33,,S,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400295,Kingman Unified School District,No,472,Y,33,15,16,402,102,11,.,23,15OCT16
ARIZONA,04,0400298,Legacy Schools,No,8,,S,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400299,Visions Unlimited Academy  Inc.,No,5,,.,.,.,5,S,.,.,.,15OCT16
ARIZONA,04,0400311,E-Institute Charter Schools  Inc.,No,30,,3,.,3,17,3,.,.,.,15OCT16
ARIZONA,04,0400312,Ira H. Hayes Memorial Applied Learning Center  Inc.,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400315,Yavapai Accommodation School District,No,S,,.,.,S,.,.,.,.,.,15OCT16
ARIZONA,04,0400320,Acorn Montessori Charter School,No,5,,.,.,.,5,S,.,.,.,15OCT16
ARIZONA,04,0400322,Desert Rose Academy Inc.,No,26,,S,S,6,18,7,.,.,.,15OCT16
ARIZONA,04,0400326,Success School,No,3,,.,.,.,3,S,.,.,.,15OCT16
ARIZONA,04,0400334,Westwind Middle School Academy,No,6,,.,.,.,6,S,.,.,.,15OCT16
ARIZONA,04,0400340,Noah Webster Schools - Mesa,No,S,,.,.,.,.,.,.,.,.,15OCT16
ARIZONA,04,0400350,PEAK School Inc.  The,No,3,,S,.,.,S,.,S,.,.,15OCT16
ARIZONA,04,0400351,Kaizen Education Foundation dba Vista Grove Preparatory Acad,No,32,,S,.,S,27,8,4,.,.,15OCT16
ARIZONA,04,0400352,American Charter Schools Foundation d.b.a. Estrella High Sch,No,15,,.,.,S,S,3,.,.,.,15OCT16
ARIZONA,04,0400353,American Charter Schools Foundation d.b.a. Peoria Accelerate,No,80,,.,.,72,8,16,S,.,.,15OCT16
ARIZONA,04,0400354,American Charter Schools Foundation d.b.a. Sun Valley High S,No,54,,S,S,5,42,5,.,.,.,15OCT16
ARIZONA,04,0400355,American Charter Schools Foundation d.b.a. West Phoenix High,Yes,299,,12,S,S,282,30,18,.,.,15OCT16
ARIZONA,04,0400356,Nosotros  Inc,No,25,,.,.,S,S,3,.,.,.,15OCT16
ARIZONA,04,0400357,American Charter Schools Foundation d.b.a. Apache Trail High,No,5,,.,.,5,.,.,.,.,.,15OCT16
ARIZONA,04,0400361,Arizona Community Development Corporation,No,43,,S,.,S,37,5,3,.,.,15OCT16
ARIZONA,04,0400363,SC Jensen Corporation  Inc. dba Intelli-School,No,6,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400364,PAS Charter  Inc.  dba Intelli-School,No,7,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400367,Pima Prevention Partnership dba Pima Partnership School  The,No,27,,.,.,8,19,6,.,.,.,15OCT16
ARIZONA,04,0400370,Midtown Primary School,No,20,,.,.,3,15,7,S,.,.,15OCT16
ARIZONA,04,0400373,Tucson International Academy  Inc.,No,S,,.,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400374,Bell Canyon Charter School  Inc,No,4,,3,.,.,.,.,.,.,.,15OCT16
ARIZONA,04,0400382,CPLC Community Schools dba Toltecalli High School,No,4,,.,.,.,4,S,.,.,.,15OCT16
ARIZONA,04,0400383,Life Skills Center of Arizona  Inc.,No,26,,.,S,S,17,.,.,.,.,15OCT16
ARIZONA,04,0400384,American Charter Schools Foundation d.b.a. Desert Hills High,No,5,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400385,American Charter Schools Foundation d.b.a. Crestview College,No,31,,S,S,S,27,3,5,.,.,15OCT16
ARIZONA,04,0400386,Kaizen Education Foundation dba Summit High School,No,33,,.,.,S,S,5,S,.,.,15OCT16
ARIZONA,04,0400388,Kaizen Education Foundation dba Skyview High School,No,8,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400389,Kaizen Education Foundation dba Maya High School,No,186,,4,.,10,172,14,22,.,.,15OCT16
ARIZONA,04,0400397,CAFA  Inc. dba Learning Foundation Performing Arts School,No,21,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400401,New World Educational Center,No,S,,.,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400407,Tucson Small School Project,No,6,,.,.,3,3,.,.,.,.,15OCT16
ARIZONA,04,0400414,Academy of Building Industries  Inc.,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400416,StarShine Academy,No,207,,S,.,S,178,16,27,.,.,15OCT16
ARIZONA,04,0400419,Gila County Regional School District,No,93,,.,.,43,50,S,.,.,.,15OCT16
ARIZONA,04,0400423,Legacy Education Group,No,6,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400424,Rosefield Charter Elementary School  Inc.,No,5,,S,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400425,East Mesa Charter Elementary School  Inc.,No,4,,.,.,.,4,S,.,.,.,15OCT16
ARIZONA,04,0400429,Country Gardens Charter Schools,No,18,,.,.,S,S,S,S,.,.,15OCT16
ARIZONA,04,0400442,Imagine Middle at East Mesa  Inc.,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400444,Prescott Valley Charter School,No,5,,.,S,S,S,.,S,.,.,15OCT16
ARIZONA,04,0400446,Imagine Elementary at Tempe  Inc.,No,17,,4,.,5,8,S,.,.,.,15OCT16
ARIZONA,04,0400447,American Charter Schools Foundation d.b.a. South Ridge High,No,S,,.,.,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400450,Agua Fria Union High School District,No,81,,S,.,S,59,18,3,S,.,15OCT16
ARIZONA,04,0400600,Alhambra Elementary District,Yes,382,,17,.,54,301,37,70,.,.,15OCT16
ARIZONA,04,0400609,Bradley Academy of Excellence  Inc.,No,3,,.,.,.,3,.,.,.,.,15OCT16
ARIZONA,04,0400618,American Charter Schools Foundation d.b.a. South Pointe High,No,34,,.,.,4,30,4,S,.,.,15OCT16
ARIZONA,04,0400619,American Charter Schools Foundation d.b.a. Alta Vista High S,No,49,,.,.,4,45,3,6,.,.,15OCT16
ARIZONA,04,0400633,Canyon Rose Academy  Inc.,No,19,,S,.,S,14,S,S,.,.,15OCT16
ARIZONA,04,0400637,Edkey  Inc. - Redwood Academy,No,13,,.,.,S,S,S,.,.,.,15OCT16
ARIZONA,04,0400638,Edkey  Inc. - Pathfinder Academy,No,3,,.,.,.,3,.,.,.,.,15OCT16
ARIZONA,04,0400640,Edkey  Inc. - Sequoia School for the Deaf and Hard of Hearin,No,S,,.,.,.,S,S,.,.,.,15OCT16
ARIZONA,04,0400641,Edkey  Inc. - Sequoia Ranch School,No,287,,4,13,24,246,47,65,.,.,15OCT16
ARIZONA,04,0400649,Heritage Elementary School,No,27,,4,.,.,23,4,S,.,.,15OCT16
ARIZONA,04,0400653,Edkey  Inc. - Arizona Conservatory for Arts and Academics,No,9,,.,S,.,S,.,.,.,.,15OCT16
ARIZONA,04,0400680,Amphitheater Unified District,Yes,281,Y,S,S,97,163,69,23,.,.,15OCT16
ARIZONA,04,0400768,Pima Prevention Partnership dba Pima Partnership Academy,No,4,,.,.,S,S,.,.,.,.,15OCT16
ARIZONA,04,0400769,Imagine Prep Coolidge  Inc.,No,4,,S,.,S,S,.,.,.,.,15OCT16
ARIZONA,04,0400780,Imagine Avondale Elementary  Inc.,No,24,,.,.,8,16,S,4,.,.,15OCT16
ARIZONA,04,0400783,Imagine Prep Superstition  Inc.,No,S,,.,.,.,S,.,.,.,.,15OCT16
