fips,name,name2
0632548,"Hawthorne city, California","Hawthorne, California"
0633000,"Hayward city, California","Hayward, California"
0633182,"Hemet city, California","Hemet, California"
0633434,"Hesperia city, California","Hesperia, California"
0636000,"Huntington Beach city, California","Huntington Beach, California"
0636448,"Indio city, California","Indio, California"
0636546,"Inglewood city, California","Inglewood, California"
0636770,"Irvine city, California","Irvine, California"
0637692,"Jurupa Valley city, California","Jurupa Valley, California"
0639496,"Lake Forest city, California","Lake Forest, California"
0639892,"Lakewood city, California","Lakewood, California"
0640130,"Lancaster city, California","Lancaster, California"
0641992,"Livermore city, California","Livermore, California"
0643000,"Long Beach city, California","Long Beach, California"
0644000,"Los Angeles city, California","Los Angeles, California"
0645484,"Manteca city, California","Manteca, California"
0646842,"Menifee city, California","Menifee, California"
0646898,"Merced city, California","Merced, California"
0647766,"Milpitas city, California","Milpitas, California"
0648256,"Mission Viejo city, California","Mission Viejo, California"
0648354,"Modesto city, California","Modesto, California"
0649270,"Moreno Valley city, California","Moreno Valley, California"
0649670,"Mountain View city, California","Mountain View, California"
0650076,"Murrieta city, California","Murrieta, California"
0650258,"Napa city, California","Napa, California"
0651182,"Newport Beach city, California","Newport Beach, California"
0652526,"Norwalk city, California","Norwalk, California"
0653000,"Oakland city, California","Oakland, California"
0653322,"Oceanside city, California","Oceanside, California"
0653896,"Ontario city, California","Ontario, California"
0653980,"Orange city, California","Orange, California"
0654652,"Oxnard city, California","Oxnard, California"
0655156,"Palmdale city, California","Palmdale, California"
0656000,"Pasadena city, California","Pasadena, California"
0656700,"Perris city, California","Perris, California"
0657456,"Pittsburg city, California","Pittsburg, California"
0657792,"Pleasanton city, California","Pleasanton, California"
0658072,"Pomona city, California","Pomona, California"
0659444,"Rancho Cordova city, California","Rancho Cordova, California"
0659451,"Rancho Cucamonga city, California","Rancho Cucamonga, California"
0659920,"Redding city, California","Redding, California"
0660102,"Redwood City city, California","Redwood City, California"
0660466,"Rialto city, California","Rialto, California"
0660620,"Richmond city, California","Richmond, California"
0662000,"Riverside city, California","Riverside, California"
0662938,"Roseville city, California","Roseville, California"
0664000,"Sacramento city, California","Sacramento, California"
0664224,"Salinas city, California","Salinas, California"
0665000,"San Bernardino city, California","San Bernardino, California"
0665042,"San Buenaventura (Ventura) city, California","San Buenaventura (Ventura), California"
0666000,"San Diego city, California","San Diego, California"
0667000,"San Francisco city, California","San Francisco, California"
0668000,"San Jose city, California","San Jose, California"
0668084,"San Leandro city, California","San Leandro, California"
0668196,"San Marcos city, California","San Marcos, California"
0668252,"San Mateo city, California","San Mateo, California"
0668378,"San Ramon city, California","San Ramon, California"
0669000,"Santa Ana city, California","Santa Ana, California"
0669070,"Santa Barbara city, California","Santa Barbara, California"
0669084,"Santa Clara city, California","Santa Clara, California"
0669088,"Santa Clarita city, California","Santa Clarita, California"
0669196,"Santa Maria city, California","Santa Maria, California"
0670000,"Santa Monica city, California","Santa Monica, California"
0670098,"Santa Rosa city, California","Santa Rosa, California"
0672016,"Simi Valley city, California","Simi Valley, California"
0673080,"South Gate city, California","South Gate, California"
0675000,"Stockton city, California","Stockton, California"
0677000,"Sunnyvale city, California","Sunnyvale, California"
0678120,"Temecula city, California","Temecula, California"
0678582,"Thousand Oaks city, California","Thousand Oaks, California"
0680000,"Torrance city, California","Torrance, California"
0680238,"Tracy city, California","Tracy, California"
0680854,"Tustin city, California","Tustin, California"
0681344,"Upland city, California","Upland, California"
0681554,"Vacaville city, California","Vacaville, California"
0681666,"Vallejo city, California","Vallejo, California"
0682590,"Victorville city, California","Victorville, California"
0682954,"Visalia city, California","Visalia, California"
0682996,"Vista city, California","Vista, California"
0684200,"West Covina city, California","West Covina, California"
0684550,"Westminster city, California","Westminster, California"
0685292,"Whittier city, California","Whittier, California"
0803455,"Arvada city, Colorado","Arvada, Colorado"
0804000,"Aurora city, Colorado","Aurora, Colorado"
0807850,"Boulder city, Colorado","Boulder, Colorado"
0812815,"Centennial city, Colorado","Centennial, Colorado"
0816000,"Colorado Springs city, Colorado","Colorado Springs, Colorado"
0820000,"Denver city, Colorado","Denver, Colorado"
0827425,"Fort Collins city, Colorado","Fort Collins, Colorado"
0832155,"Greeley city, Colorado","Greeley, Colorado"
0843000,"Lakewood city, Colorado","Lakewood, Colorado"
0845970,"Longmont city, Colorado","Longmont, Colorado"
0846465,"Loveland city, Colorado","Loveland, Colorado"
0862000,"Pueblo city, Colorado","Pueblo, Colorado"
0877290,"Thornton city, Colorado","Thornton, Colorado"
0883835,"Westminster city, Colorado","Westminster, Colorado"
0908000,"Bridgeport city, Connecticut","Bridgeport, Connecticut"
0918430,"Danbury city, Connecticut","Danbury, Connecticut"
0937000,"Hartford city, Connecticut","Hartford, Connecticut"
0952000,"New Haven city, Connecticut","New Haven, Connecticut"
0955990,"Norwalk city, Connecticut","Norwalk, Connecticut"
0973000,"Stamford city, Connecticut","Stamford, Connecticut"
0980000,"Waterbury city, Connecticut","Waterbury, Connecticut"
1150000,"Washington city, District of Columbia","Washington, District of Columbia"
1207300,"Boca Raton city, Florida","Boca Raton, Florida"
1207875,"Boynton Beach city, Florida","Boynton Beach, Florida"
1210275,"Cape Coral city, Florida","Cape Coral, Florida"
1212875,"Clearwater city, Florida","Clearwater, Florida"
1214400,"Coral Springs city, Florida","Coral Springs, Florida"
1216475,"Davie town, Florida","Davie, Florida"
1216725,"Deerfield Beach city, Florida","Deerfield Beach, Florida"
1217200,"Deltona city, Florida","Deltona, Florida"
1217935,"Doral city, Florida","Doral, Florida"
1224000,"Fort Lauderdale city, Florida","Fort Lauderdale, Florida"
1224125,"Fort Myers city, Florida","Fort Myers, Florida"
1225175,"Gainesville city, Florida","Gainesville, Florida"
1230000,"Hialeah city, Florida","Hialeah, Florida"
1232000,"Hollywood city, Florida","Hollywood, Florida"
1232275,"Homestead city, Florida","Homestead, Florida"
1235000,"Jacksonville city, Florida","Jacksonville, Florida"
1236950,"Kissimmee city, Florida","Kissimmee, Florida"
1238250,"Lakeland city, Florida","Lakeland, Florida"
1239425,"Largo city, Florida","Largo, Florida"
1243975,"Melbourne city, Florida","Melbourne, Florida"
1245000,"Miami city, Florida","Miami, Florida"
1245025,"Miami Beach city, Florida","Miami Beach, Florida"
1245060,"Miami Gardens city, Florida","Miami Gardens, Florida"
1245975,"Miramar city, Florida","Miramar, Florida"
1249675,"North Port city, Florida","North Port, Florida"
1253000,"Orlando city, Florida","Orlando, Florida"
1254000,"Palm Bay city, Florida","Palm Bay, Florida"
1254200,"Palm Coast city, Florida","Palm Coast, Florida"
1255775,"Pembroke Pines city, Florida","Pembroke Pines, Florida"
1257425,"Plantation city, Florida","Plantation, Florida"
1258050,"Pompano Beach city, Florida","Pompano Beach, Florida"
1258715,"Port St. Lucie city, Florida","Port St. Lucie, Florida"
1263000,"St. Petersburg city, Florida","St. Petersburg, Florida"
1269700,"Sunrise city, Florida","Sunrise, Florida"
1270600,"Tallahassee city, Florida","Tallahassee, Florida"
1271000,"Tampa city, Florida","Tampa, Florida"
1276600,"West Palm Beach city, Florida","West Palm Beach, Florida"
1303440,"Athens-Clarke County unified government (balance), Georgia","Athens-Clarke County unified government, Georgia"
1304000,"Atlanta city, Georgia","Atlanta, Georgia"
1304204,"Augusta-Richmond County consolidated government (balance), Georgia","Augusta-Richmond County consolidated government, Georgia"
1319000,"Columbus city, Georgia","Columbus, Georgia"
1342425,"Johns Creek city, Georgia","Johns Creek, Georgia"
1349008,"Macon-Bibb County, Georgia","Macon-Bibb, Georgia"
1367284,"Roswell city, Georgia","Roswell, Georgia"
1368516,"Sandy Springs city, Georgia","Sandy Springs, Georgia"
1369000,"Savannah city, Georgia","Savannah, Georgia"
1372122,"South Fulton city, Georgia","South Fulton, Georgia"
1380508,"Warner Robins city, Georgia","Warner Robins, Georgia"
1571550,"Urban Honolulu CDP, Hawaii","Urban Honolulu, Hawaii"
1608830,"Boise City city, Idaho","Boise City, Idaho"
1652120,"Meridian city, Idaho","Meridian, Idaho"
1656260,"Nampa city, Idaho","Nampa, Idaho"
1702154,"Arlington Heights village, Illinois","Arlington Heights, Illinois"
1703012,"Aurora city, Illinois","Aurora, Illinois"
1706613,"Bloomington city, Illinois","Bloomington, Illinois"
1712385,"Champaign city, Illinois","Champaign, Illinois"
1714000,"Chicago city, Illinois","Chicago, Illinois"
1714351,"Cicero town, Illinois","Cicero, Illinois"
1723074,"Elgin city, Illinois","Elgin, Illinois"
1724582,"Evanston city, Illinois","Evanston, Illinois"
1738570,"Joliet city, Illinois","Joliet, Illinois"
1751622,"Naperville city, Illinois","Naperville, Illinois"
1759000,"Peoria city, Illinois","Peoria, Illinois"
1765000,"Rockford city, Illinois","Rockford, Illinois"
1768003,"Schaumburg village, Illinois","Schaumburg, Illinois"
1772000,"Springfield city, Illinois","Springfield, Illinois"
1779293,"Waukegan city, Illinois","Waukegan, Illinois"
1805860,"Bloomington city, Indiana","Bloomington, Indiana"
1810342,"Carmel city, Indiana","Carmel, Indiana"
1822000,"Evansville city, Indiana","Evansville, Indiana"
1823278,"Fishers city, Indiana","Fishers, Indiana"
1825000,"Fort Wayne city, Indiana","Fort Wayne, Indiana"
1831000,"Hammond city, Indiana","Hammond, Indiana"
1836003,"Indianapolis city (balance), Indiana","Indianapolis city, Indiana"
1871000,"South Bend city, Indiana","South Bend, Indiana"
1912000,"Cedar Rapids city, Iowa","Cedar Rapids, Iowa"
1919000,"Davenport city, Iowa","Davenport, Iowa"
1921000,"Des Moines city, Iowa","Des Moines, Iowa"
1973335,"Sioux City city, Iowa","Sioux City, Iowa"
2036000,"Kansas City city, Kansas","Kansas City, Kansas"
2038900,"Lawrence city, Kansas","Lawrence, Kansas"
2052575,"Olathe city, Kansas","Olathe, Kansas"
2053775,"Overland Park city, Kansas","Overland Park, Kansas"
2071000,"Topeka city, Kansas","Topeka, Kansas"
2079000,"Wichita city, Kansas","Wichita, Kansas"
2146027,"Lexington-Fayette urban county, Kentucky","Lexington-Fayette urban, Kentucky"
2148006,"Louisville/Jefferson County metro government (balance), Kentucky","Louisville/Jefferson County metro government, Kentucky"
2205000,"Baton Rouge city, Louisiana","Baton Rouge, Louisiana"
2240735,"Lafayette city, Louisiana","Lafayette, Louisiana"
2241155,"Lake Charles city, Louisiana","Lake Charles, Louisiana"
2255000,"New Orleans city, Louisiana","New Orleans, Louisiana"
2270000,"Shreveport city, Louisiana","Shreveport, Louisiana"
2404000,"Baltimore city, Maryland","Baltimore, Maryland"
2430325,"Frederick city, Maryland","Frederick, Maryland"
2507000,"Boston city, Massachusetts","Boston, Massachusetts"
2509000,"Brockton city, Massachusetts","Brockton, Massachusetts"
2511000,"Cambridge city, Massachusetts","Cambridge, Massachusetts"
2523000,"Fall River city, Massachusetts","Fall River, Massachusetts"
2534550,"Lawrence city, Massachusetts","Lawrence, Massachusetts"
2537000,"Lowell city, Massachusetts","Lowell, Massachusetts"
2537490,"Lynn city, Massachusetts","Lynn, Massachusetts"
2545000,"New Bedford city, Massachusetts","New Bedford, Massachusetts"
2545560,"Newton city, Massachusetts","Newton, Massachusetts"
2555745,"Quincy city, Massachusetts","Quincy, Massachusetts"
2562535,"Somerville city, Massachusetts","Somerville, Massachusetts"
2567000,"Springfield city, Massachusetts","Springfield, Massachusetts"
2582000,"Worcester city, Massachusetts","Worcester, Massachusetts"
2603000,"Ann Arbor city, Michigan","Ann Arbor, Michigan"
2621000,"Dearborn city, Michigan","Dearborn, Michigan"
2622000,"Detroit city, Michigan","Detroit, Michigan"
2627440,"Farmington Hills city, Michigan","Farmington Hills, Michigan"
2629000,"Flint city, Michigan","Flint, Michigan"
2634000,"Grand Rapids city, Michigan","Grand Rapids, Michigan"
2646000,"Lansing city, Michigan","Lansing, Michigan"
2649000,"Livonia city, Michigan","Livonia, Michigan"
2669035,"Rochester Hills city, Michigan","Rochester Hills, Michigan"
2674900,"Southfield city, Michigan","Southfield, Michigan"
2676460,"Sterling Heights city, Michigan","Sterling Heights, Michigan"
2680700,"Troy city, Michigan","Troy, Michigan"
2684000,"Warren city, Michigan","Warren, Michigan"
2686000,"Westland city, Michigan","Westland, Michigan"
2688940,"Wyoming city, Michigan","Wyoming, Michigan"
2706616,"Bloomington city, Minnesota","Bloomington, Minnesota"
2707966,"Brooklyn Park city, Minnesota","Brooklyn Park, Minnesota"
2717000,"Duluth city, Minnesota","Duluth, Minnesota"
2743000,"Minneapolis city, Minnesota","Minneapolis, Minnesota"
2751730,"Plymouth city, Minnesota","Plymouth, Minnesota"
2754880,"Rochester city, Minnesota","Rochester, Minnesota"
2758000,"St. Paul city, Minnesota","St. Paul, Minnesota"
2771428,"Woodbury city, Minnesota","Woodbury, Minnesota"
2836000,"Jackson city, Mississippi","Jackson, Mississippi"
2915670,"Columbia city, Missouri","Columbia, Missouri"
2935000,"Independence city, Missouri","Independence, Missouri"
2938000,"Kansas City city, Missouri","Kansas City, Missouri"
2941348,"Lee's Summit city, Missouri","Lee's Summit, Missouri"
2954074,"O'Fallon city, Missouri","O'Fallon, Missouri"
2965000,"St. Louis city, Missouri","St. Louis, Missouri"
2970000,"Springfield city, Missouri","Springfield, Missouri"
3006550,"Billings city, Montana","Billings, Montana"
3128000,"Lincoln city, Nebraska","Lincoln, Nebraska"
3137000,"Omaha city, Nebraska","Omaha, Nebraska"
3231900,"Henderson city, Nevada","Henderson, Nevada"
3240000,"Las Vegas city, Nevada","Las Vegas, Nevada"
3251800,"North Las Vegas city, Nevada","North Las Vegas, Nevada"
3260600,"Reno city, Nevada","Reno, Nevada"
3268400,"Sparks city, Nevada","Sparks, Nevada"
3345140,"Manchester city, New Hampshire","Manchester, New Hampshire"
3350260,"Nashua city, New Hampshire","Nashua, New Hampshire"
3413690,"Clifton city, New Jersey","Clifton, New Jersey"
3421000,"Elizabeth city, New Jersey","Elizabeth, New Jersey"
3436000,"Jersey City city, New Jersey","Jersey City, New Jersey"
3451000,"Newark city, New Jersey","Newark, New Jersey"
3457000,"Paterson city, New Jersey","Paterson, New Jersey"
3474000,"Trenton city, New Jersey","Trenton, New Jersey"
3502000,"Albuquerque city, New Mexico","Albuquerque, New Mexico"
3539380,"Las Cruces city, New Mexico","Las Cruces, New Mexico"
3563460,"Rio Rancho city, New Mexico","Rio Rancho, New Mexico"
3570500,"Santa Fe city, New Mexico","Santa Fe, New Mexico"
3601000,"Albany city, New York","Albany, New York"
3611000,"Buffalo city, New York","Buffalo, New York"
3650617,"New Rochelle city, New York","New Rochelle, New York"
3651000,"New York city, New York","New York, New York"
3663000,"Rochester city, New York","Rochester, New York"
3673000,"Syracuse city, New York","Syracuse, New York"
3684000,"Yonkers city, New York","Yonkers, New York"
3702140,"Asheville city, North Carolina","Asheville, North Carolina"
3710740,"Cary town, North Carolina","Cary, North Carolina"
3712000,"Charlotte city, North Carolina","Charlotte, North Carolina"
3714100,"Concord city, North Carolina","Concord, North Carolina"
3719000,"Durham city, North Carolina","Durham, North Carolina"
3722920,"Fayetteville city, North Carolina","Fayetteville, North Carolina"
3725580,"Gastonia city, North Carolina","Gastonia, North Carolina"
3728000,"Greensboro city, North Carolina","Greensboro, North Carolina"
3728080,"Greenville city, North Carolina","Greenville, North Carolina"
3731400,"High Point city, North Carolina","High Point, North Carolina"
3755000,"Raleigh city, North Carolina","Raleigh, North Carolina"
3774440,"Wilmington city, North Carolina","Wilmington, North Carolina"
3775000,"Winston-Salem city, North Carolina","Winston-Salem, North Carolina"
3825700,"Fargo city, North Dakota","Fargo, North Dakota"
3901000,"Akron city, Ohio","Akron, Ohio"
3915000,"Cincinnati city, Ohio","Cincinnati, Ohio"
3916000,"Cleveland city, Ohio","Cleveland, Ohio"
3918000,"Columbus city, Ohio","Columbus, Ohio"
3921000,"Dayton city, Ohio","Dayton, Ohio"
3961000,"Parma city, Ohio","Parma, Ohio"
3977000,"Toledo city, Ohio","Toledo, Ohio"
4009050,"Broken Arrow city, Oklahoma","Broken Arrow, Oklahoma"
4023200,"Edmond city, Oklahoma","Edmond, Oklahoma"
4041850,"Lawton city, Oklahoma","Lawton, Oklahoma"
4052500,"Norman city, Oklahoma","Norman, Oklahoma"
4055000,"Oklahoma City city, Oklahoma","Oklahoma City, Oklahoma"
4075000,"Tulsa city, Oklahoma","Tulsa, Oklahoma"
4105350,"Beaverton city, Oregon","Beaverton, Oregon"
4105800,"Bend city, Oregon","Bend, Oregon"
4123850,"Eugene city, Oregon","Eugene, Oregon"
4131250,"Gresham city, Oregon","Gresham, Oregon"
4134100,"Hillsboro city, Oregon","Hillsboro, Oregon"
4147000,"Medford city, Oregon","Medford, Oregon"
4159000,"Portland city, Oregon","Portland, Oregon"
4164900,"Salem city, Oregon","Salem, Oregon"
4202000,"Allentown city, Pennsylvania","Allentown, Pennsylvania"
4206088,"Bethlehem city, Pennsylvania","Bethlehem, Pennsylvania"
4224000,"Erie city, Pennsylvania","Erie, Pennsylvania"
4260000,"Philadelphia city, Pennsylvania","Philadelphia, Pennsylvania"
4261000,"Pittsburgh city, Pennsylvania","Pittsburgh, Pennsylvania"
4263624,"Reading city, Pennsylvania","Reading, Pennsylvania"
4269000,"Scranton city, Pennsylvania","Scranton, Pennsylvania"
4419180,"Cranston city, Rhode Island","Cranston, Rhode Island"
4454640,"Pawtucket city, Rhode Island","Pawtucket, Rhode Island"
4459000,"Providence city, Rhode Island","Providence, Rhode Island"
4474300,"Warwick city, Rhode Island","Warwick, Rhode Island"
4513330,"Charleston city, South Carolina","Charleston, South Carolina"
4516000,"Columbia city, South Carolina","Columbia, South Carolina"
4548535,"Mount Pleasant town, South Carolina","Mount Pleasant, South Carolina"
4550875,"North Charleston city, South Carolina","North Charleston, South Carolina"
4659020,"Sioux Falls city, South Dakota","Sioux Falls, South Dakota"
4714000,"Chattanooga city, Tennessee","Chattanooga, Tennessee"
4715160,"Clarksville city, Tennessee","Clarksville, Tennessee"
4727740,"Franklin city, Tennessee","Franklin, Tennessee"
4740000,"Knoxville city, Tennessee","Knoxville, Tennessee"
4748000,"Memphis city, Tennessee","Memphis, Tennessee"
4751560,"Murfreesboro city, Tennessee","Murfreesboro, Tennessee"
4752006,"Nashville-Davidson metropolitan government (balance), Tennessee","Nashville-Davidson metropolitan government, Tennessee"
4801000,"Abilene city, Texas","Abilene, Texas"
4801924,"Allen city, Texas","Allen, Texas"
4803000,"Amarillo city, Texas","Amarillo, Texas"
4804000,"Arlington city, Texas","Arlington, Texas"
4805000,"Austin city, Texas","Austin, Texas"
4806128,"Baytown city, Texas","Baytown, Texas"
4807000,"Beaumont city, Texas","Beaumont, Texas"
4810768,"Brownsville city, Texas","Brownsville, Texas"
4810912,"Bryan city, Texas","Bryan, Texas"
4813024,"Carrollton city, Texas","Carrollton, Texas"
4813552,"Cedar Park city, Texas","Cedar Park, Texas"
4815976,"College Station city, Texas","College Station, Texas"
4816432,"Conroe city, Texas","Conroe, Texas"
4817000,"Corpus Christi city, Texas","Corpus Christi, Texas"
4819000,"Dallas city, Texas","Dallas, Texas"
4819972,"Denton city, Texas","Denton, Texas"
4822660,"Edinburg city, Texas","Edinburg, Texas"
4824000,"El Paso city, Texas","El Paso, Texas"
4826232,"Flower Mound town, Texas","Flower Mound, Texas"
4827000,"Fort Worth city, Texas","Fort Worth, Texas"
4827684,"Frisco city, Texas","Frisco, Texas"
4829000,"Garland city, Texas","Garland, Texas"
4830464,"Grand Prairie city, Texas","Grand Prairie, Texas"
4835000,"Houston city, Texas","Houston, Texas"
4837000,"Irving city, Texas","Irving, Texas"
4839148,"Killeen city, Texas","Killeen, Texas"
4841464,"Laredo city, Texas","Laredo, Texas"
4841980,"League City city, Texas","League City, Texas"
4842508,"Lewisville city, Texas","Lewisville, Texas"
4843888,"Longview city, Texas","Longview, Texas"
4845000,"Lubbock city, Texas","Lubbock, Texas"
4845384,"McAllen city, Texas","McAllen, Texas"
4845744,"McKinney city, Texas","McKinney, Texas"
4847892,"Mesquite city, Texas","Mesquite, Texas"
4848072,"Midland city, Texas","Midland, Texas"
4848768,"Mission city, Texas","Mission, Texas"
4850820,"New Braunfels city, Texas","New Braunfels, Texas"
4853388,"Odessa city, Texas","Odessa, Texas"
4856000,"Pasadena city, Texas","Pasadena, Texas"
4856348,"Pearland city, Texas","Pearland, Texas"
4857200,"Pharr city, Texas","Pharr, Texas"
4858016,"Plano city, Texas","Plano, Texas"
4861796,"Richardson city, Texas","Richardson, Texas"
4863500,"Round Rock city, Texas","Round Rock, Texas"
4864472,"San Angelo city, Texas","San Angelo, Texas"
4865000,"San Antonio city, Texas","San Antonio, Texas"
4870808,"Sugar Land city, Texas","Sugar Land, Texas"
4872176,"Temple city, Texas","Temple, Texas"
4874144,"Tyler city, Texas","Tyler, Texas"
4876000,"Waco city, Texas","Waco, Texas"
4879000,"Wichita Falls city, Texas","Wichita Falls, Texas"
4943660,"Layton city, Utah","Layton, Utah"
4944320,"Lehi city, Utah","Lehi, Utah"
4955980,"Ogden city, Utah","Ogden, Utah"
4957300,"Orem city, Utah","Orem, Utah"
4962470,"Provo city, Utah","Provo, Utah"
4965330,"St. George city, Utah","St. George, Utah"
4967000,"Salt Lake City city, Utah","Salt Lake City, Utah"
4967440,"Sandy city, Utah","Sandy, Utah"
4970850,"South Jordan city, Utah","South Jordan, Utah"
4982950,"West Jordan city, Utah","West Jordan, Utah"
4983470,"West Valley City city, Utah","West Valley City, Utah"
5101000,"Alexandria city, Virginia","Alexandria, Virginia"
5116000,"Chesapeake city, Virginia","Chesapeake, Virginia"
5135000,"Hampton city, Virginia","Hampton, Virginia"
5147672,"Lynchburg city, Virginia","Lynchburg, Virginia"
5156000,"Newport News city, Virginia","Newport News, Virginia"
5157000,"Norfolk city, Virginia","Norfolk, Virginia"
5164000,"Portsmouth city, Virginia","Portsmouth, Virginia"
5167000,"Richmond city, Virginia","Richmond, Virginia"
5168000,"Roanoke city, Virginia","Roanoke, Virginia"
5176432,"Suffolk city, Virginia","Suffolk, Virginia"
5182000,"Virginia Beach city, Virginia","Virginia Beach, Virginia"
5303180,"Auburn city, Washington","Auburn, Washington"
5305210,"Bellevue city, Washington","Bellevue, Washington"
5305280,"Bellingham city, Washington","Bellingham, Washington"
5322640,"Everett city, Washington","Everett, Washington"
5323515,"Federal Way city, Washington","Federal Way, Washington"
5335275,"Kennewick city, Washington","Kennewick, Washington"
5335415,"Kent city, Washington","Kent, Washington"
5335940,"Kirkland city, Washington","Kirkland, Washington"
5353545,"Pasco city, Washington","Pasco, Washington"
5357745,"Renton city, Washington","Renton, Washington"
5363000,"Seattle city, Washington","Seattle, Washington"
5367000,"Spokane city, Washington","Spokane, Washington"
5367167,"Spokane Valley city, Washington","Spokane Valley, Washington"
5370000,"Tacoma city, Washington","Tacoma, Washington"
5374060,"Vancouver city, Washington","Vancouver, Washington"
5380010,"Yakima city, Washington","Yakima, Washington"
5502375,"Appleton city, Wisconsin","Appleton, Wisconsin"
5531000,"Green Bay city, Wisconsin","Green Bay, Wisconsin"
5539225,"Kenosha city, Wisconsin","Kenosha, Wisconsin"
5548000,"Madison city, Wisconsin","Madison, Wisconsin"
5553000,"Milwaukee city, Wisconsin","Milwaukee, Wisconsin"
5566000,"Racine city, Wisconsin","Racine, Wisconsin"
