year,statefip,place,state_name,place_name,population,puma,pop10,afact,afact2,products,sum_products,place_pop,puma_flag,size_flag,geographic_allocation_quality
2021,41,23850,Oregon,Eugene city,177953,00704,35673,0.3421,0.2277,0.07789617000000001,0.7240672,156187,2,0,2
2021,41,23850,Oregon,Eugene city,177953,00705,578,0.0055,0.0037,2.035e-5,0.7240672,156187,2,0,2
2021,41,31250,Oregon,Gresham city,113154,01302,795,0.0065,0.0075,4.875e-5,0.6567193100000001,105594,2,0,2
2021,41,31250,Oregon,Gresham city,113154,01316,104799,0.6664,0.9854,0.65667056,0.6567193100000001,105594,2,0,2
2021,41,34100,Oregon,Hillsboro city,106916,01321,34,3e-4,4e-4,1.2e-7,0.8634517399999999,91990,1,1,3
2021,41,34100,Oregon,Hillsboro city,106916,01322,91805,0.8727,0.9894,0.8634493799999999,0.8634517399999999,91990,1,1,3
2021,41,34100,Oregon,Hillsboro city,106916,01323,151,0.0014,0.0016,2.24e-6,0.8634517399999999,91990,1,1,3
2021,41,47000,Oregon,Medford city,86634,00901,72660,0.7042,0.7386,0.52012212,0.52065108,74938,2,1,3
2021,41,47000,Oregon,Medford city,86634,00902,2278,0.0228,0.0232,5.2896e-4,0.52065108,74938,2,1,3
2021,41,59000,Oregon,Portland city,643375,01301,109997,1,0.1254,0.1254,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01302,119698,0.9847,0.1365,0.13441155000000002,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01303,107687,0.9991,0.1228,0.12268948,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01305,110888,1,0.1264,0.1264,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01314,117720,0.9208,0.1342,0.12357136,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01316,15501,0.0986,0.0177,0.00174522,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01318,730,0.0044,8e-4,3.52e-6,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01319,14,1e-4,0,0,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01320,111,0.001,1e-4,1.0000000000000001e-7,0.63424331,583785,2,0,2
2021,41,59000,Oregon,Portland city,643375,01324,1439,0.0138,0.0016,2.2080000000000002e-5,0.63424331,583785,2,0,2
2021,41,64900,Oregon,Salem city,178105,01103,40106,0.3899,0.2484,0.09685116,0.59074682,154940,2,0,2
2021,41,64900,Oregon,Salem city,178105,01104,88275,0.8645,0.5468,0.4727086,0.59074682,154940,2,0,2
2021,41,64900,Oregon,Salem city,178105,01105,2297,0.0208,0.0142,2.9536e-4,0.59074682,154940,2,0,2
2021,41,64900,Oregon,Salem city,178105,01200,24262,0.139,0.1503,0.0208917,0.59074682,154940,2,0,2
2021,42,02000,Pennsylvania,Allentown city,125772,02803,118032,1,0.1178,0.1178,0.1178,118032,3,0,3
2021,42,06088,Pennsylvania,Bethlehem city,77910,02901,74982,0.4381,1,0.4381,0.4381,74982,2,1,3
2021,42,24000,Pennsylvania,Erie city,94160,00101,101786,0.9329,0.1101,0.10271229,0.10271229,101786,3,0,3
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03201,159325,1,0.1043,0.1043,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03202,133758,1,0.0875,0.0875,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03203,131939,1,0.0863,0.0863,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03204,161305,1,0.1056,0.1056,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03205,161983,1,0.106,0.106,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03206,135892,1,0.0889,0.0889,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03207,113659,1,0.0744,0.0744,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03208,123237,1,0.0806,0.0806,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03209,128712,1,0.0842,0.0842,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03210,149722,1,0.098,0.098,0.9986,1526006,1,0,1
2021,42,60000,Pennsylvania,Philadelphia city,1589480,03211,126474,1,0.0828,0.0828,0.9986,1526006,1,0,1
2021,42,61000,Pennsylvania,Pittsburgh city,305441,01701,195592,1,0.4696,0.4696,0.726068,305704,2,0,2
2021,42,61000,Pennsylvania,Pittsburgh city,305441,01702,110112,0.97,0.2644,0.25646800000000003,0.726068,305704,2,0,2
2021,42,63624,Pennsylvania,Reading city,94940,02702,88082,0.6199,1,0.6199,0.6199,88082,2,1,3
2021,42,69000,Pennsylvania,Scranton city,76141,00701,76089,0.689,0.1415,0.09749349999999998,0.09749349999999998,76089,3,1,3
2021,44,19180,Rhode Island,Cranston city,82598,00104,80387,0.6309,0.8829,0.5570216100000001,0.5570216100000001,80387,2,1,3
2021,44,54640,Rhode Island,Pawtucket city,75277,00102,71148,0.4015,0.9907,0.39776605000000004,0.39776605000000004,71148,2,1,3
2021,44,59000,Rhode Island,Providence city,190081,00103,178042,1,0.203,0.203,0.203,178042,3,0,3
2021,44,74300,Rhode Island,Warwick city,83028,00201,82672,0.4976,0.999,0.4971024,0.4971024,82672,2,1,3
2021,45,13330,South Carolina,Charleston city,151783,01202,120224,0.624,0.9799,0.6114576,0.6114576,120224,2,0,2
