GeographicArea,population2020,cityname,statename,state_abbr,fips,city
"Fremont city, California",232084,Fremont city,California,CA,6,Fremont
"Fairfield city, California",119793,Fairfield city,California,CA,6,Fairfield
"San Ramon city, California",86426,San Ramon city,California,CA,6,San Ramon
"Visalia city, California",141561,Visalia city,California,CA,6,Visalia
"Orange city, California",138992,Orange city,California,CA,6,Orange
"Lancaster city, California",173305,Lancaster city,California,CA,6,Lancaster
"Lakewood city, Colorado",155944,Lakewood city,Colorado,CO,8,Lakewood
"Pueblo city, Colorado",111925,Pueblo city,Colorado,CO,8,Pueblo
"Centennial city, Colorado",108353,Centennial city,Colorado,CO,8,Centennial
"Thornton city, Colorado",141935,Thornton city,Colorado,CO,8,Thornton
"Greeley city, Colorado",108935,Greeley city,Colorado,CO,8,Greeley
"Colorado Springs city, Colorado",479260,Colorado Springs city,Colorado,CO,8,Colorado Springs
"Arvada city, Colorado",124539,Arvada city,Colorado,CO,8,Arvada
"Aurora city, Colorado",386241,Aurora city,Colorado,CO,8,Aurora
"Loveland city, Colorado",76677,Loveland city,Colorado,CO,8,Loveland
"Longmont city, Colorado",100119,Longmont city,Colorado,CO,8,Longmont
"Westminster city, Colorado",116375,Westminster city,Colorado,CO,8,Westminster
"Boulder city, Colorado",105414,Boulder city,Colorado,CO,8,Boulder
"Denver city, Colorado",715522,Denver city,Colorado,CO,8,Denver
"Fort Collins city, Colorado",168972,Fort Collins city,Colorado,CO,8,Fort Collins
"New Haven city, Connecticut",133924,New Haven city,Connecticut,CT,9,New Haven
"Hartford city, Connecticut",121219,Hartford city,Connecticut,CT,9,Hartford
"Bridgeport city, Connecticut",148692,Bridgeport city,Connecticut,CT,9,Bridgeport
"Stamford city, Connecticut",135445,Stamford city,Connecticut,CT,9,Stamford
"Danbury city, Connecticut",86550,Danbury city,Connecticut,CT,9,Danbury
"Waterbury city, Connecticut",114446,Waterbury city,Connecticut,CT,9,Waterbury
"Norwalk city, Connecticut",91143,Norwalk city,Connecticut,CT,9,Norwalk
"Washington city, District of Columbia",689545,Washington city,District of Columbia,,,Washington
"Deltona city, Florida",94158,Deltona city,Florida,FL,12,Deltona
"Melbourne city, Florida",84313,Melbourne city,Florida,FL,12,Melbourne
"North Port city, Florida",75175,North Port city,Florida,FL,12,North Port
"Gainesville city, Florida",139835,Gainesville city,Florida,FL,12,Gainesville
"Miami city, Florida",442265,Miami city,Florida,FL,12,Miami
"Lakeland city, Florida",111881,Lakeland city,Florida,FL,12,Lakeland
"Deerfield Beach city, Florida",86873,Deerfield Beach city,Florida,FL,12,Deerfield Beach
"St. Petersburg city, Florida",258277,St. Petersburg city,Florida,FL,12,St. Petersburg
"Hollywood city, Florida",153061,Hollywood city,Florida,FL,12,Hollywood
"Largo city, Florida",82632,Largo city,Florida,FL,12,Largo
"Sunrise city, Florida",97313,Sunrise city,Florida,FL,12,Sunrise
"Palm Coast city, Florida",89310,Palm Coast city,Florida,FL,12,Palm Coast
"Davie town, Florida",105719,Davie town,Florida,FL,12,Davie town
"Palm Bay city, Florida",119874,Palm Bay city,Florida,FL,12,Palm Bay
"Coral Springs city, Florida",134366,Coral Springs city,Florida,FL,12,Coral Springs
"Boynton Beach city, Florida",80401,Boynton Beach city,Florida,FL,12,Boynton Beach
"Doral city, Florida",75803,Doral city,Florida,FL,12,Doral
"Miami Gardens city, Florida",111579,Miami Gardens city,Florida,FL,12,Miami Gardens
"Miramar city, Florida",134676,Miramar city,Florida,FL,12,Miramar
"Miami Beach city, Florida",82826,Miami Beach city,Florida,FL,12,Miami Beach
"Orlando city, Florida",307674,Orlando city,Florida,FL,12,Orlando
"Plantation city, Florida",91736,Plantation city,Florida,FL,12,Plantation
"Homestead city, Florida",80697,Homestead city,Florida,FL,12,Homestead
"Port St. Lucie city, Florida",204913,Port St. Lucie city,Florida,FL,12,Port St. Lucie
"West Palm Beach city, Florida",117151,West Palm Beach city,Florida,FL,12,West Palm Beach
"Tampa city, Florida",382769,Tampa city,Florida,FL,12,Tampa
"Hialeah city, Florida",223017,Hialeah city,Florida,FL,12,Hialeah
"Pembroke Pines city, Florida",171163,Pembroke Pines city,Florida,FL,12,Pembroke Pines
"Boca Raton city, Florida",96358,Boca Raton city,Florida,FL,12,Boca Raton
"Fort Lauderdale city, Florida",182817,Fort Lauderdale city,Florida,FL,12,Fort Lauderdale
"Kissimmee city, Florida",79242,Kissimmee city,Florida,FL,12,Kissimmee
"Cape Coral city, Florida",194979,Cape Coral city,Florida,FL,12,Cape Coral
"Clearwater city, Florida",117227,Clearwater city,Florida,FL,12,Clearwater
"Pompano Beach city, Florida",112117,Pompano Beach city,Florida,FL,12,Pompano Beach
"Fort Myers city, Florida",85525,Fort Myers city,Florida,FL,12,Fort Myers
"Jacksonville city, Florida",949577,Jacksonville city,Florida,FL,12,Jacksonville
"Tallahassee city, Florida",196068,Tallahassee city,Florida,FL,12,Tallahassee
"Athens-Clarke County unified government (balance), Georgia",127320,Athens-Clarke County unified government (balance),Georgia,GA,13,Athens-Clarke County unified government (balance)
"Johns Creek city, Georgia",82499,Johns Creek city,Georgia,GA,13,Johns Creek
"Columbus city, Georgia",206922,Columbus city,Georgia,GA,13,Columbus
"Roswell city, Georgia",92892,Roswell city,Georgia,GA,13,Roswell
"Savannah city, Georgia",148095,Savannah city,Georgia,GA,13,Savannah
"Augusta-Richmond County consolidated government (balance), Georgia",202123,Augusta-Richmond County consolidated government (balance),Georgia,GA,13,Augusta-Richmond County consolidated government (balance)
"Macon-Bibb County, Georgia",157346,Macon-Bibb County,Georgia,GA,13,Macon-Bibb County
"South Fulton city, Georgia",107524,South Fulton city,Georgia,GA,13,South Fulton
"Sandy Springs city, Georgia",108134,Sandy Springs city,Georgia,GA,13,Sandy Springs
"Warner Robins city, Georgia",80324,Warner Robins city,Georgia,GA,13,Warner Robins
"Atlanta city, Georgia",498602,Atlanta city,Georgia,GA,13,Atlanta
"Urban Honolulu CDP, Hawaii",350943,Urban Honolulu CDP,Hawaii,HI,15,Urban Honolulu CDP
"Meridian city, Idaho",118099,Meridian city,Idaho,ID,16,Meridian
"Boise City city, Idaho",235670,Boise City city,Idaho,ID,16,Boise City
"Nampa city, Idaho",100252,Nampa city,Idaho,ID,16,Nampa
"Waukegan city, Illinois",89361,Waukegan city,Illinois,IL,17,Waukegan
"Joliet city, Illinois",150352,Joliet city,Illinois,IL,17,Joliet
"Peoria city, Illinois",113173,Peoria city,Illinois,IL,17,Peoria
"Springfield city, Illinois",114461,Springfield city,Illinois,IL,17,Springfield
"Champaign city, Illinois",88421,Champaign city,Illinois,IL,17,Champaign
"Bloomington city, Illinois",78273,Bloomington city,Illinois,IL,17,Bloomington
"Chicago city, Illinois",2747231,Chicago city,Illinois,IL,17,Chicago
"Evanston city, Illinois",79035,Evanston city,Illinois,IL,17,Evanston
"Elgin city, Illinois",114809,Elgin city,Illinois,IL,17,Elgin
"Arlington Heights village, Illinois",77595,Arlington Heights village,Illinois,IL,17,Arlington Heights village
"Schaumburg village, Illinois",78691,Schaumburg village,Illinois,IL,17,Schaumburg village
"Aurora city, Illinois",180688,Aurora city,Illinois,IL,17,Aurora
"Naperville city, Illinois",149427,Naperville city,Illinois,IL,17,Naperville
"Cicero town, Illinois",85180,Cicero town,Illinois,IL,17,Cicero town
"Rockford city, Illinois",149009,Rockford city,Illinois,IL,17,Rockford
"Indianapolis city (balance), Indiana",887752,Indianapolis city (balance),Indiana,IN,18,Indianapolis
"Evansville city, Indiana",117298,Evansville city,Indiana,IN,18,Evansville
"Hammond city, Indiana",77754,Hammond city,Indiana,IN,18,Hammond
"Fort Wayne city, Indiana",263852,Fort Wayne city,Indiana,IN,18,Fort Wayne
"South Bend city, Indiana",103675,South Bend city,Indiana,IN,18,South Bend
"Fishers city, Indiana",99053,Fishers city,Indiana,IN,18,Fishers
"Carmel city, Indiana",99777,Carmel city,Indiana,IN,18,Carmel
"Bloomington city, Indiana",79912,Bloomington city,Indiana,IN,18,Bloomington
"Cedar Rapids city, Iowa",137664,Cedar Rapids city,Iowa,IA,19,Cedar Rapids
"Des Moines city, Iowa",214137,Des Moines city,Iowa,IA,19,Des Moines
"Sioux City city, Iowa",85731,Sioux City city,Iowa,IA,19,Sioux City
"Davenport city, Iowa",101728,Davenport city,Iowa,IA,19,Davenport
"Olathe city, Kansas",141238,Olathe city,Kansas,KS,20,Olathe
"Overland Park city, Kansas",197295,Overland Park city,Kansas,KS,20,Overland Park
"Kansas City city, Kansas",156602,Kansas City city,Kansas,KS,20,Kansas City
"Wichita city, Kansas",397070,Wichita city,Kansas,KS,20,Wichita
"Lawrence city, Kansas",94909,Lawrence city,Kansas,KS,20,Lawrence
"Topeka city, Kansas",126515,Topeka city,Kansas,KS,20,Topeka
"Louisville/Jefferson County metro government (balance), Kentucky",632689,Louisville/Jefferson County metro government (balance),Kentucky,KY,21,Louisville/Jefferson County metro government (balance)
"Lexington-Fayette urban county, Kentucky",322570,Lexington-Fayette urban county,Kentucky,KY,21,Lexington-Fayette urban county
"New Orleans city, Louisiana",383997,New Orleans city,Louisiana,LA,22,New Orleans
"Lafayette city, Louisiana",122018,Lafayette city,Louisiana,LA,22,Lafayette
"Baton Rouge city, Louisiana",225128,Baton Rouge city,Louisiana,LA,22,Baton Rouge
"Lake Charles city, Louisiana",85434,Lake Charles city,Louisiana,LA,22,Lake Charles
"Shreveport city, Louisiana",187993,Shreveport city,Louisiana,LA,22,Shreveport
"Frederick city, Maryland",78062,Frederick city,Maryland,MD,24,Frederick
"Baltimore city, Maryland",585708,Baltimore city,Maryland,MD,24,Baltimore
"Newton city, Massachusetts",88787,Newton city,Massachusetts,MA,25,Newton
"Somerville city, Massachusetts",81054,Somerville city,Massachusetts,MA,25,Somerville
"New Bedford city, Massachusetts",101044,New Bedford city,Massachusetts,MA,25,New Bedford
"Lynn city, Massachusetts",101238,Lynn city,Massachusetts,MA,25,Lynn
"Springfield city, Massachusetts",155913,Springfield city,Massachusetts,MA,25,Springfield
"Brockton city, Massachusetts",105652,Brockton city,Massachusetts,MA,25,Brockton
"Lowell city, Massachusetts",115441,Lowell city,Massachusetts,MA,25,Lowell
"Lawrence city, Massachusetts",89152,Lawrence city,Massachusetts,MA,25,Lawrence
"Worcester city, Massachusetts",206601,Worcester city,Massachusetts,MA,25,Worcester
"Cambridge city, Massachusetts",117779,Cambridge city,Massachusetts,MA,25,Cambridge
"Fall River city, Massachusetts",93938,Fall River city,Massachusetts,MA,25,Fall River
"Boston city, Massachusetts",676216,Boston city,Massachusetts,MA,25,Boston
"Quincy city, Massachusetts",101685,Quincy city,Massachusetts,MA,25,Quincy
"Farmington Hills city, Michigan",83991,Farmington Hills city,Michigan,MI,26,Farmington Hills
"Ann Arbor city, Michigan",122830,Ann Arbor city,Michigan,MI,26,Ann Arbor
"Dearborn city, Michigan",109910,Dearborn city,Michigan,MI,26,Dearborn
"Livonia city, Michigan",95531,Livonia city,Michigan,MI,26,Livonia
"Southfield city, Michigan",76579,Southfield city,Michigan,MI,26,Southfield
"Rochester Hills city, Michigan",76293,Rochester Hills city,Michigan,MI,26,Rochester Hills
"Wyoming city, Michigan",76574,Wyoming city,Michigan,MI,26,Wyoming
"Lansing city, Michigan",112954,Lansing city,Michigan,MI,26,Lansing
"Flint city, Michigan",81381,Flint city,Michigan,MI,26,Flint
"Westland city, Michigan",85433,Westland city,Michigan,MI,26,Westland
"Grand Rapids city, Michigan",198487,Grand Rapids city,Michigan,MI,26,Grand Rapids
"Detroit city, Michigan",639614,Detroit city,Michigan,MI,26,Detroit
"Warren city, Michigan",139407,Warren city,Michigan,MI,26,Warren
"Sterling Heights city, Michigan",134348,Sterling Heights city,Michigan,MI,26,Sterling Heights
"Troy city, Michigan",87316,Troy city,Michigan,MI,26,Troy
"Plymouth city, Minnesota",81181,Plymouth city,Minnesota,MN,27,Plymouth
"Duluth city, Minnesota",86645,Duluth city,Minnesota,MN,27,Duluth
"Rochester city, Minnesota",121244,Rochester city,Minnesota,MN,27,Rochester
"St. Paul city, Minnesota",311448,St. Paul city,Minnesota,MN,27,St. Paul
"Woodbury city, Minnesota",75163,Woodbury city,Minnesota,MN,27,Woodbury
"Brooklyn Park city, Minnesota",86688,Brooklyn Park city,Minnesota,MN,27,Brooklyn Park
"Bloomington city, Minnesota",90012,Bloomington city,Minnesota,MN,27,Bloomington
"Minneapolis city, Minnesota",428403,Minneapolis city,Minnesota,MN,27,Minneapolis
"Jackson city, Mississippi",153643,Jackson city,Mississippi,MS,28,Jackson
"Kansas City city, Missouri",507969,Kansas City city,Missouri,MO,29,Kansas City
"Independence city, Missouri",123028,Independence city,Missouri,MO,29,Independence
"O'Fallon city, Missouri",91390,O'Fallon city,Missouri,MO,29,O'Fallon
"Columbia city, Missouri",125691,Columbia city,Missouri,MO,29,Columbia
"Lee's Summit city, Missouri",101160,Lee's Summit city,Missouri,MO,29,Lee's Summit
"St. Louis city, Missouri",301578,St. Louis city,Missouri,MO,29,St. Louis
"Springfield city, Missouri",169767,Springfield city,Missouri,MO,29,Springfield
"Billings city, Montana",117077,Billings city,Montana,MT,30,Billings
"Omaha city, Nebraska",490627,Omaha city,Nebraska,NE,31,Omaha
"Lincoln city, Nebraska",291114,Lincoln city,Nebraska,NE,31,Lincoln
"North Las Vegas city, Nevada",262678,North Las Vegas city,Nevada,NV,32,North Las Vegas
"Sparks city, Nevada",108772,Sparks city,Nevada,NV,32,Sparks
"Henderson city, Nevada",317521,Henderson city,Nevada,NV,32,Henderson
"Reno city, Nevada",263436,Reno city,Nevada,NV,32,Reno
"Las Vegas city, Nevada",641825,Las Vegas city,Nevada,NV,32,Las Vegas
"Nashua city, New Hampshire",91405,Nashua city,New Hampshire,NH,33,Nashua
"Manchester city, New Hampshire",115555,Manchester city,New Hampshire,NH,33,Manchester
"Jersey City city, New Jersey",292412,Jersey City city,New Jersey,NJ,34,Jersey City
"Paterson city, New Jersey",159674,Paterson city,New Jersey,NJ,34,Paterson
"Newark city, New Jersey",310876,Newark city,New Jersey,NJ,34,Newark
"Elizabeth city, New Jersey",137316,Elizabeth city,New Jersey,NJ,34,Elizabeth
"Trenton city, New Jersey",90857,Trenton city,New Jersey,NJ,34,Trenton
"Clifton city, New Jersey",90222,Clifton city,New Jersey,NJ,34,Clifton
"Las Cruces city, New Mexico",111507,Las Cruces city,New Mexico,NM,35,Las Cruces
"Santa Fe city, New Mexico",87497,Santa Fe city,New Mexico,NM,35,Santa Fe
"Rio Rancho city, New Mexico",103977,Rio Rancho city,New Mexico,NM,35,Rio Rancho
"Albuquerque city, New Mexico",564563,Albuquerque city,New Mexico,NM,35,Albuquerque
"New York city, New York",8804190,New York city,New York,NY,36,New York
"New Rochelle city, New York",79996,New Rochelle city,New York,NY,36,New Rochelle
"Rochester city, New York",211233,Rochester city,New York,NY,36,Rochester
"Buffalo city, New York",278302,Buffalo city,New York,NY,36,Buffalo
"Albany city, New York",99345,Albany city,New York,NY,36,Albany
"Syracuse city, New York",147363,Syracuse city,New York,NY,36,Syracuse
"Yonkers city, New York",211237,Yonkers city,New York,NY,36,Yonkers
"Raleigh city, North Carolina",467592,Raleigh city,North Carolina,NC,37,Raleigh
"Greensboro city, North Carolina",297899,Greensboro city,North Carolina,NC,37,Greensboro
"Concord city, North Carolina",105186,Concord city,North Carolina,NC,37,Concord
"Asheville city, North Carolina",94539,Asheville city,North Carolina,NC,37,Asheville
"Gastonia city, North Carolina",80367,Gastonia city,North Carolina,NC,37,Gastonia
"Winston-Salem city, North Carolina",249443,Winston-Salem city,North Carolina,NC,37,Winston-Salem
"High Point city, North Carolina",113887,High Point city,North Carolina,NC,37,High Point
"Cary town, North Carolina",174754,Cary town,North Carolina,NC,37,Cary town
"Charlotte city, North Carolina",874541,Charlotte city,North Carolina,NC,37,Charlotte
"Fayetteville city, North Carolina",208871,Fayetteville city,North Carolina,NC,37,Fayetteville
"Wilmington city, North Carolina",115955,Wilmington city,North Carolina,NC,37,Wilmington
"Greenville city, North Carolina",87882,Greenville city,North Carolina,NC,37,Greenville
"Durham city, North Carolina",283547,Durham city,North Carolina,NC,37,Durham
"Fargo city, North Dakota",125830,Fargo city,North Dakota,ND,38,Fargo
"Akron city, Ohio",190534,Akron city,Ohio,OH,39,Akron
"Dayton city, Ohio",138310,Dayton city,Ohio,OH,39,Dayton
"Cincinnati city, Ohio",310242,Cincinnati city,Ohio,OH,39,Cincinnati
"Cleveland city, Ohio",373091,Cleveland city,Ohio,OH,39,Cleveland
"Columbus city, Ohio",905672,Columbus city,Ohio,OH,39,Columbus
"Toledo city, Ohio",270726,Toledo city,Ohio,OH,39,Toledo
"Parma city, Ohio",81047,Parma city,Ohio,OH,39,Parma
"Edmond city, Oklahoma",94498,Edmond city,Oklahoma,OK,40,Edmond
"Broken Arrow city, Oklahoma",113730,Broken Arrow city,Oklahoma,OK,40,Broken Arrow
"Lawton city, Oklahoma",90537,Lawton city,Oklahoma,OK,40,Lawton
"Oklahoma City city, Oklahoma",681387,Oklahoma City city,Oklahoma,OK,40,Oklahoma City
"Tulsa city, Oklahoma",412458,Tulsa city,Oklahoma,OK,40,Tulsa
"Norman city, Oklahoma",127224,Norman city,Oklahoma,OK,40,Norman
"Portland city, Oregon",652089,Portland city,Oregon,OR,41,Portland
"Salem city, Oregon",175432,Salem city,Oregon,OR,41,Salem
"Beaverton city, Oregon",97521,Beaverton city,Oregon,OR,41,Beaverton
"Medford city, Oregon",85828,Medford city,Oregon,OR,41,Medford
"Gresham city, Oregon",114507,Gresham city,Oregon,OR,41,Gresham
"Eugene city, Oregon",174753,Eugene city,Oregon,OR,41,Eugene
"Bend city, Oregon",99126,Bend city,Oregon,OR,41,Bend
"Hillsboro city, Oregon",106448,Hillsboro city,Oregon,OR,41,Hillsboro
"Reading city, Pennsylvania",95097,Reading city,Pennsylvania,PA,42,Reading
"Allentown city, Pennsylvania",126092,Allentown city,Pennsylvania,PA,42,Allentown
"Scranton city, Pennsylvania",76110,Scranton city,Pennsylvania,PA,42,Scranton
"Philadelphia city, Pennsylvania",1603797,Philadelphia city,Pennsylvania,PA,42,Philadelphia
"Pittsburgh city, Pennsylvania",303160,Pittsburgh city,Pennsylvania,PA,42,Pittsburgh
