"ctregion","state","place","stab","PlaceName","ctregname","pop20","afact2","afact"
"09140","09","75660","CT","Thomaston CDP, CT","Naugatuck Valley Planning Region",1928,1,0.0043 
"09140","09","80000","CT","Waterbury city, CT","Naugatuck Valley Planning Region",114403,1,0.2538 
"09140","09","80420","CT","Watertown CDP, CT","Naugatuck Valley Planning Region",3938,1,0.0087 
"09140","09","87980","CT","Woodbury Center CDP, CT","Naugatuck Valley Planning Region",1335,1,0.003 
"09140","09","99999","CT","[not in a place]","Naugatuck Valley Planning Region",136405,0.1002,0.3026 
"09150","09","09120","CT","Brooklyn CDP, CT","Northeastern Connecticut Planning Region",952,1,0.01 
"09150","09","18780","CT","Danielson borough, CT","Northeastern Connecticut Planning Region",4155,1,0.0436 
"09150","09","18990","CT","Dayville CDP, CT","Northeastern Connecticut Planning Region",631,1,0.0066 
"09150","09","21160","CT","East Brooklyn CDP, CT","Northeastern Connecticut Planning Region",2205,1,0.0231 
"09150","09","41226","CT","Lake Bungee CDP, CT","Northeastern Connecticut Planning Region",601,1,0.0063 
"09150","09","41238","CT","Lake Chaffee CDP, CT","Northeastern Connecticut Planning Region",282,1,0.003 
"09150","09","46240","CT","Mechanicsville CDP, CT","Northeastern Connecticut Planning Region",540,1,0.0057 
"09150","09","49180","CT","Moosup CDP, CT","Northeastern Connecticut Planning Region",3113,1,0.0326 
"09150","09","54730","CT","North Grosvenor Dale CDP, CT","Northeastern Connecticut Planning Region",1464,1,0.0154 
"09150","09","60090","CT","Plainfield Village CDP, CT","Northeastern Connecticut Planning Region",2580,1,0.0271 
"09150","09","62640","CT","Putnam CDP, CT","Northeastern Connecticut Planning Region",7065,1,0.0741 
"09150","09","63165","CT","Quasset Lake CDP, CT","Northeastern Connecticut Planning Region",187,1,0.002 
"09150","09","63270","CT","Quinebaug CDP, CT","Northeastern Connecticut Planning Region",1114,1,0.0117 
"09150","09","71530","CT","South Woodstock CDP, CT","Northeastern Connecticut Planning Region",1493,1,0.0157 
"09150","09","80630","CT","Wauregan CDP, CT","Northeastern Connecticut Planning Region",1539,1,0.0161 
"09150","09","87455","CT","Witches Woods CDP, CT","Northeastern Connecticut Planning Region",114,1,0.0012 
"09150","09","99999","CT","[not in a place]","Northeastern Connecticut Planning Region",67313,0.0495,0.706 
"09160","09","02690","CT","Bantam borough, CT","Northwest Hills Planning Region",720,1,0.0064 
"09160","09","10870","CT","Canaan CDP, CT","Northwest Hills Planning Region",1190,1,0.0106 
"09160","09","17170","CT","Cornwall CDP, CT","Northwest Hills Planning Region",120,1,0.0011 
"09160","09","17310","CT","Cornwall Bridge CDP, CT","Northwest Hills Planning Region",287,1,0.0026 
"09160","09","27390","CT","Falls Village CDP, CT","Northwest Hills Planning Region",383,1,0.0034 
"09160","09","41830","CT","Lakeville CDP, CT","Northwest Hills Planning Region",1059,1,0.0094 
"09160","09","43300","CT","Litchfield borough, CT","Northwest Hills Planning Region",1179,1,0.0105 
"09160","09","51420","CT","New Hartford Center CDP, CT","Northwest Hills Planning Region",1284,1,0.0114 
"09160","09","52770","CT","New Preston CDP, CT","Northwest Hills Planning Region",1126,1,0.01 
"09160","09","53400","CT","Norfolk CDP, CT","Northwest Hills Planning Region",551,1,0.0049 
"09160","09","55725","CT","Northwest Harwinton CDP, CT","Northwest Hills Planning Region",3158,1,0.0281 
"09160","09","60540","CT","Pleasant Valley CDP, CT","Northwest Hills Planning Region",161,1,0.0014 
"09160","09","64880","CT","Riverton CDP, CT","Northwest Hills Planning Region",160,1,0.0014 
"09160","09","67890","CT","Sharon CDP, CT","Northwest Hills Planning Region",662,1,0.0059 
"09160","09","76500","CT","Torrington city, CT","Northwest Hills Planning Region",35515,1,0.3157 
"09160","09","82030","CT","West Cornwall CDP, CT","Northwest Hills Planning Region",138,1,0.0012 
"09160","09","87350","CT","Winsted CDP, CT","Northwest Hills Planning Region",7192,1,0.0639 
"09160","09","99999","CT","[not in a place]","Northwest Hills Planning Region",57618,0.0423,0.5121 
"09170","09","07345","CT","Branford Center CDP, CT","South Central Connecticut Planning Region",6026,1,0.0105 
"09170","09","22980","CT","East Haven CDP, CT","South Central Connecticut Planning Region",27923,1,0.0489 
"09170","09","35020","CT","Guilford Center CDP, CT","South Central Connecticut Planning Region",2586,1,0.0045 
"09170","09","44630","CT","Madison Center CDP, CT","South Central Connecticut Planning Region",2250,1,0.0039 
"09170","09","46450","CT","Meriden city, CT","South Central Connecticut Planning Region",60850,1,0.1065 
"09170","09","47515","CT","Milford city (balance), CT","South Central Connecticut Planning Region",50558,1,0.0885 
"09170","09","52000","CT","New Haven city, CT","South Central Connecticut Planning Region",134023,1,0.2346 
"09170","09","54450","CT","Northford CDP, CT","South Central Connecticut Planning Region",6082,1,0.0106 
"09170","09","54940","CT","North Haven CDP, CT","South Central Connecticut Planning Region",24253,1,0.0425 
"09170","09","57670","CT","Orange CDP, CT","South Central Connecticut Planning Region",14280,1,0.025 
"09170","09","63313","CT","Quinnipiac University CDP, CT","South Central Connecticut Planning Region",3639,1,0.0064 
"09170","09","78880","CT","Wallingford Center CDP, CT","South Central Connecticut Planning Region",18278,1,0.032 
"09170","09","82800","CT","West Haven city, CT","South Central Connecticut Planning Region",55584,1,0.0973 
"09170","09","88050","CT","Woodmont borough, CT","South Central Connecticut Planning Region",1486,1,0.0026 
"09170","09","99999","CT","[not in a place]","South Central Connecticut Planning Region",163395,0.12,0.286 
"09180","09","02550","CT","Baltic CDP, CT","Southeastern Connecticut Planning Region",1186,1,0.0042 
"09180","09","15840","CT","Colchester CDP, CT","Southeastern Connecticut Planning Region",4700,1,0.0168 
"09180","09","16960","CT","Conning Towers-Nautilus Park CDP, CT","Southeastern Connecticut Planning Region",8870,1,0.0316 
"09180","09","30190","CT","Gales Ferry CDP, CT","Southeastern Connecticut Planning Region",1159,1,0.0041 
"09180","09","34180","CT","Groton city, CT","Southeastern Connecticut Planning Region",9387,1,0.0335 
"09180","09","34460","CT","Groton Long Point borough, CT","Southeastern Connecticut Planning Region",530,1,0.0019 
"09180","09","39940","CT","Jewett City borough, CT","Southeastern Connecticut Planning Region",3328,1,0.0119 
"09180","09","43790","CT","Long Hill CDP, CT","Southeastern Connecticut Planning Region",3948,1,0.0141 
"09180","09","45995","CT","Mashantucket CDP, CT","Southeastern Connecticut Planning Region",457,1,0.0016 
"09180","09","49810","CT","Mystic CDP, CT","Southeastern Connecticut Planning Region",4348,1,0.0155 
"09180","09","52280","CT","New London city, CT","Southeastern Connecticut Planning Region",27367,1,0.0976 
"09180","09","53120","CT","Niantic CDP, CT","Southeastern Connecticut Planning Region",3194,1,0.0114 
"09180","09","53260","CT","Noank CDP, CT","Southeastern Connecticut Planning Region",1654,1,0.0059 
"09180","09","56200","CT","Norwich city, CT","Southeastern Connecticut Planning Region",40125,1,0.1431 
"09180","09","57180","CT","Old Mystic CDP, CT","Southeastern Connecticut Planning Region",3493,1,0.0125 
"09180","09","58520","CT","Oxoboxo River CDP, CT","Southeastern Connecticut Planning Region",2955,1,0.0105 
"09180","09","59140","CT","Pawcatuck CDP, CT","Southeastern Connecticut Planning Region",5433,1,0.0194 
"09180","09","61730","CT","Poquonock Bridge CDP, CT","Southeastern Connecticut Planning Region",1686,1,0.006 
"09180","09","71250","CT","South Windham CDP, CT","Southeastern Connecticut Planning Region",1383,1,0.0049 
"09180","09","73700","CT","Stonington borough, CT","Southeastern Connecticut Planning Region",976,1,0.0035 
"09180","09","80210","CT","Waterford CDP, CT","Southeastern Connecticut Planning Region",3074,1,0.011 
"09180","09","85810","CT","Willimantic CDP, CT","Southeastern Connecticut Planning Region",18149,1,0.0647 
"09180","09","99999","CT","[not in a place]","Southeastern Connecticut Planning Region",133028,0.0977,0.4744 
"09190","09","02480","CT","Ball Pond CDP, CT","Western Connecticut Planning Region",2189,1,0.0035 
"09190","09","04790","CT","Bethel CDP, CT","Western Connecticut Planning Region",11582,1,0.0187 
"09190","09","04965","CT","Bigelow Corners CDP, CT","Western Connecticut Planning Region",617,1,0.001 
"09190","09","06155","CT","Bogus Hill CDP, CT","Western Connecticut Planning Region",100,1,0.0002 
"09190","09","06680","CT","Botsford CDP, CT","Western Connecticut Planning Region",499,1,0.0008 
"09190","09","07100","CT","Branchville CDP, CT","Western Connecticut Planning Region",262,1,0.0004 
"09190","09","08140","CT","Bridgewater CDP, CT","Western Connecticut Planning Region",133,1,0.0002 
"09190","09","08910","CT","Brookfield Center CDP, CT","Western Connecticut Planning Region",545,1,0.0009 
"09190","09","10660","CT","Byram CDP, CT","Western Connecticut Planning Region",4493,1,0.0072 
"09190","09","11360","CT","Candlewood Isle CDP, CT","Western Connecticut Planning Region",491,1,0.0008 
"09190","09","11430","CT","Candlewood Knolls CDP, CT","Western Connecticut Planning Region",255,1,0.0004 
"09190","09","11500","CT","Candlewood Lake Club CDP, CT","Western Connecticut Planning Region",305,1,0.0005 
"09190","09","11640","CT","Candlewood Orchards CDP, CT","Western Connecticut Planning Region",752,1,0.0012 
"09190","09","11780","CT","Candlewood Shores CDP, CT","Western Connecticut Planning Region",665,1,0.0011 
"09190","09","11990","CT","Cannondale CDP, CT","Western Connecticut Planning Region",396,1,0.0006 
"09190","09","14615","CT","Chimney Point CDP, CT","Western Connecticut Planning Region",133,1,0.0002 
"09190","09","16085","CT","Coleytown CDP, CT","Western Connecticut Planning Region",3522,1,0.0057 
"09190","09","16525","CT","Compo CDP, CT","Western Connecticut Planning Region",3354,1,0.0054 
"09190","09","17520","CT","Cos Cob CDP, CT","Western Connecticut Planning Region",6873,1,0.0111 
"09190","09","18430","CT","Danbury city, CT","Western Connecticut Planning Region",86518,1,0.1394 
"09190","09","18936","CT","Darien Downtown CDP, CT","Western Connecticut Planning Region",1147,1,0.0018 
"09190","09","20250","CT","Dodgingtown CDP, CT","Western Connecticut Planning Region",380,1,0.0006 
"09190","09","30470","CT","Gaylordsville CDP, CT","Western Connecticut Planning Region",603,1,0.001 
"09190","09","30540","CT","Georgetown CDP, CT","Western Connecticut Planning Region",1832,1,0.003 
"09190","09","31520","CT","Glenville CDP, CT","Western Connecticut Planning Region",2762,1,0.0045 
"09190","09","33480","CT","Greens Farms CDP, CT","Western Connecticut Planning Region",3125,1,0.005 
"09190","09","33690","CT","Greenwich CDP, CT","Western Connecticut Planning Region",13836,1,0.0223 
"09190","09","37490","CT","Hawleyville CDP, CT","Western Connecticut Planning Region",151,1,0.0002 
"09190","09","39695","CT","Indian Field CDP, CT","Western Connecticut Planning Region",705,1,0.0011 
"09190","09","39747","CT","Inglenook CDP, CT","Western Connecticut Planning Region",799,1,0.0013 
"09190","09","40077","CT","Kellogg Point CDP, CT","Western Connecticut Planning Region",20,1,0 
"09190","09","40920","CT","Knollcrest CDP, CT","Western Connecticut Planning Region",334,1,0.0005 
"09190","09","41585","CT","Lakes East CDP, CT","Western Connecticut Planning Region",1299,1,0.0021 
"09190","09","41714","CT","Lakeside Woods CDP, CT","Western Connecticut Planning Region",309,1,0.0005 
"09190","09","41736","CT","Lakes West CDP, CT","Western Connecticut Planning Region",1186,1,0.0019 
"09190","09","44660","CT","Mamanasco Lake CDP, CT","Western Connecticut Planning Region",509,1,0.0008 
"09190","09","50576","CT","New Canaan CDP, CT","Western Connecticut Planning Region",6220,1,0.01 
"09190","09","52560","CT","New Milford CDP, CT","Western Connecticut Planning Region",7160,1,0.0115 
"09190","09","52910","CT","Newtown borough, CT","Western Connecticut Planning Region",1914,1,0.0031 
"09190","09","53540","CT","Noroton CDP, CT","Western Connecticut Planning Region",5317,1,0.0086 
"09190","09","53610","CT","Noroton Heights CDP, CT","Western Connecticut Planning Region",3116,1,0.005 
"09190","09","55990","CT","Norwalk city, CT","Western Connecticut Planning Region",91184,1,0.1469 
"09190","09","56900","CT","Old Greenwich CDP, CT","Western Connecticut Planning Region",6962,1,0.0112 
"09190","09","56935","CT","Old Hill CDP, CT","Western Connecticut Planning Region",2676,1,0.0043 
"09190","09","59210","CT","Pemberwick CDP, CT","Western Connecticut Planning Region",3899,1,0.0063 
"09190","09","61555","CT","Poplar Plains CDP, CT","Western Connecticut Planning Region",1322,1,0.0021 
"09190","09","63620","CT","Redding Center CDP, CT","Western Connecticut Planning Region",315,1,0.0005 
"09190","09","63830","CT","Ridgebury CDP, CT","Western Connecticut Planning Region",2223,1,0.0036 
"09190","09","63900","CT","Ridgefield CDP, CT","Western Connecticut Planning Region",7596,1,0.0122 
"09190","09","64530","CT","Riverside CDP, CT","Western Connecticut Planning Region",8843,1,0.0143 
"09190","09","65160","CT","Rock Ridge CDP, CT","Western Connecticut Planning Region",658,1,0.0011 
"09190","09","65685","CT","Route 7 Gateway CDP, CT","Western Connecticut Planning Region",818,1,0.0013 
"09190","09","66113","CT","Sail Harbor CDP, CT","Western Connecticut Planning Region",175,1,0.0003 
"09190","09","66700","CT","Sandy Hook CDP, CT","Western Connecticut Planning Region",9114,1,0.0147 
"09190","09","66770","CT","Saugatuck CDP, CT","Western Connecticut Planning Region",2937,1,0.0047 
"09190","09","68240","CT","Sherman CDP, CT","Western Connecticut Planning Region",115,1,0.0002 
"09190","09","71215","CT","South Wilton CDP, CT","Western Connecticut Planning Region",1447,1,0.0023 
"09190","09","73000","CT","Stamford city, CT","Western Connecticut Planning Region",135470,1,0.2183 
"09190","09","73175","CT","Staples CDP, CT","Western Connecticut Planning Region",6954,1,0.0112 
"09190","09","75065","CT","Taylor Corners CDP, CT","Western Connecticut Planning Region",645,1,0.001 
"09190","09","76150","CT","Tokeneke CDP, CT","Western Connecticut Planning Region",2794,1,0.0045 
"09190","09","76400","CT","Topstone CDP, CT","Western Connecticut Planning Region",113,1,0.0002 
"09190","09","83045","CT","West Mountain CDP, CT","Western Connecticut Planning Region",603,1,0.001 
"09190","09","83360","CT","Weston CDP, CT","Western Connecticut Planning Region",980,1,0.0016 
"09190","09","83586","CT","Westport Village CDP, CT","Western Connecticut Planning Region",3251,1,0.0052 
"09190","09","86380","CT","Wilton Center CDP, CT","Western Connecticut Planning Region",1466,1,0.0024 
"09190","09","99999","CT","[not in a place]","Western Connecticut Planning Region",151581,0.1114,0.2443 
