state,place,state_name,place_name,year
04,77000,Arizona,Tucson city,2021
04,77000,Arizona,Tucson city,2022
04,85540,Arizona,Yuma city,2013
04,85540,Arizona,Yuma city,2014
04,85540,Arizona,Yuma city,2015
04,85540,Arizona,Yuma city,2016
04,85540,Arizona,Yuma city,2017
04,85540,Arizona,Yuma city,2018
04,85540,Arizona,Yuma city,2019
04,85540,Arizona,Yuma city,2020
04,85540,Arizona,Yuma city,2021
04,85540,Arizona,Yuma city,2022
05,23290,Arkansas,Fayetteville city,2013
05,23290,Arkansas,Fayetteville city,2014
05,23290,Arkansas,Fayetteville city,2015
05,23290,Arkansas,Fayetteville city,2016
05,23290,Arkansas,Fayetteville city,2017
05,23290,Arkansas,Fayetteville city,2018
05,23290,Arkansas,Fayetteville city,2019
05,23290,Arkansas,Fayetteville city,2020
05,23290,Arkansas,Fayetteville city,2021
05,23290,Arkansas,Fayetteville city,2022
05,24550,Arkansas,Fort Smith city,2013
05,24550,Arkansas,Fort Smith city,2014
05,24550,Arkansas,Fort Smith city,2015
05,24550,Arkansas,Fort Smith city,2016
05,24550,Arkansas,Fort Smith city,2017
05,24550,Arkansas,Fort Smith city,2018
05,24550,Arkansas,Fort Smith city,2019
05,24550,Arkansas,Fort Smith city,2020
05,24550,Arkansas,Fort Smith city,2021
05,24550,Arkansas,Fort Smith city,2022
05,35710,Arkansas,Jonesboro city,2013
05,35710,Arkansas,Jonesboro city,2014
05,35710,Arkansas,Jonesboro city,2015
05,35710,Arkansas,Jonesboro city,2016
05,35710,Arkansas,Jonesboro city,2017
05,35710,Arkansas,Jonesboro city,2018
05,35710,Arkansas,Jonesboro city,2019
05,35710,Arkansas,Jonesboro city,2020
05,35710,Arkansas,Jonesboro city,2021
05,35710,Arkansas,Jonesboro city,2022
05,41000,Arkansas,Little Rock city,2013
05,41000,Arkansas,Little Rock city,2014
05,41000,Arkansas,Little Rock city,2015
05,41000,Arkansas,Little Rock city,2016
05,41000,Arkansas,Little Rock city,2017
05,41000,Arkansas,Little Rock city,2018
05,41000,Arkansas,Little Rock city,2019
05,41000,Arkansas,Little Rock city,2020
05,41000,Arkansas,Little Rock city,2021
05,41000,Arkansas,Little Rock city,2022
05,66080,Arkansas,Springdale city,2013
05,66080,Arkansas,Springdale city,2014
05,66080,Arkansas,Springdale city,2015
05,66080,Arkansas,Springdale city,2016
05,66080,Arkansas,Springdale city,2017
05,66080,Arkansas,Springdale city,2018
05,66080,Arkansas,Springdale city,2019
05,66080,Arkansas,Springdale city,2020
05,66080,Arkansas,Springdale city,2021
05,66080,Arkansas,Springdale city,2022
06,00562,California,Alameda city,2013
06,00562,California,Alameda city,2014
06,00562,California,Alameda city,2015
06,00562,California,Alameda city,2016
06,00562,California,Alameda city,2017
06,00562,California,Alameda city,2018
06,00562,California,Alameda city,2019
06,00562,California,Alameda city,2020
06,00562,California,Alameda city,2021
06,00562,California,Alameda city,2022
06,00884,California,Alhambra city,2013
06,00884,California,Alhambra city,2014
06,00884,California,Alhambra city,2015
06,00884,California,Alhambra city,2016
06,00884,California,Alhambra city,2017
06,00884,California,Alhambra city,2018
06,00884,California,Alhambra city,2019
06,00884,California,Alhambra city,2020
06,00884,California,Alhambra city,2021
06,00884,California,Alhambra city,2022
06,02000,California,Anaheim city,2013
06,02000,California,Anaheim city,2014
06,02000,California,Anaheim city,2015
06,02000,California,Anaheim city,2016
06,02000,California,Anaheim city,2017
06,02000,California,Anaheim city,2018
06,02000,California,Anaheim city,2019
06,02000,California,Anaheim city,2020
06,02000,California,Anaheim city,2021
06,02000,California,Anaheim city,2022
06,02252,California,Antioch city,2013
06,02252,California,Antioch city,2014
06,02252,California,Antioch city,2015
06,02252,California,Antioch city,2016
06,02252,California,Antioch city,2017
06,02252,California,Antioch city,2018
06,02252,California,Antioch city,2019
06,02252,California,Antioch city,2020
06,02252,California,Antioch city,2021
06,02252,California,Antioch city,2022
06,02364,California,Apple Valley town,2013
06,02364,California,Apple Valley town,2014
06,02364,California,Apple Valley town,2015
06,02364,California,Apple Valley town,2016
06,02364,California,Apple Valley town,2017
06,02364,California,Apple Valley town,2018
06,02364,California,Apple Valley town,2019
06,02364,California,Apple Valley town,2020
06,02364,California,Apple Valley town,2021
06,02364,California,Apple Valley town,2022
06,03526,California,Bakersfield city,2013
06,03526,California,Bakersfield city,2014
06,03526,California,Bakersfield city,2015
06,03526,California,Bakersfield city,2016
06,03526,California,Bakersfield city,2017
06,03526,California,Bakersfield city,2018
06,03526,California,Bakersfield city,2019
06,03526,California,Bakersfield city,2020
06,03526,California,Bakersfield city,2021
06,03526,California,Bakersfield city,2022
06,04982,California,Bellflower city,2013
06,04982,California,Bellflower city,2014
06,04982,California,Bellflower city,2015
06,04982,California,Bellflower city,2016
06,04982,California,Bellflower city,2017
06,04982,California,Bellflower city,2018
06,04982,California,Bellflower city,2019
06,04982,California,Bellflower city,2020
