year,state,county
2014,13,289
2014,13,291
2014,13,293
2014,13,295
2014,13,297
2014,13,299
2014,13,301
2014,13,303
2014,13,305
2014,13,307
2014,13,309
2014,13,311
2014,13,313
2014,13,315
2014,13,317
2014,13,319
2014,13,321
2014,15,001
2014,15,003
2014,15,005
2014,15,007
2014,15,009
2014,16,001
2014,16,003
2014,16,005
2014,16,007
2014,16,009
2014,16,011
2014,16,013
2014,16,015
2014,16,017
2014,16,019
2014,16,021
2014,16,023
2014,16,025
2014,16,027
2014,16,029
2014,16,031
2014,16,033
2014,16,035
2014,16,037
2014,16,039
2014,16,041
2014,16,043
2014,16,045
2014,16,047
2014,16,049
2014,16,051
2014,16,053
2014,16,055
2014,16,057
2014,16,059
2014,16,061
2014,16,063
2014,16,065
2014,16,067
2014,16,069
2014,16,071
2014,16,073
2014,16,075
2014,16,077
2014,16,079
2014,16,081
2014,16,083
2014,16,085
2014,16,087
2014,17,001
2014,17,003
2014,17,005
2014,17,007
2014,17,009
2014,17,011
2014,17,013
2014,17,015
2014,17,017
2014,17,019
2014,17,021
2014,17,023
2014,17,025
2014,17,027
2014,17,029
2014,17,031
2014,17,033
2014,17,035
2014,17,037
2014,17,039
2014,17,041
2014,17,043
2014,17,045
2014,17,047
2014,17,049
2014,17,051
2014,17,053
2014,17,055
2014,17,057
2014,17,059
2014,17,061
2014,17,063
2014,17,065
2014,17,067
2014,17,069
2014,17,071
2014,17,073
2014,17,075
2014,17,077
2014,17,079
2014,17,081
2014,17,083
2014,17,085
2014,17,087
2014,17,089
2014,17,091
2014,17,093
2014,17,095
2014,17,097
2014,17,099
2014,17,101
2014,17,103
2014,17,105
2014,17,107
2014,17,109
2014,17,111
2014,17,113
2014,17,115
2014,17,117
2014,17,119
2014,17,121
2014,17,123
2014,17,125
2014,17,127
2014,17,129
2014,17,131
2014,17,133
2014,17,135
2014,17,137
2014,17,139
2014,17,141
2014,17,143
2014,17,145
2014,17,147
2014,17,149
2014,17,151
2014,17,153
2014,17,155
2014,17,157
2014,17,159
2014,17,161
2014,17,163
2014,17,165
2014,17,167
2014,17,169
2014,17,171
2014,17,173
2014,17,175
2014,17,177
2014,17,179
2014,17,181
2014,17,183
2014,17,185
2014,17,187
2014,17,189
2014,17,191
2014,17,193
2014,17,195
2014,17,197
2014,17,199
2014,17,201
2014,17,203
2014,18,001
2014,18,003
2014,18,005
2014,18,007
2014,18,009
2014,18,011
2014,18,013
2014,18,015
2014,18,017
2014,18,019
2014,18,021
2014,18,023
2014,18,025
2014,18,027
2014,18,029
2014,18,031
2014,18,033
2014,18,035
2014,18,037
2014,18,039
2014,18,041
2014,18,043
2014,18,045
2014,18,047
2014,18,049
2014,18,051
2014,18,053
2014,18,055
2014,18,057
2014,18,059
2014,18,061
2014,18,063
2014,18,065
2014,18,067
2014,18,069
2014,18,071
2014,18,073
2014,18,075
2014,18,077
2014,18,079
2014,18,081
2014,18,083
2014,18,085
2014,18,087
2014,18,089
2014,18,091
2014,18,093
2014,18,095
2014,18,097
2014,18,099
2014,18,101
2014,18,103
2014,18,105
2014,18,107
2014,18,109
2014,18,111
2014,18,113
2014,18,115
2014,18,117
2014,18,119
2014,18,121
2014,18,123
2014,18,125
2014,18,127
2014,18,129
2014,18,131
2014,18,133
2014,18,135
2014,18,137
2014,18,139
2014,18,141
2014,18,143
2014,18,145
2014,18,147
2014,18,149
2014,18,151
2014,18,153
2014,18,155
2014,18,157
2014,18,159
2014,18,161
2014,18,163
2014,18,165
2014,18,167
2014,18,169
2014,18,171
2014,18,173
2014,18,175
2014,18,177
2014,18,179
2014,18,181
2014,18,183
2014,19,001
2014,19,003
2014,19,005
2014,19,007
2014,19,009
2014,19,011
2014,19,013
2014,19,015
2014,19,017
2014,19,019
2014,19,021
2014,19,023
2014,19,025
2014,19,027
2014,19,029
2014,19,031
2014,19,033
2014,19,035
2014,19,037
2014,19,039
2014,19,041
2014,19,043
2014,19,045
2014,19,047
2014,19,049
2014,19,051
2014,19,053
2014,19,055
2014,19,057
2014,19,059
2014,19,061
2014,19,063
2014,19,065
2014,19,067
2014,19,069
2014,19,071
2014,19,073
2014,19,075
2014,19,077
2014,19,079
2014,19,081
2014,19,083
2014,19,085
2014,19,087
2014,19,089
2014,19,091
2014,19,093
2014,19,095
2014,19,097
2014,19,099
2014,19,101
2014,19,103
2014,19,105
2014,19,107
2014,19,109
2014,19,111
2014,19,113
2014,19,115
2014,19,117
2014,19,119
2014,19,121
2014,19,123
2014,19,125
2014,19,127
2014,19,129
2014,19,131
2014,19,133
2014,19,135
2014,19,137
2014,19,139
2014,19,141
2014,19,143
2014,19,145
2014,19,147
2014,19,149
2014,19,151
2014,19,153
2014,19,155
2014,19,157
2014,19,159
2014,19,161
2014,19,163
2014,19,165
2014,19,167
2014,19,169
2014,19,171
2014,19,173
2014,19,175
2014,19,177
2014,19,179
2014,19,181
2014,19,183
2014,19,185
2014,19,187
2014,19,189
2014,19,191
2014,19,193
2014,19,195
2014,19,197
2014,20,001
2014,20,003
2014,20,005
2014,20,007
2014,20,009
2014,20,011
2014,20,013
2014,20,015
2014,20,017
2014,20,019
2014,20,021
2014,20,023
2014,20,025
2014,20,027
2014,20,029
2014,20,031
2014,20,033
2014,20,035
2014,20,037
2014,20,039
2014,20,041
2014,20,043
2014,20,045
2014,20,047
2014,20,049
2014,20,051
2014,20,053
2014,20,055
2014,20,057
2014,20,059
2014,20,061
2014,20,063
2014,20,065
2014,20,067
2014,20,069
2014,20,071
2014,20,073
2014,20,075
2014,20,077
2014,20,079
2014,20,081
2014,20,083
2014,20,085
2014,20,087
2014,20,089
2014,20,091
2014,20,093
2014,20,095
2014,20,097
2014,20,099
2014,20,101
2014,20,103
2014,20,105
2014,20,107
2014,20,109
2014,20,111
2014,20,113
2014,20,115
2014,20,117
2014,20,119
2014,20,121
2014,20,123
2014,20,125
2014,20,127
2014,20,129
2014,20,131
2014,20,133
2014,20,135
2014,20,137
2014,20,139
2014,20,141
2014,20,143
2014,20,145
2014,20,147
2014,20,149
2014,20,151
2014,20,153
2014,20,155
2014,20,157
2014,20,159
2014,20,161
2014,20,163
2014,20,165
2014,20,167
2014,20,169
2014,20,171
2014,20,173
2014,20,175
2014,20,177
2014,20,179
2014,20,181
2014,20,183
2014,20,185
2014,20,187
2014,20,189
2014,20,191
2014,20,193
2014,20,195
2014,20,197
2014,20,199
2014,20,201
2014,20,203
2014,20,205
2014,20,207
2014,20,209
2014,21,001
2014,21,003
2014,21,005
2014,21,007
2014,21,009
2014,21,011
2014,21,013
2014,21,015
2014,21,017
2014,21,019
2014,21,021
2014,21,023
2014,21,025
2014,21,027
2014,21,029
2014,21,031
2014,21,033
2014,21,035
2014,21,037
2014,21,039
2014,21,041
2014,21,043
2014,21,045
2014,21,047
2014,21,049
2014,21,051
2014,21,053
2014,21,055
2014,21,057
2014,21,059
2014,21,061
2014,21,063
2014,21,065
2014,21,067
2014,21,069
2014,21,071
2014,21,073
2014,21,075
2014,21,077
2014,21,079
2014,21,081
2014,21,083
2014,21,085
2014,21,087
2014,21,089
2014,21,091
2014,21,093
2014,21,095
2014,21,097
2014,21,099
2014,21,101
2014,21,103
2014,21,105
2014,21,107
2014,21,109
2014,21,111
2014,21,113
2014,21,115
2014,21,117
2014,21,119
2014,21,121
2014,21,123
2014,21,125
2014,21,127
2014,21,129
2014,21,131
2014,21,133
2014,21,135
2014,21,137
2014,21,139
2014,21,141
2014,21,143
2014,21,145
2014,21,147
2014,21,149
2014,21,151
2014,21,153
2014,21,155
2014,21,157
2014,21,159
2014,21,161
2014,21,163
2014,21,165
2014,21,167
2014,21,169
2014,21,171
2014,21,173
2014,21,175
2014,21,177
2014,21,179
2014,21,181
2014,21,183
2014,21,185
2014,21,187
2014,21,189
2014,21,191
2014,21,193
2014,21,195
2014,21,197
2014,21,199
2014,21,201
2014,21,203
2014,21,205
2014,21,207
2014,21,209
2014,21,211
2014,21,213
2014,21,215
2014,21,217
2014,21,219
2014,21,221
2014,21,223
2014,21,225
2014,21,227
2014,21,229
2014,21,231
2014,21,233
2014,21,235
2014,21,237
2014,21,239
2014,22,001
2014,22,003
2014,22,005
2014,22,007
2014,22,009
2014,22,011
2014,22,013
2014,22,015
2014,22,017
2014,22,019
2014,22,021
2014,22,023
2014,22,025
2014,22,027
2014,22,029
2014,22,031
2014,22,033
2014,22,035
2014,22,037
2014,22,039
2014,22,041
2014,22,043
2014,22,045
2014,22,047
2014,22,049
2014,22,051
2014,22,053
2014,22,055
2014,22,057
2014,22,059
2014,22,061
2014,22,063
2014,22,065
2014,22,067
2014,22,069
2014,22,071
2014,22,073
2014,22,075
2014,22,077
2014,22,079
2014,22,081
2014,22,083
2014,22,085
2014,22,087
2014,22,089
2014,22,091
2014,22,093
2014,22,095
2014,22,097
2014,22,099
2014,22,101
2014,22,103
2014,22,105
2014,22,107
2014,22,109
2014,22,111
2014,22,113
2014,22,115
2014,22,117
2014,22,119
2014,22,121
2014,22,123
2014,22,125
2014,22,127
2014,23,001
2014,23,003
2014,23,005
2014,23,007
2014,23,009
2014,23,011
2014,23,013
2014,23,015
2014,23,017
2014,23,019
2014,23,021
2014,23,023
2014,23,025
2014,23,027
2014,23,029
2014,23,031
2014,24,001
2014,24,003
2014,24,005
2014,24,009
2014,24,011
2014,24,013
2014,24,015
2014,24,017
2014,24,019
2014,24,021
2014,24,023
2014,24,025
2014,24,027
2014,24,029
2014,24,031
2014,24,033
2014,24,035
2014,24,037
2014,24,039
2014,24,041
2014,24,043
2014,24,045
2014,24,047
2014,24,510
2014,25,001
2014,25,003
2014,25,005
2014,25,007
2014,25,009
2014,25,011
2014,25,013
2014,25,015
2014,25,017
2014,25,019
2014,25,021
2014,25,023
2014,25,025
2014,25,027
2014,26,001
2014,26,003
2014,26,005
2014,26,007
2014,26,009
2014,26,011
2014,26,013
2014,26,015
2014,26,017
2014,26,019
2014,26,021
2014,26,023
2014,26,025
2014,26,027
2014,26,029
2014,26,031
2014,26,033
2014,26,035
2014,26,037
2014,26,039
2014,26,041
2014,26,043
2014,26,045
2014,26,047
2014,26,049
2014,26,051
2014,26,053
2014,26,055
2014,26,057
2014,26,059
2014,26,061
2014,26,063
2014,26,065
2014,26,067
2014,26,069
2014,26,071
2014,26,073
2014,26,075
2014,26,077
2014,26,079
2014,26,081
2014,26,083
2014,26,085
2014,26,087
2014,26,089
2014,26,091
2014,26,093
2014,26,095
2014,26,097
2014,26,099
2014,26,101
2014,26,103
2014,26,105
2014,26,107
2014,26,109
2014,26,111
2014,26,113
2014,26,115
2014,26,117
2014,26,119
2014,26,121
2014,26,123
2014,26,125
2014,26,127
2014,26,129
2014,26,131
2014,26,133
2014,26,135
2014,26,137
2014,26,139
2014,26,141
2014,26,143
2014,26,145
2014,26,147
2014,26,149
2014,26,151
2014,26,153
2014,26,155
2014,26,157
2014,26,159
2014,26,161
2014,26,163
2014,26,165
2014,27,001
2014,27,003
2014,27,005
2014,27,007
2014,27,009
2014,27,011
2014,27,013
2014,27,015
2014,27,017
2014,27,019
2014,27,021
2014,27,023
2014,27,025
2014,27,027
2014,27,029
2014,27,031
2014,27,033
2014,27,035
2014,27,037
2014,27,039
2014,27,041
2014,27,043
2014,27,045
2014,27,047
2014,27,049
2014,27,051
2014,27,053
2014,27,055
2014,27,057
2014,27,059
2014,27,061
2014,27,063
2014,27,065
2014,27,067
2014,27,069
2014,27,071
2014,27,073
2014,27,075
2014,27,077
2014,27,079
2014,27,081
2014,27,083
2014,27,085
2014,27,087
2014,27,089
2014,27,091
2014,27,093
2014,27,095
2014,27,097
2014,27,099
2014,27,101
2014,27,103
2014,27,105
2014,27,107
2014,27,109
2014,27,111
2014,27,113
2014,27,115
2014,27,117
2014,27,119
2014,27,121
2014,27,123
2014,27,125
2014,27,127
2014,27,129
2014,27,131
2014,27,133
2014,27,135
2014,27,137
2014,27,139
2014,27,141
2014,27,143
2014,27,145
2014,27,147
2014,27,149
2014,27,151
2014,27,153
2014,27,155
2014,27,157
2014,27,159
2014,27,161
2014,27,163
2014,27,165
2014,27,167
2014,27,169
2014,27,171
2014,27,173
2014,28,001
2014,28,003
2014,28,005
2014,28,007
2014,28,009
2014,28,011
2014,28,013
2014,28,015
2014,28,017
2014,28,019
2014,28,021
2014,28,023
2014,28,025
2014,28,027
2014,28,029
2014,28,031
2014,28,033
2014,28,035
2014,28,037
2014,28,039
2014,28,041
2014,28,043
2014,28,045
2014,28,047
2014,28,049
2014,28,051
2014,28,053
2014,28,055
2014,28,057
2014,28,059
2014,28,061
2014,28,063
2014,28,065
2014,28,067
2014,28,069
2014,28,071
2014,28,073
2014,28,075
2014,28,077
2014,28,079
2014,28,081
2014,28,083
2014,28,085
2014,28,087
2014,28,089
2014,28,091
2014,28,093
2014,28,095
2014,28,097
2014,28,099
2014,28,101
2014,28,103
2014,28,105
2014,28,107
2014,28,109
2014,28,111
2014,28,113
2014,28,115
2014,28,117
2014,28,119
2014,28,121
2014,28,123
2014,28,125
2014,28,127
2014,28,129
2014,28,131
2014,28,133
2014,28,135
2014,28,137
2014,28,139
2014,28,141
2014,28,143
2014,28,145
2014,28,147
2014,28,149
2014,28,151
2014,28,153
2014,28,155
2014,28,157
2014,28,159
2014,28,161
2014,28,163
2014,29,001
2014,29,003
2014,29,005
2014,29,007
2014,29,009
2014,29,011
2014,29,013
2014,29,015
2014,29,017
2014,29,019
2014,29,021
2014,29,023
2014,29,025
2014,29,027
2014,29,029
2014,29,031
2014,29,033
2014,29,035
2014,29,037
2014,29,039
2014,29,041
2014,29,043
2014,29,045
2014,29,047
2014,29,049
2014,29,051
2014,29,053
2014,29,055
2014,29,057
2014,29,059
2014,29,061
2014,29,063
2014,29,065
2014,29,067
2014,29,069
2014,29,071
2014,29,073
2014,29,075
2014,29,077
2014,29,079
2014,29,081
2014,29,083
2014,29,085
2014,29,087
2014,29,089
2014,29,091
2014,29,093
2014,29,095
2014,29,097
2014,29,099
2014,29,101
2014,29,103
2014,29,105
2014,29,107
2014,29,109
2014,29,111
2014,29,113
2014,29,115
2014,29,117
2014,29,119
2014,29,121
2014,29,123
2014,29,125
2014,29,127
2014,29,129
2014,29,131
2014,29,133
2014,29,135
2014,29,137
2014,29,139
2014,29,141
2014,29,143
2014,29,145
2014,29,147
2014,29,149
2014,29,151
2014,29,153
2014,29,155
2014,29,157
2014,29,159
2014,29,161
2014,29,163
2014,29,165
2014,29,167
2014,29,169
2014,29,171
2014,29,173
2014,29,175
2014,29,177
2014,29,179
2014,29,181
2014,29,183
2014,29,185
2014,29,186
2014,29,187
2014,29,189
2014,29,195
2014,29,197
2014,29,199
2014,29,201
2014,29,203
2014,29,205
2014,29,207
2014,29,209
2014,29,211
2014,29,213
2014,29,215
2014,29,217
2014,29,219
2014,29,221
2014,29,223
2014,29,225
2014,29,227
2014,29,229
2014,29,510
2014,30,001
2014,30,003
2014,30,005
2014,30,007
2014,30,009
2014,30,011
2014,30,013
2014,30,015
2014,30,017
2014,30,019
2014,30,021
2014,30,023
2014,30,025
2014,30,027
2014,30,029
2014,30,031
2014,30,033
2014,30,035
2014,30,037
2014,30,039
2014,30,041
2014,30,043
2014,30,045
2014,30,047
2014,30,049
2014,30,051
2014,30,053
2014,30,055
2014,30,057
2014,30,059
2014,30,061
2014,30,063
2014,30,065
2014,30,067
2014,30,069
2014,30,071
2014,30,073
2014,30,075
2014,30,077
2014,30,079
2014,30,081
2014,30,083
2014,30,085
2014,30,087
2014,30,089
2014,30,091
2014,30,093
2014,30,095
2014,30,097
2014,30,099
2014,30,101
2014,30,103
2014,30,105
2014,30,107
2014,30,109
2014,30,111
2014,31,001
2014,31,003
2014,31,005
2014,31,007
2014,31,009
2014,31,011
2014,31,013
2014,31,015
2014,31,017
2014,31,019
2014,31,021
2014,31,023
2014,31,025
2014,31,027
2014,31,029
2014,31,031
2014,31,033
2014,31,035
2014,31,037
2014,31,039
2014,31,041
2014,31,043
2014,31,045
2014,31,047
2014,31,049
2014,31,051
2014,31,053
2014,31,055
2014,31,057
2014,31,059
2014,31,061
2014,31,063
2014,31,065
2014,31,067
2014,31,069
2014,31,071
2014,31,073
2014,31,075
2014,31,077
2014,31,079
2014,31,081
2014,31,083
2014,31,085
2014,31,087
2014,31,089
2014,31,091
2014,31,093
2014,31,095
2014,31,097
2014,31,099
2014,31,101
2014,31,103
2014,31,105
2014,31,107
2014,31,109
2014,31,111
2014,31,113
2014,31,115
2014,31,117
2014,31,119
2014,31,121
2014,31,123
2014,31,125
2014,31,127
2014,31,129
2014,31,131
2014,31,133
2014,31,135
2014,31,137
2014,31,139
2014,31,141
2014,31,143
2014,31,145
2014,31,147
2014,31,149
2014,31,151
2014,31,153
2014,31,155
2014,31,157
2014,31,159
2014,31,161
2014,31,163
2014,31,165
2014,31,167
2014,31,169
2014,31,171
2014,31,173
2014,31,175
2014,31,177
2014,31,179
2014,31,181
2014,31,183
2014,31,185
2014,32,001
2014,32,003
2014,32,005
2014,32,007
2014,32,009
2014,32,011
2014,32,013
2014,32,015
2014,32,017
2014,32,019
2014,32,021
2014,32,023
2014,32,027
2014,32,029
2014,32,031
2014,32,033
2014,32,510
2014,33,001
2014,33,003
2014,33,005
2014,33,007
2014,33,009
2014,33,011
2014,33,013
2014,33,015
2014,33,017
2014,33,019
2014,34,001
2014,34,003
2014,34,005
2014,34,007
2014,34,009
2014,34,011
2014,34,013
2014,34,015
2014,34,017
2014,34,019
2014,34,021
2014,34,023
2014,34,025
2014,34,027
2014,34,029
2014,34,031
2014,34,033
2014,34,035
2014,34,037
2014,34,039
2014,34,041
2014,35,001
2014,35,003
2014,35,005
2014,35,006
2014,35,007
2014,35,009
2014,35,011
2014,35,013
2014,35,015
2014,35,017
2014,35,019
2014,35,021
2014,35,023
2014,35,025
2014,35,027
2014,35,028
2014,35,029
2014,35,031
2014,35,033
2014,35,035
2014,35,037
2014,35,039
2014,35,041
2014,35,043
2014,35,045
2014,35,047
2014,35,049
2014,35,051
2014,35,053
2014,35,055
2014,35,057
2014,35,059
2014,35,061
2014,36,001
2014,36,003
2014,36,005
2014,36,007
2014,36,009
2014,36,011
2014,36,013
2014,36,015
2014,36,017
2014,36,019
2014,36,021
2014,36,023
2014,36,025
2014,36,027
2014,36,029
2014,36,031
2014,36,033
2014,36,035
2014,36,037
2014,36,039
2014,36,041
2014,36,043
2014,36,045
2014,36,047
2014,36,049
2014,36,051
2014,36,053
2014,36,055
2014,36,057
2014,36,059
2014,36,061
2014,36,063
2014,36,065
2014,36,067
2014,36,069
2014,36,071
2014,36,073
2014,36,075
2014,36,077
2014,36,079
2014,36,081
2014,36,083
2014,36,085
2014,36,087
2014,36,089
2014,36,091
2014,36,093
2014,36,095
2014,36,097
2014,36,099
2014,36,101
2014,36,103
2014,36,105
2014,36,107
2014,36,109
2014,36,111
2014,36,113
2014,36,115
2014,36,117
2014,36,119
2014,36,121
2014,36,123
2014,37,001
2014,37,003
2014,37,005
2014,37,007
2014,37,009
2014,37,011
2014,37,013
2014,37,015
2014,37,017
2014,37,019
2014,37,021
2014,37,023
2014,37,025
2014,37,027
2014,37,029
2014,37,031
2014,37,033
2014,37,035
2014,37,037
2014,37,039
2014,37,041
2014,37,043
2014,37,045
2014,37,047
2014,37,049
2014,37,051
2014,37,053
2014,37,055
2014,37,057
2014,37,059
2014,37,061
2014,37,063
2014,37,065
2014,37,067
2014,37,069
2014,37,071
2014,37,073
2014,37,075
2014,37,077
2014,37,079
2014,37,081
2014,37,083
2014,37,085
2014,37,087
2014,37,089
2014,37,091
2014,37,093
2014,37,095
2014,37,097
2014,37,099
2014,37,101
2014,37,103
2014,37,105
2014,37,107
2014,37,109
2014,37,111
2014,37,113
2014,37,115
2014,37,117
2014,37,119
2014,37,121
2014,37,123
2014,37,125
2014,37,127
2014,37,129
2014,37,131
2014,37,133
2014,37,135
2014,37,137
2014,37,139
2014,37,141
2014,37,143
2014,37,145
2014,37,147
2014,37,149
2014,37,151
2014,37,153
2014,37,155
2014,37,157
2014,37,159
2014,37,161
2014,37,163
2014,37,165
2014,37,167
2014,37,169
2014,37,171
2014,37,173
2014,37,175
2014,37,177
2014,37,179
2014,37,181
2014,37,183
2014,37,185
2014,37,187
2014,37,189
2014,37,191
2014,37,193
2014,37,195
2014,37,197
2014,37,199
2014,38,001
2014,38,003
2014,38,005
2014,38,007
2014,38,009
2014,38,011
2014,38,013
2014,38,015
