crosswalk_period,statefip,county,puma,afact,afact2,population,products,sum_products,geographic_allocation_quality
2012,04,013,00105,1,0.0355,135319,0.0355,1,1
2012,04,013,00106,1,0.0299,114036,0.0299,1,1
2012,04,013,00107,1,0.0263,100430,0.0263,1,1
2012,04,013,00108,1,0.0265,101048,0.0265,1,1
2012,04,013,00109,1,0.0268,102150,0.0268,1,1
2012,04,013,00110,1,0.0306,116958,0.0306,1,1
2012,04,013,00111,1,0.0275,104877,0.0275,1,1
2012,04,013,00112,1,0.0276,105478,0.0276,1,1
2012,04,013,00113,1,0.0268,102189,0.0268,1,1
2012,04,013,00114,1,0.0272,103639,0.0272,1,1
2012,04,013,00115,1,0.0267,101757,0.0267,1,1
2012,04,013,00116,1,0.0263,100212,0.0263,1,1
2012,04,013,00117,1,0.0263,100444,0.0263,1,1
2012,04,013,00118,1,0.0285,108714,0.0285,1,1
2012,04,013,00119,1,0.0276,105514,0.0276,1,1
2012,04,013,00120,1,0.0262,100182,0.0262,1,1
2012,04,013,00121,1,0.0324,123745,0.0324,1,1
2012,04,013,00122,1,0.0273,104327,0.0273,1,1
2012,04,013,00123,1,0.0284,108404,0.0284,1,1
2012,04,013,00124,1,0.0263,100367,0.0263,1,1
2012,04,013,00125,1,0.0267,101932,0.0267,1,1
2012,04,013,00126,1,0.0319,121841,0.0319,1,1
2012,04,013,00127,1,0.0297,113447,0.0297,1,1
2012,04,013,00128,1,0.027,103065,0.027,1,1
2012,04,013,00129,1,0.0277,105818,0.0277,1,1
2012,04,013,00130,1,0.0304,116222,0.0304,1,1
2012,04,013,00131,1,0.0271,103540,0.0271,1,1
2012,04,013,00132,1,0.0269,102571,0.0269,1,1
2012,04,013,00133,1,0.0272,103989,0.0272,1,1
2012,04,013,00134,1,0.0288,109882,0.0288,1,1
2012,04,015,00600,0.9072,1,200186,0.9072,0.9072,1
2012,04,017,00300,0.6004,1,107449,0.6004,0.6004,2
2012,04,019,00201,1,0.1032,101172,0.1032,0.9999,1
2012,04,019,00202,1,0.1176,115321,0.1176,0.9999,1
2012,04,019,00203,1,0.1117,109462,0.1117,0.9999,1
2012,04,019,00204,1,0.1065,104434,0.1065,0.9999,1
