year,state,county,subgroup_type,subgroup,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,01,021,tenure,Renter,1.6251355049785554,0.7362401623831545,NA,3,3,NA
2022,01,023,tenure,All,2.124988795364317,1.9898466867068632,1.8627967781067984,3,3,3
2022,01,023,tenure,Owner,2.3043815250981377,2.6647791914316437,2.8046538069473845,3,3,3
2022,01,023,tenure,Renter,2.2538719019657436,1.1440125807093613,0.7655015807452503,3,3,3
2022,01,025,tenure,All,1.8309001830734775,1.797844701307525,1.735934315880218,3,3,3
2022,01,025,tenure,Owner,2.151084225221033,2.5246259005927643,2.653892583545012,3,3,3
2022,01,025,tenure,Renter,1.7677325791487473,0.8870331436334804,0.6664819811380303,3,3,3
2022,01,027,tenure,All,2.1968639605065645,2.3284320672271717,2.1835190968602873,3,3,3
2022,01,027,tenure,Owner,2.2128742226743086,2.7531688935239598,2.8332895223668064,3,3,3
2022,01,027,tenure,Renter,2.4760326328139954,1.7876209120998767,1.403154868533963,3,3,3
2022,01,029,tenure,All,2.1692711544520042,2.3069302322069314,2.158425017012664,3,3,3
2022,01,029,tenure,Owner,2.212084871766802,2.725969829379557,2.817015680982718,3,3,3
2022,01,029,tenure,Renter,2.3999651660231556,1.7749398610283267,1.3674678187510199,3,3,3
2022,01,031,tenure,All,1.7469627717153173,1.7342338109414557,1.7121278755080704,2,2,2
2022,01,031,tenure,Owner,1.8375089980396389,2.0264076739555095,2.4914576867086,2,2,2
2022,01,031,tenure,Renter,1.847523467058732,1.3888237837458797,0.9197485386527033,2,2,2
2022,01,033,tenure,All,1.761992225623489,1.7485069950625438,1.5942593598607047,3,3,3
2022,01,033,tenure,Owner,2.019663941376712,2.2674792913719086,2.240606386341816,3,3,3
2022,01,033,tenure,Renter,1.5934483371123538,1.149087512614606,0.8694360354187293,3,3,3
2022,01,035,tenure,All,2.184782686020096,2.0288843958899263,1.8885903650655391,3,3,3
2022,01,035,tenure,Owner,2.335549824731626,2.693275060354238,2.835306473288433,3,3,3
2022,01,035,tenure,Renter,2.352713408563241,1.196261459853661,0.7856341763788337,3,3,3
2022,01,037,tenure,All,2.3037478698104237,2.179518238277316,1.9248649356351524,3,3,3
2022,01,037,tenure,Owner,2.6284038777123464,2.7550708884558697,2.531908778643285,3,3,3
2022,01,037,tenure,Renter,1.9487595250171108,1.4599244344190416,1.195649812568719,3,3,3
2022,01,039,tenure,All,1.8511440888741504,1.9411439357888578,1.715143221064335,3,3,3
2022,01,039,tenure,Owner,1.8474365455232669,2.3598065179018755,2.4408870209242917,3,3,3
2022,01,039,tenure,Renter,1.9903429746952164,1.4749720507101556,0.9848677708774358,3,3,3
2022,01,041,tenure,All,2.679068171707586,2.6966927865744506,2.2390344847036263,3,3,3
2022,01,041,tenure,Owner,2.170795895779368,2.8572005742160185,2.9530528452957956,3,3,3
2022,01,041,tenure,Renter,3.567580963277631,2.5179707771771955,1.5205576891405408,3,3,3
2022,01,043,tenure,All,1.7809809711056315,1.839370129783965,1.8107428781976544,2,2,2
2022,01,043,tenure,Owner,2.27714398082359,2.592270611244527,2.651766658762153,2,2,2
2022,01,043,tenure,Renter,1.227686119565024,0.8387843459650465,0.7642402866837887,2,2,2
2022,01,045,tenure,All,1.768055415000588,1.7453034930393867,1.7384373940940985,2,2,2
2022,01,045,tenure,Owner,1.8759358611790702,2.2000734910457775,2.503671373193174,2,2,2
2022,01,045,tenure,Renter,1.8673194716293973,1.2337266944492686,0.9603899176814485,2,2,2
2022,01,047,tenure,All,1.501745641318758,1.470935458410815,1.5188613937770734,3,3,3
2022,01,047,tenure,Owner,1.7235663012725857,2.061084036867315,2.34325183191026,3,3,3
2022,01,047,tenure,Renter,1.324540484892594,0.7871256589352352,0.6779353330327078,3,3,3
2022,01,049,tenure,All,1.5154737931676798,1.727063950213451,1.6677297790793504,2,2,2
2022,01,049,tenure,Owner,1.7695529100205882,2.1173478354227573,2.098808167786663,2,2,2
2022,01,049,tenure,Renter,1.327717357171417,1.057787321976032,0.9431057169989803,2,2,2
2022,01,051,tenure,All,1.803284562583539,2.1033106412619085,2.1337023692779145,1,1,1
2022,01,051,tenure,Owner,2.1438862541613073,2.4965073529411765,2.995734470807785,1,1,1
2022,01,051,tenure,Renter,1.4803891497987676,NA,NA,1,NA,NA
2022,01,053,tenure,All,1.6981617817486245,1.7111836218642271,1.6786742938313626,3,3,3
2022,01,053,tenure,Owner,2.081892703813262,2.461366994981105,2.5858457332425626,3,3,3
