year,state,place,rate_affordable_available_80_ami,rate_affordable_available_50_ami,rate_affordable_available_30_ami,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,04,28380,26.10975814580473,14.001588286258592,NA,0.3553932356725057,0.15655082393967573,NA,2,2,NA
2022,04,46000,37.45703029496106,16.984521892325777,6.3830867521833214,0.525314989212846,0.23555909297645575,0.08830416590723507,1,1,1
2022,04,54050,22.678734446490477,12.190092513429796,11.59711980177477,0.292819587054388,0.15544064996219395,0.14066838201834897,2,2,2
2022,04,55000,45.828531180914815,21.083072369853003,11.878793423870906,0.6078297765482864,0.3106469558944527,0.15041827840507,1,1,1
2022,04,65000,23.168690556303382,11.343541647535938,9.940411070694458,0.33544774508474845,0.12978368448227187,0.12376890707802891,2,2,2
2022,04,71510,15.830548396603952,8.225286240370242,11.152186057130358,0.20865604901944884,0.09461366599925486,0.11861303177093328,1,1,1
2022,04,73000,60.33304824254775,19.40707345963119,7.586337371074564,0.7872791402194034,0.2884867241284508,0.13413615083550529,1,1,1
2022,04,77000,49.03523064245163,29.80248991159162,12.953196647917409,0.6015340081651546,0.4042327682223448,0.18502556364949896,1,1,1
2022,04,85540,52.98351880910058,36.784541604879585,38.35476609503937,0.6368708377396974,0.40845644866475805,0.4267015230950236,2,2,2
2022,05,23290,72.01665308444211,65.31841678719155,32.38737586111149,0.8439861714831971,0.934058168749125,0.40197565386242745,2,2,2
2022,05,24550,58.597224154200354,43.151478155535806,38.75945086186039,0.7207946900751684,0.6428729385336596,0.6223809987242429,2,2,2
2022,05,35710,54.83746948884849,42.19949044562145,29.994404002742364,0.7211911938324531,0.5354735358941787,0.3884652396137731,2,2,2
2022,05,41000,74.73971309127634,53.35978767762458,24.032165532188525,0.8919656018280189,0.7505209653883398,0.31049216929901624,1,1,1
2022,05,66080,63.50996826675143,54.948150603885374,35.8283543577019,0.816858554332684,0.80458582918423,0.5159812887198219,3,3,3
2022,06,00562,51.62975330814463,32.821570613979446,18.07051176346619,0.7465809588362214,0.455137340935445,0.2749657632114147,2,2,2
2022,06,00884,65.81851593275363,28.0830396076847,9.66528749519267,0.8675878937962338,0.410693238969615,0.12226303145843868,2,2,2
2022,06,02000,64.83883957918405,30.11458176811967,14.013935566858127,0.7908054031457951,0.3839661259019663,0.15667494604342347,1,1,1
2022,06,02252,38.27404135726159,36.259033649839175,26.158848607692846,0.4634879885657335,0.4275927256723918,0.2618007505312723,1,1,1
2022,06,02364,42.326796103040785,16.96827040873701,8.046227545991377,0.4915791676654682,0.20348066648175803,0.08063065450953143,2,2,2
2022,06,03526,46.123258546449385,26.538717770883974,16.253318563322104,0.6052631887207117,0.35221898579195965,0.1820649934004715,2,2,2
2022,06,04982,60.24409908628412,27.39859665191291,14.639269406392694,0.743882088842254,0.3563811100069878,0.18127853881278536,2,2,2
2022,06,06000,71.57773184625272,40.22045175521563,20.15859697057997,0.8744418076659387,0.47814984784828385,0.2787676478119771,1,1,1
2022,06,08786,47.88167307194522,16.249159417794917,11.905485007843774,0.5930422979371764,0.2516397533087199,0.12613988149197755,3,3,3
2022,06,08954,53.56413249924545,20.841709189163282,11.377629365524708,0.7478483095244272,0.24195891185729387,0.12085116942379756,1,1,1
2022,06,11194,22.291922127654036,8.330449423026376,7.627199321941106,0.30703069438891206,0.11547545899792756,0.0839977201641857,1,1,1
2022,06,11530,36.984704103172135,21.662753166572283,11.348856698414073,0.4133487276961691,0.28892395767904333,0.1504153426436552,1,1,1
2022,06,13014,48.560357387934936,19.637575505103104,9.039265871777264,0.6512837440179713,0.27502603624244953,0.11305324926649604,1,1,1
2022,06,13210,18.656053265722427,12.227218631173361,12.444747430103547,0.24106138008618985,0.13346075309854158,0.12559647855280132,2,2,2
2022,06,13214,15.308376281361499,6.648546937068785,NA,0.2096618904683695,0.07735730712941669,NA,2,2,NA
2022,06,13392,51.981597211265154,29.346821392768778,16.42762539570358,0.619432799588292,0.4098029995780374,0.2131379314000944,1,1,1
2022,06,13588,50.877206695640034,16.2927179131726,1.67107388449408,0.6438410398607541,0.2167731234406987,0.05750767798976268,1,1,1
2022,06,14218,42.723771135130136,5.822026532762332,2.022615916662312,0.5642984201003625,0.0838587631452707,0.0369816546080774,1,1,1
2022,06,15044,57.320149761381366,34.17064319544757,15.063411515011573,0.6862565965143612,0.4588713643915892,0.2152577215795961,2,2,2
2022,06,16000,38.40676806492728,17.4564209757002,6.914090686824423,0.5183735567045399,0.24661186670946744,0.09996249062970523,3,3,3
2022,06,16350,23.87509952090659,10.577172301486721,2.79879791274659,0.2976753132655132,0.14849795676903638,0.03553059586039928,2,2,2
2022,06,16532,63.75510464989183,22.024128058373666,13.904260723718387,0.7688205851069475,0.2796583052165264,0.1675782661062756,2,2,2
2022,06,17918,68.55833840721004,39.973718969397545,19.02627941500304,0.7792977233138488,0.5011724225224581,0.2755380907388139,2,2,2
2022,06,19766,50.32802474618217,13.659958708094535,6.161055184416255,0.736400681701244,0.2578486691990986,0.09904838506655966,1,1,1
2022,06,21712,53.37015637951266,29.05962222238584,11.614286935573363,0.6376157491889854,0.37987043334823023,0.1421074783169129,2,2,2
2022,06,22020,18.843889891910333,11.160641698384591,6.273084014787883,0.2804080094409599,0.14217161279017287,0.09791111454396192,1,1,1
2022,06,22230,72.33028884476231,39.042635730545214,27.449589383568522,0.8255844123786417,0.452765873635371,0.30967375698742633,1,1,1
2022,06,22804,54.62212100865782,28.395328174554773,11.60196612312127,0.6491642754960824,0.3331724714638449,0.1598838047526217,1,1,1
2022,06,23182,32.95479697791278,18.875196211612806,4.507582817471077,0.44232542141260595,0.2432363484643382,0.10443475228979786,1,1,1
2022,06,24638,27.32963870021964,11.4437588069564,NA,0.3860145237578153,0.15063616310978464,NA,2,2,NA
2022,06,24680,34.17000425429424,16.273636557681456,7.404668652404952,0.5488773320214166,0.2221792166125925,0.10259829196993446,1,1,1
2022,06,26000,30.468382468310136,13.586575278618904,11.206634562809398,0.49552827097026575,0.20591609209108896,0.1636842608940216,1,1,1
2022,06,27000,44.82216647642434,26.177252941690533,14.272749212644461,0.6088476184353909,0.31465779943959726,0.19938407861667343,1,1,1
2022,06,28000,58.327854016023075,24.63915549529987,13.716077412193512,0.7190222943895871,0.3264511303104415,0.1400960815036065,2,2,2
2022,06,29000,57.86783555025017,30.427081911580505,13.557320945783093,0.6809538736529482,0.3565501857367108,0.1786549977175013,1,1,1
2022,06,30000,61.187823090178064,22.043157607211146,12.552146591329144,0.7515450890292935,0.2798074296640262,0.13122458678776996,1,1,1
2022,06,32548,83.06721236815572,43.5066958850293,8.672861103992352,1.0096858066616723,0.5924125622015439,0.18507573447989983,2,2,2
2022,06,33000,43.747797475360116,21.25607394754116,16.71324184262193,0.5573767040535252,0.3343852088946391,0.2226940653152689,1,1,1
2022,06,33182,39.41250870785747,12.831386693496622,1.9164825411764144,0.47677624354340825,0.16729171260171397,0.02940767552334105,2,2,2
2022,06,33434,34.756783722011356,12.737110517545464,3.994653052658564,0.4159396815691899,0.1614859937107901,0.04011952913257364,2,2,2
2022,06,36000,38.79989490973266,15.22812021385447,5.463642378536282,0.5078703753278588,0.1971425620765312,0.06641474960108107,1,1,1
