year,state,place,subgroup_type,subgroup,share_affordable_available_30_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami,share_affordable_available_50_ami_quality,share_affordable_available_80_ami,share_affordable_available_80_ami_quality
2021,04,85540,tenure,Owner,0.6345507976490344,2,0.6276584814548443,2,0.8972512393392373,2
2021,04,85540,tenure,Renter,NA,NA,NA,NA,0.8827419006187085,2
2021,05,23290,tenure,All,0.47128585539181567,2,0.8343299838186832,2,1.0908385081695537,2
2021,05,23290,tenure,Owner,NA,NA,NA,NA,0.9419251360904708,2
2021,05,23290,tenure,Renter,NA,NA,0.8781096249375914,2,1.1976495740517956,2
2021,05,24550,tenure,All,0.7889272485113229,2,0.8051630003062975,2,1.1051813596838436,2
2021,05,24550,tenure,Owner,0.7924843883626514,2,0.7978678938845949,2,0.9876779208991098,2
2021,05,24550,tenure,Renter,0.785493049575114,2,0.8123080170989142,2,1.2486598283162442,2
2021,05,35710,tenure,All,0.7613262721826244,2,0.8299196106039979,2,1.155286207178543,2
2021,05,35710,tenure,Owner,0.9197728918303513,2,0.9734680114762341,2,1.086729693098515,2
2021,05,35710,tenure,Renter,0.6335948975809813,2,0.7052934978764738,2,1.2356342999180356,2
2021,05,41000,tenure,All,0.3893283163141258,1,0.6577770310733387,1,1.026608367755744,1
2021,05,41000,tenure,Owner,0.5479906264471395,1,0.7124225109559253,1,0.9790402636176763,1
2021,05,41000,tenure,Renter,0.2938013860661798,1,0.62481212841323,1,1.0617931738209843,1
2021,05,66080,tenure,All,0.5942043248928898,3,0.9240622793967841,3,1.2941702611953634,3
2021,05,66080,tenure,Owner,NA,NA,NA,NA,1.059869697962741,3
2021,05,66080,tenure,Renter,NA,NA,0.9367204711783317,3,1.4711952832000297,3
2021,06,00562,tenure,All,0.3794904823243166,2,0.6422054228431052,2,0.9073238687775746,2
2021,06,00562,tenure,Owner,NA,NA,0.6511942728326149,2,0.8022732651650959,2
2021,06,00562,tenure,Renter,0.3211884093409952,2,0.635973016745064,2,0.9913281383397384,2
2021,06,00884,tenure,All,0.31778754083586797,2,0.535361424140889,2,0.898261084184867,2
2021,06,00884,tenure,Owner,NA,NA,0.6533672172808132,2,0.795271543601165,2
2021,06,00884,tenure,Renter,0.1979703120266586,2,0.4897919642777289,2,0.9318280029624129,2
2021,06,02000,tenure,All,0.3021288848669351,3,0.5633494987493503,3,0.9747195724949385,3
2021,06,02000,tenure,Owner,0.5179413362260725,3,0.6619187982697803,3,0.8133435433162076,3
2021,06,02000,tenure,Renter,0.2163900755375253,3,0.5207655696028216,3,1.0663057422944096,3
2021,06,02252,tenure,All,0.25478832251799494,1,0.4199498332305567,1,0.8681872030389691,1
2021,06,02252,tenure,Owner,NA,NA,0.46859015120028724,1,0.8525685960589752,1
2021,06,02252,tenure,Renter,0.2205196800432569,1,0.3904924897428592,1,0.8833011999351121,1
2021,06,02364,tenure,All,0.5386947884455868,2,0.7661720486397128,2,0.9866784303561827,2
2021,06,02364,tenure,Owner,NA,NA,0.7856904482317988,2,0.9067946983017382,2
