year,state,place,subgroup_type,subgroup,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,04,04720,tenure,Renter,0.8401468806938798,NA,NA,2,NA,NA
2022,04,07940,tenure,All,1.5157355967106754,1.5838282759850197,1.6953151702985891,2,2,2
2022,04,07940,tenure,Owner,1.6856834722298248,1.8148355721213714,NA,2,2,NA
2022,04,07940,tenure,Renter,NA,NA,NA,NA,NA,NA
2022,04,12000,tenure,All,1.611291452468728,1.497991216488935,1.7706409949124684,1,1,1
2022,04,12000,tenure,Owner,2.293265422419239,2.4476378372104866,3.070671711384661,1,1,1
2022,04,12000,tenure,Renter,0.9014141609582171,0.25082616848356387,0.1884765981870679,1,1,1
2022,04,23620,tenure,All,1.3384778046017163,1.2981377987443747,1.5062101832125008,2,2,2
2022,04,23620,tenure,Owner,1.6032805510189592,1.69394663480685,2.3795530529649835,2,2,2
2022,04,23620,tenure,Renter,1.0922435967579371,0.7558830665483082,NA,2,2,NA
2022,04,27400,tenure,All,1.7066887692530688,1.7946111081705771,2.2684243876074754,1,1,1
2022,04,27400,tenure,Owner,2.219107787224369,2.575956112650021,3.063931433253479,1,1,1
2022,04,27400,tenure,Renter,0.8521360166927826,0.3574434618671564,NA,1,1,NA
2022,04,27820,tenure,All,1.548693537957484,1.3382263808685233,1.186363226874268,1,1,1
2022,04,27820,tenure,Owner,2.0330875893006617,2.457293449015521,2.7568931415561972,1,1,1
2022,04,27820,tenure,Renter,1.135505254645295,0.5630524548456077,0.2156987056380821,1,1,1
2022,04,28380,tenure,All,1.5407941973851578,1.3847025203996939,NA,2,2,NA
2022,04,28380,tenure,Owner,2.1236080450722365,2.0784289519836667,NA,2,2,NA
2022,04,28380,tenure,Renter,0.7677295510210856,NA,NA,2,NA,NA
2022,04,46000,tenure,All,1.528088381118351,1.359641085160524,1.4088691621353973,1,1,1
2022,04,46000,tenure,Owner,1.8397561656131447,2.0173854562055027,2.4706796717873853,1,1,1
2022,04,46000,tenure,Renter,1.1617019691176702,0.48509223998778317,0.12812171807528513,1,1,1
2022,04,54050,tenure,All,1.3580125816404316,1.4730118366723843,1.5341293834493586,2,2,2
2022,04,54050,tenure,Owner,1.640634277324943,2.2170212588280465,2.492245258347254,2,2,2
2022,04,54050,tenure,Renter,0.8223856545497451,0.2892224798172811,NA,2,2,NA
2022,04,55000,tenure,All,1.4816697965445158,1.2058491841653702,1.1433261687629708,1,1,1
2022,04,55000,tenure,Owner,1.9604600007270938,2.2041718807522566,2.631321080233445,1,1,1
2022,04,55000,tenure,Renter,1.1107757516149235,0.49493707140931653,0.20788308738795766,1,1,1
2022,04,65000,tenure,All,1.5245364183627275,1.521389484306755,1.507869023434964,2,2,2
2022,04,65000,tenure,Owner,1.8879345744328364,2.090544879962615,2.023661643191143,2,2,2
2022,04,65000,tenure,Renter,0.940077741573733,0.3022697608025069,0.2591341298739016,2,2,2
2022,04,71510,tenure,All,1.7055267536174918,1.9480318929352822,2.4062501132007,1,1,1
2022,04,71510,tenure,Owner,1.8760234949396846,2.346248589130567,2.7781518531498555,1,1,1
2022,04,71510,tenure,Renter,1.0006328338298391,NA,NA,1,NA,NA
2022,04,73000,tenure,All,1.4574208820923518,0.9543697520522586,0.780980659378922,1,1,1
2022,04,73000,tenure,Owner,2.2134027979359225,2.533212951828824,NA,1,1,NA
2022,04,73000,tenure,Renter,1.1268098875664874,0.36030751762227675,0.13206773117942272,1,1,1
2022,04,77000,tenure,All,1.4186667610984374,1.2216261699923214,1.0907380576954815,1,1,1
2022,04,77000,tenure,Owner,1.7352445938802181,1.8528616637136868,2.0976205794505076,1,1,1
2022,04,77000,tenure,Renter,1.1664723912013428,0.6651097075248461,0.28801372094882943,1,1,1
2022,04,85540,tenure,All,1.5263609957660411,1.5391873427876333,1.5859789381522629,1,1,1
2022,04,85540,tenure,Owner,2.049916107676836,2.847415178166378,3.0359935772551574,1,1,1
2022,04,85540,tenure,Renter,1.1015771552864135,0.505385507695019,0.5110919389607825,1,1,1
2022,05,23290,tenure,All,1.4403752745087357,1.557577370949125,1.071133453808936,1,1,1
2022,05,23290,tenure,Owner,1.9975865748450787,2.5161791401879765,NA,1,1,NA
2022,05,23290,tenure,Renter,1.2186125941776602,1.1716473089742137,0.4467598628735658,1,1,1
2022,05,24550,tenure,All,1.7100516718217595,1.9426764924223998,2.01612200948653,2,2,2
2022,05,24550,tenure,Owner,1.999124540238211,2.8036618333634395,3.026859013688416,2,2,2
2022,05,24550,tenure,Renter,1.425675889068584,1.072263213118308,1.0137262749121372,2,2,2
2022,05,35710,tenure,All,1.781612778294291,1.5613471508947874,1.4032187728781649,2,2,2
2022,05,35710,tenure,Owner,2.4509464610904836,2.8018723911850354,3.035408963181734,2,2,2
2022,05,35710,tenure,Renter,1.2801822134642857,0.7598057882711348,0.4948157273380556,2,2,2
2022,05,41000,tenure,All,1.6263624457587122,1.4570992287408253,1.0656387913123067,1,1,1
2022,05,41000,tenure,Owner,2.0056282546835424,2.352621570659751,2.4527822943787196,1,1,1
2022,05,41000,tenure,Renter,1.398652880333493,1.0035466488561855,0.41790232791338283,1,1,1
2022,05,66080,tenure,All,1.866517933328056,1.8514666569632443,2.0277134256902696,2,2,2
2022,05,66080,tenure,Owner,2.1001205774250904,2.3402278280281905,NA,2,2,NA
2022,05,66080,tenure,Renter,1.6370221544902277,1.2982160285943676,NA,2,2,NA
2022,06,00562,tenure,All,1.3935926655521795,1.2073401905792396,1.2022780066308787,2,2,2
2022,06,00562,tenure,Owner,1.4803415506173816,1.7880104841064957,NA,2,2,NA
2022,06,00562,tenure,Renter,1.331116918438449,0.7277564925156713,0.41105892615829176,2,2,2
2022,06,00884,tenure,All,1.2464957054217236,0.8578254085456749,0.6579968609429522,2,2,2
2022,06,00884,tenure,Owner,1.1225989428902927,1.4014886164623468,NA,2,2,NA
2022,06,00884,tenure,Renter,1.3021871458201888,0.5742259024644897,0.15874908603606,2,2,2
2022,06,02000,tenure,All,1.2525617711140522,0.8435286529407308,0.646890181400419,1,1,1
2022,06,02000,tenure,Owner,1.300101480109031,1.5472223069033646,1.6663065893295432,1,1,1
2022,06,02000,tenure,Renter,1.2261363048478804,0.5206131441344163,0.1952675122949689,1,1,1
2022,06,02252,tenure,All,1.1385671608044998,1.1229927611588943,0.791806775678272,1,1,1
2022,06,02252,tenure,Owner,1.2541464470503165,1.4465420432025693,NA,1,1,NA
2022,06,02252,tenure,Renter,1.0140578693633742,0.7818857274521046,0.4110065916103812,1,1,1
2022,06,02364,tenure,All,1.2620612059602647,0.9183603828048914,0.8879854686362321,2,2,2
