year,state,county,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,19,015,1.0892234798849092,1.8625070944115298,1.140552741224582,3,3,3
2022,19,017,0.466814477788914,2.252187336913159,2.510934634679429,3,3,3
2022,19,019,0.7167074634461607,2.1539828296290358,2.0709799010738332,3,3,3
2022,19,021,0.8390148069092644,2.712462769412994,2.300265428886312,3,3,3
2022,19,023,1.102062394255458,2.907869777360936,2.9734453784337136,3,3,3
2022,19,025,1.2970643362821292,3.0162334364961003,2.5513798143373636,3,3,3
2022,19,027,0.733621979203402,2.4987064680608024,2.3009335957593637,3,3,3
2022,19,029,0.6494066053345956,1.9145005864359428,1.6127254931724255,3,3,3
2022,19,031,0.5482317846655255,1.867457707567842,1.7583843195769848,3,3,3
2022,19,033,0.5466152128072225,2.5174342682307054,2.2950330081203214,2,2,2
2022,19,035,1.1319489235872027,2.844966962227405,2.480078501249878,3,3,3
2022,19,037,0.6712126543391389,2.652633622789423,2.6188073627098016,3,3,3
2022,19,039,0.6547360540452316,2.5028653366690925,2.4388026180911875,3,3,3
2022,19,041,0.7878522475688658,2.777729774170474,2.5783631902415234,3,3,3
2022,19,043,0.6037354602739571,2.4346625810943014,2.447637566194267,3,3,3
2022,19,045,0.5276048997101751,1.8389562602291754,1.6685824702744296,2,2,2
2022,19,047,0.9373253784614735,2.7939507167510476,2.359878258394499,3,3,3
2022,19,049,0.6422033499334279,1.8672879524951156,1.7202211631366169,1,1,1
2022,19,051,0.8536208482276274,2.955177702060813,2.17850063888915,3,3,3
2022,19,053,0.721457763544001,2.5255443219262457,2.4725366840034417,3,3,3
2022,19,055,0.7756856084145795,2.2168344174618833,2.100354490326147,3,3,3
2022,19,057,0.5456613557547335,1.9213110500352837,1.710799551832732,2,2,2
2022,19,059,0.7142780501362824,2.8136474823352144,2.544391008166568,3,3,3
2022,19,061,0.5077504070997578,2.0656872832656266,1.9391768918260035,2,2,2
2022,19,063,1.0519410027385672,3.160600341596802,2.919222731765266,3,3,3
2022,19,065,0.5751354571729906,2.3843848409412836,2.3961754547340135,3,3,3
2022,19,067,0.7979434115576484,2.8931093738365843,2.8721467866901422,3,3,3
2022,19,069,1.3746784533942646,3.3122082900351746,3.4152348864976787,3,3,3
2022,19,071,0.7704255829237745,2.5421886864386587,2.497294497598837,3,3,3
2022,19,073,1.4131988465962717,3.093251870982428,2.6150477024522654,3,3,3
2022,19,075,1.1547466545591638,3.0037081501268066,3.1407534256617473,3,3,3
2022,19,077,0.5912480817605087,2.263004499544608,1.7166570230001446,3,3,3
2022,19,079,1.0297554705925622,2.79525656024994,2.925418225476133,3,3,3
2022,19,081,0.9573866401757716,3.182065393136413,3.276818701850862,3,3,3
2022,19,083,1.0069564409878338,2.7668105902676445,2.8193208839311183,3,3,3
2022,19,085,0.558596235828268,2.1589014660220687,1.6284780868815731,3,3,3
2022,19,087,0.598016651822914,2.0026771446526364,1.757556564789139,3,3,3
2022,19,089,0.7853095782638889,2.753863117212519,2.7743573733672746,3,3,3
2022,19,091,1.4042193532007288,3.3542086570137934,3.4798669029321654,3,3,3
2022,19,093,1.559340872154723,3.050746170889466,2.7524164950761834,3,3,3
2022,19,095,0.8918226252335525,2.5848523010980755,2.7759032880239594,3,3,3
2022,19,097,0.7719728616165236,2.2260067056918373,2.080208980973563,3,3,3
2022,19,099,0.4610033269794024,2.24640386221638,2.5985494677133003,3,3,3
2022,19,101,0.7298394745169884,2.4178405666804843,2.0228079072521807,3,3,3
2022,19,103,0.7082609167933956,1.5853541608405577,0.8647853276577855,1,1,1
2022,19,105,0.5816887924662414,1.797645645201611,1.750988573003017,3,3,3
2022,19,107,0.8991598056624625,2.6351166116804645,2.144093186858645,3,3,3
2022,19,109,0.8187079480106817,2.926514743930589,2.921162374854196,3,3,3
2022,19,111,0.5549543016324665,1.9357533466193175,1.719098815201284,3,3,3
2022,19,113,0.6190486186917458,1.8775323840768425,1.5275824246725596,1,1,1
2022,19,115,0.6875341540785592,2.1388411373210157,1.8455289346900716,3,3,3
2022,19,117,0.6860000859848491,2.5134921105447052,2.454609510960941,3,3,3
2022,19,119,0.8819662739718477,3.047793436713645,2.7489545902968198,3,3,3
2022,19,121,1.1190302412767679,2.7548044762412274,2.4048843864249756,3,3,3
2022,19,123,0.6411694652730401,2.3040570134101785,1.9592929897516926,3,3,3
2022,19,125,0.451751094116246,2.2454263933779757,2.612093966136556,3,3,3
2022,19,127,0.5917504895814957,2.364248904632277,2.545689882157413,3,3,3
2022,19,129,0.5594910324200674,2.160436697456363,1.629220525400655,3,3,3
2022,19,131,0.9818501833688361,3.188973131211675,3.306266691464656,3,3,3
2022,19,133,1.4145708829387333,3.094161782178238,2.6157998876219026,3,3,3
2022,19,135,0.7181752550321989,2.4999314811273097,2.4739133606573707,3,3,3
2022,19,137,0.6408892109410622,2.498158737378147,2.431801743541333,3,3,3
2022,19,139,0.5290654280604993,1.78027349269706,1.6734897659546426,3,3,3
2022,19,141,0.8227854395219435,2.963272835630157,2.6495730748561988,3,3,3
2022,19,143,1.3713522426488995,3.6236763350757046,3.3314870431457497,3,3,3
2022,19,145,0.5672711050549474,2.4731356384408882,2.394580904103109,3,3,3
2022,19,147,1.0784646251492505,3.200675696509369,2.953456789813837,3,3,3
2022,19,149,0.5616328916482196,2.113584248614447,1.470028995204639,3,3,3
2022,19,151,1.6258977345034997,3.2459103223287866,2.745417878600786,3,3,3
2022,19,153,0.6005412444928835,1.573613247669894,0.960898250711216,1,1,1
2022,19,155,0.4522022194816675,1.9763578132934698,1.540199905382565,2,2,2
2022,19,157,0.8211255752118977,2.573082709783546,2.7335388244216645,3,3,3
2022,19,159,0.9199771234940934,2.5930218741560895,2.5729067917798094,3,3,3
2022,19,161,1.3078772716560283,3.023404391558871,2.5573077401340703,3,3,3
2022,19,163,0.5773822156196944,1.5856136606189968,1.3530616723973956,1,1,1
2022,19,165,0.6302218943221117,1.963754048166213,1.6268011903310362,3,3,3
2022,19,167,0.5555123250565249,2.5063129085422515,2.3299900224565526,3,3,3
2022,19,169,0.7249278087605872,1.7454360596614524,1.3588066215138952,1,1,1
2022,19,171,0.8992434640734458,2.652458931663322,2.7650414864026005,3,3,3
2022,19,173,0.813685689574624,2.55689297576709,2.5191665284579656,3,3,3
2022,19,175,0.6030041569527854,2.4649269415667954,2.4145218435667233,3,3,3
2022,19,177,1.0846277673557307,2.8731136963678243,2.276945121648936,3,3,3
2022,19,179,0.5615984670771185,2.2019495366071924,1.902295754396264,3,3,3
2022,19,181,0.3675559950851833,2.0929511154708687,2.719018371919483,2,2,2
2022,19,183,0.6013001322730137,2.4214516423352817,1.956733712686035,3,3,3
2022,19,185,0.776561030742044,2.5442741505501427,2.500396540437031,3,3,3
2022,19,187,0.7146586940708636,2.3332806044707994,2.345636104587642,3,3,3
2022,19,189,0.975246463732891,3.1783492630153027,3.2906783250805343,3,3,3
2022,19,191,0.5305049798702968,2.3153648554530517,2.3861843117534884,3,3,3
2022,19,193,0.5843881760586822,2.0746117813458107,1.4636425467384415,1,1,1
2022,19,195,1.1870428844245278,3.6179819248396123,3.8679906097165038,3,3,3
2022,19,197,1.170332945857754,3.0091272505322695,3.08408160985351,3,3,3
2022,20,001,1.0092325734640624,2.2330567210029275,1.6837694429347092,3,3,3
2022,20,003,1.3236316685031306,2.4720557171387147,1.722941213492376,3,3,3
2022,20,005,0.5303729962627175,2.3531941756328347,2.0726778365667253,3,3,3
2022,20,007,4.289953460068767,5.94758647856959,5.718474928167095,3,3,3
2022,20,009,1.0348732560785818,2.670298890845087,2.5778498479836527,3,3,3
2022,20,011,0.9407697224404038,2.181697729567929,1.6753517396761488,3,3,3
2022,20,013,0.6159713126692837,2.447899460430082,2.0978966804691437,3,3,3
2022,20,015,0.6540631948281228,1.6422213094125229,1.2392841457850454,3,3,3
2022,20,017,2.831205739930397,4.78291704092156,5.463649278253472,3,3,3
2022,20,019,2.2588548129764225,4.1093489628225015,4.62941996882435,3,3,3
2022,20,021,0.8209790948150151,2.091834019158332,1.6606231395458562,3,3,3
2022,20,023,3.7240849364721464,6.766599748090166,5.480687460784095,3,3,3
2022,20,025,8.995869924929368,11.96187061724617,9.55124143520224,3,3,3
2022,20,027,1.8875365709891025,4.380913674363405,3.6576223480184793,3,3,3
2022,20,029,1.7826053336474026,4.367764293213879,3.492889597515938,3,3,3
2022,20,031,1.2849377450648556,2.717448629544174,3.0546268378583887,3,3,3
2022,20,033,9.784840541721275,14.725002127855758,11.389257801022508,3,3,3
2022,20,035,1.0966515135144024,2.568729681070077,2.6501100877351162,3,3,3
2022,20,037,0.647636459745432,1.961797031554904,1.6393101670030026,3,3,3
2022,20,039,3.5551057686757215,6.529813442623326,5.311117730172614,3,3,3
2022,20,041,1.0829410065695861,3.2711722466701034,2.755272745930128,3,3,3
2022,20,043,0.6650462819552726,2.3713604363906384,2.1140027588631343,3,3,3
2022,20,045,0.7753957670872226,1.3104637047827143,0.8465965965965966,1,1,1
2022,20,047,6.083546873200507,7.746343473417391,7.4166222494395875,3,3,3
