year,state,county,share_affordable_available_30_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami,share_affordable_available_50_ami_quality,share_affordable_available_80_ami,share_affordable_available_80_ami_quality
2014,22,121,NA,NA,1.1961008903778085,3,1.262334204165387,3
2014,22,123,NA,NA,NA,NA,1.7524694603918094,3
2014,22,125,NA,NA,NA,NA,1.4131402665027393,3
2014,22,127,NA,NA,NA,NA,2.0866324364072986,3
2014,23,001,0.600545010336403,1,0.6624157138669012,1,0.9129945162553859,1
2014,23,003,0.7702840301429498,2,0.8368102000676426,2,1.028198100762596,2
2014,23,005,0.36856026334255326,2,0.6835852328543698,2,0.9333282028848809,2
2014,23,007,NA,NA,NA,NA,NA,NA
2014,23,009,0.6559754060485209,3,0.8385912787400738,3,1.145315999269357,3
2014,23,011,0.6246010759551381,1,0.850444834080135,1,1.0069430824147805,1
2014,23,013,0.6870364815394363,3,0.8856217039571669,3,1.2531515289777837,3
2014,23,015,0.7047162094688368,3,0.907995499864526,3,1.2918448346604847,3
2014,23,017,0.7208604714015447,2,0.8121366686439085,2,1.0575585147592554,2
2014,23,019,0.6863462497921171,1,0.7949281332967133,1,1.0142852587608813,1
2014,23,021,NA,NA,NA,NA,1.384387402231935,3
2014,23,023,NA,NA,0.6308681406355297,3,0.9688070956497732,3
2014,23,025,0.7311513156340325,3,0.8216560704447441,3,1.0728177539439276,3
2014,23,027,0.6898690648183466,3,0.746265316435373,3,1.243680086633139,3
2014,23,029,NA,NA,NA,NA,NA,NA
2014,23,031,0.43398065798278257,2,0.7039335881896144,2,0.9083555325423414,2
2014,24,001,0.8561038457406281,2,1.0273165771053143,2,1.0437455368855328,2
2014,24,003,0.3986222732491389,1,0.5152684267594624,1,0.7338624114077155,1
2014,24,005,0.33848064582902093,1,0.6288250531769265,1,0.9294388680860897,1
2014,24,009,0.45804100898752437,2,0.8338646358922793,2,0.9457493241779504,2
2014,24,011,0.456703529440822,3,0.7843144838518512,3,1.0664541772422207,3
2014,24,013,0.33026365585971995,1,0.6389472210555789,1,0.817016317016317,1
2014,24,015,0.45132591958939267,1,0.6795517631335458,1,0.9328078707585667,1
2014,24,017,0.4199023199023199,1,0.59714488804644,1,0.7145121840746445,1
2014,24,019,0.4581753699113715,3,0.7862188064198146,3,1.069194972344294,3
2014,24,021,0.4516243187769835,1,0.691166625559353,1,0.7964456190501874,1
2014,24,023,1.0588691916398298,3,1.2425546733000004,3,1.2146267748565232,3
2014,24,025,0.41435688723598346,1,0.600040404040404,1,0.8665213113882315,1
2014,24,027,0.20022539444027046,1,0.452296220979495,1,0.6714717981844762,1
2014,24,029,NA,NA,0.8730083634130249,3,1.194106789659209,3
2014,24,031,0.27757797547689655,1,0.5224613919461489,1,0.7636391077783427,1
2014,24,033,0.261884116615604,1,0.6498717271561156,1,0.8390249729471451,1
2014,24,035,0.45474939224217625,3,0.820311633877433,3,1.0347898027114182,3
2014,24,037,0.36683181410698135,2,0.7057068868023552,2,0.8792244855633371,2
2014,24,039,NA,NA,1.3448565685726899,3,1.663233589788725,3
2014,24,041,0.443220254299542,3,0.8064535948683809,3,1.0693840683164495,3
2014,24,043,0.5881566858765556,1,0.8143325713149786,1,0.9934651474530831,1
2014,24,045,0.48793833061029446,2,0.7991079705769031,2,1.0878581203545328,2
2014,24,047,0.6073930647551441,3,0.9826859506798036,3,1.2814019368066323,3
2014,24,510,0.5052362707535122,1,0.790684057331489,1,1.026187258383883,1
2014,25,001,0.44174727916267664,1,0.6596459135760497,1,0.8682155358642099,1
2014,25,003,0.5872231012658228,1,0.8953367010395358,1,0.9728399562522785,1
2014,25,005,0.5034375570227924,1,0.7615925414084108,1,0.9031819542822026,1
2014,25,007,NA,NA,0.9166345224728991,3,1.108053567283597,3
2014,25,009,0.4107663591278156,1,0.6903087481690773,1,0.8778709061048497,1
2014,25,011,0.4865986978864397,2,0.8409148509742483,2,0.9746024533070127,2
2014,25,013,0.5177313877879388,1,0.8256124534894917,1,0.9872844306731299,1
2014,25,015,0.4942909320599798,2,0.8271217206946758,2,0.9591238313221038,2
2014,25,017,0.4136723184731484,1,0.6013929743691319,1,0.7911843565927439,1
2014,25,019,NA,NA,NA,NA,1.5949491891134437,3
2014,25,021,0.4146581482860564,1,0.6508605120192771,1,0.8091287563425962,1
2014,25,023,0.49269728037163907,1,0.6647198895866172,1,0.8453556381215486,1
2014,25,025,0.46565591397849465,1,0.5821514472920295,1,0.8165970814872453,1
