year,state,county,state_name,county_name,share_digital_access,share_digital_access_quality
2016,05,127,Arkansas,Scott County,NA,NA
2016,05,129,Arkansas,Searcy County,NA,NA
2016,05,131,Arkansas,Sebastian County,0.7560082264224856,1
2016,05,133,Arkansas,Sevier County,NA,NA
2016,05,135,Arkansas,Sharp County,NA,NA
2016,05,137,Arkansas,Stone County,NA,NA
2016,05,139,Arkansas,Union County,NA,NA
2016,05,141,Arkansas,Van Buren County,NA,NA
2016,05,143,Arkansas,Washington County,0.7444243995940918,1
2016,05,145,Arkansas,White County,0.7336026363346444,1
2016,05,147,Arkansas,Woodruff County,NA,NA
2016,05,149,Arkansas,Yell County,NA,NA
2016,06,001,California,Alameda County,0.870168807647392,1
2016,06,003,California,Alpine County,NA,NA
2016,06,005,California,Amador County,NA,NA
2016,06,007,California,Butte County,0.8189077644362862,1
2016,06,009,California,Calaveras County,NA,NA
2016,06,011,California,Colusa County,NA,NA
2016,06,013,California,Contra Costa County,0.9063656437202265,1
2016,06,015,California,Del Norte County,NA,NA
2016,06,017,California,El Dorado County,0.8642556673797253,1
2016,06,019,California,Fresno County,0.7893943591367211,1
2016,06,021,California,Glenn County,NA,NA
2016,06,023,California,Humboldt County,0.8012170385395537,1
2016,06,025,California,Imperial County,0.7414780960873927,1
2016,06,027,California,Inyo County,NA,NA
2016,06,029,California,Kern County,0.7910518976619976,1
2016,06,031,California,Kings County,0.7921791598978881,1
2016,06,033,California,Lake County,0.7254909933720978,1
2016,06,035,California,Lassen County,NA,NA
2016,06,037,California,Los Angeles County,0.8218444579770806,1
2016,06,039,California,Madera County,0.748225112127837,1
2016,06,041,California,Marin County,0.9064542522076872,1
2016,06,043,California,Mariposa County,NA,NA
2016,06,045,California,Mendocino County,0.7946894664070656,1
2016,06,047,California,Merced County,0.8037007965205307,1
2016,06,049,California,Modoc County,NA,NA
2016,06,051,California,Mono County,NA,NA
2016,06,053,California,Monterey County,0.7979799586448226,1
2016,06,055,California,Napa County,0.8585581404733561,1
2016,06,057,California,Nevada County,0.8403689159863594,1
2016,06,059,California,Orange County,0.8996956069357442,1
2016,06,061,California,Placer County,0.8944746376811594,1
2016,06,063,California,Plumas County,NA,NA
2016,06,065,California,Riverside County,0.846145670172298,1
2016,06,067,California,Sacramento County,0.8617372778411109,1
2016,06,069,California,San Benito County,NA,NA
2016,06,071,California,San Bernardino County,0.828907739275048,1
2016,06,073,California,San Diego County,0.8816497503979945,1
2016,06,075,California,San Francisco County,0.8676425901093663,1
2016,06,077,California,San Joaquin County,0.8061060100534364,1
2016,06,079,California,San Luis Obispo County,0.8546730378508541,1
2016,06,081,California,San Mateo County,0.9051149196226916,1
2016,06,083,California,Santa Barbara County,0.8531404221861859,1
2016,06,085,California,Santa Clara County,0.9055431367953096,1
2016,06,087,California,Santa Cruz County,0.8728923610750386,1
2016,06,089,California,Shasta County,0.7815382481448089,1
2016,06,091,California,Sierra County,NA,NA
2016,06,093,California,Siskiyou County,NA,NA
2016,06,095,California,Solano County,0.8959858418469954,1
2016,06,097,California,Sonoma County,0.8683014762351736,1
2016,06,099,California,Stanislaus County,0.8239019903864508,1
2016,06,101,California,Sutter County,0.8029370845571185,1
2016,06,103,California,Tehama County,NA,NA
2016,06,105,California,Trinity County,NA,NA
2016,06,107,California,Tulare County,0.7792816702052371,1
2016,06,109,California,Tuolumne County,NA,NA
2016,06,111,California,Ventura County,0.860495130384832,1
2016,06,113,California,Yolo County,0.8667579221134761,1
2016,06,115,California,Yuba County,0.7950859582755908,1
2016,08,001,Colorado,Adams County,0.8381579431345864,1
2016,08,003,Colorado,Alamosa County,NA,NA
2016,08,005,Colorado,Arapahoe County,0.8779827245679023,1
2016,08,007,Colorado,Archuleta County,NA,NA
2016,08,009,Colorado,Baca County,NA,NA
2016,08,011,Colorado,Bent County,NA,NA
2016,08,013,Colorado,Boulder County,0.9024067194314327,1
2016,08,014,Colorado,Broomfield County,0.9428604058015151,1
2016,08,015,Colorado,Chaffee County,NA,NA
2016,08,017,Colorado,Cheyenne County,NA,NA
2016,08,019,Colorado,Clear Creek County,NA,NA
2016,08,021,Colorado,Conejos County,NA,NA
2016,08,023,Colorado,Costilla County,NA,NA
2016,08,025,Colorado,Crowley County,NA,NA
2016,08,027,Colorado,Custer County,NA,NA
2016,08,029,Colorado,Delta County,NA,NA
2016,08,031,Colorado,Denver County,0.8522104224956593,1
2016,08,033,Colorado,Dolores County,NA,NA
2016,08,035,Colorado,Douglas County,0.9584099895941728,1
2016,08,037,Colorado,Eagle County,NA,NA
2016,08,039,Colorado,Elbert County,NA,NA
2016,08,041,Colorado,El Paso County,0.903408826133557,1
2016,08,043,Colorado,Fremont County,NA,NA
2016,08,045,Colorado,Garfield County,NA,NA
2016,08,047,Colorado,Gilpin County,NA,NA
2016,08,049,Colorado,Grand County,NA,NA
2016,08,051,Colorado,Gunnison County,NA,NA
2016,08,053,Colorado,Hinsdale County,NA,NA
2016,08,055,Colorado,Huerfano County,NA,NA
2016,08,057,Colorado,Jackson County,NA,NA
2016,08,059,Colorado,Jefferson County,0.90032483000563035,1
2016,08,061,Colorado,Kiowa County,NA,NA
2016,08,063,Colorado,Kit Carson County,NA,NA
2016,08,065,Colorado,Lake County,NA,NA
2016,08,067,Colorado,La Plata County,NA,NA
2016,08,069,Colorado,Larimer County,0.8767417260876513,1
2016,08,071,Colorado,Las Animas County,NA,NA
2016,08,073,Colorado,Lincoln County,NA,NA
2016,08,075,Colorado,Logan County,NA,NA
2016,08,077,Colorado,Mesa County,0.8687446002525421,1
2016,08,079,Colorado,Mineral County,NA,NA
2016,08,081,Colorado,Moffat County,NA,NA
2016,08,083,Colorado,Montezuma County,NA,NA
2016,08,085,Colorado,Montrose County,NA,NA
2016,08,087,Colorado,Morgan County,NA,NA
2016,08,089,Colorado,Otero County,NA,NA
2016,08,091,Colorado,Ouray County,NA,NA
2016,08,093,Colorado,Park County,NA,NA
2016,08,095,Colorado,Phillips County,NA,NA
2016,08,097,Colorado,Pitkin County,NA,NA
2016,08,099,Colorado,Prowers County,NA,NA
2016,08,101,Colorado,Pueblo County,0.7675792854275392,1
2016,08,103,Colorado,Rio Blanco County,NA,NA
2016,08,105,Colorado,Rio Grande County,NA,NA
2016,08,107,Colorado,Routt County,NA,NA
2016,08,109,Colorado,Saguache County,NA,NA
2016,08,111,Colorado,San Juan County,NA,NA
2016,08,113,Colorado,San Miguel County,NA,NA
2016,08,115,Colorado,Sedgwick County,NA,NA
2016,08,117,Colorado,Summit County,NA,NA
2016,08,119,Colorado,Teller County,NA,NA
2016,08,121,Colorado,Washington County,NA,NA
2016,08,123,Colorado,Weld County,0.8417624183294641,1
2016,08,125,Colorado,Yuma County,NA,NA
2016,09,001,Connecticut,Fairfield County,0.8589786411704711,1
2016,09,003,Connecticut,Hartford County,0.8093438631842429,1
2016,09,005,Connecticut,Litchfield County,0.8531812968085825,1
2016,09,007,Connecticut,Middlesex County,0.8480197569770613,1
2016,09,009,Connecticut,New Haven County,0.811607033825864,1
2016,09,011,Connecticut,New London County,0.850380067165812,1
2016,09,013,Connecticut,Tolland County,0.8490604424058593,1
2016,09,015,Connecticut,Windham County,0.8055170563776993,1
2016,10,001,Delaware,Kent County,0.8410600136535716,1
2016,10,003,Delaware,New Castle County,0.8428811180575321,1
2016,10,005,Delaware,Sussex County,0.7786870405909404,1
2016,11,001,District of Columbia,District of Columbia,0.7905212966814938,1
2016,12,001,Florida,Alachua County,0.8276570508747405,1
2016,12,003,Florida,Baker County,NA,NA
2016,12,005,Florida,Bay County,0.8404521541305275,1
2016,12,007,Florida,Bradford County,NA,NA
2016,12,009,Florida,Brevard County,0.8584821764349331,1
2016,12,011,Florida,Broward County,0.8207517821663042,1
2016,12,013,Florida,Calhoun County,NA,NA
2016,12,015,Florida,Charlotte County,0.8381039828602606,1
2016,12,017,Florida,Citrus County,0.7864928201821298,1
2016,12,019,Florida,Clay County,0.8781195197625793,1
2016,12,021,Florida,Collier County,0.8341265176817992,1
2016,12,023,Florida,Columbia County,0.8,1
2016,12,027,Florida,DeSoto County,NA,NA
2016,12,029,Florida,Dixie County,NA,NA
2016,12,031,Florida,Duval County,0.8068010374463901,1
2016,12,033,Florida,Escambia County,0.829859648531617,1
2016,12,035,Florida,Flagler County,0.7651957105855584,1
2016,12,037,Florida,Franklin County,NA,NA
2016,12,039,Florida,Gadsden County,NA,NA
2016,12,041,Florida,Gilchrist County,NA,NA
2016,12,043,Florida,Glades County,NA,NA
2016,12,045,Florida,Gulf County,NA,NA
2016,12,047,Florida,Hamilton County,NA,NA
2016,12,049,Florida,Hardee County,NA,NA
2016,12,051,Florida,Hendry County,NA,NA
2016,12,053,Florida,Hernando County,0.8199213595109208,1
2016,12,055,Florida,Highlands County,0.6863275613275613,1
2016,12,057,Florida,Hillsborough County,0.8531702453123208,1
2016,12,059,Florida,Holmes County,NA,NA
2016,12,061,Florida,Indian River County,0.8211701878146029,1
2016,12,063,Florida,Jackson County,NA,NA
2016,12,065,Florida,Jefferson County,NA,NA
2016,12,067,Florida,Lafayette County,NA,NA
2016,12,069,Florida,Lake County,0.8353143814784929,1
2016,12,071,Florida,Lee County,0.8115307467476647,1
2016,12,073,Florida,Leon County,0.878423817550995,1
2016,12,075,Florida,Levy County,NA,NA
2016,12,077,Florida,Liberty County,NA,NA
2016,12,079,Florida,Madison County,NA,NA
2016,12,081,Florida,Manatee County,0.8025269364405293,1
2016,12,083,Florida,Marion County,0.7622747487689867,1
2016,12,085,Florida,Martin County,0.8078474339430894,1
2016,12,086,Florida,Miami-Dade County,0.7398855087503378,1
2016,12,087,Florida,Monroe County,0.8261428854146052,1
2016,12,089,Florida,Nassau County,0.8470226208793008,1
2016,12,091,Florida,Okaloosa County,0.8224750992089565,1
2016,12,093,Florida,Okeechobee County,NA,NA
2016,12,095,Florida,Orange County,0.8528563653244827,1
2016,12,097,Florida,Osceola County,0.8177597392614457,1
2016,12,099,Florida,Palm Beach County,0.8387759438974286,1
2016,12,101,Florida,Pasco County,0.7769184370335535,1
2016,12,103,Florida,Pinellas County,0.8113674533722266,1
2016,12,105,Florida,Polk County,0.6408101435770153,1
2016,12,107,Florida,Putnam County,0.6723639607493309,1
2016,12,109,Florida,St. Johns County,0.8500243505529357,1
2016,12,111,Florida,St. Lucie County,0.8159240975837014,1
2016,12,113,Florida,Santa Rosa County,0.9149263147677823,1
2016,12,115,Florida,Sarasota County,0.829349966797396,1
2016,12,117,Florida,Seminole County,0.8904678631325761,1
2016,12,119,Florida,Sumter County,0.8488055464359514,1
2016,12,121,Florida,Suwannee County,NA,NA
2016,12,123,Florida,Taylor County,NA,NA
2016,12,125,Florida,Union County,NA,NA
2016,12,127,Florida,Volusia County,0.7559042978148842,1
2016,12,129,Florida,Wakulla County,NA,NA
2016,12,131,Florida,Walton County,0.7921858345278788,1
2016,12,133,Florida,Washington County,NA,NA
2016,13,001,Georgia,Appling County,NA,NA
2016,13,003,Georgia,Atkinson County,NA,NA
2016,13,005,Georgia,Bacon County,NA,NA
2016,13,007,Georgia,Baker County,NA,NA
2016,13,009,Georgia,Baldwin County,NA,NA
2016,13,011,Georgia,Banks County,NA,NA
2016,13,013,Georgia,Barrow County,0.8418660768148,1
2016,13,015,Georgia,Bartow County,0.8496019763930827,1
2016,13,017,Georgia,Ben Hill County,NA,NA
2016,13,019,Georgia,Berrien County,NA,NA
2016,13,021,Georgia,Bibb County,0.7273798793593566,1
2016,13,023,Georgia,Bleckley County,NA,NA
2016,13,025,Georgia,Brantley County,NA,NA
2016,13,027,Georgia,Brooks County,NA,NA
2016,13,029,Georgia,Bryan County,NA,NA
2016,13,031,Georgia,Bulloch County,0.7689220400590663,1
2016,13,033,Georgia,Burke County,NA,NA
2016,13,035,Georgia,Butts County,NA,NA
2016,13,037,Georgia,Calhoun County,NA,NA
2016,13,039,Georgia,Camden County,NA,NA
2016,13,043,Georgia,Candler County,NA,NA
2016,13,045,Georgia,Carroll County,0.8147892190739461,1
2016,13,047,Georgia,Catoosa County,0.8372468981125974,1
2016,13,049,Georgia,Charlton County,NA,NA
2016,13,051,Georgia,Chatham County,0.8495076462313382,1
2016,13,053,Georgia,Chattahoochee County,NA,NA
2016,13,055,Georgia,Chattooga County,NA,NA
2016,13,057,Georgia,Cherokee County,0.9217843211873276,1
2016,13,059,Georgia,Clarke County,0.78834388074764,1
2016,13,061,Georgia,Clay County,NA,NA
2016,13,063,Georgia,Clayton County,0.80127403387531,1
2016,13,065,Georgia,Clinch County,NA,NA
2016,13,067,Georgia,Cobb County,0.898535342814689,1
2016,13,069,Georgia,Coffee County,NA,NA
2016,13,071,Georgia,Colquitt County,NA,NA
2016,13,073,Georgia,Columbia County,0.8075895018205543,1
2016,13,075,Georgia,Cook County,NA,NA
2016,13,077,Georgia,Coweta County,0.8651961269627547,1
2016,13,079,Georgia,Crawford County,NA,NA
2016,13,081,Georgia,Crisp County,NA,NA
2016,13,083,Georgia,Dade County,NA,NA
2016,13,085,Georgia,Dawson County,NA,NA
2016,13,087,Georgia,Decatur County,NA,NA
2016,13,089,Georgia,DeKalb County,0.8346685338148111,1
2016,13,091,Georgia,Dodge County,NA,NA
2016,13,093,Georgia,Dooly County,NA,NA
2016,13,095,Georgia,Dougherty County,0.7089948634134953,1
2016,13,097,Georgia,Douglas County,0.6994948978548496,1
2016,13,099,Georgia,Early County,NA,NA
2016,13,101,Georgia,Echols County,NA,NA
2016,13,103,Georgia,Effingham County,NA,NA
2016,13,105,Georgia,Elbert County,NA,NA
2016,13,107,Georgia,Emanuel County,NA,NA
2016,13,109,Georgia,Evans County,NA,NA
2016,13,111,Georgia,Fannin County,NA,NA
2016,13,113,Georgia,Fayette County,0.8736702791789442,1
2016,13,115,Georgia,Floyd County,0.7922396995283951,1
2016,13,117,Georgia,Forsyth County,0.9116441391535564,1
2016,13,119,Georgia,Franklin County,NA,NA
2016,13,121,Georgia,Fulton County,0.8510692001696182,1
2016,13,123,Georgia,Gilmer County,NA,NA
2016,13,125,Georgia,Glascock County,NA,NA
2016,13,127,Georgia,Glynn County,0.7930220108952357,1
2016,13,129,Georgia,Gordon County,NA,NA
2016,13,131,Georgia,Grady County,NA,NA
2016,13,133,Georgia,Greene County,NA,NA
2016,13,135,Georgia,Gwinnett County,0.8742204851844837,1
2016,13,137,Georgia,Habersham County,NA,NA
2016,13,139,Georgia,Hall County,0.8327960282407557,1
2016,13,141,Georgia,Hancock County,NA,NA
2016,13,143,Georgia,Haralson County,NA,NA
2016,13,145,Georgia,Harris County,NA,NA
2016,13,147,Georgia,Hart County,NA,NA
2016,13,149,Georgia,Heard County,NA,NA
2016,13,151,Georgia,Henry County,0.8917460019067313,1
2016,13,153,Georgia,Houston County,0.8119711633065598,1
2016,13,155,Georgia,Irwin County,NA,NA
2016,13,157,Georgia,Jackson County,NA,NA
2016,13,159,Georgia,Jasper County,NA,NA
2016,13,161,Georgia,Jeff Davis County,NA,NA
2016,13,163,Georgia,Jefferson County,NA,NA
2016,13,165,Georgia,Jenkins County,NA,NA
2016,13,167,Georgia,Johnson County,NA,NA
2016,13,169,Georgia,Jones County,NA,NA
2016,13,171,Georgia,Lamar County,NA,NA
2016,13,173,Georgia,Lanier County,NA,NA
2016,13,175,Georgia,Laurens County,NA,NA
2016,13,177,Georgia,Lee County,NA,NA
2016,13,179,Georgia,Liberty County,0.8319100731962357,1
2016,13,181,Georgia,Lincoln County,NA,NA
2016,13,183,Georgia,Long County,NA,NA
2016,13,185,Georgia,Lowndes County,0.7329741643198237,1
2016,13,187,Georgia,Lumpkin County,NA,NA
2016,13,189,Georgia,McDuffie County,NA,NA
2016,13,191,Georgia,McIntosh County,NA,NA
2016,13,193,Georgia,Macon County,NA,NA
2016,13,195,Georgia,Madison County,NA,NA
2016,13,197,Georgia,Marion County,NA,NA
2016,13,199,Georgia,Meriwether County,NA,NA
2016,13,201,Georgia,Miller County,NA,NA
2016,13,205,Georgia,Mitchell County,NA,NA
2016,13,207,Georgia,Monroe County,NA,NA
2016,13,209,Georgia,Montgomery County,NA,NA
2016,13,211,Georgia,Morgan County,NA,NA
2016,13,213,Georgia,Murray County,NA,NA
2016,13,215,Georgia,Muscogee County,0.7733364361884163,1
2016,13,217,Georgia,Newton County,0.7876064200976971,1
2016,13,219,Georgia,Oconee County,NA,NA
2016,13,221,Georgia,Oglethorpe County,NA,NA
2016,13,223,Georgia,Paulding County,0.8631335799733328,1
2016,13,225,Georgia,Peach County,NA,NA
2016,13,227,Georgia,Pickens County,NA,NA
2016,13,229,Georgia,Pierce County,NA,NA
2016,13,231,Georgia,Pike County,NA,NA
2016,13,233,Georgia,Polk County,NA,NA
2016,13,235,Georgia,Pulaski County,NA,NA
2016,13,237,Georgia,Putnam County,NA,NA
2016,13,239,Georgia,Quitman County,NA,NA
2016,13,241,Georgia,Rabun County,NA,NA
2016,13,243,Georgia,Randolph County,NA,NA
2016,13,245,Georgia,Richmond County,0.7429026861110013,1
2016,13,247,Georgia,Rockdale County,0.7393436687403311,1
2016,13,249,Georgia,Schley County,NA,NA
2016,13,251,Georgia,Screven County,NA,NA
2016,13,253,Georgia,Seminole County,NA,NA
2016,13,255,Georgia,Spalding County,NA,NA
2016,13,257,Georgia,Stephens County,NA,NA
2016,13,259,Georgia,Stewart County,NA,NA
2016,13,261,Georgia,Sumter County,NA,NA
2016,13,263,Georgia,Talbot County,NA,NA
2016,13,265,Georgia,Taliaferro County,NA,NA
2016,13,267,Georgia,Tattnall County,NA,NA
2016,13,269,Georgia,Taylor County,NA,NA
2016,13,271,Georgia,Telfair County,NA,NA
2016,13,273,Georgia,Terrell County,NA,NA
2016,13,275,Georgia,Thomas County,NA,NA
2016,13,277,Georgia,Tift County,NA,NA
2016,13,279,Georgia,Toombs County,NA,NA
2016,13,281,Georgia,Towns County,NA,NA
2016,13,283,Georgia,Treutlen County,NA,NA
2016,13,285,Georgia,Troup County,0.7042012003429551,1
2016,13,287,Georgia,Turner County,NA,NA
2016,13,289,Georgia,Twiggs County,NA,NA
2016,13,291,Georgia,Union County,NA,NA
2016,13,293,Georgia,Upson County,NA,NA
2016,13,295,Georgia,Walker County,0.7551573078454799,1
2016,13,297,Georgia,Walton County,0.788507244017581,1
2016,13,299,Georgia,Ware County,NA,NA
2016,13,301,Georgia,Warren County,NA,NA
2016,13,303,Georgia,Washington County,NA,NA
2016,13,305,Georgia,Wayne County,NA,NA
2016,13,307,Georgia,Webster County,NA,NA
2016,13,309,Georgia,Wheeler County,NA,NA
