year,state,place,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,06,41992,0.9385997753650318,0.8822064256390278,0.9949931250910358,2
2014,06,43000,0.8688174167346289,0.8262407503801608,0.911394083089097,2
2014,06,44000,0.8624100984755765,0.8489257631955202,0.8758944337556328,1
2014,06,45484,0.9057396720821752,0.855051780358661,0.9564275638056896,3
2014,06,46842,0.851319349867393,0.7744717975932842,0.9281669021415018,2
2014,06,46898,0.916351332104451,0.867266822268374,0.965435841940528,2
2014,06,47766,0.8953523034553565,0.8257808000989879,0.9649238068117252,2
2014,06,48256,0.9914746909104872,0.9793268483226278,1,1
2014,06,48354,0.9075193182042508,0.8566496328085408,0.9583890035999608,1
2014,06,49270,0.8629363921035341,0.8056685801105727,0.9202042040964956,1
2014,06,49670,1,1,1,2
2014,06,50076,0.9072233053397394,0.8260272554215747,0.988419355257904,2
