year,state,place,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality
2022,06,13588,0.1396011396011396,1,0.11648661343353688,1,0.059311489008710076,1
2022,06,14218,0.06060606060606061,1,0.06236243580337491,1,0.027479604980678404,1
2022,06,15044,0.7355564172159752,1,0.7256484912652197,1,0.7021276595744681,1
2022,06,16000,0.09807692307692308,1,0.17915386433467265,1,0.029309679907443115,1
2022,06,16350,0.0070967741935483875,1,0.04841535276317885,1,0.004248861911987861,1
2022,06,16532,0.19811320754716982,1,0.318620178041543,1,0.06647517439474764,1
2022,06,17918,0,1,0,1,0,1
2022,06,19766,0,1,0,1,0,1
2022,06,21712,0.5684438040345822,1,0.3610271903323263,1,0.322961104140527,1
2022,06,22020,0,1,0,1,0,1
2022,06,22230,0.7014925373134329,1,0.7887873876528658,1,0.5408163265306123,1
2022,06,22804,0.07416267942583732,1,0.11448130595050027,1,0.015402451142762504,1
2022,06,23182,0.18165271204950856,1,0.24273504273504273,1,0.06136638452237001,1
2022,06,24638,0,1,0,1,0,1
2022,06,24680,0.09408495434696308,1,0.15961098398169338,1,0.08933107535986452,1
2022,06,26000,0,1,0,1,0,1
2022,06,27000,0.7272948921126418,1,0.7404521582686228,1,0.3090367428003972,1
2022,06,28000,0.08571428571428572,1,0.10761777136377693,1,0.018799710773680405,1
2022,06,29000,0.34375,1,0.3625279920378204,1,0.10694444444444444,1
2022,06,30000,0,1,0,1,2.924831822170225e-4,1
2022,06,32548,0.3197729422894986,1,0.26858068997453116,1,0.0773067331670823,1
2022,06,33000,0.023121387283236993,1,0.034245187436676795,1,0.029605263157894735,1
2022,06,33182,0.509399636143117,1,0.5147802550039177,1,0.41193680514921005,1
2022,06,33434,0.5833333333333334,1,0.5579718123761286,1,0.4253915910964551,1
2022,06,36000,0.02702702702702703,1,0.07162777043886687,1,9.09826122118884e-4,1
2022,06,36448,0.42028985507246375,1,0.41886949293433084,1,0.175054704595186,1
2022,06,36546,0.5795356835769562,1,0.5190355329949239,1,0.37333333333333335,1
2022,06,36770,0,1,0,1,0,1
2022,06,37692,0.15492957746478872,1,0.21870424597364568,1,0.08966015907447578,1
2022,06,39496,0,1,0,1,0,1
2022,06,39892,0.07811691670977755,1,0.1255294117647059,1,0.0393574297188755,1
2022,06,40130,0.6094403236682401,1,0.5775398478755874,1,0.3925555208007507,1
2022,06,41992,0,1,0,1,0,1
2022,06,43000,0.46700294241277845,1,0.4801569121521017,1,0.06107514776245426,1
2022,06,44000,0.8083890577507599,1,0.722495894909688,1,0.15353260869565216,1
2022,06,45484,0.11962616822429907,1,0.18768132113367553,1,0.09773235388054935,1
2022,06,46842,0,1,0,1,0,1
2022,06,46898,0.4061624649859944,1,0.4672136442922669,1,0.2865651886168101,1
2022,06,47766,0,1,0,1,0,1
2022,06,48256,0,1,0,1,0,1
2022,06,48354,0.1931179775280899,1,0.27697594501718215,1,0.09198753392982809,1
2022,06,49270,0.2089928057553957,1,0.2721448467966574,1,0.1619718309859155,1
