year,state,county,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,06,023,0.9996724533245988,0.9990208641843057,1,3
2018,06,025,NA,NA,NA,3
2018,06,027,NA,NA,NA,3
2018,06,029,0.8617548345852645,0.7851141601706775,0.9383955089998515,1
2018,06,031,1,1,1,3
2018,06,033,NA,NA,NA,3
2018,06,035,NA,NA,NA,3
2018,06,037,0.91571553018367835,0.9034352857667076,0.9279957746006491,1
2018,06,039,0.7508261731658956,0.5538370643374309,0.9478152819943604,3
2018,06,041,NA,NA,NA,3
2018,06,043,NA,NA,NA,3
2018,06,045,NA,NA,NA,3
2018,06,047,0.9436951806092615,0.8924685365670235,0.9949218246514995,3
2018,06,049,NA,NA,NA,3
2018,06,051,NA,NA,NA,3
2018,06,053,0.8962262228045318,0.823716351214199,0.9687360943948646,1
2018,06,055,0.9821549582109781,0.947279627925146,1,3
2018,06,057,NA,NA,NA,3
2018,06,059,0.9460939415521489,0.9279023776257681,0.9642855054785296,1
2018,06,061,0.9729607250755287,0.9346949557962198,1,3
2018,06,063,NA,NA,NA,3
2018,06,065,0.9335490863571833,0.909117242664011,0.9579809300503556,1
2018,06,067,0.885248890779797,0.8444788708487063,0.9260189107108876,1
2018,06,069,NA,NA,NA,3
2018,06,071,0.915758540467736,0.8856953271177664,0.9458217538177055,1
2018,06,073,0.9249046424883569,0.9026664880080895,0.9471427969686244,1
2018,06,075,0.988710341985991,0.9750319609590521,1,1
2018,06,077,0.9083826429980276,0.866802718458114,0.9499625675379413,1
2018,06,079,0.9694486876822663,0.9325184171919254,1,1
2018,06,081,0.89545691129452,0.8065178793270196,0.9843959432620204,1
2018,06,083,0.9839318081614657,0.9673246382676209,1,1
2018,06,085,0.9407296175249537,0.914088402039114,0.9673708330107933,1
2018,06,087,0.9971044334341419,0.9913953330627775,1,1
2018,06,089,0.8565900295925336,0.6900847592457222,1,3
2018,06,091,NA,NA,NA,3
2018,06,093,NA,NA,NA,3
2018,06,095,0.9344635627530364,0.8660903576908566,1,3
2018,06,097,0.9011524479851497,0.7942683304692344,1,1
2018,06,099,0.9209057266511949,0.840472195122527,1,1
2018,06,101,NA,NA,NA,3
2018,06,103,NA,NA,NA,3
2018,06,105,NA,NA,NA,3
2018,06,107,0.8751735628991947,0.79289497891731,0.9574521468810794,3
2018,06,109,NA,NA,NA,3
2018,06,111,0.903200070915699,0.848451868718624,0.957948273112774,1
2018,06,113,0.9902313624678664,0.976151874455468,1,1
2018,06,115,NA,NA,NA,3
2018,08,001,0.9146993853524346,0.8507943576187774,0.9786044130860917,3
2018,08,003,NA,NA,NA,3
2018,08,005,0.9049609476160829,0.8447290836438053,0.9651928115883606,3
2018,08,007,NA,NA,NA,3
2018,08,009,NA,NA,NA,3
2018,08,011,NA,NA,NA,3
2018,08,013,0.9722472635614039,0.9506188953567621,0.9938756317660457,2
2018,08,014,NA,NA,NA,3
2018,08,015,NA,NA,NA,3
2018,08,017,NA,NA,NA,3
2018,08,019,NA,NA,NA,3
2018,08,021,NA,NA,NA,3
2018,08,023,NA,NA,NA,3
2018,08,025,NA,NA,NA,3
2018,08,027,NA,NA,NA,3
2018,08,029,NA,NA,NA,3
2018,08,031,0.8763051891927881,0.7995999932784437,0.9530103851071325,1
2018,08,033,NA,NA,NA,3
2018,08,035,0.9140777558704667,0.8241743506212069,1,3
2018,08,037,NA,NA,NA,3
2018,08,039,NA,NA,NA,3
2018,08,041,0.9321820577151099,0.8839635308824061,0.9804005845478136,1
2018,08,043,NA,NA,NA,3
2018,08,045,NA,NA,NA,3
2018,08,047,NA,NA,NA,3
2018,08,049,NA,NA,NA,3
2018,08,051,NA,NA,NA,3
2018,08,053,NA,NA,NA,3
2018,08,055,NA,NA,NA,3
2018,08,057,NA,NA,NA,3
2018,08,059,0.9119755494142264,0.8575825792786245,0.9663685195498284,3
2018,08,061,NA,NA,NA,3
2018,08,063,NA,NA,NA,3
2018,08,065,NA,NA,NA,3
2018,08,067,NA,NA,NA,3
2018,08,069,0.9068066157760815,0.8111949773097203,1,1
2018,08,071,NA,NA,NA,3
2018,08,073,NA,NA,NA,3
2018,08,075,NA,NA,NA,3
2018,08,077,0.7832141853996212,0.5673145706270455,0.9991138001721969,3
