year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2021,30,049,all,All,0.8706896551724138,0.7985965984284913,0.9427827119163363,2
2021,30,051,all,All,NA,NA,NA,NA
2021,30,053,all,All,NA,NA,NA,NA
2021,30,055,all,All,NA,NA,NA,NA
2021,30,057,all,All,NA,NA,NA,NA
2021,30,059,all,All,NA,NA,NA,NA
2021,30,061,all,All,NA,NA,NA,NA
2021,30,063,all,All,0.8993618065783013,0.8337555847000463,0.9649680284565564,2
2021,30,065,all,All,NA,NA,NA,NA
2021,30,067,all,All,0.9902676399026764,0.9737018484690598,1,3
2021,30,069,all,All,NA,NA,NA,NA
2021,30,071,all,All,NA,NA,NA,NA
2021,30,073,all,All,NA,NA,NA,NA
2021,30,075,all,All,NA,NA,NA,NA
2021,30,077,all,All,NA,NA,NA,NA
2021,30,079,all,All,NA,NA,NA,NA
2021,30,081,all,All,0.8993618065783014,0.8337555847000464,0.9649680284565565,3
2021,30,083,all,All,NA,NA,NA,NA
2021,30,085,all,All,NA,NA,NA,NA
2021,30,087,all,All,NA,NA,NA,NA
2021,30,089,all,All,NA,NA,NA,NA
2021,30,091,all,All,NA,NA,NA,NA
2021,30,093,all,All,0.8706896551724138,0.7985965984284912,0.9427827119163364,3
2021,30,095,all,All,NA,NA,NA,NA
2021,30,097,all,All,NA,NA,NA,NA
2021,30,099,all,All,NA,NA,NA,NA
2021,30,101,all,All,NA,NA,NA,NA
2021,30,103,all,All,NA,NA,NA,NA
2021,30,105,all,All,NA,NA,NA,NA
2021,30,107,all,All,NA,NA,NA,NA
2021,30,109,all,All,NA,NA,NA,NA
2021,30,111,all,All,0.8501698156967527,0.7608767689733074,0.9394628624201979,1
2021,31,001,all,All,0.9538220130015692,0.9257207244817532,0.9819233015213852,3
2021,31,003,all,All,NA,NA,NA,NA
2021,31,005,all,All,NA,NA,NA,NA
2021,31,007,all,All,NA,NA,NA,NA
2021,31,009,all,All,NA,NA,NA,NA
2021,31,011,all,All,NA,NA,NA,NA
2021,31,013,all,All,NA,NA,NA,NA
2021,31,015,all,All,NA,NA,NA,NA
2021,31,017,all,All,NA,NA,NA,NA
2021,31,019,all,All,0.9538220130015692,0.9257207244817532,0.9819233015213852,2
2021,31,021,all,All,NA,NA,NA,NA
2021,31,023,all,All,NA,NA,NA,NA
2021,31,025,all,All,0.9484497571908854,0.9022070158998188,0.9946924984819521,3
2021,31,027,all,All,NA,NA,NA,NA
2021,31,029,all,All,NA,NA,NA,NA
2021,31,031,all,All,NA,NA,NA,NA
2021,31,033,all,All,NA,NA,NA,NA
2021,31,035,all,All,NA,NA,NA,NA
2021,31,037,all,All,NA,NA,NA,NA
2021,31,039,all,All,NA,NA,NA,NA
2021,31,041,all,All,NA,NA,NA,NA
2021,31,043,all,All,NA,NA,NA,NA
2021,31,045,all,All,NA,NA,NA,NA
2021,31,047,all,All,0.930262591476539,0.8824720913174717,0.9780530916356063,3
2021,31,049,all,All,NA,NA,NA,NA
2021,31,051,all,All,NA,NA,NA,NA
2021,31,053,all,All,0.9484497571908853,0.9022070158998186,0.9946924984819521,2
2021,31,055,all,All,0.924508202542433,0.8888498683697605,0.9601665367151055,1
2021,31,057,all,All,NA,NA,NA,NA
2021,31,059,all,All,NA,NA,NA,NA
2021,31,061,all,All,NA,NA,NA,NA
2021,31,063,all,All,NA,NA,NA,NA
2021,31,065,all,All,NA,NA,NA,NA
2021,31,067,all,All,0.8831749580771381,0.8079644806343044,0.9583854355199718,3
2021,31,069,all,All,NA,NA,NA,NA
2021,31,071,all,All,NA,NA,NA,NA
2021,31,073,all,All,NA,NA,NA,NA
2021,31,075,all,All,NA,NA,NA,NA
2021,31,077,all,All,NA,NA,NA,NA
2021,31,079,all,All,0.8765889830508475,0.7797963982217764,0.9733815678799187,2
2021,31,081,all,All,NA,NA,NA,NA
2021,31,083,all,All,NA,NA,NA,NA
2021,31,085,all,All,NA,NA,NA,NA
2021,31,087,all,All,NA,NA,NA,NA
2021,31,089,all,All,NA,NA,NA,NA
2021,31,091,all,All,NA,NA,NA,NA
2021,31,093,all,All,NA,NA,NA,NA
2021,31,095,all,All,NA,NA,NA,NA
2021,31,097,all,All,NA,NA,NA,NA
2021,31,099,all,All,NA,NA,NA,NA
2021,31,101,all,All,NA,NA,NA,NA
2021,31,103,all,All,NA,NA,NA,NA
2021,31,105,all,All,NA,NA,NA,NA
2021,31,107,all,All,NA,NA,NA,NA
2021,31,109,all,All,0.9333711771801604,0.9013078459198357,0.9654345084404851,1
2021,31,111,all,All,0.930262591476539,0.8824720913174718,0.9780530916356062,3
2021,31,113,all,All,NA,NA,NA,NA
2021,31,115,all,All,NA,NA,NA,NA
2021,31,117,all,All,NA,NA,NA,NA
2021,31,119,all,All,0.8903292714544984,0.844509140546279,0.9361494023627177,3
2021,31,121,all,All,NA,NA,NA,NA
2021,31,123,all,All,NA,NA,NA,NA
2021,31,125,all,All,NA,NA,NA,NA
2021,31,127,all,All,NA,NA,NA,NA
2021,31,129,all,All,NA,NA,NA,NA
2021,31,131,all,All,NA,NA,NA,NA
2021,31,133,all,All,NA,NA,NA,NA
2021,31,135,all,All,NA,NA,NA,NA
2021,31,137,all,All,NA,NA,NA,NA
2021,31,139,all,All,NA,NA,NA,NA
2021,31,141,all,All,0.8903292714544984,0.844509140546279,0.9361494023627177,3
2021,31,143,all,All,NA,NA,NA,NA
2021,31,145,all,All,NA,NA,NA,NA
2021,31,147,all,All,NA,NA,NA,NA
2021,31,149,all,All,NA,NA,NA,NA
2021,31,151,all,All,NA,NA,NA,NA
2021,31,153,all,All,0.9010625737898466,0.8447223404670265,0.9574028071126666,1
2021,31,155,all,All,NA,NA,NA,NA
2021,31,157,all,All,0.9433744221879815,0.8883616563183229,0.9983871880576402,3
2021,31,159,all,All,NA,NA,NA,NA
2021,31,161,all,All,NA,NA,NA,NA
2021,31,163,all,All,NA,NA,NA,NA
2021,31,165,all,All,NA,NA,NA,NA
2021,31,167,all,All,NA,NA,NA,NA
2021,31,169,all,All,NA,NA,NA,NA
2021,31,171,all,All,NA,NA,NA,NA
2021,31,173,all,All,NA,NA,NA,NA
2021,31,175,all,All,NA,NA,NA,NA
2021,31,177,all,All,NA,NA,NA,NA
2021,31,179,all,All,NA,NA,NA,NA
2021,31,181,all,All,NA,NA,NA,NA
2021,31,183,all,All,NA,NA,NA,NA
2021,31,185,all,All,NA,NA,NA,NA
2021,32,001,all,All,NA,NA,NA,NA
2021,32,003,all,All,0.8798513385339037,0.8624665359475021,0.8972361411203054,1
2021,32,005,all,All,0.9338594513340849,0.8806007438248729,0.9871181588432969,3
2021,32,007,all,All,0.912621359223301,0.8623191760037935,0.9629235424428085,3
2021,32,009,all,All,NA,NA,NA,NA
2021,32,011,all,All,NA,NA,NA,NA
2021,32,013,all,All,NA,NA,NA,NA
2021,32,015,all,All,NA,NA,NA,NA
2021,32,017,all,All,NA,NA,NA,NA
2021,32,019,all,All,0.9338594513340849,0.8806007438248729,0.9871181588432969,3
2021,32,021,all,All,NA,NA,NA,NA
2021,32,023,all,All,0.9126213592233009,0.8623191760037934,0.9629235424428084,3
2021,32,027,all,All,NA,NA,NA,NA
2021,32,029,all,All,NA,NA,NA,NA
2021,32,031,all,All,0.8853503184713376,0.848991468195716,0.9217091687469592,1
2021,32,033,all,All,NA,NA,NA,NA
2021,32,510,all,All,0.9338594513340849,0.8806007438248729,0.9871181588432969,3
2021,33,001,all,All,0.8842014636246235,0.8153507860746625,0.9530521411745845,2
2021,33,003,all,All,0.9074284076179483,0.8572443905174238,0.9576124247184727,3
2021,33,005,all,All,0.943051890941073,0.9012932432104664,0.9848105386716796,2
2021,33,007,all,All,0.9669939419260498,0.9385765775436259,0.9954113063084737,3
2021,33,009,all,All,0.9669939419260496,0.9385765775436257,0.9954113063084735,2
2021,33,011,all,All,0.9032646375667363,0.8654241180137896,0.9411051571196829,1
2021,33,013,all,All,0.9083655165792986,0.8609346958527051,0.9557963373058922,1
2021,33,015,all,All,0.9441544379212058,0.9132550693897981,0.9750538064526135,1
2021,33,017,all,All,0.9654496446949278,0.9370599117953787,0.9938393775944768,1
2021,33,019,all,All,0.943051890941073,0.9012932432104664,0.9848105386716796,2
2021,34,001,all,All,0.9480878880508357,0.9199984085402302,0.9761773675614411,1
2021,34,003,all,All,0.9520077852898996,0.9342966055747762,0.969718965005023,1
2021,34,005,all,All,0.897342629079519,0.855707727447197,0.938977530711841,1
2021,34,007,all,All,0.9105780718683945,0.8833604840805325,0.9377956596562564,1
2021,34,009,all,All,0.8658301158301159,0.7629831412104995,0.9686770904497324,1
2021,34,011,all,All,0.8421496486187804,0.7725945772399666,0.9117047199975942,1
2021,34,013,all,All,0.8933579519936125,0.8641140641265566,0.9226018398606683,1
2021,34,015,all,All,0.9341926729986432,0.9045227106468943,0.9638626353503921,1
2021,34,017,all,All,0.910139318885449,0.8792741925593778,0.9410044452115202,1
2021,34,019,all,All,0.863841611670719,0.7729603514585646,0.9547228718828735,1
2021,34,021,all,All,0.9478107740334587,0.9231752155282378,0.9724463325386796,1
2021,34,023,all,All,0.9646149482342931,0.9515513972807513,0.9776784991878348,1
2021,34,025,all,All,0.9373581157775256,0.9103019263798193,0.9644143051752319,1
2021,34,027,all,All,0.9549078667611623,0.9343744876929475,0.9754412458293772,1
2021,34,029,all,All,0.9275214546690458,0.9027965202258326,0.952246389112259,1
2021,34,031,all,All,0.8955213185238265,0.8646948181428706,0.9263478189047825,1
2021,34,033,all,All,0.9021595416483031,0.8296972000543887,0.9746218832422175,2
2021,34,035,all,All,0.9358216970998926,0.9037586106824904,0.9678847835172948,1
2021,34,037,all,All,0.9615384615384616,0.9340750830150928,0.9890018400618303,1
2021,34,039,all,All,0.9217900755276346,0.8969620951727797,0.9466180558824895,1
2021,34,041,all,All,0.985233798195242,0.961140228851001,1,1
2021,35,001,all,All,0.8518763712799484,0.8154210879751047,0.8883316545847921,1
2021,35,003,all,All,NA,NA,NA,NA
