year,state,county,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2018,09,009,0.6009663358016911,0.5569638445475987,0.6449688270557835,1
2018,09,011,0.600031481189989,0.5319134767986257,0.6681494855813522,1
2018,09,013,0.5586638830897703,0.43886041969351447,0.6784673464860262,1
2018,09,015,0.5652173913043478,0.44472209033709725,0.6857126922715984,1
2018,10,001,0.453861097620204,0.35786578724733387,0.5498564079930741,1
2018,10,003,0.5025865499403104,0.4471739011213635,0.5579991987592573,1
2018,10,005,0.42049808429118773,0.33435485114096525,0.5066413174414102,1
2018,11,001,0.7311073027806955,0.6857932819200278,0.7764213236413632,1
2018,12,001,0.49077032303869367,0.411948059825288,0.5695925862520994,1
2018,12,003,NA,NA,NA,NA
2018,12,005,0.4681914571342018,0.3944217767053077,0.5419611375630959,2
2018,12,007,0.393092105263158,0.32527777118692464,0.4609064393393914,3
2018,12,009,0.5276399110046209,0.4743441958139333,0.5809356261953086,1
2018,12,011,0.5598803712011259,0.5279554358479664,0.5918053065542853,1
2018,12,013,NA,NA,NA,NA
2018,12,015,0.37865911237016053,0.2497801626476061,0.507538062092715,1
2018,12,017,0.4717891610987379,0.34997068790274455,0.5936076342947313,1
2018,12,019,0.35703334610962056,0.2722259559565032,0.44184073626273795,1
2018,12,021,0.3067245119305857,0.24838799019675864,0.3650610336644128,1
2018,12,023,0.3930921052631578,0.32527777118692436,0.46090643933939124,2
2018,12,027,0.2650534608891389,0.17955282907329256,0.3505540927049852,3
2018,12,029,NA,NA,NA,NA
2018,12,031,0.4417421974326375,0.4049122359529518,0.4785721589123232,1
2018,12,033,0.4085331846068042,0.3354489696583601,0.48161739955524835,1
2018,12,035,0.48405253283302074,0.35028378790465486,0.6178212777613866,1
2018,12,037,NA,NA,NA,NA
2018,12,039,0.43649373881932046,0.34327244129485734,0.5297150363437836,3
2018,12,041,NA,NA,NA,NA
2018,12,043,NA,NA,NA,NA
2018,12,045,NA,NA,NA,NA
2018,12,047,NA,NA,NA,NA
2018,12,049,NA,NA,NA,NA
2018,12,051,0.4117424242424241,0.2855834321294509,0.5379014163553972,2
2018,12,053,0.3937184520471116,0.3050104070252165,0.4824264970690067,1
2018,12,055,0.2824353357033306,0.2076150328050841,0.35725563860157716,2
2018,12,057,0.462183224938327,0.4259076105019911,0.49845883937466284,1
2018,12,059,NA,NA,NA,NA
2018,12,061,0.5167002012072435,0.3554499967209679,0.677950405693519,1
2018,12,063,0.4364937388193201,0.3432724412948569,0.5297150363437833,3
2018,12,065,NA,NA,NA,NA
2018,12,067,NA,NA,NA,NA
2018,12,069,0.3596556320619202,0.267078800068825,0.4522324640550154,1
2018,12,071,0.40303668069753457,0.34595536260879284,0.4601179987862763,1
2018,12,073,0.6313088109495295,0.5724060205656784,0.6902116013333807,1
2018,12,075,0.39309210526315824,0.32527777118692514,0.46090643933939135,3
2018,12,077,NA,NA,NA,NA
2018,12,079,NA,NA,NA,NA
2018,12,081,0.42214196416168914,0.3538574535686295,0.49042647475474876,1
2018,12,083,0.3615230460921844,0.27171405380881064,0.45133203837555813,1
2018,12,085,0.5605192821687667,0.45710040343951913,0.6639381608980142,1
