year,state,place,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2021,47,52006,all,All,0.9360847932790448,0.9150974949859716,0.957072091572118,1
2021,48,01000,all,All,0.9224003192735128,0.8877712514750304,0.9570293870719953,3
2021,48,01924,all,All,0.9637608891268636,0.9303076560411052,0.9972141222126221,2
2021,48,03000,all,All,0.9008957290089653,0.8670696158142082,0.9347218422037225,3
2021,48,04000,all,All,0.9110649482977777,0.8822316237472515,0.939898272848304,3
2021,48,05000,all,All,0.938151244654841,0.9222517885121172,0.9540507007975648,2
2021,48,06128,all,All,0.9005549282617702,0.8224498958575619,0.9786599606659785,2
2021,48,07000,all,All,0.90055983253222,0.8174003949864271,0.983719270078013,3
2021,48,10768,all,All,0.8497187852154621,0.8021914635841225,0.8972461068468016,1
2021,48,10912,all,All,0.9731369150779896,0.9576514745495305,0.9886223556064487,2
2021,48,13024,all,All,0.9378880433791552,0.908291118969492,0.9674849677888184,2
2021,48,13552,all,All,0.8735268772847241,0.7818274603318164,0.9652262942376318,3
2021,48,15976,all,All,0.9731369150779895,0.9576514745495304,0.9886223556064486,2
2021,48,16432,all,All,0.8789166908850505,0.8324421591706391,0.9253912225994619,3
2021,48,17000,all,All,0.8748108281180523,0.819073652860784,0.9305480033753206,2
2021,48,19000,all,All,0.8443303945949265,0.8175576356897614,0.8711031535000917,2
2021,48,19972,all,All,0.9703674317334178,0.9555028530904227,0.9852320103764128,2
2021,48,22660,all,All,0.8804531432574145,0.8032628801317261,0.957643406383103,2
2021,48,24000,all,All,0.9201657655271863,0.8937189051448508,0.9466126259095219,2
2021,48,26232,all,All,0.9563734271695801,0.9139936344878119,0.9987532198513482,2
2021,48,27000,all,All,0.8937502655438593,0.8703682138371607,0.9171323172505579,2
2021,48,27684,all,All,0.9314840616722914,0.8900548560617613,0.9729132672828215,2
2021,48,29000,all,All,0.9116478283163474,0.8806027159142421,0.9426929407184527,3
2021,48,30464,all,All,0.9119024186481656,0.8875958588509811,0.93620897844535,2
2021,48,35000,all,All,0.8332695856802119,0.812548926597349,0.8539902447630748,2
2021,48,37000,all,All,0.8811080008211623,0.8361907446799772,0.9260252569623473,3
2021,48,39148,all,All,0.8607697908795519,0.7874286814352548,0.9341109003238489,1
2021,48,41464,all,All,0.8826577557801787,0.8508660340262127,0.9144494775341446,1
2021,48,41980,all,All,0.9407232254953538,0.8977962080817559,0.9836502429089518,2
2021,48,42508,all,All,0.9111077756140299,0.8444985068406673,0.9777170443873925,1
2021,48,43888,all,All,0.9642659036091071,0.9338504118946597,0.9946813953235546,2
2021,48,45000,all,All,0.9288179974315957,0.9022451698024521,0.9553908250607392,3
2021,48,45384,all,All,0.9454135305158254,0.8993688458427297,0.9914582151889212,1
2021,48,45744,all,All,0.9223724374266983,0.8610934537114453,0.9836514211419513,1
2021,48,47892,all,All,0.9247694212340615,0.8903038218041249,0.959235020663998,2
2021,48,48072,all,All,0.8987377279102384,0.8346849740978186,0.9627904817226582,1
2021,48,48768,all,All,0.8397621615262285,0.751739343957248,0.9277849790952091,2
2021,48,50820,all,All,0.913153289285411,0.8398986626497646,0.9864079159210573,2
2021,48,53388,all,All,0.7975234728310899,0.7096540396408428,0.885392906021337,2
2021,48,56000,all,All,0.7357224010507537,0.6032721567555165,0.8681726453459909,3
2021,48,56348,all,All,0.9527049043136987,0.9042250704644428,1,2
2021,48,57200,all,All,0.8612497030173438,0.7939109898050947,0.928588416229593,2
2021,48,58016,all,All,0.9666137265694443,0.9493228835848494,0.9839045695540393,1
2021,48,61796,all,All,0.9153883505928213,0.8744099227445308,0.9563667784411118,2
2021,48,63500,all,All,0.8574073961288401,0.7633059186425516,0.9515088736151286,2
2021,48,64472,all,All,0.9393167833651602,0.8978421777323453,0.9807913889979751,1
2021,48,65000,all,All,0.8891183457262218,0.8719436349524118,0.9062930565000319,2
2021,48,70808,all,All,0.8829237939008444,0.8170432781035996,0.9488043096980893,2
2021,48,72176,all,All,0.9466032608695653,0.9187264092542462,0.9744801124848843,2
2021,48,74144,all,All,0.8533843799743684,0.7561754018973889,0.950593358051348,1
2021,48,76000,all,All,0.953801186101823,0.9277800167198074,0.9798223554838386,1
2021,48,79000,all,All,0.9474808616699305,0.9110039095920082,0.9839578137478528,3
2021,49,43660,all,All,0.9362438220757826,0.8981301167547782,0.974357527396787,3
2021,49,44320,all,All,0.9607444167303518,0.9398582291597943,0.9816306043009093,3
2021,49,55980,all,All,0.9008523012449781,0.8468686994744058,0.9548359030155503,2
2021,49,57300,all,All,0.9663560477966914,0.9478727649500821,0.9848393306433006,2
2021,49,62470,all,All,0.9732365885571547,0.9534125860993897,0.9930605910149196,1
2021,49,65330,all,All,0.8989591266818989,0.8389851020974007,0.9589331512663971,2
2021,49,67000,all,All,0.9431249004944459,0.9240656087390423,0.9621841922498494,3
2021,49,67440,all,All,0.9284080421273301,0.8836552316132199,0.9731608526414403,2
2021,49,70850,all,All,0.8376022463083619,0.7701640082684068,0.905040484348317,3
2021,49,82950,all,All,0.8389801956331612,0.754754520709468,0.9232058705568543,2
2021,49,83470,all,All,0.8667512519796253,0.8276590386843607,0.9058434652748899,2
2021,51,01000,all,All,0.8163913595933926,0.6708928370778071,0.9618898821089781,3
2021,51,16000,all,All,0.9035352638124001,0.846646725725947,0.9604238018988532,3
2021,51,35000,all,All,0.9624231764811743,0.9245050599359004,1,3
2021,51,47672,all,All,0.935292694726657,0.8951477861383783,0.9754376033149357,2
2021,51,56000,all,All,0.9824020397483264,0.9704062533864013,0.9943978261102515,2
2021,51,57000,all,All,0.9729284696695871,0.95639835174292,0.9894585875962543,2
2021,51,64000,all,All,0.8274380165289256,0.7484856095910403,0.9063904234668109,3
2021,51,67000,all,All,0.9702779903927268,0.9488199538282414,0.9917360269572122,3
2021,51,68000,all,All,0.9302699228791773,0.8785464508554477,0.9819933949029069,3
2021,51,76432,all,All,0.9398907103825136,0.8874110300976328,0.9923703906673944,2
2021,51,82000,all,All,0.950949501830878,0.9292313394684389,0.9726676641933171,2
2021,53,03180,all,All,0.8767262391808456,0.8092988020602666,0.9441536763014245,2
2021,53,05210,all,All,0.9538526214425783,0.9076162922818206,1,1
2021,53,05280,all,All,0.9576589130667811,0.9331174324059701,0.982200393727592,2
2021,53,22640,all,All,0.9035299802870339,0.858054326899556,0.9490056336745119,2
2021,53,23515,all,All,0.8775336361811903,0.8166335202245346,0.938433752137846,2
2021,53,35275,all,All,0.8355893034004621,0.7461226647973129,0.9250559420036113,2
2021,53,35415,all,All,0.8779282908553673,0.8121210227563118,0.9437355589544227,1
2021,53,35940,all,All,0.9324677918079342,0.8776058727810097,0.9873297108348587,2
2021,53,53545,all,All,0.8438585700013753,0.7620048871496918,0.9257122528530588,2
2021,53,57745,all,All,0.8642849525844031,0.7789766970941029,0.9495932080747033,2
2021,53,63000,all,All,0.943916661821347,0.9195264542123157,0.9683068694303784,2
2021,53,67000,all,All,0.9441355944663612,0.9174896561187458,0.9707815328139766,3
2021,53,67167,all,All,0.8964069542766088,0.8138798707872663,0.9789340377659512,2
2021,53,70000,all,All,0.8773513955525766,0.8400577661801772,0.9146450249249759,3
2021,53,74060,all,All,0.83952154093619,0.7709080780966562,0.9081350037757239,1
2021,53,80010,all,All,0.7666029586765492,0.6569688656066766,0.8762370517464217,2
2021,55,02375,all,All,0.9502850569128344,0.9127093296277639,0.9878607841979049,3
2021,55,31000,all,All,0.9534941870168453,0.9100969442406286,0.996891429793062,2
2021,55,39225,all,All,0.9438370846730975,0.8783745028516818,1,2
2021,55,48000,all,All,0.9783351696758844,0.9621801437521196,0.9944901955996492,3
2021,55,53000,all,All,0.8637717753163748,0.8286441272627699,0.8988994233699797,2
2021,55,66000,all,All,0.7931194793119479,0.6729071738661739,0.9133317847577219,3
2018,01,03076,gender,Female,0.9896103896103896,0.973972639144575,1,2
2018,01,03076,gender,Male,0.9584859584859585,0.926136803935423,0.9908351130364941,2
2018,01,07000,gender,Female,0.8919218966221084,0.830637221822705,0.9532065714215118,3
2018,01,07000,gender,Male,0.9168887995129654,0.868852402087336,0.9649251969385948,3
2018,01,35896,gender,Female,0.9570660298151447,0.920070175256058,0.9940618843742313,3
2018,01,35896,gender,Male,0.9194860291653646,0.8748779962301769,0.9640940621005523,3
2018,01,37000,gender,Female,0.919731594674342,0.8602906309395286,0.9791725584091553,3
2018,01,37000,gender,Male,0.8882041322878991,0.8228229981045172,0.953585266471281,3
2018,01,50000,gender,Female,0.9367197542516347,0.8813588965920247,0.9920806119112446,3
2018,01,50000,gender,Male,0.8372503964138308,0.7638520434143414,0.9106487494133202,3
2018,01,51000,gender,Female,0.8990883568969505,0.822161487013862,0.976015226780039,3
2018,01,51000,gender,Male,0.8733525922937834,0.8058461682857411,0.9408590163018257,3
2018,01,77256,gender,Female,0.9778624192644165,0.9561062959266854,0.9996185426021477,2
2018,01,77256,gender,Male,0.9419151253321025,0.8898115726084497,0.9940186780557554,2
2018,02,03000,gender,Female,0.9393346379647749,0.8839834036106945,0.9946858723188553,2
2018,02,03000,gender,Male,0.9040053703289327,0.8489995428590985,0.9590111977987669,2
2018,04,04720,gender,Female,0.9255555119363412,0.8548601624978863,0.9962508613747961,2
2018,04,04720,gender,Male,0.8486664596606802,0.7669205110156192,0.9304124083057412,2
2018,04,07940,gender,Female,NA,NA,NA,NA
2018,04,07940,gender,Male,0.84692724304466,0.7491263645914175,0.9447281214979026,2
2018,04,12000,gender,Female,0.9408336564449229,0.902645890870942,0.9790214220189037,3
2018,04,12000,gender,Male,0.9056543514845831,0.8497023212735992,0.9616063816955669,3
2018,04,23620,gender,Female,0.9354356846473028,0.9061085841263004,0.9647627851683052,3
2018,04,23620,gender,Male,0.921930447125621,0.8804782516693284,0.9633826425819136,3
2018,04,27400,gender,Female,0.918482246890212,0.8698101154024931,0.9671543783779308,1
2018,04,27400,gender,Male,0.9267028572432091,0.8809129800994375,0.9724927343869807,1
2018,04,27820,gender,Female,0.8993293273824942,0.855059668893015,0.9435989858719733,1
2018,04,27820,gender,Male,0.7959181768232757,0.715560185105463,0.8762761685410884,1
2018,04,28380,gender,Female,0.9332556228616526,0.8742416161709169,0.9922696295523884,2
2018,04,28380,gender,Male,0.9063839002171115,0.8213573472110067,0.9914104532232162,2
2018,04,46000,gender,Female,0.8324802651908868,0.7798497267787591,0.8851108036030145,2
2018,04,46000,gender,Male,0.8590383631315209,0.8197149771442811,0.8983617491187608,2
2018,04,54050,gender,Female,0.9482194511156362,0.8975553017238441,0.9988836005074283,2
2018,04,54050,gender,Male,0.8511301512834352,0.7615138923330943,0.940746410233776,2
2018,04,55000,gender,Female,0.8650003788197714,0.8386902139915404,0.8913105436480024,2
