year,state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,081,income,"$50,000 or More",0.4782152230971128,0.33810709386441384,0.6183233523298118,1
2014,01,081,income,"Less than $50,000",0.4090070136581764,0.26683024899720376,0.5511837783191491,1
2014,01,083,all,All,0.3656303236797274,0.2732799760608641,0.4579806712985907,2
2014,01,083,income,"$50,000 or More",0.4982471516213848,0.3697693191496963,0.6267249840930732,2
2014,01,083,income,"Less than $50,000",0.24026512013256007,0.11634166488278797,0.3641885753823322,2
2014,01,085,all,All,NA,NA,NA,NA
2014,01,085,income,"$50,000 or More",NA,NA,NA,NA
2014,01,085,income,"Less than $50,000",NA,NA,NA,NA
2014,01,087,all,All,NA,NA,NA,NA
2014,01,087,income,"$50,000 or More",NA,NA,NA,NA
2014,01,087,income,"Less than $50,000",NA,NA,NA,NA
2014,01,089,all,All,0.35399768137586535,0.2895553953169486,0.41843996743478207,1
2014,01,089,income,"$50,000 or More",0.4294767196193767,0.33548830811989877,0.5234651311188547,1
2014,01,089,income,"Less than $50,000",0.2936966322754088,0.20332810064712417,0.3840651639036935,1
2014,01,091,all,All,NA,NA,NA,NA
2014,01,091,income,"$50,000 or More",NA,NA,NA,NA
2014,01,091,income,"Less than $50,000",NA,NA,NA,NA
2014,01,093,all,All,0.3701619775490782,0.28772282358543055,0.45260113151272585,3
2014,01,093,income,"$50,000 or More",NA,NA,NA,NA
2014,01,093,income,"Less than $50,000",NA,NA,NA,NA
2014,01,095,all,All,0.29253060204846365,0.22112712421589156,0.36393407988103577,1
2014,01,095,income,"$50,000 or More",0.39691817215727954,0.2710318333343724,0.5228045109801867,1
2014,01,095,income,"Less than $50,000",0.1999057048561999,0.10849736995196022,0.29131403976043957,1
2014,01,097,all,All,0.4041789095657852,0.32082204913751966,0.4875357699940507,1
2014,01,097,income,"$50,000 or More",0.4406779661016949,0.28732724407368054,0.5940286881297092,1
2014,01,097,income,"Less than $50,000",0.3803614782843269,0.2926061494502395,0.4681168071184144,1
2014,01,099,all,All,NA,NA,NA,NA
2014,01,099,income,"$50,000 or More",NA,NA,NA,NA
2014,01,099,income,"Less than $50,000",NA,NA,NA,NA
2014,01,101,all,All,0.5121819657007022,0.4410868097030237,0.5832771216983806,1
2014,01,101,income,"$50,000 or More",0.5568473823382897,0.458745199830996,0.6549495648455833,1
2014,01,101,income,"Less than $50,000",0.46702399597300537,0.3553408686677699,0.5787071232782408,1
2014,01,103,all,All,0.39436241610738254,0.2821414373035157,0.5065833949112494,1
2014,01,103,income,"$50,000 or More",0.5617391304347826,0.4177508843546228,0.7057273765149424,1
2014,01,103,income,"Less than $50,000",0.25,0.1391718600587213,0.3608281399412787,1
2014,01,105,all,All,NA,NA,NA,NA
2014,01,105,income,"$50,000 or More",NA,NA,NA,NA
2014,01,105,income,"Less than $50,000",NA,NA,NA,NA
2014,01,107,all,All,NA,NA,NA,NA
2014,01,107,income,"$50,000 or More",NA,NA,NA,NA
2014,01,107,income,"Less than $50,000",NA,NA,NA,NA
2014,01,109,all,All,0.4106899372784292,0.3044832268190105,0.5168966477378479,3
2014,01,109,income,"$50,000 or More",NA,NA,NA,NA
2014,01,109,income,"Less than $50,000",NA,NA,NA,NA
2014,01,111,all,All,NA,NA,NA,NA
2014,01,111,income,"$50,000 or More",NA,NA,NA,NA
2014,01,111,income,"Less than $50,000",NA,NA,NA,NA
2014,01,113,all,All,0.4106899372784292,0.3044832268190105,0.5168966477378479,2
2014,01,113,income,"$50,000 or More",NA,NA,NA,NA
2014,01,113,income,"Less than $50,000",NA,NA,NA,NA
2014,01,115,all,All,0.3148148148148148,0.22293193923985832,0.4066976903897713,2
2014,01,115,income,"$50,000 or More",0.2933212996389892,0.17693802463101033,0.409704574646968,2
2014,01,115,income,"Less than $50,000",0.3353448275862069,0.21614271157914328,0.45454694359327047,2
2014,01,117,all,All,0.4402071563088512,0.3354693180945324,0.54494499452317,1
2014,01,117,income,"$50,000 or More",0.4431583298883836,0.3136802221592908,0.5726364376174764,1
2014,01,117,income,"Less than $50,000",0.4363039912520503,0.28841357279799607,0.5841944097061046,1
2014,01,119,all,All,NA,NA,NA,NA
2014,01,119,income,"$50,000 or More",NA,NA,NA,NA
2014,01,119,income,"Less than $50,000",NA,NA,NA,NA
2014,01,121,all,All,0.3787633538361929,0.28037847865051463,0.4771482290218712,2
2014,01,121,income,"$50,000 or More",NA,NA,NA,NA
2014,01,121,income,"Less than $50,000",0.2950741272118603,0.1813962102124645,0.4087520442112562,2
2014,01,123,all,All,0.3427952850613423,0.2600006573564929,0.42558991276619174,3
2014,01,123,income,"$50,000 or More",NA,NA,NA,NA
2014,01,123,income,"Less than $50,000",NA,NA,NA,NA
2014,01,125,all,All,0.35832948002708453,0.27892850762254306,0.437730452431626,1
2014,01,125,income,"$50,000 or More",0.4143844932367042,0.2998483708498461,0.5289206156235622,1
2014,01,125,income,"Less than $50,000",0.3135493603268034,0.2186498562434417,0.40844886441016515,1
2014,01,127,all,All,0.3576271186440678,0.26257625629618103,0.4526779809919546,2
2014,01,127,income,"$50,000 or More",0.4382470119521912,0.31770876497492206,0.5587852589294604,2
2014,01,127,income,"Less than $50,000",0.2781828379136287,0.14195687301643045,0.4144088028108269,2
2014,01,129,all,All,NA,NA,NA,NA
2014,01,129,income,"$50,000 or More",NA,NA,NA,NA
2014,01,129,income,"Less than $50,000",NA,NA,NA,NA
2014,01,131,all,All,NA,NA,NA,NA
2014,01,131,income,"$50,000 or More",NA,NA,NA,NA
2014,01,131,income,"Less than $50,000",NA,NA,NA,NA
2014,01,133,all,All,NA,NA,NA,NA
2014,01,133,income,"$50,000 or More",NA,NA,NA,NA
2014,01,133,income,"Less than $50,000",NA,NA,NA,NA
2014,02,013,all,All,NA,NA,NA,NA
2014,02,013,income,"$50,000 or More",NA,NA,NA,NA
2014,02,013,income,"Less than $50,000",NA,NA,NA,NA
2014,02,016,all,All,NA,NA,NA,NA
2014,02,016,income,"$50,000 or More",NA,NA,NA,NA
2014,02,016,income,"Less than $50,000",NA,NA,NA,NA
2014,02,020,all,All,0.363961387200572,0.2764155605844795,0.4515072138166646,1
2014,02,020,income,"$50,000 or More",0.3671295415636294,0.27353700686988774,0.4607220762573711,1
2014,02,020,income,"Less than $50,000",0.35864709636247605,0.1809225636110416,0.5363716291139105,1
2014,02,050,all,All,0.4404186795491143,0.38013933967910546,0.5006980194191232,3
2014,02,050,income,"$50,000 or More",0.4425553838227718,0.35315044028830744,0.5319603273572362,3
2014,02,050,income,"Less than $50,000",0.4380952380952381,0.3630945810344924,0.5130958951559836,3
2014,02,060,all,All,NA,NA,NA,NA
2014,02,060,income,"$50,000 or More",NA,NA,NA,NA
2014,02,060,income,"Less than $50,000",NA,NA,NA,NA
2014,02,063,all,All,NA,NA,NA,NA
2014,02,063,income,"$50,000 or More",NA,NA,NA,NA
