year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,01,079,gender,Female,NA,NA,NA,NA
2014,01,079,gender,Male,NA,NA,NA,NA
2014,01,081,all,All,0.903913260219342,0.8660863518112901,0.9417401686273936,1
2014,01,081,gender,Female,0.9158551810237204,0.8639000750750707,0.96781028697237,1
2014,01,081,gender,Male,0.8920129385419259,0.8342086756557638,0.949817201428088,1
2014,01,083,all,All,0.9165275459098498,0.8697035238266437,0.9633515679930558,2
2014,01,083,gender,Female,0.9162539396668168,0.8502480634459634,0.98225981588767,2
2014,01,083,gender,Male,0.9168356997971602,0.8574743099931683,0.976197089601152,2
2014,01,085,all,All,NA,NA,NA,NA
2014,01,085,gender,Female,NA,NA,NA,NA
2014,01,085,gender,Male,NA,NA,NA,NA
2014,01,087,all,All,0.9211683969734294,0.8768117430625106,0.9655250508843484,3
2014,01,087,gender,Female,NA,NA,NA,NA
2014,01,087,gender,Male,NA,NA,NA,NA
2014,01,089,all,All,0.932183501434151,0.9086283869010596,0.9557386159672424,1
2014,01,089,gender,Female,0.9349056363525172,0.9036642859734026,0.9661469867316318,1
2014,01,089,gender,Male,0.929830276863853,0.8973080794450627,0.9623524742826433,1
2014,01,091,all,All,0.9161536206391088,0.871608562882907,0.9606986783953104,3
2014,01,091,gender,Female,NA,NA,NA,NA
2014,01,091,gender,Male,NA,NA,NA,NA
2014,01,093,all,All,0.9099942029977652,0.8661989336618864,0.953789472333644,3
2014,01,093,gender,Female,0.9330336980838184,0.8693855862869133,0.9966818098807236,3
2014,01,093,gender,Male,NA,NA,NA,NA
2014,01,095,all,All,0.8086672117743253,0.7284468686340234,0.8888875549146272,1
2014,01,095,gender,Female,0.800126103404792,0.6968577536454502,0.9033944531641336,1
2014,01,095,gender,Male,0.815170427268363,0.7026713532934137,0.9276695012433124,1
2014,01,097,all,All,0.7782608695652173,0.6974129906120599,0.8591087485183748,1
2014,01,097,gender,Female,0.8639661426844014,0.7490893229907752,0.9788429623780276,1
