year,state,county,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality
2014,01,115,.41604939,1,.41214591,1,.37652439,1,.5816555,1
2014,01,067,.63112503,1,.5474968,1,.77063107,1,.625,1
2017,01,019,1,1,1,1,1,1,1,1
2016,01,061,.7705242,1,.76704001,1,.72500002,1,.83643121,1
2018,01,077,.51584327,1,.50170684,1,.58738738,1,.60183769,1
2014,01,035,1,1,1,1,1,1,1,2
2017,01,069,.64865386,1,.53113735,1,.8178007,1,.57159626,1
2018,01,087,1,1,1,2,1,1,1,2
2016,01,083,.35343385,1,.3579365,1,.21875,1,.53818828,1
2016,01,027,.52944213,1,.52675468,1,.51076925,1,.51428574,1
2016,01,101,.7321946,1,.40529212,1,.81602883,1,.85006875,1
2016,01,099,1,1,1,1,1,1,1,2
2016,01,087,1,1,1,2,1,1,1,3
2016,01,085,1,1,1,2,1,1,1,3
2016,01,081,.18444632,1,.14404681,1,.26103351,1,.27298647,1
2016,01,079,.58585024,1,.58804852,1,.75308645,1,.64634144,1
2016,01,067,.61229408,1,.53354841,1,.76576579,1,.57831323,1
2016,01,063,1,1,1,3,1,1,1,3
2016,01,051,.35715362,1,.34702307,1,.37531629,1,.37548637,1
2016,01,045,.85600126,1,.83908945,1,.89797008,1,.7669903,1
2016,01,033,.40608385,1,.38976377,1,.50554872,1,.32440478,1
2016,01,023,1,1,1,1,1,1,1,3
2016,01,019,.87664759,1,.8894676,1,.75,1,.86274511,1
2017,01,073,.44998941,1,.099607237,1,.71138555,1,.54608649,1
2016,01,003,.33427307,1,.30170307,1,.40284482,1,.50562668,1
2018,01,007,.62855375,1,.55427843,1,.88101983,1,.63636363,1
2014,01,121,.87003183,1,.85616261,1,.88387847,1,.90445858,1
2015,01,035,1.0006561,1,1,1,1,1,1,2
2016,01,011,1,1,1,2,1,1,1,1
2014,01,127,.70840335,1,.71587199,1,.63083607,1,.69936711,1
