year,state,city,city_name,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,statename,state_abbr
2018,06,0657792,Pleasanton,0,1,0,1,0,1,0,1,California,CA
2018,06,0658072,Pomona,.86309683,1,.66318929,1,.79571104,1,.89344472,1,California,CA
2018,06,0659444,Rancho Cordova,.73602039,1,.67385352,1,.85089684,1,.87335801,1,California,CA
2018,06,0659451,Rancho Cucamonga,.14897323,1,.075218476,1,.15077139,1,.21035598,1,California,CA
2018,06,0659920,Redding,.43406376,1,.37969205,1,.55744684,1,.53754264,1,California,CA
2018,06,0660102,Redwood City,.22319846,1,.037491705,1,.26027396,1,.34604716,1,California,CA
2018,06,0660466,Rialto,1,1,1,1,1,1,1,1,California,CA
2018,06,0660620,Richmond,.81065679,1,.36278448,1,.76298058,1,.8791635,1,California,CA
2018,06,0662000,Riverside,.59223998,1,.33657858,1,.57107371,1,.68878567,1,California,CA
2018,06,0662938,Roseville,.027658636,1,.013838311,1,.017377567,1,.074040219,1,California,CA
2018,06,0664000,Sacramento,.61053395,1,.40860939,1,.71203995,1,.70081037,1,California,CA
2018,06,0664224,Salinas,.68667305,1,.37979206,1,.54655868,1,.71890587,1,California,CA
2018,06,0665000,San Bernardino,.98217249,1,.95587188,1,.9823103,1,.98591071,1,California,CA
2018,06,0665042,Ventura,.15374182,1,.079159692,1,.13592233,1,.21807601,1,California,CA
2018,06,0666000,San Diego,.37770909,1,.078307211,1,.61075002,1,.61762172,1,California,CA
2018,06,0667000,San Francisco,.20518954,1,.053279631,1,.28081092,1,.28387538,1,California,CA
2018,06,0668000,San Jose,.28910947,1,.044649322,1,.22737102,1,.46031496,1,California,CA
2018,06,0668084,San Leandro,.32148975,1,.24332978,1,.33212474,1,.34881499,1,California,CA
2018,06,0668196,San Marcos,.10094775,1,.028464666,1,.070234112,1,.18275829,1,California,CA
2018,06,0668252,San Mateo,.039396416,1,.02153432,1,.03846154,1,.059768066,1,California,CA
2018,06,0668378,San Ramon,0,1,0,1,0,1,0,1,California,CA
2018,06,0669000,Santa Ana,.80590945,1,.12946729,1,.60986549,1,.8876527,1,California,CA
2018,06,0669070,Santa Barbara,.1802398,1,.032630615,1,.096774191,1,.28501087,1,California,CA
2018,06,0669084,Santa Clara,0,1,0,1,0,1,0,1,California,CA
2018,06,0669088,Santa Clarita,0,1,0,1,0,1,0,1,California,CA
2018,06,0669196,Santa Maria,.75676125,1,.18738347,1,.56321841,1,.84722388,1,California,CA
2018,06,0670000,Santa Monica,0,1,0,1,0,1,0,1,California,CA
2018,06,0670098,Santa Rosa,.26121032,1,.065883502,1,.18991597,1,.40925416,1,California,CA
