year,state,county,environmental,subgroup_type,subgroup,environmental_quality
2014,05,015,70.67009339028452,All,All,1
2014,05,017,60.055357298285315,All,All,1
2014,05,019,21.274166666666666,All,All,1
2014,05,021,62.93182255890095,All,All,1
2014,05,023,42.030861086341254,All,All,1
2014,05,025,37.81307432825404,All,All,1
2014,05,027,24.33,All,All,1
2014,05,029,28.925194805194806,All,All,1
2014,05,031,52.76389041919167,All,All,1
2014,05,033,36.25678932470684,All,All,1
2014,05,035,42.04341066730447,All,All,1
2014,05,037,53.06433645922137,All,All,1
2014,05,039,33.0887603721398,All,All,1
2014,05,041,54.669179495318204,All,All,1
2014,05,043,41.82063619353114,All,All,1
2014,05,045,25.359563342501104,All,All,1
2014,05,047,35.110801781737194,All,All,1
2014,05,049,48.0530365035194,All,All,1
2014,05,051,31.251342919714062,All,All,1
2014,05,053,33.34839569223937,All,All,1
2014,05,055,50.99634628810798,All,All,1
2014,05,057,33.389357241625405,All,All,1
2014,05,059,25.026715148601134,All,All,1
2014,05,061,37.017099013518454,All,All,1
2014,05,063,43.468571118526356,All,All,1
2014,05,065,47.674308534240495,All,All,1
2014,05,067,51.21531612757805,All,All,1
2014,05,069,32.4966579599491,All,All,1
2014,05,071,34.93474467837618,All,All,1
2014,05,073,36.3686916520092,All,All,1
2014,05,075,51.319466293771484,All,All,1
2014,05,077,64.09388237612058,All,All,1
2014,05,079,48.89286473464182,All,All,1
2014,05,081,33.80656707127295,All,All,1
2014,05,083,40.1615527136337,All,All,1
2014,05,085,38.04120197381557,All,All,1
2014,05,087,71.79746432212029,All,All,1
2014,05,089,54.829684286923914,All,All,1
2014,05,091,28.48138365068792,All,All,1
2014,05,093,56.42456758841027,All,All,1
2014,05,095,55.88007638446849,All,All,1
2014,05,097,49.00742254733218,All,All,1
2014,05,099,30.80928241523037,All,All,1
2014,05,101,58.87344730045505,All,All,1
2014,05,103,26.9579088155462,All,All,1
2014,05,105,38.70570048309179,All,All,1
2014,05,107,60.48126828800307,All,All,1
2014,05,109,41.85992670063467,All,All,1
2014,05,111,61.79408021675766,All,All,1
2014,05,113,59.78136305857045,All,All,1
2014,05,115,28.83720707642733,All,All,1
2014,05,117,54.06053097345133,All,All,1
2014,05,119,23.874848232292052,All,All,1
2014,05,121,50.913060582218726,All,All,1
2014,05,123,56.67440850879097,All,All,1
2014,05,125,27.298101260162237,All,All,1
2014,05,127,53.230043541364296,All,All,1
2014,05,129,58.94400199104032,All,All,1
2014,05,131,26.482969377213113,All,All,1
2014,05,133,39.08376811594203,All,All,1
2014,05,135,45.85318689022609,All,All,1
2014,05,137,56.21251296783976,All,All,1
2014,05,139,12.268520779411046,All,All,1
2014,05,141,43.066530134581626,All,All,1
2014,05,143,50.58552191407759,All,All,1
2014,05,145,37.309064196742256,All,All,1
2014,05,147,56.35861291232027,All,All,1
2014,05,149,36.653642746421085,All,All,1
2014,06,001,51.178594607351464,All,All,1
2014,06,003,97,All,All,1
2014,06,005,35.16970316746952,All,All,1
2014,06,007,16.975038135554975,All,All,1
2014,06,009,41.90792725006122,All,All,1
2014,06,011,35.928538088125464,All,All,1
2014,06,013,39.154910324518696,All,All,1
2014,06,015,51.43992731418798,All,All,1
2014,06,017,33.11807235555066,All,All,1
2014,06,019,13.139273684609904,All,All,1
2014,06,021,28.744887397837182,All,All,1
2014,06,023,67.69633589370977,All,All,1
2014,06,025,17.180651429733487,All,All,1
2014,06,027,95.17750420304789,All,All,1
2014,06,029,23.632257237125902,All,All,1
2014,06,031,32.322478367131254,All,All,1
2014,06,033,58.87671510224423,All,All,1
2014,06,035,87.83145461086461,All,All,1
2014,06,037,14.004828957745191,All,All,1
2014,06,039,18.288195628788078,All,All,1
2014,06,041,81.62661116346446,All,All,1
2014,06,043,44.35991307255099,All,All,1
2014,06,045,57.168983700862896,All,All,1
2014,06,047,30.065670523567615,All,All,1
2014,06,049,86.02260310658811,All,All,1
2014,06,051,98.42267314873529,All,All,1
2014,06,053,47.91577612154558,All,All,1
2014,06,055,63.69439796629157,All,All,1
2014,06,057,23.806026002474493,All,All,1
