year,state,county,ratio_population_pc_physician,ratio_population_pc_physician_quality
2014,18,035,1001,1
2014,18,037,1283,1
2014,18,039,1905,1
2014,18,041,1805,1
2014,18,043,1656,1
2014,18,045,4164,1
2014,18,047,1207,1
2014,18,049,1708,1
2014,18,051,2813,1
2014,18,053,2078,1
2014,18,055,3636,1
2014,18,057,715,1
2014,18,059,1263,1
2014,18,061,1965,1
2014,18,063,1715,1
2014,18,065,2333,1
2014,18,067,1627,1
2014,18,069,1748,1
2014,18,071,2081,1
2014,18,073,2575,1
2014,18,075,3530,1
2014,18,077,1477,1
2014,18,079,2333,1
2014,18,081,1093,1
2014,18,083,1224,1
2014,18,085,2182,1
2014,18,087,3494,1
2014,18,089,1679,1
2014,18,091,2371,1
2014,18,093,2856,1
2014,18,095,2168,1
2014,18,097,1237,1
2014,18,099,1963,1
2014,18,101,3401,2
2014,18,103,3995,1
2014,18,105,1667,1
2014,18,107,2543,1
2014,18,109,1936,1
2014,18,111,14156,3
2014,18,113,3401,1
2014,18,115,6035,3
2014,18,117,1784,1
2014,18,119,6990,2
2014,18,121,5744,2
2014,18,123,3242,1
2014,18,125,6312,2
2014,18,127,1638,1
2014,18,129,3192,1
2014,18,131,2161,1
2014,18,133,2894,1
2014,18,135,6346,1
2014,18,137,14248,2
2014,18,139,2413,1
2014,18,141,1062,1
2014,18,143,2635,1
2014,18,145,4953,1
2014,18,147,3467,1
2014,18,149,2884,1
2014,18,151,2859,1
2014,18,153,2105,1
2014,18,155,NA,NA
2014,18,157,1387,1
2014,18,159,3854,2
2014,18,161,2415,2
2014,18,163,1110,1
2014,18,165,3139,1
2014,18,167,1176,1
2014,18,169,2481,1
2014,18,171,8352,3
2014,18,173,703,1
2014,18,175,3098,1
2014,18,177,1781,1
2014,18,179,1327,1
2014,18,181,2717,1
2014,18,183,1965,1
2014,19,001,2485,2
2014,19,003,3875,3
2014,19,005,2005,1
2014,19,007,1809,1
2014,19,009,2897,2
2014,19,011,8560,2
2014,19,013,1038,1
2014,19,015,2203,1
2014,19,017,1545,1
2014,19,019,2630,1
2014,19,021,2058,1
2014,19,023,5002,2
2014,19,025,1409,1
2014,19,027,1082,1
2014,19,029,1494,1
2014,19,031,3682,1
2014,19,033,585,1
2014,19,035,1691,1
2014,19,037,2044,1
2014,19,039,3072,2
2014,19,041,1376,1
2014,19,043,3538,1
2014,19,045,1657,1
2014,19,047,3446,1
2014,19,049,1800,1
2014,19,051,2195,1
2014,19,053,2066,2
2014,19,055,1582,1
2014,19,057,1258,1
2014,19,059,1210,1
2014,19,061,1377,1
2014,19,063,1665,1
2014,19,065,2906,1
2014,19,067,3215,1
2014,19,069,2609,2
2014,19,071,7022,3
2014,19,073,1840,1
2014,19,075,4125,2
2014,19,077,2144,1
2014,19,079,1890,1
2014,19,081,2757,2
2014,19,083,2164,1
2014,19,085,2387,1
2014,19,087,1348,1
2014,19,089,3150,2
2014,19,091,4820,2
2014,19,093,3521,2
2014,19,095,1365,1
2014,19,097,2165,1
2014,19,099,2304,1
2014,19,101,1333,1
2014,19,103,549,1
2014,19,105,2273,1
2014,19,107,10231,3
2014,19,109,2175,1
2014,19,111,1604,1
2014,19,113,1601,1
2014,19,115,11161,3
2014,19,117,1243,1
2014,19,119,2921,2
2014,19,121,1561,1
2014,19,123,1598,1
2014,19,125,1043,1
2014,19,127,1460,1
2014,19,129,1483,1
2014,19,131,10779,3
2014,19,133,1124,1
2014,19,135,1600,1
2014,19,137,1737,1
2014,19,139,1950,1
2014,19,141,1757,1
2014,19,143,1554,1
2014,19,145,1192,1
2014,19,147,1516,1
2014,19,149,2764,1
2014,19,151,3569,2
2014,19,153,1033,1
2014,19,155,1940,1
2014,19,157,1098,1
2014,19,159,1684,2
2014,19,161,1672,1
2014,19,163,1207,1
2014,19,165,1707,1
2014,19,167,1334,1
2014,19,169,1325,1
2014,19,171,4363,2
2014,19,173,3072,2
2014,19,175,1564,1
2014,19,177,1067,1
2014,19,179,1258,1
2014,19,181,1776,1
2014,19,183,1379,1
2014,19,185,1279,1
2014,19,187,1848,1
2014,19,189,2112,1
2014,19,191,1038,1
2014,19,193,1461,1
2014,19,195,3812,2
2014,19,197,1834,1
2014,20,001,2152,1
2014,20,003,2628,2
2014,20,005,2359,1
2014,20,007,1632,2
2014,20,009,1712,1
2014,20,011,1641,1
2014,20,013,892,1
2014,20,015,1540,1
2014,20,017,NA,NA
2014,20,019,NA,NA
2014,20,021,4157,1
2014,20,023,1346,2
2014,20,025,1072,2
2014,20,027,832,1
2014,20,029,3128,2
2014,20,031,1054,1
2014,20,033,1954,3
2014,20,035,1998,1
2014,20,037,1310,1
2014,20,039,2908,3
2014,20,041,2424,1
2014,20,043,3937,2
2014,20,045,1132,1
2014,20,047,3030,3
2014,20,049,2694,3
2014,20,051,1527,1
2014,20,053,2131,2
2014,20,055,1859,1
2014,20,057,2175,1
2014,20,059,2134,1
2014,20,061,2824,1
2014,20,063,545,1
2014,20,065,2566,3
2014,20,067,1954,1
2014,20,069,6082,3
2014,20,071,1301,3
2014,20,073,2109,2
2014,20,075,2603,3
2014,20,077,1939,2
2014,20,079,1161,1
2014,20,081,2053,2
2014,20,083,1916,3
2014,20,085,1504,1
2014,20,087,2095,1
2014,20,089,NA,NA
2014,20,091,842,1
2014,20,093,979,2
2014,20,095,7698,3
2014,20,097,2513,3
2014,20,099,1497,1
2014,20,101,1687,3
2014,20,103,2318,1
2014,20,105,3167,3
2014,20,107,4751,2
2014,20,109,931,2
2014,20,111,1444,1
2014,20,113,1329,1
2014,20,115,3052,2
2014,20,117,2001,1
2014,20,119,4357,3
2014,20,121,2525,1
2014,20,123,1257,1
2014,20,125,2839,1
2014,20,127,1899,2
2014,20,129,1555,2
2014,20,131,1015,1
2014,20,133,1824,1
2014,20,135,1552,2
2014,20,137,1853,2
2014,20,139,15936,3
2014,20,141,1252,2
2014,20,143,2022,2
2014,20,145,864,1
2014,20,147,5533,3
2014,20,149,1761,1
2014,20,151,1231,1
2014,20,153,2584,3
2014,20,155,1679,1
2014,20,157,1201,2
2014,20,159,3338,2
2014,20,161,1635,1
2014,20,163,859,1
2014,20,165,3197,3
2014,20,167,6956,3
2014,20,169,1186,1
2014,20,171,1693,2
2014,20,173,1151,1
2014,20,175,2133,1
2014,20,177,1439,1
2014,20,179,NA,NA
2014,20,181,2037,2
2014,20,183,754,1
2014,20,185,2148,2
2014,20,187,1056,2
2014,20,189,5801,3
2014,20,191,2941,1
2014,20,193,1973,2
2014,20,195,726,2
2014,20,197,2341,2
2014,20,199,0,3
2014,20,201,1866,2
2014,20,203,1088,2
2014,20,205,1505,1
2014,20,207,NA,NA
2014,20,209,2343,1
2014,21,001,2743,1
2014,21,003,6795,2
2014,21,005,3127,1
2014,21,007,NA,NA
2014,21,009,1199,1
2014,21,011,12206,3
2014,21,013,2315,1
2014,21,015,1505,1
2014,21,017,1664,1
2014,21,019,957,1
2014,21,021,1100,1
2014,21,023,4203,2
2014,21,025,1676,1
2014,21,027,3315,1
2014,21,029,5997,1
2014,21,031,12875,3
2014,21,033,1818,1
2014,21,035,1823,1
2014,21,037,1701,1
2014,21,039,2489,2
2014,21,041,2704,2
2014,21,043,5445,1
2014,21,045,7946,2
2014,21,047,2184,1
2014,21,049,1987,1
2014,21,051,3524,1
2014,21,053,2541,1
2014,21,055,2306,2
2014,21,057,1686,1
2014,21,059,1638,1
2014,21,061,12013,3
2014,21,063,7672,3
2014,21,065,2889,1
2014,21,067,805,1
2014,21,069,2078,1
2014,21,071,1732,1
2014,21,073,2494,1
2014,21,075,895,1
2014,21,077,2863,2
2014,21,079,3372,1
2014,21,081,1913,1
2014,21,083,2351,1
2014,21,085,1455,1
2014,21,087,NA,NA
2014,21,089,1345,1
2014,21,091,NA,NA
2014,21,093,1547,1
2014,21,095,2012,1
2014,21,097,1859,1
2014,21,099,2325,1
2014,21,101,2020,1
2014,21,103,2595,1
2014,21,105,4734,3
2014,21,107,814,1
2014,21,109,6644,2
2014,21,111,1059,1
2014,21,113,1239,1
2014,21,115,1292,1
2014,21,117,1251,1
2014,21,119,2649,1
2014,21,121,3975,1
2014,21,123,14180,3
2014,21,125,2223,1
2014,21,127,2634,1
2014,21,129,3797,2
2014,21,131,5459,2
2014,21,133,1374,1
2014,21,135,3470,2
2014,21,137,2716,1
2014,21,139,2340,2
2014,21,141,2985,1
2014,21,143,2810,2
2014,21,145,1107,1
2014,21,147,3573,1
2014,21,149,4739,2
2014,21,151,1532,1
2014,21,153,2583,1
2014,21,155,2223,1
2014,21,157,2381,1
2014,21,159,3134,1
2014,21,161,1226,1
2014,21,163,4163,1
2014,21,165,3144,2
2014,21,167,3553,1
2014,21,169,9990,3
2014,21,171,1784,1
2014,21,173,2113,1
2014,21,175,3326,2
2014,21,177,2837,1
2014,21,179,1867,1
2014,21,181,2347,2
2014,21,183,3996,1
2014,21,185,1477,1
2014,21,187,2661,1
2014,21,189,NA,NA
2014,21,191,4831,2
2014,21,193,812,1
2014,21,195,1167,1
2014,21,197,6217,2
2014,21,199,1204,1
2014,21,201,NA,NA
2014,21,203,2404,1
2014,21,205,1028,1
2014,21,207,1975,1
2014,21,209,2051,1
2014,21,211,2137,1
2014,21,213,2228,1
2014,21,215,1767,1
2014,21,217,1579,1
2014,21,219,12520,3
2014,21,221,3536,2
2014,21,223,2929,2
2014,21,225,5055,2
2014,21,227,1434,1
2014,21,229,2990,2
2014,21,231,1463,1
2014,21,233,6618,2
2014,21,235,1109,1
2014,21,237,7214,3
2014,21,239,1420,1
2014,22,001,2717,1
2014,22,003,3214,1
2014,22,005,2660,1
2014,22,007,5758,1
2014,22,009,3165,1
2014,22,011,2129,1
2014,22,013,6942,2
2014,22,015,2316,1
2014,22,017,871,1
2014,22,019,1483,1
2014,22,021,2474,2
2014,22,023,NA,NA
2014,22,025,10151,3
2014,22,027,2735,1
2014,22,029,2924,1
2014,22,031,5428,1
2014,22,033,1110,1
2014,22,035,2496,2
2014,22,037,3302,1
2014,22,039,1774,1
2014,22,041,2920,1
2014,22,043,11192,2
2014,22,045,1848,1
2014,22,047,4761,1
2014,22,049,5331,2
2014,22,051,1135,1
2014,22,053,2248,1
2014,22,055,990,1
2014,22,057,2334,1
2014,22,059,2120,1
2014,22,061,1488,1
2014,22,063,4681,1
2014,22,065,1974,1
2014,22,067,2676,1
2014,22,069,1703,1
2014,22,071,1175,1
2014,22,073,1261,1
2014,22,075,5862,2
2014,22,077,2801,1
2014,22,079,1183,1
2014,22,081,4334,2
2014,22,083,1481,1
2014,22,085,4840,1
2014,22,087,4441,1
2014,22,089,3297,1
2014,22,091,3540,2
2014,22,093,2705,1
2014,22,095,3977,1
2014,22,097,1395,1
