state_name,place_name,quality_good,quality_marginal,quality_poor,missing_values,total_metrics,shr_good,shr_poor,shr_missing,good_score,marginal_score,poor_score,missing_score,total_score
California,Fresno city,20,5,0,2,27,0.7407407407407407,0,0.07407407407407407,40,5,-0,-4,41
California,Fullerton city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,Garden Grove city,21,1,2,3,27,0.7777777777777778,0.07407407407407407,0.1111111111111111,42,1,-2,-6,35
California,Glendale city,23,0,1,3,27,0.8518518518518519,0.037037037037037035,0.1111111111111111,46,0,-1,-6,39
California,Hawthorne city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,Hayward city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
California,Hemet city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Hesperia city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Huntington Beach city,21,1,2,3,27,0.7777777777777778,0.07407407407407407,0.1111111111111111,42,1,-2,-6,35
California,Indio city,9,8,5,5,27,0.3333333333333333,0.18518518518518517,0.18518518518518517,18,8,-5,-10,11
California,Inglewood city,22,2,1,3,28,0.7857142857142857,0.03571428571428571,0.10714285714285714,44,2,-1,-6,39
California,Irvine city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Jurupa Valley city,12,10,1,5,28,0.42857142857142855,0.03571428571428571,0.17857142857142858,24,10,-1,-10,23
California,Lake Forest city,10,2,10,5,27,0.37037037037037035,0.37037037037037035,0.18518518518518517,20,2,-10,-10,2
California,Lakewood city,12,10,1,5,28,0.42857142857142855,0.03571428571428571,0.17857142857142858,24,10,-1,-10,23
California,Lancaster city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
California,Livermore city,12,7,5,3,27,0.4444444444444444,0.18518518518518517,0.1111111111111111,24,7,-5,-6,20
California,Long Beach city,23,1,1,2,27,0.8518518518518519,0.037037037037037035,0.07407407407407407,46,1,-1,-4,42
California,Los Angeles city,24,1,0,2,27,0.8888888888888888,0,0.07407407407407407,48,1,-0,-4,45
California,Manteca city,13,1,10,3,27,0.48148148148148145,0.37037037037037035,0.1111111111111111,26,1,-10,-6,11
California,Menifee city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Merced city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Milpitas city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Mission Viejo city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,Modesto city,20,3,2,2,27,0.7407407407407407,0.07407407407407407,0.07407407407407407,40,3,-2,-4,37
California,Moreno Valley city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
California,Mountain View city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Murrieta city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,Napa city,12,7,5,3,27,0.4444444444444444,0.18518518518518517,0.1111111111111111,24,7,-5,-6,20
California,Newport Beach city,11,2,10,4,27,0.4074074074074074,0.37037037037037035,0.14814814814814814,22,2,-10,-8,6
California,Norwalk city,20,1,3,3,27,0.7407407407407407,0.1111111111111111,0.1111111111111111,40,1,-3,-6,32
California,Oakland city,18,6,1,2,27,0.6666666666666666,0.037037037037037035,0.07407407407407407,36,6,-1,-4,37
California,Oceanside city,15,6,5,1,27,0.5555555555555556,0.18518518518518517,0.037037037037037035,30,6,-5,-2,29
California,Ontario city,23,0,1,3,27,0.8518518518518519,0.037037037037037035,0.1111111111111111,46,0,-1,-6,39
California,Orange city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Oxnard city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,Palmdale city,18,5,1,3,27,0.6666666666666666,0.037037037037037035,0.1111111111111111,36,5,-1,-6,34
California,Pasadena city,22,1,1,3,27,0.8148148148148148,0.037037037037037035,0.1111111111111111,44,1,-1,-6,38
California,Perris city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Pittsburg city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Pleasanton city,12,2,10,3,27,0.4444444444444444,0.37037037037037035,0.1111111111111111,24,2,-10,-6,10
California,Pomona city,22,1,1,3,27,0.8148148148148148,0.037037037037037035,0.1111111111111111,44,1,-1,-6,38
California,Rancho Cordova city,13,10,2,3,28,0.4642857142857143,0.07142857142857142,0.10714285714285714,26,10,-2,-6,28
California,Rancho Cucamonga city,19,4,1,3,27,0.7037037037037037,0.037037037037037035,0.1111111111111111,38,4,-1,-6,35
California,Redding city,13,6,5,3,27,0.48148148148148145,0.18518518518518517,0.1111111111111111,26,6,-5,-6,21
California,Redwood City city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Rialto city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,Richmond city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,Riverside city,19,5,1,2,27,0.7037037037037037,0.037037037037037035,0.07407407407407407,38,5,-1,-4,38
California,Roseville city,18,2,5,3,28,0.6428571428571429,0.17857142857142858,0.10714285714285714,36,2,-5,-6,27
California,Sacramento city,20,6,0,2,28,0.7142857142857143,0,0.07142857142857142,40,6,-0,-4,42
California,Salinas city,18,1,5,3,27,0.6666666666666666,0.18518518518518517,0.1111111111111111,36,1,-5,-6,26
California,San Bernardino city,14,10,0,3,27,0.5185185185185185,0,0.1111111111111111,28,10,-0,-6,32
California,San Buenaventura (Ventura) city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,San Diego city,24,3,0,0,27,0.8888888888888888,0,0,48,3,-0,-0,51
California,San Francisco city,25,0,0,2,27,0.9259259259259259,0,0.07407407407407407,50,0,-0,-4,46
California,San Jose city,20,5,0,2,27,0.7407407407407407,0,0.07407407407407407,40,5,-0,-4,41
California,San Leandro city,13,10,1,3,27,0.48148148148148145,0.037037037037037035,0.1111111111111111,26,10,-1,-6,29
California,San Marcos city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,San Mateo city,13,6,4,4,27,0.48148148148148145,0.14814814814814814,0.14814814814814814,26,6,-4,-8,20
California,San Ramon city,10,7,5,5,27,0.37037037037037035,0.18518518518518517,0.18518518518518517,20,7,-5,-10,12
California,Santa Ana city,22,1,2,2,27,0.8148148148148148,0.07407407407407407,0.07407407407407407,44,1,-2,-4,39
California,Santa Barbara city,14,6,4,3,27,0.5185185185185185,0.14814814814814814,0.1111111111111111,28,6,-4,-6,24
California,Santa Clara city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Santa Clarita city,18,4,2,3,27,0.6666666666666666,0.07407407407407407,0.1111111111111111,36,4,-2,-6,32
California,Santa Maria city,13,9,2,3,27,0.48148148148148145,0.07407407407407407,0.1111111111111111,26,9,-2,-6,27
California,Santa Monica city,18,1,5,3,27,0.6666666666666666,0.18518518518518517,0.1111111111111111,36,1,-5,-6,26
