year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,05,24550,race-ethnicity,"Black, Non-Hispanic",41,40,42,.1806167364,1,1
2021,05,24550,race-ethnicity,Hispanic,44,43,45,.1938326061,1,1
2021,05,24550,race-ethnicity,Other Races and Ethnicities,38,37,39,.1674008816,2,2
2021,05,24550,race-ethnicity,"White, Non-Hispanic",100,100,100,.4405286312,1,1
2021,05,35710,all,All,308,308,308,.0204978045,1,1
2021,05,35710,race-ethnicity,"Black, Non-Hispanic",147,147,147,.4772727191,1,1
2021,05,35710,race-ethnicity,Hispanic,18,17,19,.058441557,3,3
2021,05,35710,race-ethnicity,Other Races and Ethnicities,21,20,22,.0681818202,2,2
2021,05,35710,race-ethnicity,"White, Non-Hispanic",113,112,114,.3668831289,1,1
2021,05,41000,all,All,381,380,382,.0082555087,1,1
2021,05,41000,race-ethnicity,"Black, Non-Hispanic",237,233,241,.6220472455,1,1
2021,05,41000,race-ethnicity,Hispanic,58,56,60,.152230978,2,2
2021,05,41000,race-ethnicity,Other Races and Ethnicities,19,11,27,.0498687662,3,3
2021,05,41000,race-ethnicity,"White, Non-Hispanic",60,57,63,.1574803144,3,3
2021,05,66080,all,All,587,587,587,.0257016513,1,1
2021,05,66080,race-ethnicity,"Black, Non-Hispanic",17,17,17,.0289608184,1,1
2021,05,66080,race-ethnicity,Hispanic,173,173,173,.2947189212,1,1
2021,05,66080,race-ethnicity,Other Races and Ethnicities,273,272,274,.4650766551,1,1
2021,05,66080,race-ethnicity,"White, Non-Hispanic",124,123,125,.2112436146,1,1
2021,06,00562,all,All,83,82,84,.0083274804,1,1
2021,06,00562,race-ethnicity,"Black, Non-Hispanic",21,20,22,.2530120611,2,2
2021,06,00562,race-ethnicity,Hispanic,27,26,28,.3253012002,2,2
2021,06,00562,race-ethnicity,Other Races and Ethnicities,28,26,30,.337349385,3,3
