year,state,county,homeless_count,homeless_count_lb,homeless_count_ub,homeless_share,homeless_quality,black_count,black_count_lb,black_count_ub,black_share,black_quality,hispanic_count,hispanic_count_lb,hispanic_count_ub,hispanic_share,hispanic_quality,other_count,other_count_lb,other_count_ub,other_share,other_quality,white_count,white_count_lb,white_count_ub,white_share,white_quality
2019,04,019,2992,2987,2997,.023386328,1,173,165,181,.0160037,2,1717,1707,1727,.011800687,1,522,101,133,.023918621,3,496,485,507,.0063800779,1
2019,04,021,636,632,640,.013805379,1,55,48,62,.010084342,3,207,202,212,.0049590343,1,92,48,76,.0083682006,3,170,163,177,.0050076586,2
2019,04,023,453,451,455,.046215057,1,0,0,0,0,3,412,411,413,.02252597,1,0,0,0,0,3,41,40,42,.034863945,1
2019,04,025,877,874,880,.04213915,1,14,9,19,.048951048,3,288,283,293,.022770399,1,67,23,45,.023361227,3,481,476,486,.018627526,1
2019,04,027,298,297,299,.0089205531,1,21,21,21,.027925532,1,225,224,226,.004123447,1,14,10,14,.008225617,3,32,32,32,.0032679739,1
2019,05,001,91,90,92,.032212388,1,55,54,56,.031428572,1,8,8,8,.023529412,1,2,0,2,.0076335878,3,21,21,21,.0063674953,1
2019,05,003,63,63,63,.017422566,1,15,15,15,.0079281181,1,9,9,9,.012534819,1,1,0,2,.0062500001,3,31,30,32,.006947557,2
2019,05,005,185,185,185,.035467792,1,1,0,2,.03846154,3,10,10,10,.024752475,1,2,0,4,.0047619049,3,140,139,141,.014610728,1
2019,05,007,1071,1071,1071,.022104807,1,43,38,48,.018518519,3,235,234,236,.0096668042,1,145,90,98,.013576779,2,638,637,639,.010706495,1
2019,05,009,370,370,370,.060675632,1,4,3,5,.071428575,3,15,12,18,.037313432,3,7,0,6,.019886363,3,334,334,334,.029334269,1
2019,05,011,22,22,22,.010826772,1,5,5,5,.0041322312,1,2,0,4,.0019455253,3,1,0,2,.010869565,3,7,6,8,.004036909,3
2019,05,013,77,77,77,.13774598,1,22,22,22,.09565217,1,4,4,4,.055555556,1,0,0,0,0,3,51,51,51,.06280788,1
2019,05,015,376,376,376,.094330154,1,3,3,3,.075000003,1,119,118,120,.05033841,1,61,0,6,.091044776,3,185,185,185,.037770517,1
2019,05,017,9,9,9,.0089820363,1,5,5,5,.0033875338,1,0,0,0,0,3,0,0,0,0,3,4,4,4,.018018018,1
2019,05,019,13,13,13,.0071625346,1,6,6,6,.004398827,1,1,0,2,.0038167939,3,1,0,2,.0047619049,3,4,4,4,.0022296545,1
2019,05,021,42,42,42,.017456358,1,0,0,0,0,3,1,0,2,.0086206896,3,0,0,0,0,3,9,8,10,.0019488956,3
2019,05,023,183,183,183,.057187501,1,2,0,4,.07692308,3,5,4,6,.023584906,3,2,0,4,.015873017,3,171,171,171,.028330021,1
2019,05,025,26,25,27,.018637992,2,12,12,12,.023622047,1,1,0,2,.010416667,3,1,0,2,.0125,3,9,8,10,.0042735045,3
2019,05,027,29,29,29,.0075876503,1,11,11,11,.0033192516,1,4,3,5,.013071896,3,5,5,5,.014705882,1,5,4,6,.0013572205,3
2019,05,029,243,243,243,.07253731,1,35,35,35,.042997543,1,21,20,22,.054404143,2,18,0,4,.044776119,3,169,169,169,.033150256,1
2019,05,031,442,442,442,.021859545,1,136,134,138,.013296832,1,31,28,34,.0083965333,3,12,11,13,.0070093456,3,184,182,186,.0074169622,1
2019,05,033,270,270,270,.024727538,1,3,0,6,.0068181818,3,18,17,19,.0073051946,3,12,0,10,.0059582922,3,216,215,217,.012765957,1
2019,05,035,153,153,153,.015509376,1,102,102,102,.0075287865,1,10,9,11,.014285714,3,6,6,6,.013274336,1,28,27,29,.0055666002,2
2019,05,037,134,134,134,.041180085,1,6,5,7,.0035714286,3,5,5,5,.028735632,1,1,0,2,.0075757578,3,110,110,110,.02432552,1
2019,05,039,5,5,5,.0064267353,1,5,5,5,.0055803573,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2019,05,041,24,23,25,.0099916738,2,20,20,20,.0074794316,1,0,0,0,0,3,1,0,2,.0079365084,3,2,0,4,.00125,3
2019,05,043,31,31,31,.01038526,1,19,18,20,.0095285857,3,2,0,4,.0064935065,3,0,0,0,0,3,10,9,11,.0028425241,3
2019,05,045,640,640,640,.033420365,1,90,88,92,.013464991,1,48,46,50,.016064256,2,12,6,14,.0071258908,3,471,471,471,.017480701,1
2019,05,047,99,99,99,.031005325,1,1,0,2,.041666668,3,1,0,2,.0053763441,3,3,0,4,.010067114,3,45,43,47,.0076556653,2
2019,05,049,63,63,63,.036670547,1,2,0,4,.2,3,1,0,2,.017241379,3,0,0,0,0,3,58,57,59,.017726161,1
2019,05,051,443,443,443,.028908901,1,59,58,60,.015691489,1,87,86,88,.02257395,1,27,8,18,.011240633,3,248,247,249,.012020163,1
2019,05,053,42,42,42,.0086938525,1,1,0,2,.005154639,3,0,0,0,0,3,1,0,2,.0029585799,3,39,39,39,.0045296168,1
2019,05,055,318,318,318,.040324625,1,15,15,15,.024271844,1,24,24,24,.036036037,1,21,7,9,.035353534,3,253,253,253,.018209299,1
2019,05,057,208,207,209,.059074126,1,157,157,157,.068201564,1,14,14,14,.0077348067,1,5,4,6,.02016129,3,22,20,24,.0082028341,3
2019,05,059,159,159,159,.0294936,1,7,6,8,.0059829061,3,13,12,14,.01867816,3,6,4,8,.010638298,3,130,130,130,.015565134,1
2019,05,061,63,62,64,.021890201,1,16,15,17,.011396011,3,4,4,4,.0036764706,1,5,3,5,.042372882,3,38,38,38,.01207883,1
2019,05,063,333,333,333,.048260871,1,19,16,22,.034296028,3,53,51,55,.026237624,2,3,0,4,.0085714282,3,247,247,247,.022710556,1
2019,05,065,43,43,43,.023143165,1,1,0,2,.041666668,3,0,0,0,0,3,2,0,4,.039999999,3,25,24,26,.0070303711,2
2019,05,067,107,107,107,.048747152,1,46,46,46,.047034767,1,1,0,2,.0044247787,3,1,0,2,.0056818184,3,51,51,51,.016943522,1
2019,05,069,190,189,191,.019222986,1,153,152,154,.010905203,1,5,5,5,.013812155,1,1,0,2,.0017301039,3,6,3,9,.001250521,3
2019,05,071,166,166,166,.036307961,1,5,4,6,.037878789,3,25,25,25,.012065637,1,9,6,8,.012064343,3,126,126,126,.020342266,1
2019,05,073,13,13,13,.023853211,1,8,8,8,.012084592,1,0,0,0,0,3,1,0,2,.027777778,3,1,0,2,.0028089888,3
2019,05,075,156,156,156,.049888071,1,1,0,2,.02631579,3,2,0,4,.011363637,3,3,0,6,.016483517,3,56,54,58,.0095595764,2
2019,05,077,1,0,2,.0015527951,3,1,0,2,.00088652479,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
2019,05,079,32,32,32,.021206098,1,8,8,8,.014492754,1,3,3,3,.011111111,1,4,4,4,.03508772,1,17,17,17,.0081652254,1
2019,05,081,29,29,29,.020625889,1,17,17,17,.023351649,1,1,0,2,.0078125,3,1,0,2,.004901961,3,6,6,6,.0034246575,1
2019,05,083,223,223,223,.065898344,1,13,12,14,.14444445,3,5,4,6,.02016129,3,21,4,8,.0546875,3,174,173,175,.028779358,1
2019,05,085,219,219,219,.015706806,1,24,23,25,.012371134,2,9,7,11,.0048859934,3,4,0,6,.0021141649,3,169,168,170,.0076084998,1
2019,05,087,53,53,53,.023003472,1,0,0,0,0,3,6,6,6,.012711864,1,2,0,2,.0057471264,3,41,41,41,.010869565,1
2019,05,089,131,131,131,.070658036,1,1,0,2,.0625,3,1,0,2,.013157895,3,2,0,4,.015873017,3,71,70,72,.02034384,1
2019,05,091,94,94,94,.014671453,1,42,41,43,.0094808126,1,11,10,12,.022,3,10,9,11,.020242915,3,19,18,20,.0025710419,3
2019,05,093,335,334,336,.048236143,1,192,191,193,.031506401,1,7,5,9,.0098870052,3,3,0,6,.0079787234,3,130,129,131,.019368296,1
2019,05,095,47,47,47,.049735449,1,27,26,28,.023978686,2,1,0,2,.012820513,3,0,0,0,0,3,2,0,4,.0033783785,3
2019,05,097,57,57,57,.055179089,1,0,0,0,,3,6,5,7,.02631579,3,2,0,2,.027777778,3,45,44,46,.025481313,1
2019,05,099,125,125,125,.095419846,1,46,46,46,.046653144,1,2,0,4,.013888889,3,14,0,4,.12962963,3,61,61,61,.044138931,1
2019,05,101,173,173,173,.19416386,1,1,0,2,.083333336,3,8,8,8,.40000001,1,2,0,2,.05882353,3,162,162,162,.094405591,1
2019,05,103,54,54,54,.014000518,1,36,36,36,.0096514747,1,1,0,2,.0036231885,3,1,0,2,.0028248588,3,15,15,15,.004472272,1
2019,05,105,6,5,7,.0038143673,3,0,0,0,0,3,1,0,2,.0052083335,3,0,0,0,0,3,2,0,4,.0007147963,3
2019,05,107,14,11,17,.0038230475,3,3,0,6,.00051369861,3,1,0,2,.0081967209,3,0,0,0,0,3,1,0,2,.00080775446,3
2019,05,109,101,101,101,.046933085,1,10,10,10,.1,1,8,7,9,.014184397,3,1,0,2,.0074626864,3,81,81,81,.023103252,1
2019,05,111,267,267,267,.068199232,1,30,29,31,.032327585,2,15,13,17,.031779662,3,10,9,11,.042372882,3,203,203,203,.032773651,1
2019,05,113,69,69,69,.019753793,1,0,0,0,0,3,4,3,5,.005181347,3,0,0,0,0,3,27,26,28,.004666436,2
2019,05,115,402,402,402,.039644971,1,20,20,20,.025188917,1,48,46,50,.015296367,2,18,0,6,.018108651,3,306,306,306,.01992966,1
2019,05,117,50,50,50,.042589437,1,1,0,2,.002688172,3,0,0,0,0,3,2,0,4,.071428575,3,33,32,34,.017277487,2
2019,05,119,1039,1036,1042,.017360937,1,750,746,754,.011954477,1,101,97,105,.0065892483,2,33,17,21,.0053693461,3,138,134,142,.003889296,2
2019,05,121,94,94,94,.035232384,1,0,0,0,0,3,1,0,2,.0057471264,3,50,0,2,.083333336,3,43,43,43,.0095090671,1
2019,05,123,20,20,20,.0060186577,1,13,13,13,.002764781,1,0,0,0,0,3,0,0,0,0,3,7,7,7,.0040229885,1
2019,05,125,139,139,139,.0077179344,1,4,3,5,.0008988764,3,26,26,26,.0065228301,1,5,3,7,.0034435261,3,85,84,86,.003252717,1
2019,05,127,60,60,60,.025751073,1,1,0,2,.035714287,3,2,0,4,.0035971224,3,13,0,4,.029545454,3,38,38,38,.010451045,1
2019,05,129,66,66,66,.045112781,1,0,0,0,0,3,1,0,2,.011363637,3,7,3,5,.094594598,3,56,56,56,.020275163,1
2019,05,131,386,386,386,.018874383,1,30,29,31,.00867052,2,61,61,61,.0058195,1,16,9,15,.0029006526,3,255,254,256,.011891439,1
2019,05,133,69,69,69,.028967254,1,1,0,2,.0086206896,3,34,34,34,.011946592,1,20,0,2,.049751244,3,11,11,11,.0078571429,1
2019,05,135,106,106,106,.037258349,1,0,0,0,0,3,2,0,4,.010309278,3,0,0,0,0,3,2,0,4,.0003748126,3
2019,05,137,9,9,9,.0054777847,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,9,9,9,.0028644176,1
2019,05,139,205,205,205,.028844802,1,110,108,112,.020583833,1,2,0,4,.0019880715,3,17,17,17,.032818533,1,67,65,69,.0091206096,2
2019,05,141,295,294,296,.13216846,1,1,0,2,.025,3,60,59,61,.26548672,1,2,0,4,.016393442,3,226,225,227,.055446517,1
2019,05,143,957,957,957,.022305613,1,87,86,88,.02472996,1,203,200,206,.0076667424,1,276,13,23,.023962494,3,382,382,382,.0086241933,1
2019,05,145,341,341,341,.028504556,1,15,11,19,.010504202,3,21,18,24,.01104101,3,5,0,10,.0038880249,3,284,284,284,.014707405,1
2019,05,147,72,72,72,.073619634,1,42,41,43,.077490777,1,1,0,2,.03846154,3,2,0,4,.050000001,3,5,4,6,.0037091989,3
2019,05,149,134,134,134,.031897169,1,1,0,2,.0081967209,3,51,48,54,.018599562,3,2,0,4,.0070422534,3,62,60,64,.011800533,2
2019,06,001,3828,3818,3838,.017604534,1,799,779,819,.020847466,2,2280,2264,2296,.015772434,1,453,196,254,.0025839941,3,173,165,181,.0022548356,2
2019,06,003,24,24,24,.34285715,1,0,0,0,,3,3,3,3,.75,1,15,15,15,.17857143,1,6,6,6,.11538462,1
2019,06,005,165,165,165,.039606337,1,6,6,6,.15000001,1,34,33,35,.018378379,2,30,0,4,.032751091,3,92,92,92,.016642546,1
2019,06,007,1836,1835,1837,.062233068,1,61,55,67,.052226026,3,363,357,369,.02455025,1,278,108,148,.028665705,3,1036,1029,1043,.031047711,1
2019,06,009,205,204,206,.038570084,1,0,0,0,0,3,54,52,56,.023936171,2,6,0,8,.006289308,3,118,117,119,.016071916,1
2019,06,011,327,327,327,.067118227,1,3,0,6,.045454547,3,259,257,261,.033794362,1,10,0,8,.028409092,3,24,21,27,.014440433,3
2019,06,013,2796,2795,2797,.01657488,1,740,731,749,.024922539,1,1359,1351,1367,.010837148,1,345,185,207,.0039101462,3,296,292,300,.0031469276,1
2019,06,015,276,276,276,.063785531,1,1,0,2,.02,3,49,48,50,.026036132,1,86,86,86,.037818823,1,137,137,137,.030758869,1
2019,06,017,802,800,804,.025111154,1,7,3,11,.0083135394,3,270,267,273,.020140236,1,60,22,42,.0075169131,3,437,434,440,.010492701,1
