year,state,place,election_turnout,election_turnout_quality
2020,19,21000,0.6551445960153698,1
2020,19,73335,0.5896633280742999,1
2020,20,36000,0.5578079381857806,1
2020,20,38900,0.6034231384020863,1
2020,20,52575,0.7910937327329866,1
2020,20,53775,0.8068987072716629,1
2020,20,71000,0.586022232270576,1
2020,20,79000,0.5896853743921329,1
2020,21,46027,0.6484197450916408,3
2020,21,48006,0.4240067027224604,3
2020,22,05000,0.5914051024120476,1
2020,22,40735,0.5485985443777495,2
2020,22,41155,0.3907366624378897,1
2020,22,55000,0.5868472397510098,1
2020,22,70000,0.4863995954556839,2
2020,24,04000,0.5235758307000334,1
2020,24,30325,0.6684457884176902,3
2020,25,07000,0.5988727098797175,1
2020,25,09000,0.645505185621092,1
2020,25,11000,0.6615562857847012,1
2020,25,23000,0.4922444754749958,1
2020,25,34550,0.5179895754958624,1
2020,25,37000,0.5144692584785605,1
2020,25,37490,0.6366716256493561,1
2020,25,45000,0.5279396571857056,1
2020,25,45560,0.786675408967896,1
2020,25,55745,0.6715740992849276,1
2020,25,62535,0.6914417103270345,1
2020,25,67000,0.4931948113079125,1
2020,25,82000,0.5332685350116557,1
2020,26,03000,0.7299949268728735,1
2020,26,21000,0.753333185579164,1
2020,26,22000,0.5300142018413149,1
2020,26,27440,0.847474132840227,1
2020,26,29000,0.4756889837297598,1
2020,26,34000,0.6900240251533062,1
2020,26,46000,0.6312291317935057,1
2020,26,49000,0.8490283949229824,1
2020,26,69035,0.8870910550707102,1
2020,26,74900,0.8127650462632109,1
2020,26,76460,0.720004130655793,1
2020,26,80700,0.8752479267811918,1
2020,26,84000,0.6907962485285032,1
2020,26,86000,0.7299005107981038,1
2020,26,88940,0.6802478159842787,1
2020,27,06616,0.8727001938467257,1
2020,27,07966,0.8051625286180648,1
2020,27,17000,0.7253395223517197,1
2020,27,43000,0.7581427161635875,1
2020,27,51730,0.8938747809411004,1
2020,27,54880,0.7972715395379693,1
2020,27,58000,0.7287310569200474,1
2020,27,71428,0.9411233487621133,1
2020,28,36000,0.521151346590225,1
2020,29,15670,0.6017715874766787,1
2020,29,35000,0.554796005202982,1
2020,29,38000,0.6309975246419465,1
2020,29,41348,0.7465306462298011,1
2020,29,54074,0.6013098036695829,3
2020,29,65000,0.566816559822247,1
2020,29,70000,0.534444097081386,1
2020,30,06550,0.5599041468832934,3
2020,31,28000,0.6475821383594527,1
2020,31,37000,0.6680399512871825,1
2020,32,31900,0.7582794487117036,1
2020,32,40000,0.6508859327208639,1
