"year","state","place","subgroup_type","subgroup","share_digital_access","share_digital_access_quality"
2018,"06","36546","all","All",0.614940352289823,1
2018,"06","36770","all","All",0.837956459549503,2
2018,"06","37692","all","All",0.741444721543187,2
2018,"06","39496","all","All",0.84003305209152,3
2018,"06","39892","all","All",0.769623700789213,2
2018,"06","40130","all","All",0.632288131763346,1
2018,"06","41992","all","All",0.873890970031546,2
2018,"06","43000","all","All",0.701841364251714,2
2018,"06","44000","all","All",0.678396159067499,1
2018,"06","45484","all","All",0.736880063194601,3
2018,"06","46842","all","All",0.758084998267914,2
2018,"06","46898","all","All",0.592615216544927,2
2018,"06","47766","all","All",0.863736444493645,2
2018,"06","48256","all","All",0.86174171111652,1
2018,"06","48354","all","All",0.669723085336663,1
2018,"06","49270","all","All",0.72589867118346,1
2018,"06","49670","all","All",0.846668687174824,2
2018,"06","50076","all","All",0.829470527641846,2
2018,"06","50258","all","All",0.733969652471855,2
2018,"06","51182","all","All",0.827329051635491,3
2018,"06","52526","all","All",0.649072528579977,1
2018,"06","53000","all","All",0.700485835195508,3
2018,"06","53322","all","All",0.818734618652517,2
2018,"06","53896","all","All",0.678436004062818,1
2018,"06","53980","all","All",0.796320913721586,2
2018,"06","54652","all","All",0.725208889024495,1
2018,"06","55156","all","All",0.720172873113692,1
2018,"06","56000","all","All",0.736980209683766,3
2018,"06","56700","all","All",0.704634074152608,2
2018,"06","57456","all","All",0.747718759004899,2
2018,"06","57792","all","All",0.873890970031546,3
2018,"06","58072","all","All",0.641951533266974,1
2018,"06","59444","all","All",0.740607935503527,2
2018,"06","59451","all","All",0.79694706663921,1
2018,"06","59920","all","All",0.611033856457701,2
2018,"06","60102","all","All",0.819922851808916,2
2018,"06","60466","all","All",0.63448799700889,2
2018,"06","60620","all","All",0.666559017921785,2
2018,"06","62000","all","All",0.69567042921913,2
2018,"06","62938","all","All",0.811554726729643,1
2018,"06","64000","all","All",0.6985975865143,2
2018,"06","64224","all","All",0.53675009035056,1
2018,"06","65000","all","All",0.555113194369895,3
2018,"06","65042","all","All",0.756280574849423,1
2018,"06","66000","all","All",0.791460426973833,1
2018,"06","67000","all","All",0.768538263710294,2
2018,"06","68000","all","All",0.802699427811398,1
2018,"06","68084","all","All",0.762873499637092,2
2018,"06","68196","all","All",0.766062760762382,2
2018,"06","68252","all","All",0.841186433123719,2
2018,"06","68378","all","All",0.891586661617624,2
2018,"06","69000","all","All",0.651916659822374,2
2018,"06","69070","all","All",0.799010247169253,2
2018,"06","69084","all","All",0.868508279288462,1
2018,"06","69088","all","All",0.822621944304974,1
2018,"06","69196","all","All",0.65873223457721,2
2018,"06","70000","all","All",0.815080336500165,3
2018,"06","70098","all","All",0.720385037112419,1
2018,"06","72016","all","All",0.801017991846248,1
2018,"06","73080","all","All",0.566692610789512,2
2018,"06","75000","all","All",0.596560309902037,3
2018,"06","77000","all","All",0.855663159300605,3
2018,"06","78120","all","All",0.848295778643652,1
2018,"06","78582","all","All",0.841741632567659,1
2018,"06","80000","all","All",0.819602987152482,2
2018,"06","80238","all","All",0.737331553126746,2
2018,"06","80854","all","All",0.8391782284101,3
2018,"06","81344","all","All",0.68381878628492,2
2018,"06","81554","all","All",0.735711404347623,2
2018,"06","81666","all","All",0.710163067818231,1
2018,"06","82590","all","All",0.690986780525213,2
2018,"06","82954","all","All",0.645747532195855,1
2018,"06","82996","all","All",0.821139388997202,2
2018,"06","84200","all","All",0.746970053233391,2
2018,"06","84550","all","All",0.737784872143534,2
2018,"06","85292","all","All",0.70606211577934,2
2018,"08","03455","income","$50,000 or More",0.839949898187614,1
2018,"08","03455","income","Less than $50,000",0.53940340441427,1
2018,"08","04000","income","$50,000 or More",0.786747065349641,3
2018,"08","04000","income","Less than $50,000",0.541041824911199,3
2018,"08","07850","income","$50,000 or More",0.888787865362353,2
2018,"08","07850","income","Less than $50,000",0.732507887182503,2
2018,"08","12815","income","$50,000 or More",0.89112405938534,2
2018,"08","12815","income","Less than $50,000",0.693265383181064,2
2018,"08","16000","income","$50,000 or More",0.854669131831174,3
2018,"08","16000","income","Less than $50,000",0.590652032500322,3
2018,"08","20000","income","$50,000 or More",0.836649140565704,1
2018,"08","20000","income","Less than $50,000",0.532958358303994,1
2018,"08","27425","income","$50,000 or More",0.834181240606973,2
2018,"08","27425","income","Less than $50,000",0.683637416157945,2
2018,"08","32155","income","$50,000 or More",0.746637525218561,2
2018,"08","32155","income","Less than $50,000",0.510051880674449,2
2018,"08","43000","income","$50,000 or More",0.858554701096481,3
2018,"08","43000","income","Less than $50,000",0.627290241668857,3
2018,"08","45970","income","$50,000 or More",0.838112938430618,2
2018,"08","45970","income","Less than $50,000",0.60218519530183,2
2018,"08","46465","income","$50,000 or More",0.785522788203753,2
2018,"08","46465","income","Less than $50,000",0.61463566212647,2
2018,"08","62000","income","$50,000 or More",0.731923952139764,3
2018,"08","62000","income","Less than $50,000",0.453162291169451,3
2018,"08","77290","income","$50,000 or More",0.839100917420129,2
2018,"08","77290","income","Less than $50,000",0.548340671504045,2
2018,"08","83835","income","$50,000 or More",0.854802966304474,2
2018,"08","83835","income","Less than $50,000",0.577515667241017,2
2018,"08","03455","all","All",0.751001477266262,1
2018,"08","04000","all","All",0.691664070074646,3
2018,"08","07850","all","All",0.830392910591162,2
2018,"08","12815","all","All",0.851055306172729,2
2018,"08","16000","all","All",0.749509620645051,3
2018,"08","20000","all","All",0.717515902734259,1
2018,"08","27425","all","All",0.775663623820016,2
2018,"08","32155","all","All",0.652005994927369,2
2018,"08","43000","all","All",0.776890335477378,3
2018,"08","45970","all","All",0.771237882870327,2
2018,"08","46465","all","All",0.723559678509727,2
2018,"08","62000","all","All",0.578152256195899,3
2018,"08","77290","all","All",0.737418731858445,2
2018,"08","83835","all","All",0.765984680850643,2
2018,"09","08000","income","$50,000 or More",0.796200121180646,1
2018,"09","08000","income","Less than $50,000",0.466819722313327,1
2018,"09","18430","income","$50,000 or More",0.88576854334227,2
