METRIC_ID,METRIC,GEOGRAPHY,YEARS,SUBGROUP_TYPE,SUBGROUP,SUBGROUP_YEARS,CI_LOWER,CI_UPPER,HAS_CI,QUALITY,RANGE,OVERALL_DIFFERENT,FINAL_DATA_PATH
11,share_affordable_available_80_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_80_ami_lb,share_affordable_available_80_ami_ub,No,share_affordable_available_80_ami_quality,0-5,No,
11,share_affordable_available_80_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_80_ami_lb,share_affordable_available_80_ami_ub,No,share_affordable_available_80_ami_quality,0-5,No,
11,share_affordable_available_50_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_50_ami_lb,share_affordable_available_50_ami_ub,No,share_affordable_available_50_ami_quality,0-5,No,
11,share_affordable_available_50_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_50_ami_lb,share_affordable_available_50_ami_ub,No,share_affordable_available_50_ami_quality,0-5,No,
11,share_affordable_available_30_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_30_ami_lb,share_affordable_available_30_ami_ub,No,share_affordable_available_30_ami_quality,0-5,No,
11,share_affordable_available_30_ami,county,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_30_ami_lb,share_affordable_available_30_ami_ub,No,share_affordable_available_30_ami_quality,0-5,No,
12,count_homeless,county,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2022; 2021; 2020; 2019,count_homeless_lb,count_homeless_ub,Yes,count_homeless_quality,,No,
12,count_homeless,county,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2022; 2021; 2020; 2019,count_homeless_lb,count_homeless_ub,Yes,count_homeless_quality,,No,
12,share_homeless,county,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2022; 2021; 2020; 2019,share_homeless_lb,share_homeless_ub,Yes,share_homeless_quality,0-1,No,
12,share_homeless,county,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2022; 2021; 2020; 2019,share_homeless_lb,share_homeless_ub,Yes,share_homeless_quality,0-1,No,
13,share_poverty_exposure,county,2023; 2021; 2018; 2016; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_poverty_exposure_lb,share_poverty_exposure_ub,No,share_poverty_exposure_quality,0-1,No,
13,share_poverty_exposure,county,2023; 2021; 2018; 2016; 2014,race-ethnicity,"Black; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_poverty_exposure_lb,share_poverty_exposure_ub,No,share_poverty_exposure_quality,0-1,No,
14,share_black_nh_exposure,county,2023; 2021; 2018; 2016,all,All,none,share_black_nh_exposure_lb,share_black_nh_exposure_ub,No,share_black_nh_exposure_quality,0-1,No,
14,share_hispanic_exposure,county,2023; 2021; 2018; 2016,all,All,none,share_hispanic_exposure_lb,share_hispanic_exposure_ub,No,share_hispanic_exposure_quality,0-1,No,
14,share_other_nh_exposure,county,2023; 2021; 2018; 2016,all,All,none,share_other_nh_exposure_lb,share_other_nh_exposure_ub,No,share_other_nh_exposure_quality,0-1,No,
14,share_white_nh_exposure,county,2023; 2021; 2018; 2016,all,All,none,share_white_nh_exposure_lb,share_white_nh_exposure_ub,No,share_white_nh_exposure_quality,0-1,No,
15,count_membership_associations_per_10k,county,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,count_membership_associations_per_10k_lb,count_membership_associations_per_10k_ub,No,count_membership_associations_per_10k_quality,0-500,No,
16,share_economic_connectedness,county,2022,all,All,none,share_economic_connectedness_lb,share_economic_connectedness_ub,No,share_economic_connectedness_quality,0-1,No,
17,share_transit_commuter,county,2022; 2019; 2015,all,All,2022; 2019; 2015,share_transit_commuter_lb,share_transit_commuter_ub,No,share_transit_commuter_quality,0-1,No,
17,share_transit_commuter,county,2022; 2019; 2015,race-share,Neighborhoods of color; White neighborhoods; Mixed neighborhoods,2022; 2019; 2015,share_transit_commuter_lb,share_transit_commuter_ub,No,share_transit_commuter_quality,0-1,No,
17,share_transportation_cost,county,2022; 2019; 2015,all,All,2022; 2019; 2015,share_transportation_cost_lb,share_transportation_cost_ub,No,share_transportation_cost_quality,0-1,No,
17,share_transportation_cost,county,2022; 2019; 2015,race-share,Neighborhoods of color; White neighborhoods; Mixed neighborhoods,2022; 2019; 2015,share_transportation_cost_lb,share_transportation_cost_ub,No,share_transportation_cost_quality,0-1,No,
18,ratio_population_pc_physician,county,2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,ratio_population_pc_physician_lb,ratio_population_pc_physician_ub,No,ratio_population_pc_physician_quality,,No,
19,share_low_birth_weight,county,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016,all,All,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016,share_low_birth_weight_lb,share_low_birth_weight_ub,Yes,share_low_birth_weight_quality,0-1,No,
19,share_low_birth_weight,county,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016,share_low_birth_weight_lb,share_low_birth_weight_ub,Yes,share_low_birth_weight_quality,0-1,No,
19,share_low_birth_weight,county,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016,mothers-education,College Degree or Higher; GED/High School Degree; Less than High School; Some College,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016,share_low_birth_weight_lb,share_low_birth_weight_ub,Yes,share_low_birth_weight_quality,0-1,No,
20,index_air_hazard,county,2019; 2018; 2014,all,All,2019; 2018; 2014,index_air_hazard_lb,index_air_hazard_ub,No,index_air_hazard_quality,0-100,No,
20,index_air_hazard,county,2019; 2018; 2014,race-share,Neighborhoods of color; White neighborhoods; Mixed neighborhoods,2019; 2018; 2014,index_air_hazard_lb,index_air_hazard_ub,No,index_air_hazard_quality,0-100,No,
20,index_air_hazard,county,2019; 2018; 2014,income,"High-Poverty, Not High-Poverty",2019; 2018; 2014,index_air_hazard_lb,index_air_hazard_ub,No,index_air_hazard_quality,0-100,No,
21,rate_injury_death,county,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2022; 2021,rate_injury_death_lb,rate_injury_death_ub,Yes,rate_injury_death_quality,0-50000,No,
21,rate_injury_death,county,2023; 2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2022; 2021,rate_injury_death_lb,rate_injury_death_ub,Yes,rate_injury_death_quality,0-50000,No,
22,share_election_turnout,county,2020; 2016,all,All,none,share_election_turnout_lb,share_election_turnout_ub,No,share_election_turnout_quality,0-1,No,
23,share_desc_rep_black_nonhispanic,county,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_black_nonhispanic_lb,share_desc_rep_black_nonhispanic_ub,No,share_desc_rep_black_nonhispanic_quality,0-1,No,
23,share_desc_rep_hispanic,county,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_hispanic_lb,share_desc_rep_hispanic_ub,No,share_desc_rep_hispanic_quality,0-1,No,
23,share_desc_rep_other,county,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_other_lb,share_desc_rep_other_ub,No,share_desc_rep_other_quality,0-1,No,
23,share_desc_rep_white_nonhispanic,county,2023; 2021; 2018; 2016; 2014,all,All,none,share_desc_rep_white_nonhispanic_lb,share_desc_rep_white_nonhispanic_ub,No,share_desc_rep_white_nonhispanic_quality,0-1,No,
24,rate_crime_violent,county,2023; 2022; 2021,all,All,none,rate_crime_violent_lb,rate_crime_violent_ub,No,rate_crime_violent_quality,0-50000,No,
24,rate_crime_property,county,2023; 2022; 2021,all,All,none,rate_crime_property_lb,rate_crime_property_ub,No,rate_crime_property_quality,0-50000,No,
25,rate_juv_arrest,county,2023; 2022; 2021,all,All,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
25,rate_juv_arrest,county,2023; 2022; 2021,race-ethnicity,Black; Hispanic; Other Races and Ethnicities; White,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
25,rate_juv_arrest,county,2023; 2022; 2021,gender,Female; Male,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
25,rate_juv_arrest,county,2023; 2022; 2021,age,Age 10 to 14; Age 15 to 17,2023; 2022; 2021,rate_juv_arrest_lb,rate_juv_arrest_ub,No,rate_juv_arrest_quality,0-50000,No,
1,share_employed,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
1,share_employed,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
1,share_employed,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,disability,With Disability; Without Disability,2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
1,share_employed,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,gender,Female; Male,2023; 2021; 2018; 2016; 2014,share_employed_lb,share_employed_ub,Yes,share_employed_quality,0-1,Yes,
6,share_in_preschool,place,2023; 2021; 2018; 2016; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_in_preschool_lb,share_in_preschool_ub,Yes,share_in_preschool_quality,0-1,No,
6,share_in_preschool,place,2023; 2021; 2018; 2016; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_in_preschool_lb,share_in_preschool_ub,Yes,share_in_preschool_quality,0-1,No,
6,share_in_preschool,place,2023; 2021; 2018; 2016; 2014,income,"Less than $50,000; $50,000 or More",2023; 2021; 2018; 2016; 2014,share_in_preschool_lb,share_in_preschool_ub,Yes,share_in_preschool_quality,0-1,No,
8,share_meps20_white,place,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,share_meps20_white_lb,share_meps20_white_ub,No,share_meps20_white_quality,0-1,No,
8,share_meps20_black,place,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,share_meps20_black_lb,share_meps20_black_ub,No,share_meps20_black_quality,0-1,No,
8,share_meps20_hispanic,place,2022; 2021; 2020; 2019; 2018; 2017; 2016; 2015; 2014,all,All,none,share_meps20_hispanic_lb,share_meps20_hispanic_ub,No,share_meps20_hispanic_quality,0-1,No,
9,share_hs_degree,place,2023; 2021; 2018; 2016; 2014,all,All,2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
9,share_hs_degree,place,2023; 2021; 2018; 2016; 2014,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
9,share_hs_degree,place,2023; 2021; 2018; 2016; 2014,disability,With Disability; Without Disability,2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
9,share_hs_degree,place,2023; 2021; 2018; 2016; 2014,gender,Female; Male,2023; 2021; 2018; 2016; 2014,share_hs_degree_lb,share_hs_degree_ub,Yes,share_hs_degree_quality,0-1,No,
10,share_digital_access,place,2023; 2021; 2018,all,All,2023; 2021; 2018,share_digital_access_lb,share_digital_access_ub,No,share_digital_access_quality,0-1,No,
10,share_digital_access,place,2023; 2021; 2018,race-ethnicity,"Black, Non-Hispanic; Hispanic; Other Races and Ethnicities; White, Non-Hispanic",2023; 2021; 2018,share_digital_access_lb,share_digital_access_ub,No,share_digital_access_quality,0-1,No,
10,share_digital_access,place,2023; 2021; 2018,income,"Less than $50,000; $50,000 or More",2023; 2021; 2018,share_digital_access_lb,share_digital_access_ub,No,share_digital_access_quality,0-1,No,
11,share_affordable_80_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_80_ami_lb,share_affordable_80_ami_ub,No,share_affordable_80_ami_quality,0-5,No,
11,share_affordable_80_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_80_ami_lb,share_affordable_80_ami_ub,No,share_affordable_80_ami_quality,0-5,No,
11,share_affordable_50_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_50_ami_lb,share_affordable_50_ami_ub,No,share_affordable_50_ami_quality,0-5,No,
11,share_affordable_50_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_50_ami_lb,share_affordable_50_ami_ub,No,share_affordable_50_ami_quality,0-5,No,
11,share_affordable_30_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_30_ami_lb,share_affordable_30_ami_ub,No,share_affordable_30_ami_quality,0-5,No,
11,share_affordable_30_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_30_ami_lb,share_affordable_30_ami_ub,No,share_affordable_30_ami_quality,0-5,No,
11,share_affordable_available_80_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,all,All,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_80_ami_lb,share_affordable_available_80_ami_ub,No,share_affordable_available_80_ami_quality,0-5,No,
11,share_affordable_available_80_ami,place,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,tenure,Renter; Owner,2024; 2023; 2022; 2021; 2019; 2018; 2017; 2016; 2015; 2014,share_affordable_available_80_ami_lb,share_affordable_available_80_ami_ub,No,share_affordable_available_80_ami_quality,0-5,No,
