year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality
2023,8,8095,0,1
2023,8,8097,0,1
2023,8,8099,0,1
2023,8,8101,.0001954,1
2023,8,8103,0,1
2023,8,8105,0,1
2023,8,8107,.001224,1
2023,8,8109,0,1
2023,8,8111,NA,NA
2023,8,8113,0,1
2023,8,8115,0,1
2023,8,8117,0,1
2023,8,8119,0,1
2023,8,8121,0,1
2023,8,8123,0,1
2023,8,8125,0,1
2023,9,9001,.0412051,1
2023,9,9003,.0380915,1
2023,9,9005,.0471667,1
2023,9,9007,.0199926,1
2023,9,9009,.0272711,1
2023,9,9011,.0292315,1
2023,9,9013,.0219298,1
2023,9,9015,.0318403,1
2023,10,10001,.0679481,1
2023,10,10003,.0868716,1
2023,10,10005,.0504691,1
2023,11,11001,.0173506,1
2023,12,12001,.0333695,1
2023,12,12003,.055814,1
2023,12,12005,.0841735,1
2023,12,12007,.0986437,1
2023,12,12009,.1042304,1
2023,12,12011,.0601476,1
2023,12,12013,.1090426,1
2023,12,12015,.0364126,1
2023,12,12017,.0750174,1
2023,12,12019,.0676261,1
2023,12,12021,.0366878,1
2023,12,12023,.0980392,1
2023,12,12027,.0580169,1
2023,12,12029,.0876827,1
2023,12,12031,.0843609,1
2023,12,12033,.0757854,1
2023,12,12035,.055265,1
2023,12,12037,.0825959,1
2023,12,12039,.1239607,1
2023,12,12041,.0596546,1
2023,12,12043,.0808081,1
2023,12,12045,.0502183,1
2023,12,12047,.1019523,1
2023,12,12049,.1239669,1
2023,12,12051,.1517707,1
2023,12,12053,.0678923,1
2023,12,12055,.067457,1
2023,12,12057,.0761067,1
2023,12,12059,.0705467,1
2023,12,12061,.039038,1
2023,12,12063,.1536293,1
2023,12,12065,.0644007,1
2023,12,12067,.0592105,1
2023,12,12069,.0731779,1
2023,12,12071,.031704,1
2023,12,12073,.050747,1
2023,12,12075,.0747599,1
2023,12,12077,.0649351,1
2023,12,12079,.0549683,1
2023,12,12081,.0845139,1
2023,12,12083,.0740524,1
2023,12,12085,.0473684,1
2023,12,12086,.0401037,1
2023,12,12087,.1050812,1
2023,12,12089,.0446483,1
2023,12,12091,.0579112,1
2023,12,12093,.0946052,1
2023,12,12095,.0933612,1
2023,12,12097,.0994047,1
2023,12,12099,.0591921,1
2023,12,12101,.0759506,1
2023,12,12103,.0800223,1
2023,12,12105,.0891615,1
2023,12,12107,.1055623,1
2023,12,12109,.0344125,1
2023,12,12111,.0697828,1
2023,12,12113,.0620042,1
2023,12,12115,.0588632,1
2023,12,12117,.0805684,1
2023,12,12119,.0316725,1
2023,12,12121,.0745798,1
2023,12,12123,.1381381,1
2023,12,12125,.0734908,1
2023,12,12127,.0733648,1
2023,12,12129,.056621,1
2023,12,12131,.0363139,1
2023,12,12133,.0740741,1
2023,13,13001,.0871022,1
2023,13,13003,.1666667,1
2023,13,13005,.0822368,1
2023,13,13007,.1466667,1
2023,13,13009,.1534527,1
2023,13,13011,.1036269,1
2023,13,13013,.0750261,1
2023,13,13015,.0935374,1
2023,13,13017,.1126984,1
2023,13,13019,.1270903,1
2023,13,13021,.1649337,1
2023,13,13023,.1473088,1
2023,13,13025,.0986547,1
2023,13,13027,.2031963,1
2023,13,13029,.0761494,1
2023,13,13031,.1692238,1
2023,13,13033,.124183,1
2023,13,13035,.1113861,1
2023,13,13037,.0875912,1
2023,13,13039,.0793478,1
2023,13,13043,.1428571,1
2023,13,13045,.1164951,1
2023,13,13047,.0985636,1
2023,13,13049,.1205212,1
2023,13,13051,.124385,1
2023,13,13053,.0498339,1
2023,13,13055,.1353482,1
2023,13,13057,.0377837,1
2023,13,13059,.0493412,1
2023,13,13061,.0666667,1
2023,13,13063,.0658545,1
2023,13,13065,.0964467,1
2023,13,13067,.0467966,1
2023,13,13069,.1533898,1
2023,13,13071,.0706436,1
2023,13,13073,.0727196,1
2023,13,13075,.1106796,1
2023,13,13077,.0773294,1
2023,13,13079,.1618123,1
2023,13,13081,.1671924,1
2023,13,13083,.139738,1
2023,13,13085,.0638086,1
2023,13,13087,.1340852,1
2023,13,13089,.0442052,1
2023,13,13091,.1210191,1
2023,13,13093,.1461539,1
2023,13,13095,.0827097,1
2023,13,13097,.0821656,1
2023,13,13099,.038961,1
2023,13,13101,.1507937,1
2023,13,13103,.0705009,1
2023,13,13105,.1177474,1
2023,13,13107,.10691,1
2023,13,13109,.1585761,1
2023,13,13111,.071267,1
2023,13,13113,.0339372,1
2023,13,13115,.1257925,1
2023,13,13117,.0284981,1
2023,13,13119,.1055901,1
2023,13,13121,.0455019,1
2023,13,13123,.0939335,1
2023,13,13125,.0886076,1
2023,13,13127,.1022511,1
2023,13,13129,.1210469,1
