year,state,place,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality
2018,06,36000,41519.147652008214,3,94838.74087347135,3,182271.45002354827,3
2018,06,36448,15336.366535808875,2,38449.07991402766,2,87316.31872764807,2
2018,06,36546,23133.640402232344,1,54268.82520890973,1,101127.50903359763,1
2018,06,36770,35354.166723877745,2,96383.70953012204,2,181871.73501271906,2
2018,06,37692,36673.52425237949,2,86026.52356354836,2,156977.16794654564,2
2018,06,39496,45495.20487151119,3,103881.62086054687,3,192943.744835284,3
2018,06,39892,40017.796775998904,2,88826.87770524768,2,151871.3966167721,2
2018,06,40130,16180.874415064436,1,60582.02146393393,1,114301.10088535937,1
2018,06,41992,69023.69696923943,2,149613.05688515626,2,252925.74463200007,2
2018,06,43000,27287.64871348858,2,63478.259438115834,2,126588.96836373188,2
2018,06,44000,23557.16122586623,1,61794.13157636908,1,132685.47370406397,1
2018,06,45484,40019.32429099476,3,88734.67214577702,3,151107.1345191492,3
2018,06,46842,32551.76999819287,2,70796.64009227236,2,121570.62029586238,2
2018,06,46898,20654.13954428463,2,53611.01133798497,2,103888.0375694877,2
2018,06,47766,57818.85933142043,2,136744.88660404025,2,235055.5270036562,2
2018,06,48256,53659.313717910685,1,119537.04050395619,1,192420.20918419084,1
2018,06,48354,24952.70937351834,1,56657.38136988097,1,115066.37311268746,1
2018,06,49270,32408.85315940698,1,67480.97252518666,1,120621.30294546319,1
2018,06,49670,52610.05326131387,2,157613.8713123711,2,373699.4907631579,2
2018,06,50076,49492.5421854311,2,90270.03061189225,2,161254.97199893591,2
2018,06,50258,36343.88488851065,2,87127.28005277779,2,170285.776059375,2
2018,06,51182,40440.57229527755,3,104549.5623343155,3,211657.291467619,3
2018,06,52526,31577.107826666666,1,66919.55284260355,1,120290.2092,1
2018,06,53000,25266.605462805805,3,76629.55744024056,3,174979.31672545098,3
2018,06,53322,31606.37431788364,2,67836.59879808968,2,132697.95190205635,2
2018,06,53896,35462.39217383764,1,68881.49341824163,1,120938.71099850336,1
2018,06,53980,38487.968371329735,2,89122.73710655027,2,179882.26894491602,2
2018,06,54652,34318.69485055902,1,73845.67787640617,1,135629.71647494708,1
2018,06,55156,26996.420240674506,1,66736.82168306081,1,122560.19353275272,1
2018,06,56000,21907.62777835941,3,75788.34706823982,3,166118.07666415392,3
2018,06,56700,33412.35136016624,2,67026.90742469348,2,123979.66759900794,2
2018,06,57456,36656.47600777777,2,82355.45494342105,2,144535.53708,2
2018,06,57792,69023.69696923945,3,149613.05688515626,3,252925.7446320001,3
2018,06,58072,25248.668981109444,1,56617.85535907762,1,106307.66253070309,1
2018,06,59444,28726.50234,2,73390.01305124999,2,141461.76767728812,2
2018,06,59451,37360.17664448116,1,91164.74951758535,1,159090.72403003965,1
2018,06,59920,20246.89711669565,2,54786.497941764705,2,115034.1274884892,2
2018,06,60102,52746.80006916967,2,141442.21424125927,2,286403.1814631322,2
2018,06,60466,30141.987019004213,2,68332.81371515756,2,125684.95819583819,2
2018,06,60620,32040.351187067798,2,74453.45037536665,2,132931.09492058924,2
2018,06,62000,29875.30971541384,2,68797.77962730399,2,128638.49586275339,2
2018,06,62938,33389.4910886889,1,91384.23291256002,1,172089.5825008544,1
