state,place,state_name,place_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
06,28000,California,Fullerton city,0.9:2.0,3,14.0:29.8,3,39.1:31.0,3,46.0:37.3,3
06,29000,California,Garden Grove city,0.6:1.0,3,21.0:30.1,3,53.8:50.3,3,24.6:18.7,3
06,30000,California,Glendale city,NA:2.1,NA,10.7:17.1,2,16.3:16.2,2,73.0:64.6,2
06,32548,California,Hawthorne city,10.4:23.6,3,46.6:51.7,3,20.0:12.7,3,23.0:12.0,3
06,33000,California,Hayward city,7.0:11.9,1,18.2:30.4,1,42.7:37.4,1,32.1:20.3,1
06,33182,California,Hemet city,8.2:8.9,2,38.5:39.4,2,12.6:9.3,2,40.7:42.3,2
06,33434,California,Hesperia city,4.0:6.8,2,44.5:46.4,2,6.4:7.0,2,45.0:39.8,2
06,36000,California,Huntington Beach city,1.1:1.3,3,7.8:13.6,3,22.6:18.4,3,68.5:66.7,3
06,36448,California,Indio city,0.6:1.8,2,47.4:66.5,2,6.5:4.2,2,45.5:27.5,2
06,36546,California,Inglewood city,35.1:43.3,1,44.7:39.2,1,7.7:8.3,1,12.4:9.3,1
06,36770,California,Irvine city,0.3:1.8,2,8.1:12.3,2,54.3:42.0,2,37.3:43.9,2
06,37692,California,Jurupa Valley city,6.9:9.5,2,51.0:55.1,2,22.0:15.3,2,20.1:20.2,2
06,39496,California,Lake Forest city,0.2:1.0,3,6.1:12.8,3,52.7:36.8,3,41.0:49.4,3
06,39892,California,Lakewood city,7.0:8.8,2,30.7:30.6,2,34.9:36.3,2,27.5:24.3,2
06,40130,California,Lancaster city,14.6:19.9,1,38.9:39.0,1,9.7:9.5,1,36.8:31.6,1
06,41992,California,Livermore city,0.3:0.8,2,5.5:9.3,2,41.7:35.6,2,52.6:54.3,2
06,43000,California,Long Beach city,6.2:13.9,2,23.1:34.5,2,16.7:16.7,2,54.0:35.0,2
06,44000,California,Los Angeles city,5.8:10.1,1,20.6:37.1,1,17.4:17.5,1,56.2:35.4,1
06,45484,California,Manteca city,4.0:4.0,3,23.5:35.8,3,35.7:24.1,3,36.8:36.2,3
06,46842,California,Menifee city,6.8:8.0,2,29.8:29.7,2,12.0:11.9,2,51.4:50.3,2
06,46898,California,Merced city,4.0:3.3,2,36.0:56.5,2,12.7:10.1,2,47.3:30.1,2
06,47766,California,Milpitas city,1.1:1.9,2,2.5:10.3,2,82.9:74.9,2,13.5:12.9,2
06,48256,California,Mission Viejo city,0.5:0.8,1,11.7:16.3,1,18.1:17.6,1,69.7:65.4,1
06,48354,California,Modesto city,2.6:4.0,1,25.1:36.0,1,15.7:12.5,1,56.6:47.5,1
06,49270,California,Moreno Valley city,10.8:17.4,1,39.5:51.8,1,30.3:11.6,1,19.4:19.2,1
06,49670,California,Mountain View city,0.0:0.5,2,5.1:11.1,2,45.2:38.8,2,49.7:49.6,2
06,50076,California,Murrieta city,6.5:7.7,2,35.9:28.5,2,11.6:12.5,2,46.0:51.4,2
06,50258,California,Napa city,0.9:1.6,2,16.5:25.7,2,9.9:10.4,2,72.7:62.2,2
06,51182,California,Newport Beach city,0.4:0.9,3,3.8:11.9,3,14.6:14.2,3,81.1:73.0,3
06,52526,California,Norwalk city,2.5:3.0,1,58.2:64.2,1,23.5:20.4,1,15.7:12.4,1
06,53000,California,Oakland city,12.1:22.4,3,12.0:19.2,3,20.9:22.5,3,55.1:35.9,3
06,53322,California,Oceanside city,2.0:4.7,2,20.2:27.7,2,14.1:13.3,2,63.7:54.3,2
06,53896,California,Ontario city,4.4:7.6,1,51.6:58.4,1,21.4:15.9,1,22.7:18.2,1
06,53980,California,Orange city,0.4:0.8,2,12.3:28.9,2,24.9:19.6,2,62.4:50.8,2
06,54652,California,Oxnard city,2.6:2.4,1,38.6:53.9,1,11.7:9.5,1,47.1:34.1,1
06,55156,California,Palmdale city,6.7:13.5,1,52.9:52.2,1,13.7:11.3,1,26.7:23.0,1
06,56000,California,Pasadena city,7.5:8.8,3,14.3:23.5,3,22.8:22.6,3,55.4:45.1,3
06,56700,California,Perris city,12.3:10.6,2,43.4:55.9,2,23.2:11.3,2,21.2:22.3,2
06,57456,California,Pittsburg city,14.4:20.6,2,33.4:38.4,2,32.4:21.2,2,19.8:19.7,2
06,57792,California,Pleasanton city,4.5:3.9,3,5.0:9.9,3,47.3:46.1,3,43.3:40.1,3
06,58072,California,Pomona city,1.3:4.4,1,63.0:69.1,1,23.2:17.8,1,12.4:8.7,1
06,59444,California,Rancho Cordova city,4.0:7.3,2,9.7:16.5,2,22.4:19.1,2,64.0:57.0,2
06,59451,California,Rancho Cucamonga city,3.8:8.8,1,26.7:33.7,1,20.7:18.2,1,48.8:39.3,1
06,59920,California,Redding city,NA:0.1,NA,6.1:9.9,2,6.1:9.9,2,87.9:80.1,2
06,60102,California,Redwood City city,2.0:2.3,2,8.1:21.5,2,32.1:26.6,2,57.7:49.7,2
06,60466,California,Rialto city,9.1:10.5,2,61.9:64.8,2,9.3:7.8,2,19.7:16.9,2
06,60620,California,Richmond city,11.7:15.5,2,21.5:34.1,2,25.5:23.1,2,41.3:27.3,2
06,62000,California,Riverside city,5.5:7.9,2,34.7:45.9,2,11.3:9.7,2,48.6:36.6,2
06,62938,California,Roseville city,1.4:1.9,1,9.4:12.1,1,15.3:15.0,1,73.9:70.9,1
06,64000,California,Sacramento city,8.9:11.4,2,18.2:22.9,2,25.7:25.0,2,47.2:40.6,2
06,64224,California,Salinas city,1.5:1.4,1,53.9:69.5,1,12.2:9.0,1,32.4:20.1,1
06,65000,California,San Bernardino city,9.3:10.2,3,55.1:63.7,3,7.7:6.7,3,27.9:19.5,3
06,65042,California,San Buenaventura (Ventura) city,1.1:1.6,3,14.2:23.4,3,13.3:11.6,3,71.5:63.4,3
06,66000,California,San Diego city,2.8:5.5,1,14.8:24.0,1,20.8:20.8,1,61.6:49.8,1
06,67000,California,San Francisco city,2.5:4.5,2,8.0:12.3,2,39.7:39.2,2,49.7:43.9,2
06,68000,California,San Jose city,1.1:3.0,1,12.1:24.4,1,46.8:41.7,1,39.9:30.9,1
06,68084,California,San Leandro city,1.9:9.7,2,6.1:14.2,2,43.2:38.0,2,48.9:38.1,2
06,68196,California,San Marcos city,3.1:2.1,2,11.4:25.8,2,18.9:16.7,2,66.6:55.3,2
06,68252,California,San Mateo city,0.3:1.2,2,7.9:12.4,2,35.7:36.3,2,56.2:50.1,2
06,68378,California,San Ramon city,3.4:3.8,2,3.5:6.0,2,39.9:41.0,2,53.2:49.2,2
06,69000,California,Santa Ana city,1.0:0.7,2,50.5:65.4,2,25.7:19.8,2,22.8:14.2,2
06,69070,California,Santa Barbara city,0.1:2.3,2,11.3:23.7,2,6.4:9.7,2,82.3:64.4,2
06,69084,California,Santa Clara city,0.4:0.7,1,7.3:13.4,1,55.3:53.1,1,37.0:32.9,1
06,69088,California,Santa Clarita city,1.9:2.7,1,22.3:30.6,1,17.1:14.5,1,58.7:52.2,1
06,69196,California,Santa Maria city,1.6:1.2,2,33.5:56.7,2,11.4:7.7,2,53.5:34.4,2
06,70000,California,Santa Monica city,1.0:4.6,3,15.7:14.1,3,10.1:10.2,3,73.1:71.1,3
06,70098,California,Santa Rosa city,0.7:1.8,1,15.8:24.9,1,13.9:10.9,1,69.7:62.4,1
06,72016,California,Simi Valley city,0.6:1.4,1,16.0:21.1,1,19.6:16.5,1,63.7:60.9,1
06,73080,California,South Gate city,4.1:4.9,2,90.8:90.1,2,2.6:2.4,2,2.4:2.7,2
06,75000,California,Stockton city,7.4:12.0,3,33.6:38.6,3,24.5:23.6,3,34.5:25.8,3
06,77000,California,Sunnyvale city,0.3:1.0,3,5.5:12.0,3,59.1:58.6,3,35.1:28.4,3
06,78120,California,Temecula city,6.3:6.0,1,18.3:24.9,1,15.7:13.3,1,59.7:55.8,1
06,78582,California,Thousand Oaks city,0.5:0.8,1,6.1:12.9,1,13.2:15.8,1,80.2:70.5,1
06,80000,California,Torrance city,1.3:3.1,2,10.9:16.5,2,43.1:39.4,2,44.7:41.1,2
06,80238,California,Tracy city,3.1:5.4,2,16.4:25.2,2,40.5:33.9,2,40.0:35.6,2
06,80854,California,Tustin city,0.4:4.6,3,16.8:29.9,3,30.3:27.7,3,52.6:37.7,3
06,81344,California,Upland city,5.9:8.9,2,28.5:44.7,2,13.4:13.5,2,52.2:32.8,2
06,81554,California,Vacaville city,4.3:5.6,3,16.0:22.7,3,14.3:15.1,3,65.3:56.6,3
06,81666,California,Vallejo city,11.0:18.9,1,16.5:20.8,1,32.5:27.6,1,40.0:32.7,1
06,82590,California,Victorville city,8.8:18.2,2,47.3:50.9,2,8.3:7.5,2,35.7:23.5,2
06,82954,California,Visalia city,0.5:2.8,1,36.9:40.9,1,11.1:8.6,1,51.5:47.7,1
06,82996,California,Vista city,1.2:3.7,2,23.8:35.7,2,10.6:11.3,2,64.4:49.3,2
06,84200,California,West Covina city,1.4:2.9,2,45.5:55.5,2,38.8:28.3,2,14.3:13.3,2
06,84550,California,Westminster city,0.3:0.9,2,12.5:26.8,2,43.0:39.9,2,44.2:32.4,2
06,85292,California,Whittier city,0.7:1.3,2,47.7:54.3,2,27.9:22.9,2,23.7:21.4,2
08,03455,Colorado,Arvada city,0.3:1.3,1,9.0:13.3,1,6.1:5.5,1,84.7:79.9,1
08,04000,Colorado,Aurora city,11.2:15.8,3,17.1:22.5,3,12.5:11.3,3,59.2:50.3,3
08,07850,Colorado,Boulder city,NA:0.4,NA,5.5:6.0,2,5.5:11.8,2,89.0:81.8,2
08,12815,Colorado,Centennial city,2.3:3.7,2,4.7:8.5,2,10.3:12.2,2,82.7:75.5,2
08,16000,Colorado,Colorado Springs city,2.7:5.9,3,9.6:14.6,3,8.2:7.5,3,79.5:71.9,3
08,20000,Colorado,Denver city,5.5:7.7,1,15.7:21.2,1,5.9:8.1,1,72.9:63.0,1
08,27425,Colorado,Fort Collins city,0.3:0.8,2,3.1:7.6,2,7.1:6.0,2,89.5:85.6,2
08,32155,Colorado,Greeley city,4.8:2.8,2,20.8:30.6,2,4.2:4.6,2,70.2:62.0,2
08,43000,Colorado,Lakewood city,0.6:1.6,3,9.5:17.1,3,7.0:5.8,3,82.9:75.5,3
08,45970,Colorado,Longmont city,0.3:0.4,2,7.6:13.7,2,3.1:6.4,2,89.0:79.5,2
08,46465,Colorado,Loveland city,0.3:0.3,2,8.3:11.0,2,3.9:4.8,2,87.5:83.8,2
08,62000,Colorado,Pueblo city,0.9:1.6,3,31.8:40.3,3,2.4:3.3,3,64.8:54.8,3
08,77290,Colorado,Thornton city,2.2:2.0,2,23.3:29.4,2,6.8:6.7,2,67.6:61.8,2
08,83835,Colorado,Westminster city,0.5:1.9,2,17.1:26.6,2,9.8:9.5,2,72.6:61.9,2
09,08000,Connecticut,Bridgeport city,14.9:18.5,1,24.5:28.3,1,16.5:13.4,1,44.1:39.8,1
09,18430,Connecticut,Danbury city,5.3:5.7,2,10.6:16.1,2,8.0:11.3,2,76.1:67.0,2
09,37000,Connecticut,Hartford city,45.2:33.2,3,17.2:45.7,3,4.2:5.6,3,33.4:15.4,3
09,52000,Connecticut,New Haven city,15.2:23.7,1,20.3:28.0,1,7.6:11.1,1,56.9:37.1,1
09,55990,Connecticut,Norwalk city,6.8:14.2,2,7.0:22.7,2,5.8:5.9,2,80.4:57.2,2
09,73000,Connecticut,Stamford city,5.7:14.1,3,6.3:17.5,3,12.2:9.8,3,75.8:58.6,3
09,80000,Connecticut,Waterbury city,12.4:14.8,2,19.9:34.2,2,13.6:12.2,2,54.2:38.8,2
11,50000,District of Columbia,Washington city,22.1:38.9,1,10.2:9.9,1,9.4:9.6,1,58.2:41.6,1
12,07300,Florida,Boca Raton city,1.2:2.7,2,9.5:16.4,2,2.2:4.3,2,87.1:76.6,2
12,07875,Florida,Boynton Beach city,10.7:15.2,2,14.4:14.1,2,3.3:5.1,2,71.5:65.5,2
12,10275,Florida,Cape Coral city,3.2:3.1,1,13.1:18.5,1,3.0:3.8,1,80.7:74.6,1
12,12875,Florida,Clearwater city,3.8:10.4,2,6.8:11.8,2,4.9:4.7,2,84.5:73.0,2
12,14400,Florida,Coral Springs city,14.3:22.8,1,18.4:27.1,1,17.4:13.3,1,50.0:36.7,1
12,16475,Florida,Davie town,5.1:9.1,2,29.7:36.6,2,9.0:7.9,2,56.2:46.5,2
12,16725,Florida,Deerfield Beach city,10.4:16.3,2,13.4:19.7,2,4.1:11.8,2,72.1:52.2,2
12,17200,Florida,Deltona city,6.9:6.8,2,24.9:26.6,2,4.6:3.8,2,63.6:62.8,2
12,17935,Florida,Doral city,1.7:0.9,2,80.5:86.7,2,7.3:4.0,2,10.4:8.3,2
12,24000,Florida,Fort Lauderdale city,9.6:23.3,3,14.1:18.7,3,10.2:7.1,3,66.0:50.9,3
12,24125,Florida,Fort Myers city,4.7:12.0,2,7.6:19.9,2,6.1:6.4,2,81.6:61.7,2
12,25175,Florida,Gainesville city,11.9:18.3,1,9.4:12.8,1,9.6:9.9,1,69.1:59.1,1
12,30000,Florida,Hialeah city,1.2:1.6,2,94.6:96.5,2,0.6:0.3,2,3.7:1.7,2
12,32000,Florida,Hollywood city,6.4:14.2,2,32.3:40.2,2,5.3:5.8,2,56.0:39.8,2
12,32275,Florida,Homestead city,4.3:15.1,3,49.3:57.2,3,3.5:2.3,3,43.0:25.4,3
12,35000,Florida,Jacksonville city,17.2:28.4,3,6.0:9.6,3,9.3:8.8,3,67.5:53.2,3
12,36950,Florida,Kissimmee city,6.4:7.4,2,60.8:64.7,2,8.2:7.3,2,24.6:20.6,2
12,38250,Florida,Lakeland city,7.4:15.7,2,12.9:15.5,2,4.6:3.5,2,75.2:65.3,2
12,39425,Florida,Largo city,3.3:5.3,2,5.5:7.6,2,7.8:4.9,2,83.4:82.2,2
12,43975,Florida,Melbourne city,2.1:7.3,2,7.4:9.9,2,4.8:6.6,2,85.8:76.2,2
12,45000,Florida,Miami city,3.9:10.9,2,55.9:68.0,2,7.9:5.0,2,32.3:16.1,2
12,45025,Florida,Miami Beach city,1.3:4.9,2,30.8:46.4,2,6.7:7.1,2,61.2:41.7,2
12,45060,Florida,Miami Gardens city,41.3:50.8,2,54.9:45.4,2,1.5:1.6,2,2.3:2.1,2
12,45975,Florida,Miramar city,28.0:33.6,2,40.5:39.5,2,16.1:12.0,2,15.4:14.9,2
12,49675,Florida,North Port city,0.9:1.5,3,4.4:7.5,3,5.1:4.4,3,89.5:86.6,3
12,53000,Florida,Orlando city,10.1:21.2,3,25.0:31.3,3,9.9:8.3,3,55.0:39.1,3
12,54000,Florida,Palm Bay city,11.8:14.0,1,20.7:15.7,1,6.7:6.8,1,60.8:63.5,1
12,54200,Florida,Palm Coast city,3.9:6.8,2,8.6:9.5,2,2.2:4.9,2,85.4:78.7,2
12,55775,Florida,Pembroke Pines city,12.6:14.0,2,44.8:51.1,2,7.1:6.5,2,35.4:28.4,2
12,57425,Florida,Plantation city,16.0:23.4,2,23.1:32.8,2,4.9:6.4,2,56.1:37.3,2
12,58050,Florida,Pompano Beach city,10.6:22.0,2,10.0:20.1,2,9.4:7.0,2,70.1:50.9,2
12,58715,Florida,Port St. Lucie city,16.2:17.3,1,22.4:19.5,1,3.9:4.1,1,57.5:59.1,1
12,63000,Florida,St. Petersburg city,5.1:12.3,3,5.6:8.6,3,7.0:6.7,3,82.2:72.4,3
12,69700,Florida,Sunrise city,16.0:23.5,2,24.6:33.4,2,5.5:6.7,2,53.8:36.5,2
12,70600,Florida,Tallahassee city,16.8:33.8,1,4.5:5.6,1,6.0:6.4,1,72.6:54.2,1
12,71000,Florida,Tampa city,9.4:18.7,2,22.4:27.6,2,6.4:6.5,2,61.9:47.1,2
12,76600,Florida,West Palm Beach city,14.7:24.1,2,14.1:24.7,2,4.2:6.9,2,66.9:44.3,2
13,03440,Georgia,Athens-Clarke County unified government (balance),16.4:25.4,2,4.3:8.7,2,5.6:6.6,2,73.7:59.3,2
13,04000,Georgia,Atlanta city,21.2:43.9,3,3.3:4.9,3,9.8:10.1,3,65.7:41.1,3
13,04204,Georgia,Augusta-Richmond County consolidated government (balance),41.6:55.1,1,4.8:4.6,1,4.2:5.6,1,49.3:34.6,1
13,19000,Georgia,Columbus city,33.9:48.4,3,3.8:4.8,3,6.5:8.1,3,55.8:38.8,3
13,42425,Georgia,Johns Creek city,6.2:7.7,2,5.6:6.8,2,26.0:26.5,2,62.2:59.0,2
13,49008,Georgia,Macon-Bibb County,34.1:50.8,1,1.6:3.1,1,9.9:9.5,1,54.4:36.7,1
13,67284,Georgia,Roswell city,5.4:9.7,2,5.0:7.7,2,11.5:11.2,2,78.1:71.3,2
13,68516,Georgia,Sandy Springs city,7.0:16.2,1,4.0:9.2,1,10.4:14.7,1,78.6:59.9,1
13,69000,Georgia,Savannah city,28.3:42.8,3,3.1:4.6,3,7.4:5.6,3,61.2:47.0,3
13,72122,Georgia,South Fulton city,84.5:83.8,2,2.5:4.1,2,4.4:4.8,2,8.6:7.3,2
13,80508,Georgia,Warner Robins city,21.4:33.2,2,3.4:4.8,2,6.1:8.0,2,69.1:54.0,2
15,71550,Hawaii,Urban Honolulu CDP,0.7:2.0,1,2.5:6.6,1,80.5:70.7,1,16.3:20.7,1
16,08830,Idaho,Boise City city,0.3:1.1,2,4.4:7.0,2,6.2:6.9,2,89.1:85.1,2
16,52120,Idaho,Meridian city,0.3:0.5,3,5.3:8.6,3,5.3:5.8,3,89.1:85.1,3
16,56260,Idaho,Nampa city,0.4:0.3,2,10.3:15.3,2,3.9:4.5,2,85.4:79.9,2
17,02154,Illinois,Arlington Heights village,0.6:2.0,3,6.8:14.0,3,11.2:13.0,3,81.4:71.1,3
17,03012,Illinois,Aurora city,5.9:9.2,2,23.1:30.3,2,14.9:11.1,2,56.1:49.4,2
17,06613,Illinois,Bloomington city,3.1:6.2,2,2.1:3.7,2,7.4:8.2,2,87.4:81.8,2
17,12385,Illinois,Champaign city,4.1:15.7,3,2.1:5.2,3,8.8:14.7,3,85.0:64.4,3
17,14000,Illinois,Chicago city,13.7:28.5,1,20.2:22.5,1,11.5:10.4,1,54.7:38.6,1
17,14351,Illinois,Cicero town,0.3:7.2,2,68.4:68.5,2,5.7:2.7,2,25.6:21.6,2
17,23074,Illinois,Elgin city,2.0:4.8,2,19.1:28.4,2,12.0:10.0,2,66.9:56.7,2
17,24582,Illinois,Evanston city,6.0:12.8,2,5.3:7.5,2,12.7:16.3,2,76.0:63.4,2
17,38570,Illinois,Joliet city,7.7:14.3,2,18.1:23.0,2,4.3:4.6,2,69.9:58.1,2
17,51622,Illinois,Naperville city,6.1:8.4,2,7.2:10.4,2,20.9:18.1,2,65.8:63.1,2
17,59000,Illinois,Peoria city,5.8:17.3,3,3.5:3.5,3,9.1:8.6,3,81.7:70.6,3
17,65000,Illinois,Rockford city,4.4:13.7,3,8.1:11.5,3,6.9:6.8,3,80.6:68.1,3
17,68003,Illinois,Schaumburg village,2.2:4.1,2,6.6:13.4,2,28.4:21.5,2,62.7:61.0,2
17,72000,Illinois,Springfield city,2.6:9.4,2,3.5:2.9,2,5.2:6.0,2,88.7:81.7,2
17,79293,Illinois,Waukegan city,3.0:17.5,2,33.3:39.2,2,7.3:5.8,2,56.4:37.5,2
18,05860,Indiana,Bloomington city,0.7:2.9,2,2.3:2.8,2,5.9:8.9,2,91.1:85.4,2
18,10342,Indiana,Carmel city,3.6:6.3,2,2.4:4.4,2,14.4:9.2,2,79.6:80.1,2
18,22000,Indiana,Evansville city,4.3:10.8,3,1.8:2.4,3,3.7:3.5,3,90.2:83.3,3
18,23278,Indiana,Fishers city,4.5:6.6,2,2.0:3.2,2,12.4:8.8,2,81.1:81.3,2
18,25000,Indiana,Fort Wayne city,4.5:12.5,1,4.7:6.8,1,5.8:7.4,1,85.0:73.3,1
18,31000,Indiana,Hammond city,7.9:25.0,3,44.9:40.3,3,5.9:3.0,3,41.4:31.7,3
18,36003,Indiana,Indianapolis city (balance),14.7:27.5,1,5.2:7.9,1,7.5:6.8,1,72.5:57.7,1
18,71000,Indiana,South Bend city,9.8:20.7,3,7.2:9.6,3,5.1:4.2,3,77.8:65.6,3
19,12000,Iowa,Cedar Rapids city,2.8:6.0,3,0.4:2.3,3,4.5:5.8,3,92.3:85.9,3
19,19000,Iowa,Davenport city,2.5:6.6,3,7.2:6.8,3,5.3:7.3,3,85.0:79.3,3
19,21000,Iowa,Des Moines city,4.9:10.2,3,6.5:8.1,3,8.2:8.3,3,80.5:73.3,3
