year,state,county,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2014,06,097,0.003:0.011,1,0.102:0.166,1,0.043:0.063,1,0.851:0.760,1
2014,06,099,0.017:0.027,1,0.234:0.331,1,0.088:0.092,1,0.662:0.550,1
2014,06,101,0.014:0.034,2,0.137:0.259,2,0.104:0.107,2,0.745:0.600,2
2014,06,103,0.082:0.012,2,0.118:0.217,2,0.044:0.063,2,0.756:0.708,2
2014,06,105,0.082:0.012,3,0.118:0.217,3,0.044:0.063,3,0.756:0.708,3
2014,06,107,0.004:0.014,1,0.369:0.517,1,0.068:0.049,1,0.558:0.420,1
2014,06,109,0.006:0.023,3,0.037:0.098,3,0.016:0.049,3,0.942:0.830,3
2014,06,111,0.012:0.016,1,0.158:0.306,1,0.106:0.089,1,0.725:0.589,1
2014,06,113,0.015:0.037,1,0.122:0.213,1,0.135:0.169,1,0.727:0.581,1
2014,06,115,0.014:0.034,2,0.137:0.259,2,0.104:0.107,2,0.745:0.600,2
2014,08,001,0.023:0.027,1,0.201:0.290,1,0.054:0.056,1,0.722:0.626,1
2014,08,003,NA:0.011,NA,0.315:0.401,3,0.032:0.027,3,0.653:0.561,3
2014,08,005,0.053:0.092,1,0.058:0.143,1,0.051:0.065,1,0.838:0.700,1
2014,08,007,NA:0.005,NA,0.050:0.100,3,0.026:0.060,3,0.925:0.835,3
2014,08,009,NA:0.011,NA,0.315:0.401,3,0.032:0.027,3,0.653:0.561,3
2014,08,011,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,013,0.002:0.016,2,0.047:0.093,2,0.043:0.062,2,0.909:0.830,2
2014,08,014,0.008:0.005,3,0.046:0.110,3,0.076:0.058,3,0.870:0.827,3
2014,08,015,NA:0.034,NA,0.027:0.120,3,0.007:0.050,3,0.966:0.795,3
2014,08,017,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,019,NA:0.005,NA,0.027:0.041,3,0.037:0.033,3,0.936:0.921,3
2014,08,021,NA:0.011,NA,0.315:0.401,3,0.032:0.027,3,0.653:0.561,3
2014,08,023,NA:0.011,NA,0.315:0.401,3,0.032:0.027,3,0.653:0.561,3
2014,08,025,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,027,NA:0.034,NA,0.027:0.120,3,0.007:0.050,3,0.966:0.795,3
2014,08,029,NA:0.003,NA,0.041:0.105,3,0.015:0.027,3,0.943:0.866,3
2014,08,031,0.032:0.091,1,0.125:0.223,1,0.032:0.060,1,0.810:0.626,1
2014,08,033,NA:0.005,NA,0.050:0.100,3,0.026:0.060,3,0.925:0.835,3
2014,08,035,0.010:0.012,1,0.048:0.065,1,0.047:0.045,1,0.896:0.878,1
2014,08,037,0.001:0.010,2,0.036:0.126,2,0.017:0.023,2,0.946:0.841,2
2014,08,039,0.016:0.019,3,0.053:0.094,3,0.029:0.024,3,0.902:0.863,3
2014,08,041,0.025:0.051,1,0.060:0.121,1,0.058:0.062,1,0.856:0.765,1
2014,08,043,NA:0.034,NA,0.027:0.120,2,0.007:0.050,2,0.966:0.795,2
2014,08,045,0.004:0.010,2,0.057:0.134,2,0.030:0.028,2,0.910:0.828,2
2014,08,047,NA:0.005,NA,0.027:0.041,3,0.037:0.033,3,0.936:0.921,3
2014,08,049,0.001:0.010,3,0.036:0.126,3,0.017:0.023,3,0.946:0.841,3
2014,08,051,NA:0.005,NA,0.050:0.100,3,0.026:0.060,3,0.925:0.835,3
2014,08,053,NA:0.005,NA,0.050:0.100,3,0.026:0.060,3,0.925:0.835,3
2014,08,055,NA:0.034,NA,0.027:0.120,3,0.007:0.050,3,0.966:0.795,3
2014,08,057,0.001:0.010,3,0.036:0.126,3,0.017:0.023,3,0.946:0.841,3
2014,08,059,0.003:0.014,1,0.062:0.121,1,0.037:0.037,1,0.897:0.828,1
2014,08,061,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,063,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,065,NA:0.034,NA,0.027:0.120,3,0.007:0.050,3,0.966:0.795,3
2014,08,067,NA:0.005,NA,0.050:0.100,2,0.026:0.060,2,0.925:0.835,2
2014,08,069,0.000:0.003,1,0.035:0.078,1,0.030:0.041,1,0.934:0.878,1
2014,08,071,NA:0.011,NA,0.315:0.401,3,0.032:0.027,3,0.653:0.561,3
2014,08,073,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,075,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,077,NA:0.006,NA,0.079:0.121,1,0.015:0.035,1,0.906:0.838,1
2014,08,079,NA:0.011,NA,0.315:0.401,3,0.032:0.027,3,0.653:0.561,3
2014,08,081,0.004:0.010,3,0.057:0.134,3,0.030:0.028,3,0.910:0.828,3
2014,08,083,NA:0.005,NA,0.050:0.100,3,0.026:0.060,3,0.925:0.835,3
2014,08,085,NA:0.003,NA,0.041:0.105,2,0.015:0.027,2,0.943:0.866,2
2014,08,087,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,089,NA:0.011,NA,0.315:0.401,3,0.032:0.027,3,0.653:0.561,3
2014,08,091,NA:0.003,NA,0.041:0.105,3,0.015:0.027,3,0.943:0.866,3
2014,08,093,NA:0.034,NA,0.027:0.120,3,0.007:0.050,3,0.966:0.795,3
2014,08,095,NA:0.040,NA,0.072:0.207,3,0.014:0.014,3,0.914:0.739,3
2014,08,097,0.001:0.010,3,0.036:0.126,3,0.017:0.023,3,0.946:0.841,3
