year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality,subgroup_type,subgroup
2023,1,1077,.0471986,1,race-ethnicity,All
2023,1,1077,NA,NA,race-ethnicity,Majority Non-White
2023,1,1077,.0471986,1,race-ethnicity,Majority White
2023,1,1079,.0796209,1,race-ethnicity,All
2023,1,1079,.0714286,1,race-ethnicity,Majority Non-White
2023,1,1079,.0800801,1,race-ethnicity,Majority White
2023,1,1081,.0241851,1,race-ethnicity,All
2023,1,1081,NA,NA,race-ethnicity,Majority Non-White
2023,1,1081,.0242411,1,race-ethnicity,Majority White
2023,1,1083,.0661786,1,race-ethnicity,All
2023,1,1083,.1311475,1,race-ethnicity,Majority Non-White
2023,1,1083,.0650746,1,race-ethnicity,Majority White
2023,1,1085,.0779221,1,race-ethnicity,All
2023,1,1085,.0801887,1,race-ethnicity,Majority Non-White
2023,1,1085,.0729167,1,race-ethnicity,Majority White
2023,1,1087,.0418848,1,race-ethnicity,All
2023,1,1087,.0482759,1,race-ethnicity,Majority Non-White
2023,1,1087,.0217391,1,race-ethnicity,Majority White
2023,1,1089,.0586176,1,race-ethnicity,All
2023,1,1089,.1284355,1,race-ethnicity,Majority Non-White
2023,1,1089,.0459051,1,race-ethnicity,Majority White
2023,1,1091,.041806,1,race-ethnicity,All
2023,1,1091,.0417633,1,race-ethnicity,Majority Non-White
2023,1,1091,.0424242,1,race-ethnicity,Majority White
2023,1,1093,.0406593,1,race-ethnicity,All
2023,1,1093,NA,NA,race-ethnicity,Majority Non-White
2023,1,1093,.0406593,1,race-ethnicity,Majority White
2023,1,1095,.0831117,1,race-ethnicity,All
2023,1,1095,NA,NA,race-ethnicity,Majority Non-White
2023,1,1095,.0831117,1,race-ethnicity,Majority White
2023,1,1097,.0798892,1,race-ethnicity,All
2023,1,1097,.1123401,1,race-ethnicity,Majority Non-White
2023,1,1097,.0620451,1,race-ethnicity,Majority White
2023,1,1099,.1086956,1,race-ethnicity,All
2023,1,1099,.1166253,1,race-ethnicity,Majority Non-White
2023,1,1099,.0954357,1,race-ethnicity,Majority White
2023,1,1101,.0586875,1,race-ethnicity,All
2023,1,1101,.0644155,1,race-ethnicity,Majority Non-White
2023,1,1101,.0374404,1,race-ethnicity,Majority White
