year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,101,.0374404,1,race-ethnicity,Majority White
2023,1,103,.0877014,1,race-ethnicity,All
2023,1,103,.1027858,1,race-ethnicity,Majority Non-White
2023,1,103,.08223,1,race-ethnicity,Majority White
2023,1,105,.0675105,1,race-ethnicity,All
2023,1,105,.0675105,1,race-ethnicity,Majority Non-White
2023,1,105,NA,3,race-ethnicity,Majority White
2023,1,107,.0598911,1,race-ethnicity,All
2023,1,107,.0686695,1,race-ethnicity,Majority Non-White
2023,1,107,.0534591,1,race-ethnicity,Majority White
2023,1,109,.131019,1,race-ethnicity,All
2023,1,109,NA,3,race-ethnicity,Majority Non-White
2023,1,109,.131019,1,race-ethnicity,Majority White
2023,1,111,.0790569,1,race-ethnicity,All
2023,1,111,NA,3,race-ethnicity,Majority Non-White
2023,1,111,.0790569,1,race-ethnicity,Majority White
2023,1,113,.1095968,1,race-ethnicity,All
2023,1,113,.1133263,1,race-ethnicity,Majority Non-White
2023,1,113,.1054591,1,race-ethnicity,Majority White
2023,1,115,.05625,1,race-ethnicity,All
2023,1,115,NA,3,race-ethnicity,Majority Non-White
2023,1,115,.0564067,1,race-ethnicity,Majority White
2023,1,117,.0547021,1,race-ethnicity,All
2023,1,117,NA,3,race-ethnicity,Majority Non-White
2023,1,117,.0544512,1,race-ethnicity,Majority White
2023,1,119,.0537313,1,race-ethnicity,All
2023,1,119,.0545455,1,race-ethnicity,Majority Non-White
2023,1,119,NA,3,race-ethnicity,Majority White
2023,1,121,.1145038,1,race-ethnicity,All
2023,1,121,.1370787,1,race-ethnicity,Majority Non-White
2023,1,121,.1019387,1,race-ethnicity,Majority White
2023,1,123,.0392593,1,race-ethnicity,All
2023,1,123,.0344828,1,race-ethnicity,Majority Non-White
2023,1,123,.0395883,1,race-ethnicity,Majority White
2023,1,125,.0362982,1,race-ethnicity,All
2023,1,125,.0334113,1,race-ethnicity,Majority Non-White
2023,1,125,.039065,1,race-ethnicity,Majority White
2023,1,127,.0991401,1,race-ethnicity,All
2023,1,127,NA,3,race-ethnicity,Majority Non-White
2023,1,127,.0991401,1,race-ethnicity,Majority White
2023,1,129,.0761523,1,race-ethnicity,All
2023,1,129,.0827068,1,race-ethnicity,Majority Non-White
2023,1,129,.0737705,1,race-ethnicity,Majority White
2023,1,131,.0422535,1,race-ethnicity,All
2023,1,131,.041791,1,race-ethnicity,Majority Non-White
2023,1,131,NA,3,race-ethnicity,Majority White
2023,1,133,.0696721,1,race-ethnicity,All
2023,1,133,NA,3,race-ethnicity,Majority Non-White
2023,1,133,.0696721,1,race-ethnicity,Majority White
2023,2,13,NA,3,race-ethnicity,All
2023,2,13,NA,3,race-ethnicity,Majority Non-White
2023,2,13,NA,3,race-ethnicity,Majority White
2023,2,16,.0740741,1,race-ethnicity,All
2023,2,16,.0740741,1,race-ethnicity,Majority Non-White
2023,2,16,NA,3,race-ethnicity,Majority White
2023,2,20,.037421,1,race-ethnicity,All
2023,2,20,.0546407,1,race-ethnicity,Majority Non-White
2023,2,20,.029386,1,race-ethnicity,Majority White
2023,2,50,.0215827,1,race-ethnicity,All
2023,2,50,.0218978,1,race-ethnicity,Majority Non-White
2023,2,50,NA,3,race-ethnicity,Majority White
2023,2,60,NA,3,race-ethnicity,All
2023,2,60,NA,3,race-ethnicity,Majority Non-White
2023,2,60,NA,3,race-ethnicity,Majority White
2023,2,63,.010929,1,race-ethnicity,All
2023,2,63,NA,3,race-ethnicity,Majority Non-White
2023,2,63,.0057143,1,race-ethnicity,Majority White
2023,2,66,.0135135,1,race-ethnicity,All
2023,2,66,NA,3,race-ethnicity,Majority Non-White
2023,2,66,.0136986,1,race-ethnicity,Majority White
2023,2,68,.08,1,race-ethnicity,All
2023,2,68,NA,3,race-ethnicity,Majority Non-White
2023,2,68,.08,1,race-ethnicity,Majority White
2023,2,70,.0210526,1,race-ethnicity,All
2023,2,70,.0210526,1,race-ethnicity,Majority Non-White
2023,2,70,NA,3,race-ethnicity,Majority White
2023,2,90,.0488936,1,race-ethnicity,All
2023,2,90,.0185185,1,race-ethnicity,Majority Non-White
2023,2,90,.0493643,1,race-ethnicity,Majority White
2023,2,100,.027027,1,race-ethnicity,All
2023,2,100,NA,3,race-ethnicity,Majority Non-White
2023,2,100,.027027,1,race-ethnicity,Majority White
2023,2,105,.037037,1,race-ethnicity,All
2023,2,105,NA,3,race-ethnicity,Majority Non-White
2023,2,105,NA,3,race-ethnicity,Majority White
2023,2,110,.022869,1,race-ethnicity,All
2023,2,110,NA,3,race-ethnicity,Majority Non-White
2023,2,110,.022869,1,race-ethnicity,Majority White
2023,2,122,.0346562,1,race-ethnicity,All
2023,2,122,NA,3,race-ethnicity,Majority Non-White
2023,2,122,.0347339,1,race-ethnicity,Majority White
2023,2,130,.0283224,1,race-ethnicity,All
2023,2,130,NA,3,race-ethnicity,Majority Non-White
2023,2,130,.0283224,1,race-ethnicity,Majority White
2023,2,150,.0147059,1,race-ethnicity,All
2023,2,150,.0147059,1,race-ethnicity,Majority Non-White
2023,2,150,NA,3,race-ethnicity,Majority White
2023,2,158,.0254237,1,race-ethnicity,All
2023,2,158,.0254237,1,race-ethnicity,Majority Non-White
2023,2,158,NA,3,race-ethnicity,Majority White
2023,2,164,NA,3,race-ethnicity,All
2023,2,164,NA,3,race-ethnicity,Majority Non-White
2023,2,164,NA,3,race-ethnicity,Majority White
2023,2,170,.0314361,1,race-ethnicity,All
2023,2,170,NA,3,race-ethnicity,Majority Non-White
2023,2,170,.0314361,1,race-ethnicity,Majority White
2023,2,180,.0182927,1,race-ethnicity,All
2023,2,180,.0182927,1,race-ethnicity,Majority Non-White
2023,2,180,NA,3,race-ethnicity,Majority White
2023,2,185,.0197368,1,race-ethnicity,All
2023,2,185,.0198676,1,race-ethnicity,Majority Non-White
2023,2,185,NA,3,race-ethnicity,Majority White
2023,2,188,.0542636,1,race-ethnicity,All
2023,2,188,.0542636,1,race-ethnicity,Majority Non-White
2023,2,188,NA,3,race-ethnicity,Majority White
2023,2,195,0,1,race-ethnicity,All
2023,2,195,NA,3,race-ethnicity,Majority Non-White
2023,2,195,0,1,race-ethnicity,Majority White
2023,2,198,.0273973,1,race-ethnicity,All
2023,2,198,.0243902,1,race-ethnicity,Majority Non-White
2023,2,198,.03125,1,race-ethnicity,Majority White
2023,2,220,.0393013,1,race-ethnicity,All
2023,2,220,NA,3,race-ethnicity,Majority Non-White
2023,2,220,.0393013,1,race-ethnicity,Majority White
2023,2,230,NA,3,race-ethnicity,All
2023,2,230,NA,3,race-ethnicity,Majority Non-White
2023,2,230,NA,3,race-ethnicity,Majority White
2023,2,240,.0410959,1,race-ethnicity,All
2023,2,240,NA,3,race-ethnicity,Majority Non-White
2023,2,240,.0373832,1,race-ethnicity,Majority White
